rank,player-name,year signed,age,year 2,value,average/year
1,Drew Brees,2006-2011 (FA: 2012),27,6,"$60,000,000","$10,000,000"
3,Vince Young,2006-2011 (FA: 2012),23,6,"$58,000,000","$9,666,667"
4,Matt Leinart,2006-2011 (FA: 2012),23,6,"$50,460,000","$8,410,000"
5,Jay Cutler,2006-2011 (FA: 2012),22,6,"$47,862,500","$7,977,083"
2,Daunte Culpepper,2006-2013 (FA: 2014),28,8,"$59,500,000","$7,437,500"
8,Joey Harrington,2006-2008 (FA: 2009),27,3,"$20,750,000","$6,916,667"
6,Steve McNair,2006-2010 (FA: 2011),32,5,"$32,000,000","$6,400,000"
7,Chad Pennington,2006-2010 (FA: 2011),29,5,"$31,500,000","$6,300,000"
9,Kurt Warner,2006-2008 (FA: 2009),34,3,"$18,000,000","$6,000,000"
12,Josh McCown,2006-2007 (FA: 2008),26,2,"$6,000,000","$3,000,000"
16,Tony Romo,2006-2007 (FA: 2008),25,1,"$3,000,000","$3,000,000"
10,Jon Kitna,2006-2009 (FA: 2010),33,4,"$11,500,000","$2,875,000"
22,Kerry Collins,2006-2006 (FA: 2007),33,1,"$2,000,000","$2,000,000"
11,Sage Rosenfels,2006-2009 (FA: 2010),28,4,"$7,000,000","$1,750,000"
13,Chris Weinke,2006-2008 (FA: 2009),33,3,"$4,500,000","$1,500,000"
14,Charlie Batch,2006-2008 (FA: 2009),31,3,"$4,220,000","$1,406,667"
28,Jeff Garcia,2006-2006 (FA: 2007),35,1,"$1,300,000","$1,300,000"
18,Todd Collins,2006-2007 (FA: 2008),34,2,"$2,510,000","$1,255,000"
20,Seneca Wallace,2006-2006 (FA: 2007),25,2,"$2,300,000","$1,150,000"
22,A.J. Feeley,2006-2007 (FA: 2008),28,2,"$2,000,000","$1,000,000"
30,Vinny Testaverde,2006-2006 (FA: 2007),43,1,"$810,000","$810,000"
15,Kellen Clemens,2006-2009 (FA: 2010),23,4,"$3,220,000","$805,000"
17,Tarvaris Jackson,2006-2009 (FA: 2010),23,4,"$2,665,000","$666,250"
19,Charlie Whitehurst,2006-2009 (FA: 2010),23,4,"$2,318,000","$579,500"
21,Brodie Croyle,2006-2009 (FA: 2010),23,4,"$2,280,000","$570,000"
31,Brian St. Pierre,2006-2006 (FA: 2007),18,1,"$500,000","$500,000"
24,Ingle Martin IV,2006-2009 (FA: 2010),23,4,"$1,782,000","$445,500"
25,Reggie McNeal,2006-2009 (FA: 2010),22,4,"$1,701,500","$425,375"
26,Bruce Gradkowski,2006-2009 (FA: 2010),23,4,"$1,697,500","$424,375"
27,D.J. Shockley,2006-2009 (FA: 2010),23,4,"$1,663,750","$415,938"
29,Omar Jacobs,2006-2008 (FA: 2009),22,3,"$1,195,000","$398,333"
