rank,player-name,year signed,age,year 2,value,average/year
1,Drew Brees,2012-2016 (FA: 2017),33,5,"$100,000,000","$20,000,000"
2,Peyton Manning,2012-2016 (FA: 2017),35,5,"$96,000,000","$19,200,000"
3,Matt Schaub,2012-2015 (FA: 2016),31,4,"$62,000,000","$15,500,000"
4,Mark Sanchez,2012-2016 (FA: 2017),25,3,"$40,475,000","$13,491,667"
5,Alex Smith,2012-2014 (FA: 2015),27,3,"$27,775,000","$9,258,333"
8,Matt Flynn,2012-2014 (FA: 2015),26,3,"$19,500,000","$6,500,000"
6,Andrew Luck,2012-2016 (FA: 2017),22,4,"$22,107,998","$5,527,000"
7,Robert Griffin III,2012-2016 (FA: 2017),22,4,"$21,119,098","$5,279,775"
10,Kyle Orton,2012-2014 (FA: 2015),29,3,"$10,500,000","$3,500,000"
15,Jason Campbell,2012-2012 (FA: 2013),30,1,"$3,500,000","$3,500,000"
12,Chad Henne,2012-2013 (FA: 2014),26,2,"$6,750,000","$3,375,000"
16,David Garrard,2012-2012 (FA: 2013),34,1,"$3,350,000","$3,350,000"
9,Ryan Tannehill,2012-2016 (FA: 2017),24,4,"$12,668,843","$3,167,211"
13,Shaun Hill,2012-2013 (FA: 2014),32,2,"$5,500,000","$2,750,000"
11,Brandon Weeden,2012-2015 (FA: 2016),28,4,"$8,081,436","$2,020,359"
28,Vince Young,2012-2012 (FA: 2013),28,1,"$1,987,500","$1,987,500"
29,Brian Hoyer,2012-2012 (FA: 2013),26,1,"$1,927,000","$1,927,000"
17,Charlie Whitehurst,2012-2013 (FA: 2014),29,2,"$3,050,000","$1,525,000"
18,Sage Rosenfels,2012-2013 (FA: 2014),33,2,"$3,000,000","$1,500,000"
30,Brady Quinn,2012-2012 (FA: 2013),27,1,"$1,500,000","$1,500,000"
46,Rex Grossman,2012-2012 (FA: 2013),31,1,"$1,300,000","$1,300,000"
22,Dan Orlovsky,2012-2013 (FA: 2014),28,2,"$2,500,000","$1,250,000"
22,Caleb Hanie,2012-2013 (FA: 2014),26,2,"$2,500,000","$1,250,000"
47,Drew Stanton,2012-2012 (FA: 2013),27,1,"$1,225,000","$1,225,000"
27,Josh Johnson,2012-2013 (FA: 2014),25,2,"$2,115,000","$1,057,500"
49,Chase Daniel,2012-2012 (FA: 2013),25,1,"$1,000,000","$1,000,000"
50,Charlie Batch,2012-2012 (FA: 2013),37,1,"$990,000","$990,000"
50,David Carr,2012-2012 (FA: 2013),32,1,"$990,000","$990,000"
14,Brock Osweiler,2012-2015 (FA: 2016),21,4,"$3,516,678","$879,170"
52,Josh McCown,2012-2012 (FA: 2013),32,1,"$875,000","$875,000"
56,Derek Anderson,2012-2012 (FA: 2013),28,1,"$825,000","$825,000"
56,Luke McCown,2012-2012 (FA: 2013),30,1,"$825,000","$825,000"
56,Byron Leftwich,2012-2012 (FA: 2013),32,1,"$825,000","$825,000"
56,Chris Redman,2012-2012 (FA: 2013),34,1,"$825,000","$825,000"
60,Matt Leinart,2012-2012 (FA: 2013),28,1,"$750,000","$750,000"
19,Russell Wilson,2012-2015 (FA: 2016),23,4,"$2,996,702","$749,176"
61,Kellen Clemens,2012-2012 (FA: 2013),28,1,"$710,000","$710,000"
44,Trent Edwards,2012-2013 (FA: 2014),28,2,"$1,415,000","$707,500"
62,John Beck,2012-2012 (FA: 2013),30,1,"$700,000","$700,000"
62,Josh Johnson,2012-2012 (FA: 2013),25,1,"$700,000","$700,000"
20,Nick Foles,2012-2015 (FA: 2016),23,4,"$2,768,520","$692,130"
45,Brett Ratliff,2012-2013 (FA: 2014),26,2,"$1,330,000","$665,000"
21,Kirk Cousins,2012-2015 (FA: 2016),23,4,"$2,572,688","$643,172"
64,Jordan Palmer,2012-2012 (FA: 2013),27,1,"$615,000","$615,000"
64,Curtis Painter,2012-2012 (FA: 2013),26,1,"$615,000","$615,000"
64,Brian Hoyer,2012-2012 (FA: 2013),26,1,"$615,000","$615,000"
64,Rudy Carpenter,2012-2012 (FA: 2013),23,1,"$615,000","$615,000"
48,Thaddeus Lewis,2012-2014 (FA: 2015),24,2,"$1,200,000","$600,000"
24,Ryan Lindley,2012-2015 (FA: 2016),22,4,"$2,205,308","$551,327"
68,Richard Bartel,2012-2012 (FA: 2013),29,1,"$540,000","$540,000"
68,Tom Brandstater,2012-2012 (FA: 2013),27,1,"$540,000","$540,000"
68,Zac Robinson,2012-2012 (FA: 2013),25,1,"$540,000","$540,000"
25,B.J. Coleman,2012-2015 (FA: 2016),23,4,"$2,145,896","$536,474"
25,Chandler Harnish,2012-2015 (FA: 2016),23,4,"$2,145,896","$536,474"
71,Troy Smith,2012-2012 (FA: 2013),27,1,"$525,000","$525,000"
