rank,player-name,year signed,age,year 2,value,average/year
1,Peyton Manning,2011-2015 (FA: 2016),35,5,"$90,000,000","$18,000,000"
8,Michael Vick,2011-2011 (FA: 2012),30,1,"$16,057,000","$16,057,000"
2,Michael Vick,2011-2016 (FA: 2017),31,5,"$80,000,000","$16,000,000"
5,Carson Palmer,2011-2014 (FA: 2015),31,4,"$43,000,000","$10,750,000"
3,Kevin Kolb,2011-2015 (FA: 2017),26,6,"$62,108,000","$10,351,333"
4,Ryan Fitzpatrick,2011-2017 (FA: 2018),28,6,"$59,000,000","$9,833,333"
15,Donovan McNabb,2011-2011 (FA: 2012),34,1,"$7,300,000","$7,300,000"
7,Matt Hasselbeck,2011-2013 (FA: 2014),35,3,"$20,000,000","$6,666,667"
6,Cam Newton,2011-2015 (FA: 2016),22,4,"$22,025,498","$5,506,375"
18,Kevin O'Connell,2011-2011 (FA: 2012),25,1,"$5,252,000","$5,252,000"
22,Alex Smith,2011-2011 (FA: 2012),26,1,"$4,900,000","$4,900,000"
23,Jason Campbell,2011-2011 (FA: 2012),29,1,"$4,600,000","$4,600,000"
14,Tarvaris Jackson,2011-2012 (FA: 2013),28,2,"$8,000,000","$4,000,000"
24,Kerry Collins,2011-2011 (FA: 2012),38,1,"$4,000,000","$4,000,000"
24,Vince Young,2011-2011 (FA: 2012),27,1,"$4,000,000","$4,000,000"
9,Jake Locker,2011-2014 (FA: 2015),23,4,"$12,586,002","$3,146,501"
12,Seneca Wallace,2011-2013 (FA: 2014),30,3,"$9,200,000","$3,066,667"
10,Blaine Gabbert,2011-2014 (FA: 2015),21,4,"$12,001,646","$3,000,412"
13,Tyler Thigpen,2011-2012 (FA: 2013),27,3,"$9,000,000","$3,000,000"
16,Billy Volek,2011-2012 (FA: 2013),0,2,"$6,000,000","$3,000,000"
17,Matt Leinart,2011-2012 (FA: 2013),28,2,"$5,500,000","$2,750,000"
11,Christian Ponder,2011-2014 (FA: 2015),23,4,"$10,158,698","$2,539,675"
21,Matt Moore,2011-2012 (FA: 2013),26,2,"$5,025,000","$2,512,500"
24,Bruce Gradkowski,2011-2012 (FA: 2013),28,2,"$4,000,000","$2,000,000"
34,Luke McCown,2011-2011 (FA: 2012),29,1,"$1,800,000","$1,800,000"
35,Byron Leftwich,2011-2011 (FA: 2012),30,1,"$1,750,000","$1,750,000"
19,Andy Dalton,2011-2014 (FA: 2015),23,4,"$5,214,198","$1,303,550"
20,Colin Kaepernick,2011-2014 (FA: 2015),23,4,"$5,124,296","$1,281,074"
40,Kyle Boller,2011-2011 (FA: 2012),29,1,"$1,250,000","$1,250,000"
41,Dennis Dixon,2011-2011 (FA: 2012),26,1,"$1,200,000","$1,200,000"
41,Caleb Hanie,2011-2011 (FA: 2012),25,1,"$1,200,000","$1,200,000"
43,Rex Grossman,2011-2011 (FA: 2012),30,1,"$1,150,000","$1,150,000"
44,Dan LeFevour,2011-2012 (FA: 2013),23,1,"$1,050,000","$1,050,000"
45,Jake Delhomme,2011-2011 (FA: 2012),35,1,"$910,000","$910,000"
46,David Carr,2011-2011 (FA: 2012),32,1,"$860,000","$860,000"
47,J.P. Losman,2011-2011 (FA: 2012),29,1,"$810,000","$810,000"
47,Josh McCown,2011-2011 (FA: 2012),32,1,"$810,000","$810,000"
27,Ryan Mallett,2011-2014 (FA: 2015),23,4,"$2,947,828","$736,957"
49,Derek Anderson,2011-2011 (FA: 2012),28,1,"$735,000","$735,000"
50,Dan Orlovsky,2011-2011 (FA: 2012),27,1,"$685,000","$685,000"
50,Kellen Clemens,2011-2011 (FA: 2012),28,1,"$685,000","$685,000"
33,Chris Dieker,2011-2013 (FA: 2014),23,3,"$2,041,000","$680,333"
52,Drew Stanton,2011-2011 (FA: 2012),27,1,"$650,000","$650,000"
53,Mark Brunell,2011-2011 (FA: 2012),40,1,"$575,000","$575,000"
28,Ricky Stanzi,2011-2014 (FA: 2015),23,4,"$2,286,052","$571,513"
29,T.J. Yates,2011-2014 (FA: 2015),23,4,"$2,225,000","$556,250"
30,Nathan Enderle,2011-2014 (FA: 2015),23,4,"$2,208,860","$552,215"
36,Graham Harrell,2011-2013 (FA: 2014),25,3,"$1,620,000","$540,000"
54,John Parker Wilson,2011-2011 (FA: 2012),25,1,"$540,000","$540,000"
31,Tyrod Taylor,2011-2014 (FA: 2015),21,4,"$2,145,308","$536,327"
32,Greg McElroy,2011-2014 (FA: 2015),23,4,"$2,105,152","$526,288"
55,Tyler Palko,2011-2011 (FA: 2012),27,1,"$480,000","$480,000"
55,Keith Null,2011-2011 (FA: 2012),25,1,"$480,000","$480,000"
37,Scott Tolzien,2011-2014 (FA: 2015),23,3,"$1,408,000","$469,333"
38,Pat Devlin,2011-2012 (FA: 2013),23,3,"$1,401,000","$467,000"
39,Josh Portis,2011-2013 (FA: 2014),23,3,"$1,395,000","$465,000"
57,Drew Willy,2011-2011 (FA: 2012),24,1,"$375,000","$375,000"
58,Ryan Perrilloux,2011-2011 (FA: 2012),24,1,"$330,000","$330,000"
