rank,player-name,year signed,age,year 2,value,average/year
3,Aaron Rodgers,2018-2023 (FA: 2024),34,4,"$134,000,000","$33,500,000"
1,Matt Ryan,2018-2023 (FA: 2024),32,5,"$150,000,000","$30,000,000"
5,Kirk Cousins,2018-2020 (FA: 2021),29,3,"$84,000,000","$28,000,000"
2,Jimmy Garoppolo,2018-2022 (FA: 2023),26,5,"$137,500,000","$27,500,000"
7,Drew Brees,2018-2019 (FA: 2020),39,2,"$50,000,000","$25,000,000"
4,Alex Smith,2018-2022 (FA: 2023),33,4,"$94,000,000","$23,500,000"
13,Sam Bradford,2018-2019 (FA: 2020),30,1,"$20,000,000","$20,000,000"
6,Blake Bortles,2018-2020 (FA: 2021),25,3,"$54,000,000","$18,000,000"
8,Case Keenum,2018-2019 (FA: 2020),30,2,"$36,000,000","$18,000,000"
11,Tom Brady,2018-2019 (FA: 2020),41,2,"$30,000,000","$15,000,000"
15,Josh McCown,2018-2018 (FA: 2019),38,1,"$10,000,000","$10,000,000"
9,Baker Mayfield,2018-2022 (FA: 2023),23,4,"$32,682,980","$8,170,745"
10,Sam Darnold,2018-2022 (FA: 2023),21,4,"$30,247,715","$7,561,929"
23,Teddy Bridgewater,2018-2018 (FA: 2019),25,1,"$6,000,000","$6,000,000"
12,Josh Allen,2018-2022 (FA: 2023),22,4,"$21,443,037","$5,360,759"
15,Chase Daniel,2018-2019 (FA: 2020),31,2,"$10,000,000","$5,000,000"
15,A.J. McCarron,2018-2019 (FA: 2020),27,2,"$10,000,000","$5,000,000"
14,Josh Rosen,2018-2021 (FA: 2023),21,4,"$17,597,756","$4,399,439"
19,Mike Glennon,2018-2019 (FA: 2020),28,2,"$8,000,000","$4,000,000"
20,Chad Henne,2018-2019 (FA: 2020),32,2,"$6,700,000","$3,350,000"
26,Ryan Fitzpatrick,2018-2018 (FA: 2019),35,1,"$3,300,000","$3,300,000"
21,Colt McCoy,2018-2019 (FA: 2020),31,2,"$6,500,000","$3,250,000"
21,Drew Stanton,2018-2019 (FA: 2020),31,2,"$6,500,000","$3,250,000"
18,Lamar Jackson,2018-2022 (FA: 2023),21,4,"$9,471,648","$2,367,912"
24,Blaine Gabbert,2018-2019 (FA: 2020),25,2,"$4,000,000","$2,000,000"
28,Matt Barkley,2018-2019 (FA: 2020),27,2,"$3,100,000","$1,550,000"
52,Tom Savage,2018-2018 (FA: 2019),27,1,"$1,500,000","$1,500,000"
56,Matt Cassel,2018-2018 (FA: 2019),35,1,"$1,105,000","$1,105,000"
57,Robert Griffin III,2018-2018 (FA: 2019),28,1,"$1,100,000","$1,100,000"
