rank,player-name,year signed,age,year 2,value,average/year
1,Patrick Mahomes,2020-2031 (FA: 2032),24,10,"$450,000,000","$45,000,000"
2,Deshaun Watson,2020-2025 (FA: 2026),24,4,"$156,000,000","$39,000,000"
4,Kirk Cousins,2020-2022 (FA: 2023),31,2,"$66,000,000","$33,000,000"
9,Dak Prescott,2020-2020 (FA: 2021),26,1,"$31,409,000","$31,409,000"
3,Ryan Tannehill,2020-2023 (FA: 2024),31,4,"$118,000,000","$29,500,000"
6,Drew Brees,2020-2021 (FA: 2022),39,2,"$50,000,000","$25,000,000"
6,Tom Brady,2020-2021 (FA: 2022),42,2,"$50,000,000","$25,000,000"
12,Philip Rivers,2020-2020 (FA: 2021),38,1,"$25,000,000","$25,000,000"
5,Teddy Bridgewater,2020-2021 (FA: 2022),27,3,"$63,000,000","$21,000,000"
8,Joe Burrow,2020-2024 (FA: 2025),23,4,"$36,190,137","$9,047,534"
15,Marcus Mariota,2020-2021 (FA: 2022),26,2,"$17,600,000","$8,800,000"
13,Nick Foles,2020-2022 (FA: 2023),31,3,"$24,000,000","$8,000,000"
10,Tua Tagovailoa,2020-2024 (FA: 2025),22,4,"$30,275,438","$7,568,860"
11,Justin Herbert,2020-2024 (FA: 2025),22,4,"$26,578,755","$6,644,689"
14,Case Keenum,2020-2022 (FA: 2023),32,3,"$18,000,000","$6,000,000"
16,Chase Daniel,2020-2022 (FA: 2023),33,3,"$13,050,000","$4,350,000"
22,A.J. McCarron,2020-2020 (FA: 2021),29,1,"$4,000,000","$4,000,000"
17,Jordan Love,2020-2024 (FA: 2025),21,4,"$12,383,453","$3,095,863"
29,Andy Dalton,2020-2020 (FA: 2021),32,1,"$3,000,000","$3,000,000"
19,Jeff Driskel,2020-2021 (FA: 2022),26,2,"$5,000,000","$2,500,000"
47,Colt McCoy,2020-2020 (FA: 2021),33,1,"$2,250,000","$2,250,000"
48,Nathan Peterman,2020-2020 (FA: 2021),25,1,"$2,133,000","$2,133,000"
49,Nate Sudfeld,2020-2020 (FA: 2021),26,1,"$2,000,000","$2,000,000"
50,Cam Newton,2020-2020 (FA: 2021),31,1,"$1,750,000","$1,750,000"
28,Chad Henne,2020-2021 (FA: 2022),34,2,"$3,250,000","$1,625,000"
18,Jalen Hurts,2020-2023 (FA: 2024),21,4,"$6,025,171","$1,506,293"
58,Joe Flacco,2020-2020 (FA: 2021),35,1,"$1,500,000","$1,500,000"
30,Josh McCown,2020-2021 (FA: 2022),41,2,"$2,800,000","$1,400,000"
64,Cooper Rush,2020-2020 (FA: 2021),26,1,"$1,250,000","$1,250,000"
65,Blaine Gabbert,2020-2020 (FA: 2021),30,1,"$1,187,500","$1,187,500"
65,Mike Glennon,2020-2020 (FA: 2021),30,1,"$1,187,500","$1,187,500"
65,Geno Smith,2020-2020 (FA: 2021),29,1,"$1,187,500","$1,187,500"
68,Jameis Winston,2020-2020 (FA: 2021),26,1,"$1,100,000","$1,100,000"
69,Joe Webb,2020-2020 (FA: 2021),33,1,"$1,050,000","$1,050,000"
69,Blake Bortles,2020-2020 (FA: 2021),27,1,"$1,050,000","$1,050,000"
69,Brian Hoyer,2020-2020 (FA: 2021),34,1,"$1,050,000","$1,050,000"
72,Brett Hundley,2020-2020 (FA: 2021),26,1,"$1,047,500","$1,047,500"
73,Sean Mannion,2020-2020 (FA: 2021),27,1,"$1,047,000","$1,047,000"
20,Jacob Eason,2020-2023 (FA: 2024),22,4,"$4,027,264","$1,006,816"
21,James Morgan,2020-2023 (FA: 2024),23,4,"$4,010,264","$1,002,566"
74,Tyler Bray,2020-2020 (FA: 2021),28,1,"$955,000","$955,000"
75,Taylor Heinicke,2020-2020 (FA: 2021),26,1,"$910,000","$910,000"
75,Trevor Siemian,2020-2020 (FA: 2021),28,1,"$910,000","$910,000"
75,Trevor Siemian,2020-2020 (FA: 2021),28,1,"$910,000","$910,000"
75,David Fales,2020-2020 (FA: 2021),29,1,"$910,000","$910,000"
75,Blake Bortles,2020-2020 (FA: 2021),28,1,"$910,000","$910,000"
23,Jake Fromm,2020-2023 (FA: 2024),21,4,"$3,597,960","$899,490"
24,Jake Luton,2020-2023 (FA: 2024),24,4,"$3,476,748","$869,187"
25,Cole McDonald,2020-2023 (FA: 2024),22,4,"$3,396,684","$849,171"
26,Ben DiNucci,2020-2023 (FA: 2024),23,4,"$3,390,148","$847,537"
