team_name,Year,avg_diff_wr
MIN,2021,1256275.0
NE,2012,-285108.0999999998
NE,2013,-2305395.3333333335
NE,2014,-1422029.525
NE,2015,-1818737.4000000001
NE,2016,-870175.0
NE,2017,-349670.5666666664
NE,2018,-5758456.966666666
NE,2019,968950.0
NE,2020,43360.799999999814
NE,2021,-3539050.0
NO,2012,-205887.31666666642
NO,2013,-1298966.3333333333
NO,2014,4466182.0
NO,2015,3196850.0
NO,2017,-2131561.1
NO,2018,-507799.7000000002
NO,2019,703416.816666666
NO,2020,6093791.65
NO,2021,-5655900.0
NYG,2012,-6039233.3
NYG,2013,3025722.2
NYG,2014,789766.7000000002
NYG,2015,-1765032.15
NYG,2016,3597043.4000000004
NYG,2017,27325.0
NYG,2018,183364.6619047618
NYG,2019,-2583000.0
NYG,2020,-1558057.8333333333
NYG,2021,6602850.0
NYJ,2012,-1518933.35
NYJ,2013,329541.8500000001
NYJ,2014,-666332.4333333332
NYJ,2015,-880081.4500000002
NYJ,2016,4931027.8
NYJ,2017,-3051258.35
NYJ,2018,-623900.0000000001
NYJ,2019,-1220744.4333333333
NYJ,2020,670925.0
NYJ,2021,3181788.9
PHI,2012,626038.1000000001
PHI,2013,770128.5999999999
PHI,2014,10542.90000000014
PHI,2015,1133550.0
PHI,2017,3066855.4000000004
PHI,2018,-534061.1333333332
PHI,2019,1307500.0
PHI,2020,-5954520.850000001
PHI,2021,-376837.6000000001
PIT,2012,589855.5333333333
PIT,2013,-1669842.2
PIT,2014,-666864.2999999998
PIT,2015,-3862610.2
PIT,2016,-3156907.7857142854
PIT,2017,4266465.166666666
PIT,2018,4371933.300000001
PIT,2021,-249116.0
SEA,2012,406533.05000000005
SEA,2013,3765500.0
SEA,2014,-3094193.65
SEA,2015,-4474956.65
SEA,2016,606518.416666667
SEA,2017,54143.44444444403
SEA,2018,-1480144.4666666666
SEA,2019,-3117538.8666666667
SEA,2020,-3822389.2
SEA,2021,676230.0
SF,2012,-2185769.5999999996
SF,2013,2659.600000000093
SF,2014,-414725.0
SF,2015,2151125.0
SF,2016,-585412.5333333336
SF,2017,-1842905.5666666667
SF,2018,1345300.2999999998
SF,2020,-2423900.0
SF,2021,-3240750.0
TB,2012,552236.6875
TB,2013,2099430.1666666665
TB,2014,9321.449999999953
TB,2015,3625813.0999999996
TB,2016,708077.2000000002
TB,2017,4355367.0
TB,2018,-1196538.7999999996
TB,2019,-1542361.111111111
TB,2020,-3718624.8499999996
TB,2021,-2393041.6666666665
TEN,2012,1569583.6
TEN,2013,-2271896.5
TEN,2014,14632.850000000093
TEN,2015,-151000.0
TEN,2016,-1634958.35
TEN,2017,-1302141.7000000002
TEN,2019,600000.0
TEN,2020,46622.64999999991
TEN,2021,2979067.0
WAS,2012,1066912.2333333334
WAS,2013,1194501.25
WAS,2014,773164.2333333333
WAS,2015,1932150.0
WAS,2016,-836486.25
WAS,2018,-424293.8000000003
WAS,2019,3489833.3
WAS,2021,-1567083.0
