team_name,Year,avg_diff_rb
SEA,2014,1925000.0
SEA,2015,7085000.0
SEA,2017,-2005750.0
SEA,2018,-1729427.3333333335
SEA,2020,-1174583.3333333335
SEA,2021,-2316666.6666666665
SF,2012,175569.16666666698
SF,2013,1064597.0
SF,2015,-2386111.1666666665
SF,2016,-3032777.8333333335
SF,2018,-3682233.333333333
SF,2019,-3495000.0
SF,2020,-2335208.3333333335
SF,2021,-2608333.333333333
TB,2012,-4682291.666666667
TB,2013,-3151666.6666666665
TB,2014,-2750000.0
TB,2016,-73055.58333333349
TB,2017,2575000.0
TB,2018,-2427222.25
TB,2019,-181666.6666666665
TB,2020,-3591250.0
TB,2021,-2829166.666666667
TEN,2012,3200028.541666667
TEN,2013,4915437.416666667
TEN,2014,61944.16666666651
TEN,2015,871406.0
TEN,2016,2568750.0
TEN,2017,4009083.3333333335
TEN,2018,471388.833333333
TEN,2019,1163333.3333333335
TEN,2020,3883333.333333334
TEN,2021,674166.6666666667
WAS,2016,-2152938.8333333335
WAS,2017,-3021280.0
WAS,2018,-568861.0833333335
WAS,2019,-2304166.666666667
WAS,2020,-4068555.5
WAS,2021,-3003333.333333333
