team_name,Year,avg_diff_lb
NYG,2016,-867839.3333333334
NYG,2017,-2049134.0
NYG,2018,4953958.375
NYG,2019,-992041.625
NYG,2020,2120238.1428571427
NYG,2021,-4909931.125
NYJ,2012,4535208.3125
NYJ,2013,4934166.625
NYJ,2014,4943647.875
NYJ,2015,-434374.875
NYJ,2016,-402071.5
NYJ,2017,-3169372.5625
NYJ,2018,-1405416.625
NYJ,2019,-5404134.125
NYJ,2020,-3062755.9583333335
NYJ,2021,4001562.5
PHI,2012,-452433.0625
PHI,2013,3525654.75
PHI,2014,3251147.875
PHI,2015,1432708.3125
PHI,2016,1232187.5
PHI,2017,-461498.375
PHI,2018,1079650.75
PHI,2019,1680218.75
PHI,2020,-4224692.625
PHI,2021,-5328359.375
PIT,2012,-5562.5
PIT,2013,2268482.3125
PIT,2014,5837797.875
PIT,2015,3968422.875
PIT,2016,-1736042.0
PIT,2017,-3344446.8125
PIT,2018,-2128458.6666666665
PIT,2019,-377552.0625
PIT,2020,-49250.0
PIT,2021,2105125.0
SEA,2012,-1170500.0
SEA,2015,3590282.5
SEA,2016,1322795.0972222222
SEA,2017,1015362.7916666666
SEA,2018,-851228.625
SEA,2019,5333209.625
SEA,2020,2146354.1875
SEA,2021,10811156.25
SF,2012,-481150.2916666667
SF,2013,619527.7916666666
SF,2014,1887125.0
SF,2015,1097708.3125
SF,2016,-1891039.125
SF,2017,-1640937.5
SF,2018,-1785974.25
SF,2019,8353020.875
SF,2021,11355714.285714285
TB,2012,2249750.0
TB,2014,-4056352.125
TB,2015,1087500.0
TB,2016,3450208.3125
TB,2017,646148.833333334
TB,2018,-2498901.9166666665
TB,2019,-1789145.875
TB,2020,-4401468.75
TB,2021,820421.875
TEN,2012,-529791.375
TEN,2013,-3348125.0
TEN,2014,804562.5
TEN,2015,-2543262.5999999996
TEN,2016,-866093.75
TEN,2017,70291.625
TEN,2018,-1448568.5
TEN,2019,-2991979.125
TEN,2021,9314512.75
WAS,2012,1703125.0
WAS,2013,-872500.0
WAS,2014,1431875.0
WAS,2015,-1965727.125
WAS,2016,-3064707.0625
WAS,2017,-2036450.9375
WAS,2018,-2059609.395833333
WAS,2019,-5133437.5
WAS,2020,-2695764.4375
WAS,2021,-2483437.5
