rank,player-name,rank-position,year signed,age,year 2,value,average/year
1,Ryan Clady,Left Tackle,2013-2017 (FA: 2018),26,5,"$52,500,000","$10,500,000"
23,Ryan Clady,Left Tackle,2013-2013 (FA: 2014),26,1,"$9,828,000","$9,828,000"
23,Branden Albert,Left Tackle,2013-2013 (FA: 2014),28,1,"$9,828,000","$9,828,000"
7,Jake Long,Left Tackle,2013-2016 (FA: 2017),27,4,"$34,000,000","$8,500,000"
2,Andy Levitre,Guard,2013-2018 (FA: 2019),26,6,"$46,800,000","$7,800,000"
4,William Beatty,Left Tackle,2013-2017 (FA: 2018),27,5,"$37,500,000","$7,500,000"
5,Jermon Bushrod,Tackle,2013-2017 (FA: 2018),28,5,"$35,965,000","$7,193,000"
6,Gosder Cherilus,Right Tackle,2013-2017 (FA: 2018),28,5,"$35,000,000","$7,000,000"
3,Sam Baker,Left Tackle,2013-2018 (FA: 2019),27,6,"$41,100,000","$6,850,000"
8,Anthony Davis,Right Tackle,2013-2020 (FA: 2021),23,5,"$33,200,000","$6,640,000"
9,Max Unger,Center,2013-2016 (FA: 2017),26,4,"$25,835,000","$6,458,750"
10,Phillip Loadholt,Right Tackle,2013-2016 (FA: 2017),27,4,"$25,000,000","$6,250,000"
15,Andre Smith,Right Tackle,2013-2015 (FA: 2016),26,3,"$18,000,000","$6,000,000"
11,Louis Vasquez,Guard,2013-2016 (FA: 2017),25,4,"$23,500,000","$5,875,000"
12,Eric Fisher,Left Tackle,2013-2017 (FA: 2018),22,4,"$22,190,498","$5,547,625"
32,Jordan Gross,Left Tackle,2013-2013 (FA: 2014),32,1,"$5,500,000","$5,500,000"
13,Luke Joeckel,Guard,2013-2016 (FA: 2017),21,4,"$21,201,598","$5,300,400"
14,Lane Johnson,Right Tackle,2013-2016 (FA: 2017),23,4,"$19,853,103","$4,963,276"
17,Sebastian Vollmer,Right Tackle,2013-2017 (FA: 2018),28,4,"$16,750,000","$4,187,500"
18,Kraig Urbik,Guard,2013-2016 (FA: 2017),27,4,"$14,600,000","$3,650,000"
19,Jonathan Cooper,Guard,2013-2016 (FA: 2017),23,4,"$14,549,002","$3,637,251"
16,Kory Lichtensteiger,Center,2013-2017 (FA: 2018),27,5,"$17,500,000","$3,500,000"
20,Donald Thomas,Guard,2013-2016 (FA: 2017),27,4,"$14,000,000","$3,500,000"
27,Doug Free,Right Tackle,2013-2014 (FA: 2015),28,2,"$7,000,000","$3,500,000"
38,Tyson Clabo,Right Tackle,2013-2013 (FA: 2014),31,1,"$3,500,000","$3,500,000"
29,Harvey Dahl,Guard,2013-2014 (FA: 2015),31,2,"$6,750,000","$3,375,000"
30,Bryant McKinnie,Left Tackle,2013-2014 (FA: 2015),33,2,"$6,500,000","$3,250,000"
21,Chance Warmack,Guard,2013-2016 (FA: 2017),21,4,"$12,166,652","$3,041,663"
22,D.J. Fluker,Guard,2013-2017 (FA: 2018),22,4,"$11,402,498","$2,850,625"
77,Ryan Lilja,Center,2013-2013 (FA: 2014),31,1,"$2,171,875","$2,171,875"
25,Justin Pugh,Guard,2013-2017 (FA: 2018),22,4,"$8,345,898","$2,086,475"
26,Kyle Long,Guard,2013-2017 (FA: 2018),24,4,"$8,300,952","$2,075,238"
79,Brian De La Puente,Center,2013-2013 (FA: 2014),27,1,"$2,023,000","$2,023,000"
79,Austin Howard,Right Tackle,2013-2013 (FA: 2014),25,1,"$2,023,000","$2,023,000"
79,Fernando Velasco,Guard,2013-2013 (FA: 2014),28,1,"$2,023,000","$2,023,000"
82,Max Starks,Left Tackle,2013-2013 (FA: 2014),31,1,"$2,000,000","$2,000,000"
37,King Dunlap,Left Tackle,2013-2014 (FA: 2015),27,2,"$3,700,000","$1,850,000"
32,Ramon Foster,Guard,2013-2015 (FA: 2016),27,3,"$5,500,000","$1,833,333"
85,Brandon Moore,Guard,2013-2013 (FA: 2014),33,1,"$1,750,000","$1,750,000"
28,Travis Frederick,Center,2013-2017 (FA: 2018),22,4,"$6,870,028","$1,717,507"
34,Nate Garner,Right Tackle,2013-2015 (FA: 2016),28,3,"$4,875,000","$1,625,000"
31,John Greco,Guard,2013-2017 (FA: 2018),28,4,"$6,420,000","$1,605,000"
87,Lance Louis,Guard,2013-2013 (FA: 2014),27,1,"$1,603,750","$1,603,750"
39,Manuel Ramirez,Guard,2013-2015 (FA: 2016),30,2,"$3,150,000","$1,575,000"
36,Demar Dotson,Right Tackle,2013-2016 (FA: 2017),27,3,"$4,500,000","$1,500,000"
41,Leroy Harris,Center,2013-2013 (FA: 2014),28,2,"$3,000,000","$1,500,000"
90,Brad Meester,Center,2013-2013 (FA: 2014),35,1,"$1,500,000","$1,500,000"
90,Robert Turner,Center,2013-2013 (FA: 2014),28,1,"$1,500,000","$1,500,000"
90,Brian Waters,Guard,2013-2013 (FA: 2014),36,1,"$1,500,000","$1,500,000"
43,Corey Hilliard,Right Tackle,2013-2014 (FA: 2015),27,2,"$2,880,000","$1,440,000"
185,Chris Williams,Guard,2013-2013 (FA: 2014),27,1,"$1,376,154","$1,376,154"
48,Phil Costa,Center,2013-2014 (FA: 2015),25,2,"$2,700,000","$1,350,000"
187,Jason Fox,Right Tackle,2013-2013 (FA: 2014),24,1,"$1,323,000","$1,323,000"
187,Evan Smith,Center,2013-2013 (FA: 2014),26,1,"$1,323,000","$1,323,000"
187,Jeff Linkenbach,Right Tackle,2013-2013 (FA: 2014),25,1,"$1,323,000","$1,323,000"
187,Chris Clark,Left Tackle,2013-2013 (FA: 0),27,1,"$1,323,000","$1,323,000"
54,Garrett Reynolds,Guard,2013-2014 (FA: 2015),25,2,"$2,587,500","$1,293,750"
191,Chad Rinehart,Guard,2013-2013 (FA: 2014),27,1,"$1,250,000","$1,250,000"
191,Eric Winston,Right Tackle,2013-2013 (FA: 2014),29,1,"$1,250,000","$1,250,000"
57,Adam Snyder,Guard,2013-2014 (FA: 2015),31,2,"$2,450,000","$1,225,000"
35,Menelik Watson,Right Tackle,2013-2016 (FA: 2017),24,4,"$4,794,852","$1,198,713"
195,Willie Colon,Guard,2013-2013 (FA: 2014),29,1,"$1,162,500","$1,162,500"
196,Travelle Wharton,Guard,2013-2013 (FA: 2014),32,1,"$1,100,000","$1,100,000"
82,Tyler Polumbus,Left Tackle,2013-2014 (FA: 2015),27,2,"$2,000,000","$1,000,000"
82,Doug Legursky,Center,2013-2013 (FA: 2014),26,2,"$2,000,000","$1,000,000"
206,Will Svitek,Left Tackle,2013-2013 (FA: 2014),30,1,"$1,000,000","$1,000,000"
206,David Diehl,Right Tackle,2013-2013 (FA: 2014),32,1,"$1,000,000","$1,000,000"
208,Andre Gurode,Center,2013-2013 (FA: 2014),34,1,"$990,000","$990,000"
209,Khalif Barnes,Left Tackle,2013-2013 (FA: 2014),30,1,"$915,000","$915,000"
209,Dan Koppen,Center,2013-2013 (FA: 2014),33,1,"$915,000","$915,000"
212,Joe Berger,Guard,2013-2013 (FA: 2014),30,1,"$905,000","$905,000"
212,Jeremy Trueblood,Right Tackle,2013-2013 (FA: 2014),29,1,"$905,000","$905,000"
212,Chris Spencer,Guard,2013-2013 (FA: 2014),31,1,"$905,000","$905,000"
212,Stephen Peterman,Guard,2013-2013 (FA: 2014),31,1,"$905,000","$905,000"
212,Kevin Boothe,Guard,2013-2013 (FA: 2014),29,1,"$905,000","$905,000"
212,Dylan Gandy,Guard,2013-2013 (FA: 2014),31,1,"$905,000","$905,000"
252,Jeremy Trueblood,Right Tackle,2013-2013 (FA: 2014),30,1,"$840,000","$840,000"
252,Sean Locklear,Tackle,2013-2013 (FA: 2014),32,1,"$840,000","$840,000"
252,Winston Justice,Left Tackle,2013-2013 (FA: 2014),29,1,"$840,000","$840,000"
252,Tony Pashos,Right Tackle,2013-2013 (FA: 2014),32,1,"$840,000","$840,000"
252,D'Anthony Batiste,Guard,2013-2013 (FA: 2014),31,1,"$840,000","$840,000"
