rank,player-name,rank-position,year signed,age,year 2,value,average/year
2,Taylor Lewan,Left Tackle,2018-2023 (FA: 2024),27,5,"$80,000,000","$16,000,000"
5,Nate Solder,Left Tackle,2018-2021 (FA: 2022),29,4,"$62,000,000","$15,500,000"
3,Jake Matthews,Left Tackle,2018-2023 (FA: 2024),26,5,"$72,500,000","$14,500,000"
1,Zack Martin,Guard,2018-2024 (FA: 2025),27,6,"$84,000,000","$14,000,000"
4,Andrew Norwell,Guard,2018-2021 (FA: 2022),26,5,"$66,500,000","$13,300,000"
11,Duane Brown,Left Tackle,2018-2021 (FA: 2022),32,3,"$34,500,000","$11,500,000"
9,Ryan Jensen,Center,2018-2021 (FA: 2022),26,4,"$42,000,000","$10,500,000"
6,Weston Richburg,Center,2018-2022 (FA: 2023),26,5,"$47,500,000","$9,500,000"
7,Shaq Mason,Guard,2018-2023 (FA: 2024),24,5,"$45,000,000","$9,000,000"
8,Justin Pugh,Guard,2018-2022 (FA: 2023),27,5,"$44,775,000","$8,955,000"
12,Rob Havenstein,Right Tackle,2018-2022 (FA: 2023),26,4,"$32,500,000","$8,125,000"
20,Mike Pouncey,Center,2018-2019 (FA: 2020),28,2,"$15,000,000","$7,500,000"
10,Chris Hubbard,Tackle,2018-2021 (FA: 2022),26,5,"$36,500,000","$7,300,000"
13,Zach Fulton,Guard,2018-2021 (FA: 2022),26,4,"$28,000,000","$7,000,000"
14,Spencer Long,Center,2018-2021 (FA: 2022),27,4,"$27,400,000","$6,850,000"
22,Josh Sitton,Guard,2018-2019 (FA: 2020),31,2,"$13,500,000","$6,750,000"
15,Josh Kline,Guard,2018-2021 (FA: 2022),28,4,"$26,000,000","$6,500,000"
16,Quenton Nelson,Guard,2018-2022 (FA: 2023),22,4,"$23,888,907","$5,972,227"
19,Laken Tomlinson,Guard,2018-2021 (FA: 2022),26,3,"$16,500,000","$5,500,000"
30,John Sullivan,Center,2018-2019 (FA: 2020),32,2,"$10,750,000","$5,375,000"
20,Patrick Omameh,Right Tackle,2018-2020 (FA: 2021),28,3,"$15,000,000","$5,000,000"
43,Jonathan Cooper,Guard,2018-2018 (FA: 2019),28,1,"$4,950,000","$4,950,000"
17,Mike McGlinchey,Right Tackle,2018-2022 (FA: 2023),23,4,"$18,341,721","$4,585,430"
18,James Hurst,Right Tackle,2018-2021 (FA: 2022),26,4,"$17,500,000","$4,375,000"
24,Brandon Fusco,Guard,2018-2020 (FA: 2021),29,3,"$12,750,000","$4,250,000"
31,Cameron Erving,Tackle,2018-2020 (FA: 2021),26,2,"$8,279,219","$4,139,610"
25,Senio Kelemete,Guard,2018-2020 (FA: 2021),27,3,"$12,000,000","$4,000,000"
32,Andre Smith,Right Tackle,2018-2019 (FA: 2020),31,2,"$8,000,000","$4,000,000"
48,Seantrel Henderson,Right Tackle,2018-2018 (FA: 2019),26,1,"$4,000,000","$4,000,000"
27,Daniel Kilgore,Center,2018-2020 (FA: 2021),30,3,"$11,780,000","$3,926,667"
33,Garry Gilliam,Right Tackle,2018-2019 (FA: 2020),27,2,"$7,750,000","$3,875,000"
50,Austin Howard,Right Tackle,2018-2018 (FA: 2019),31,1,"$3,750,000","$3,750,000"
23,Kolton Miller,Left Tackle,2018-2021 (FA: 2023),22,4,"$13,471,324","$3,367,831"
61,Breno Giacomini,Right Tackle,2018-2018 (FA: 2019),32,1,"$3,015,000","$3,015,000"
38,Greg Mancz,Center,2018-2020 (FA: 2021),26,2,"$6,000,000","$3,000,000"
26,Frank Ragnow,Center,2018-2022 (FA: 2023),21,4,"$11,780,140","$2,945,035"
28,Billy Price,Guard,2018-2021 (FA: 2022),23,4,"$11,712,491","$2,928,123"
62,Ben Garland,Center,2018-2018 (FA: 2019),29,1,"$2,914,000","$2,914,000"
62,Ty Nsekhe,Right Tackle,2018-2018 (FA: 2019),32,1,"$2,914,000","$2,914,000"
62,Matt Paradis,Center,2018-2018 (FA: 2019),28,1,"$2,914,000","$2,914,000"
62,Brett Jones,Center,2018-2018 (FA: 2019),26,1,"$2,914,000","$2,914,000"
62,Nick Easton,Guard,2018-2018 (FA: 2019),25,1,"$2,914,000","$2,914,000"
29,Isaiah Wynn,Tackle,2018-2022 (FA: 2023),21,4,"$11,441,903","$2,860,476"
40,Michael Schofield,Guard,2018-2019 (FA: 2020),27,2,"$5,000,000","$2,500,000"
40,Kenny Wiggins,Guard,2018-2019 (FA: 2020),29,2,"$5,000,000","$2,500,000"
40,Russell Bodine,Center,2018-2019 (FA: 2020),25,2,"$5,000,000","$2,500,000"
83,Matt Slauson,Guard,2018-2018 (FA: 2019),32,1,"$2,500,000","$2,500,000"
83,Benjamin Ijalana,Right Tackle,2018-2018 (FA: 2019),28,1,"$2,500,000","$2,500,000"
83,Donald Stephenson,Left Tackle,2018-2018 (FA: 2019),28,1,"$2,500,000","$2,500,000"
83,Cameron Fleming,Tackle,2018-2018 (FA: 2019),25,1,"$2,500,000","$2,500,000"
44,Austin Reiter,Center,2018-2020 (FA: 2021),27,2,"$4,500,000","$2,250,000"
46,Tyler Larsen,Center,2018-2020 (FA: 2021),27,2,"$4,300,000","$2,150,000"
48,Evan Smith,Center,2018-2019 (FA: 2020),31,2,"$4,000,000","$2,000,000"
88,A.Q. Shipley,Center,2018-2019 (FA: 2020),32,1,"$2,000,000","$2,000,000"
88,Billy Turner,Guard,2018-2018 (FA: 2019),26,1,"$2,000,000","$2,000,000"
90,Brent Qvale,Right Tackle,2018-2018 (FA: 2019),27,1,"$1,907,000","$1,907,000"
90,Greg Mancz,Center,2018-2018 (FA: 2019),25,1,"$1,907,000","$1,907,000"
90,Quinton Spain,Guard,2018-2018 (FA: 2019),26,1,"$1,907,000","$1,907,000"
34,Austin Corbett,Guard,2018-2021 (FA: 2022),22,4,"$7,568,000","$1,892,000"
35,Will Hernandez,Guard,2018-2021 (FA: 2022),22,4,"$7,450,744","$1,862,686"
36,Braden Smith,Right Tackle,2018-2021 (FA: 2022),22,4,"$7,193,690","$1,798,423"
37,James Daniels,Guard,2018-2021 (FA: 2022),20,4,"$6,950,160","$1,737,540"
186,Byron Bell,Right Tackle,2018-2018 (FA: 2019),29,1,"$1,600,000","$1,600,000"
187,Travis Swanson,Center,2018-2018 (FA: 2019),27,1,"$1,550,000","$1,550,000"
189,Shawn Lauvao,Guard,2018-2018 (FA: 2019),30,1,"$1,500,000","$1,500,000"
189,Marshall Newhouse,Right Tackle,2018-2018 (FA: 2019),29,1,"$1,500,000","$1,500,000"
189,J.R. Sweezy,Guard,2018-2018 (FA: 2019),29,1,"$1,500,000","$1,500,000"
189,D.J. Fluker,Guard,2018-2018 (FA: 2019),27,1,"$1,500,000","$1,500,000"
189,LaAdrian Waddle,Right Tackle,2018-2018 (FA: 2019),26,1,"$1,500,000","$1,500,000"
189,Jack Mewhort,Guard,2018-2018 (FA: 2019),26,1,"$1,500,000","$1,500,000"
195,Kevin Pamphile,Guard,2018-2018 (FA: 2019),27,1,"$1,400,000","$1,400,000"
39,Connor Williams,Guard,2018-2021 (FA: 2022),20,4,"$5,488,989","$1,372,247"
201,Sam Young,Left Tackle,2018-2018 (FA: 2019),30,1,"$1,315,000","$1,315,000"
202,Earl Watford,Guard,2018-2018 (FA: 2019),27,1,"$1,250,000","$1,250,000"
222,John Greco,Guard,2018-2018 (FA: 2019),32,1,"$1,105,000","$1,105,000"
222,Jermon Bushrod,Tackle,2018-2018 (FA: 2019),33,1,"$1,105,000","$1,105,000"
45,Brian O'Neill,Tackle,2018-2021 (FA: 2022),22,4,"$4,406,638","$1,101,660"
87,Joe Looney,Center,2018-2019 (FA: 2020),27,2,"$2,100,000","$1,050,000"
47,Brandon Parker,Tackle,2018-2021 (FA: 2022),22,4,"$4,095,336","$1,023,834"
273,Jermon Bushrod,Tackle,2018-2018 (FA: 2019),34,1,"$1,015,000","$1,015,000"
274,Bobby Hart,Right Tackle,2018-2018 (FA: 2019),23,1,"$1,005,000","$1,005,000"
275,Earl Watford,Guard,2018-2018 (FA: 2019),28,1,"$950,000","$950,000"
51,Geron Christian,Tackle,2018-2021 (FA: 2022),21,4,"$3,746,992","$936,748"
93,Derek Newton,Right Tackle,2018-2019 (FA: 2020),30,2,"$1,845,000","$922,500"
276,Andre Smith,Right Tackle,2018-2018 (FA: 2019),30,1,"$915,000","$915,000"
276,Zane Beadles,Guard,2018-2018 (FA: 2019),31,1,"$915,000","$915,000"
276,Chris Scott,Guard,2018-2018 (FA: 2019),30,1,"$915,000","$915,000"
276,Sam Young,Left Tackle,2018-2018 (FA: 2019),31,1,"$915,000","$915,000"
276,Austin Howard,Right Tackle,2018-2018 (FA: 2019),31,1,"$915,000","$915,000"
276,Chris Clark,Left Tackle,2018-2018 (FA: 2019),32,1,"$915,000","$915,000"
276,Joe Barksdale,Right Tackle,2018-2018 (FA: 2019),29,1,"$915,000","$915,000"
276,Michael Person,Guard,2018-2018 (FA: 2019),29,1,"$915,000","$915,000"
284,Tom Compton,Guard,2018-2018 (FA: 2019),28,1,"$900,000","$900,000"
52,Martinas Rankin,Tackle,2018-2021 (FA: 2022),23,4,"$3,546,268","$886,567"
285,Amini Silatolu,Guard,2018-2018 (FA: 2019),29,1,"$880,000","$880,000"
285,Tony Bergstrom,Center,2018-2018 (FA: 2019),31,1,"$880,000","$880,000"
285,Austin Pasztor,Tackle,2018-2018 (FA: 2019),27,1,"$880,000","$880,000"
285,Jordan Devey,Guard,2018-2018 (FA: 2019),30,1,"$880,000","$880,000"
285,Xavier Su'a-Filo,Guard,2018-2018 (FA: 2019),27,1,"$880,000","$880,000"
285,Marcus Martin,Guard,2018-2018 (FA: 2019),24,1,"$880,000","$880,000"
285,Dakota Dozier,Left Tackle,2018-2018 (FA: 2019),26,1,"$880,000","$880,000"
285,Wesley Johnson,Center,2018-2018 (FA: 2019),27,1,"$880,000","$880,000"
285,Luke Bowanko,Center,2018-2018 (FA: 2019),26,1,"$880,000","$880,000"
285,Cornelius Lucas,Left Tackle,2018-2018 (FA: 2019),26,1,"$880,000","$880,000"
285,Jonotthan Harrison,Center,2018-2018 (FA: 2019),26,1,"$880,000","$880,000"
285,Jeremiah Sirles,Guard,2018-2018 (FA: 2019),26,1,"$880,000","$880,000"
53,Orlando Brown Jr.,Tackle,2018-2021 (FA: 2022),22,4,"$3,491,720","$872,930"
54,Joseph Noteboom,Tackle,2018-2021 (FA: 2022),22,4,"$3,452,043","$863,011"
99,Austin Pasztor,Tackle,2018-2019 (FA: 2020),27,2,"$1,720,000","$860,000"
55,Chuks Okorafor,Tackle,2018-2021 (FA: 2022),20,4,"$3,407,364","$851,841"
297,Travis Swanson,Center,2018-2018 (FA: 2019),27,1,"$850,000","$850,000"
56,Alex Cappa,Guard,2018-2021 (FA: 2022),23,4,"$3,368,704","$842,176"
57,Mason Cole,Center,2018-2021 (FA: 2022),22,4,"$3,325,516","$831,379"
184,Greg Van Roten,Guard,2018-2019 (FA: 2020),27,2,"$1,660,000","$830,000"
185,Xavier Su'a-Filo,Guard,2018-2019 (FA: 2020),26,2,"$1,645,000","$822,500"
298,Matt Tobin,Guard,2018-2018 (FA: 2019),27,1,"$815,000","$815,000"
299,Adam Gettis,Guard,2018-2018 (FA: 2019),29,1,"$795,000","$795,000"
300,Don Barclay,Right Tackle,2018-2018 (FA: 2019),29,1,"$790,000","$790,000"
300,Jonathan Cooper,Guard,2018-2018 (FA: 2019),28,1,"$790,000","$790,000"
300,Brian Schwenke,Center,2018-2018 (FA: 2019),27,1,"$790,000","$790,000"
300,Oday Aboushi,Tackle,2018-2018 (FA: 2019),27,1,"$790,000","$790,000"
300,Matt Tobin,Guard,2018-2018 (FA: 2019),28,1,"$790,000","$790,000"
300,Patrick Omameh,Right Tackle,2018-2018 (FA: 2019),28,1,"$790,000","$790,000"
300,Michael Ola,Tackle,2018-2018 (FA: 2019),30,1,"$790,000","$790,000"
300,Greg Robinson,Left Tackle,2018-2018 (FA: 2019),25,1,"$790,000","$790,000"
300,Wesley Johnson,Center,2018-2018 (FA: 2019),27,1,"$790,000","$790,000"
300,Luke Bowanko,Center,2018-2018 (FA: 2019),27,1,"$790,000","$790,000"
300,Bryan Witzmann,Guard,2018-2018 (FA: 2019),28,1,"$790,000","$790,000"
300,Bryan Witzmann,Guard,2018-2018 (FA: 2019),28,1,"$790,000","$790,000"
300,Jeremiah Sirles,Guard,2018-2018 (FA: 2019),27,1,"$790,000","$790,000"
300,J'Marcus Webb,Right Tackle,2018-2018 (FA: 2019),29,1,"$790,000","$790,000"
300,Jeff Allen,Guard,2018-2018 (FA: 2019),28,1,"$790,000","$790,000"
300,Josh LeRibeus,Center,2018-2018 (FA: 2019),28,1,"$790,000","$790,000"
300,Gino Gradkowski,Center,2018-2018 (FA: 2019),29,1,"$790,000","$790,000"
300,Matt McCants,Right Tackle,2018-2018 (FA: 2019),28,1,"$790,000","$790,000"
300,Bryce Harris,Right Tackle,2018-2018 (FA: 2019),29,1,"$790,000","$790,000"
58,Brian Allen,Center,2018-2021 (FA: 2022),22,4,"$3,146,936","$786,734"
187,Taylor Hart,Tackle,2018-2019 (FA: 2020),26,2,"$1,550,000","$775,000"
59,Rick Leonard,Tackle,2018-2021 (FA: 2022),21,4,"$3,073,429","$768,357"
60,Will Richardson,Tackle,2018-2021 (FA: 2022),22,4,"$3,062,792","$765,698"
319,Ulrick John,Left Tackle,2018-2018 (FA: 2019),25,1,"$745,000","$745,000"
320,Andrew Tiller,Guard,2018-2018 (FA: 2019),27,1,"$705,000","$705,000"
320,Vinston Painter,Right Tackle,2018-2018 (FA: 2019),28,1,"$705,000","$705,000"
320,Zac Kerin,Guard,2018-2018 (FA: 2019),26,1,"$705,000","$705,000"
