rank,player-name,rank-position,year signed,age,year 2,value,average/year
1,D'Brickashaw Ferguson,Left Tackle,2010-2017 (FA: 2018),26,6,"$60,000,000","$10,000,000"
1,Trent Williams,Left Tackle,2010-2015 (FA: 2016),22,6,"$60,000,000","$10,000,000"
5,Marcus McNeill,Tackle,2010-2015 (FA: 2016),26,6,"$48,980,000","$8,163,333"
4,Jahri Evans,Guard,2010-2017 (FA: 2018),26,7,"$56,700,000","$8,100,000"
6,Russell Okung,Left Tackle,2010-2015 (FA: 2016),21,6,"$48,500,000","$8,083,333"
3,Nick Mangold,Center,2010-2017 (FA: 2018),25,8,"$57,400,000","$7,175,000"
7,Donald Penn,Right Tackle,2010-2015 (FA: 2016),26,6,"$41,700,000","$6,950,000"
14,Chad Clifton,Tackle,2010-2012 (FA: 2013),33,3,"$19,580,000","$6,526,667"
23,Brian Waters,Guard,2010-2011 (FA: 2012),32,2,"$11,200,000","$5,600,000"
8,Shawn Andrews,Guard,2010-2015 (FA: 2016),27,6,"$32,500,000","$5,416,667"
16,Jamal Williams,Tackle,2010-2012 (FA: 2013),33,3,"$16,000,000","$5,333,333"
9,Anthony Davis,Right Tackle,2010-2014 (FA: 2015),20,5,"$26,500,000","$5,300,000"
10,Eugene Amano,Center,2010-2014 (FA: 2015),27,5,"$26,247,000","$5,249,400"
12,Chris Kuper,Guard,2010-2015 (FA: 2016),27,5,"$25,000,000","$5,000,000"
13,Dominic Raiola,Center,2010-2013 (FA: 2014),30,4,"$20,000,000","$5,000,000"
15,Winston Justice,Left Tackle,2010-2013 (FA: 2014),25,4,"$18,150,000","$4,537,500"
11,Uche Nwaneri,Guard,2010-2015 (FA: 2016),25,6,"$25,101,000","$4,183,500"
26,Mark Tauscher,Tackle,2010-2011 (FA: 2012),32,2,"$8,262,500","$4,131,250"
21,Casey Rabach,Center,2010-2012 (FA: 2013),32,3,"$12,300,000","$4,100,000"
27,Flozell Adams,Tackle,2010-2011 (FA: 2012),35,2,"$7,500,000","$3,750,000"
36,Jammal Brown,Tackle,2010-2010 (FA: 2011),28,1,"$3,619,000","$3,619,000"
19,Rob Sims,Guard,2010-2014 (FA: 2015),26,4,"$14,200,000","$3,550,000"
24,Tony Pashos,Right Tackle,2010-2012 (FA: 2013),29,3,"$10,255,000","$3,418,333"
17,Mike Iupati,Guard,2010-2014 (FA: 2015),23,5,"$15,110,625","$3,022,125"
22,Wade Smith,Guard,2010-2013 (FA: 2014),28,4,"$12,000,000","$3,000,000"
25,Cornell Green,Tackle,2010-2012 (FA: 2013),33,3,"$9,000,000","$3,000,000"
18,Maurkice Pouncey,Center,2010-2014 (FA: 2015),21,5,"$14,807,250","$2,961,450"
31,Bobbie Williams,Guard,2010-2011 (FA: 2012),33,2,"$5,700,000","$2,850,000"
47,Alex Barron,Left Tackle,2010-2010 (FA: 2011),27,1,"$2,730,750","$2,730,750"
20,Bryan Bulaga,Right Tackle,2010-2014 (FA: 2015),20,5,"$13,245,000","$2,649,000"
51,Tyson Clabo,Right Tackle,2010-2010 (FA: 2011),28,1,"$2,521,000","$2,521,000"
51,Harvey Dahl,Guard,2010-2010 (FA: 2011),28,1,"$2,521,000","$2,521,000"
51,Willie Colon,Guard,2010-2010 (FA: 2011),26,1,"$2,521,000","$2,521,000"
27,Justin Smiley,Guard,2010-2012 (FA: 2013),28,3,"$7,500,000","$2,500,000"
27,Ryan Lilja,Center,2010-2012 (FA: 2013),28,3,"$7,500,000","$2,500,000"
54,Alan Faneca,Guard,2010-2010 (FA: 2011),33,1,"$2,500,000","$2,500,000"
57,Chris Spencer,Guard,2010-2010 (FA: 2011),28,1,"$2,420,000","$2,420,000"
58,Jared Gaither,Tackle,2010-2010 (FA: 2011),23,1,"$2,396,000","$2,396,000"
62,Casey Wiegmann,Center,2010-2010 (FA: 2011),36,1,"$2,000,000","$2,000,000"
80,Taitusi Lutui,Guard,2010-2010 (FA: 2011),26,1,"$1,759,000","$1,759,000"
80,Daryn Colledge,Guard,2010-2010 (FA: 2011),28,1,"$1,759,000","$1,759,000"
80,Nick Cole,Center,2010-2010 (FA: 2011),25,1,"$1,759,000","$1,759,000"
80,Rudy Niswanger,Center,2010-2010 (FA: 2011),27,1,"$1,759,000","$1,759,000"
80,Zach Strief,Right Tackle,2010-2010 (FA: 2011),26,1,"$1,759,000","$1,759,000"
80,Charlie Johnson,Guard,2010-2010 (FA: 2011),25,1,"$1,759,000","$1,759,000"
80,Ryan O'Callaghan,Tackle,2010-2010 (FA: 2011),26,1,"$1,759,000","$1,759,000"
39,Russ Hochstein,Guard,2010-2011 (FA: 2012),32,2,"$3,500,000","$1,750,000"
32,Rex Hadnot,Guard,2010-2012 (FA: 2013),27,3,"$5,200,000","$1,733,333"
87,Lyle Sendlein,Center,2010-2010 (FA: 2011),26,1,"$1,684,000","$1,684,000"
87,Marshal Yanda,Guard,2010-2010 (FA: 2011),25,1,"$1,684,000","$1,684,000"
87,Stephon Heyer,Tackle,2010-2010 (FA: 2011),25,1,"$1,684,000","$1,684,000"
87,Clifton Ryan,Tackle,2010-2010 (FA: 2011),25,1,"$1,684,000","$1,684,000"
87,Jeromey Clary,Guard,2010-2010 (FA: 2011),26,1,"$1,684,000","$1,684,000"
87,Jermon Bushrod,Tackle,2010-2010 (FA: 2011),25,1,"$1,684,000","$1,684,000"
33,Jeremy Bridges,Guard,2010-2012 (FA: 2013),29,3,"$4,900,000","$1,633,333"
34,Artis Hicks,Guard,2010-2012 (FA: 2013),31,3,"$4,805,000","$1,601,667"
30,Rodger Saffold,Guard,2010-2013 (FA: 2014),21,4,"$6,173,000","$1,543,250"
95,Logan Mankins,Guard,2010-2010 (FA: 2011),28,1,"$1,540,000","$1,540,000"
46,Montrae Holland,Guard,2010-2011 (FA: 2012),29,2,"$2,750,000","$1,375,000"
97,Richie Incognito,Guard,2010-2010 (FA: 2011),26,1,"$1,350,000","$1,350,000"
103,Wayne Hunter,Tackle,2010-2010 (FA: 2011),28,1,"$1,231,000","$1,231,000"
108,Duke Preston,Guard,2010-2010 (FA: 2011),27,1,"$1,226,000","$1,226,000"
108,Daniel Loper,Tackle,2010-2010 (FA: 2011),28,1,"$1,226,000","$1,226,000"
108,David Baas,Center,2010-2010 (FA: 2011),28,1,"$1,226,000","$1,226,000"
108,Evan Mathis,Guard,2010-2010 (FA: 2011),28,1,"$1,226,000","$1,226,000"
118,Langston Walker,Tackle,2010-2010 (FA: 2011),30,1,"$1,200,000","$1,200,000"
120,Quinn Ojinnaka,Tackle,2010-2010 (FA: 2011),25,1,"$1,176,000","$1,176,000"
120,Chris Chester,Guard,2010-2010 (FA: 2011),26,1,"$1,176,000","$1,176,000"
120,Pat McQuistan,Right Tackle,2010-2010 (FA: 2011),26,1,"$1,176,000","$1,176,000"
120,Jeremy Trueblood,Right Tackle,2010-2010 (FA: 2011),27,1,"$1,176,000","$1,176,000"
120,Max Jean-Giles,Guard,2010-2010 (FA: 2011),26,1,"$1,176,000","$1,176,000"
120,Tony Moll,Tackle,2010-2010 (FA: 2011),26,1,"$1,176,000","$1,176,000"
120,Jason Spitz,Guard,2010-2010 (FA: 2011),27,1,"$1,176,000","$1,176,000"
120,Rashad Butler,Left Tackle,2010-2010 (FA: 2011),26,1,"$1,176,000","$1,176,000"
120,Kevin Boothe,Guard,2010-2010 (FA: 2011),26,1,"$1,176,000","$1,176,000"
120,Guy Whimper,Guard,2010-2010 (FA: 2011),26,1,"$1,176,000","$1,176,000"
120,Ryan Cook,Center,2010-2010 (FA: 2011),26,1,"$1,176,000","$1,176,000"
120,Dylan Gandy,Guard,2010-2010 (FA: 2011),27,1,"$1,176,000","$1,176,000"
133,Chris Morris,Center,2010-2010 (FA: 2011),-,1,"$1,101,000","$1,101,000"
35,Zane Beadles,Guard,2010-2013 (FA: 2014),23,4,"$4,321,000","$1,080,250"
