rank,player-name,rank-position,year signed,age,year 2,value,average/year
3,Jason Peters,Left Tackle,2009-2014 (FA: 2015),27,4,"$51,450,000","$12,862,500"
1,Jason Smith,Left Tackle,2009-2014 (FA: 2015),22,5,"$61,750,000","$12,350,000"
2,Jordan Gross,Left Tackle,2009-2013 (FA: 2014),28,6,"$56,400,000","$9,400,000"
8,Jason Brown,Guard,2009-2013 (FA: 2014),25,5,"$37,500,000","$7,500,000"
4,Chris Snee,Guard,2009-2014 (FA: 2015),26,6,"$42,500,000","$7,083,333"
5,Vernon Carey,Tackle,2009-2014 (FA: 2015),27,6,"$42,000,000","$7,000,000"
5,Andre Smith,Right Tackle,2009-2012 (FA: 2013),22,6,"$42,000,000","$7,000,000"
12,Max Starks,Left Tackle,2009-2012 (FA: 2013),27,4,"$26,300,000","$6,575,000"
7,Stacy Andrews,Guard,2009-2014 (FA: 2015),27,6,"$38,500,000","$6,416,667"
9,Eric Winston,Right Tackle,2009-2013 (FA: 2014),24,5,"$30,000,000","$6,000,000"
10,Jake Grove,Center,2009-2013 (FA: 2014),29,5,"$29,500,000","$5,900,000"
11,Derrick Dockery,Guard,2009-2013 (FA: 2014),28,5,"$26,500,000","$5,300,000"
13,Eugene Monroe,Left Tackle,2009-2013 (FA: 2014),21,5,"$26,250,000","$5,250,000"
20,Orlando Pace,Tackle,2009-2011 (FA: 2012),33,3,"$15,000,000","$5,000,000"
15,Jon Stinchcomb,Tackle,2009-2013 (FA: 2014),29,5,"$22,500,000","$4,500,000"
24,Jeff Saturday,Center,2009-2011 (FA: 2012),33,3,"$13,300,000","$4,433,333"
16,Chris Kemoeatu,Guard,2009-2013 (FA: 2014),26,5,"$20,000,000","$4,000,000"
17,Brandon Moore,Guard,2009-2012 (FA: 2013),28,4,"$16,000,000","$4,000,000"
17,Nick Kaczur,Tackle,2009-2012 (FA: 2013),29,4,"$16,000,000","$4,000,000"
26,Matt Birk,Center,2009-2011 (FA: 2012),32,3,"$12,000,000","$4,000,000"
14,Marc Colombo,Tackle,2009-2015 (FA: 2016),30,7,"$26,087,059","$3,726,723"
25,Geoff Hangartner,Guard,2009-2011 (FA: 2012),26,4,"$13,000,000","$3,250,000"
19,Cooper Carlisle,Guard,2009-2013 (FA: 2014),31,5,"$15,100,000","$3,020,000"
20,Stephen Peterman,Guard,2009-2013 (FA: 2014),27,5,"$15,000,000","$3,000,000"
22,Alex Mack,Center,2009-2013 (FA: 2014),23,5,"$14,600,000","$2,920,000"
27,Frank Omiyale,Tackle,2009-2012 (FA: 2013),26,4,"$11,500,000","$2,875,000"
42,Donald Penn,Right Tackle,2009-2009 (FA: 2010),25,1,"$2,792,000","$2,792,000"
42,Jahri Evans,Guard,2009-2009 (FA: 2010),25,1,"$2,792,000","$2,792,000"
23,Michael Oher,Right Tackle,2009-2013 (FA: 2014),22,5,"$13,495,000","$2,699,000"
48,Chris Kuper,Guard,2009-2009 (FA: 2010),27,1,"$2,521,000","$2,521,000"
29,Brad Meester,Center,2009-2012 (FA: 2013),31,4,"$10,000,000","$2,500,000"
32,Casey Wiegmann,Center,2009-2010 (FA: 2011),35,2,"$4,700,000","$2,350,000"
31,Tra Thomas,Left Tackle,2009-2011 (FA: 2012),34,3,"$6,950,000","$2,316,667"
55,Willie Colon,Guard,2009-2009 (FA: 2010),25,1,"$2,198,000","$2,198,000"
35,Ray Willis,Tackle,2009-2010 (FA: 2010),26,2,"$4,000,000","$2,000,000"
30,Eric Wood,Center,2009-2013 (FA: 0),23,5,"$9,335,000","$1,867,000"
75,Nick Cole,Center,2009-2009 (FA: 2010),24,1,"$1,545,000","$1,545,000"
75,Rudy Niswanger,Center,2009-2009 (FA: 2010),26,1,"$1,545,000","$1,545,000"
75,Zach Strief,Right Tackle,2009-2009 (FA: 2010),25,1,"$1,545,000","$1,545,000"
75,Tyson Clabo,Right Tackle,2009-2009 (FA: 2010),27,1,"$1,545,000","$1,545,000"
75,Harvey Dahl,Guard,2009-2009 (FA: 2010),27,1,"$1,545,000","$1,545,000"
34,Erik Pears,Right Tackle,2009-2011 (FA: 2012),26,3,"$4,500,000","$1,500,000"
28,Jamaal Jackson,Center,2009-2013 (FA: 2014),28,8,"$10,170,000","$1,271,250"
91,Khalif Barnes,Left Tackle,2009-2009 (FA: 2010),26,1,"$1,200,000","$1,200,000"
91,Tony Pashos,Right Tackle,2009-2009 (FA: 2010),28,1,"$1,200,000","$1,200,000"
95,Mark Tauscher,Tackle,2009-2009 (FA: 2010),31,1,"$1,191,667","$1,191,667"
33,Eben Britton,Right Tackle,2009-2012 (FA: 2013),21,4,"$4,580,000","$1,145,000"
54,Duke Preston,Guard,2009-2010 (FA: 2011),26,2,"$2,200,000","$1,100,000"
98,Ryan Tucker,Tackle,2009-2009 (FA: 2010),33,1,"$1,100,000","$1,100,000"
39,Dan Connolly,Guard,2009-2009 (FA: 2010),26,3,"$3,160,000","$1,053,333"
100,Rob Sims,Guard,2009-2009 (FA: 2010),25,1,"$1,010,000","$1,010,000"
100,Richie Incognito,Guard,2009-2009 (FA: 2010),25,1,"$1,010,000","$1,010,000"
100,Rashad Butler,Left Tackle,2009-2009 (FA: 2010),25,1,"$1,010,000","$1,010,000"
59,Floyd Womack,Guard,2009-2010 (FA: 2011),30,2,"$2,000,000","$1,000,000"
104,Daniel Loper,Tackle,2009-2009 (FA: 2010),27,1,"$1,000,000","$1,000,000"
63,Trai Essex,Tackle,2009-2010 (FA: 2011),26,2,"$1,926,000","$963,000"
36,Max Unger,Center,2009-2012 (FA: 2013),23,4,"$3,706,000","$926,500"
44,Joe Berger,Guard,2009-2011 (FA: 2012),26,3,"$2,775,000","$925,000"
105,Langston Walker,Tackle,2009-2009 (FA: 2010),29,1,"$900,000","$900,000"
37,Andy Levitre,Guard,2009-2012 (FA: 2013),23,4,"$3,560,000","$890,000"
107,Tony Wragge,Guard,2009-2009 (FA: 2010),29,1,"$885,000","$885,000"
38,Phillip Loadholt,Right Tackle,2009-2012 (FA: 2013),22,4,"$3,425,000","$856,250"
45,Kendall Simmons,Guard,2009-2011 (FA: 2012),29,3,"$2,555,000","$851,667"
108,Jeremy Newberry,Center,2009-2009 (FA: 2010),33,1,"$845,000","$845,000"
74,Brett Romberg,Center,2009-2010 (FA: 2011),29,2,"$1,600,000","$800,000"
40,William Beatty,Left Tackle,2009-2012 (FA: 2013),24,4,"$3,133,200","$783,300"
41,Sebastian Vollmer,Right Tackle,2009-2012 (FA: 2013),25,4,"$3,105,000","$776,250"
80,Adam Goldberg,Guard,2009-2010 (FA: 2011),28,2,"$1,520,000","$760,000"
109,Levi Jones,Tackle,2009-2009 (FA: 2010),29,1,"$745,000","$745,000"
109,Russ Hochstein,Guard,2009-2009 (FA: 2010),31,1,"$745,000","$745,000"
52,Mark LeVoir,Tackle,2009-2011 (FA: 2012),26,3,"$2,225,000","$741,667"
58,Kirk Chambers,Guard,2009-2011 (FA: 2012),30,3,"$2,070,000","$690,000"
116,Seth McKinney,Guard,2009-2009 (FA: 2010),29,1,"$670,000","$670,000"
117,Billy Yates,Guard,2009-2009 (FA: 2010),28,1,"$650,000","$650,000"
46,Antoine Caldwell,Guard,2009-2012 (FA: 2013),22,4,"$2,554,250","$638,563"
47,Louis Vasquez,Guard,2009-2012 (FA: 2013),22,4,"$2,550,000","$637,500"
83,Marcus Johnson,Tackle,2009-2010 (FA: 2011),27,2,"$1,250,000","$625,000"
118,Duke Preston,Guard,2009-2009 (FA: 2010),27,1,"$620,000","$620,000"
118,Jeremy Bridges,Guard,2009-2009 (FA: 2010),28,1,"$620,000","$620,000"
118,Eric Ghiaciuc,Center,2009-2009 (FA: 2010),27,1,"$620,000","$620,000"
118,Scott Kooistra,Tackle,2009-2009 (FA: 2010),28,1,"$620,000","$620,000"
118,Nick Leckey,Center,2009-2009 (FA: 2010),26,1,"$620,000","$620,000"
118,Kendall Simmons,Guard,2009-2009 (FA: 2010),29,1,"$620,000","$620,000"
118,Scott Young,Guard,2009-2009 (FA: 2010),27,1,"$620,000","$620,000"
118,Evan Mathis,Guard,2009-2009 (FA: 2010),27,1,"$620,000","$620,000"
118,Dylan Gandy,Guard,2009-2009 (FA: 2010),26,1,"$620,000","$620,000"
118,Jordan Black,Tackle,2009-2009 (FA: 2010),28,1,"$620,000","$620,000"
118,Mike Williams,Tackle,2009-2009 (FA: 2010),28,1,"$620,000","$620,000"
49,Robert Brewster,Tackle,2009-2012 (FA: 2013),23,4,"$2,402,600","$600,650"
73,Kraig Urbik,Guard,2009-2011 (FA: 2012),23,3,"$1,780,000","$593,333"
97,Will Svitek,Left Tackle,2009-2009 (FA: 2010),27,2,"$1,165,000","$582,500"
50,Jonathan Luigs,Center,2009-2012 (FA: 2013),22,4,"$2,259,020","$564,755"
51,T.J. Lang,Guard,2009-2012 (FA: 2013),21,4,"$2,252,500","$563,125"
53,Rich Ohrnberger,Center,2009-2012 (FA: 2013),23,4,"$2,201,000","$550,250"
56,Seth Olsen,Guard,2009-2012 (FA: 2013),23,4,"$2,164,120","$541,030"
57,Tyronne Green,Guard,2009-2012 (FA: 2013),23,4,"$2,159,250","$539,813"
129,Chris Morris,Center,2009-2009 (FA: 2010),-,1,"$535,000","$535,000"
129,D'Anthony Batiste,Guard,2009-2009 (FA: 2010),26,1,"$535,000","$535,000"
