rank,player-name,rank-position,year signed,age,year 2,value,average/year
1,Steve Hutchinson,Guard,2006-2012 (FA: 2013),28,7,"$49,000,000","$7,000,000"
3,Levi Jones,Tackle,2006-2011 (FA: 2012),26,6,"$39,000,000","$6,500,000"
4,Jeff Backus,Tackle,2006-2011 (FA: 2012),28,6,"$38,000,000","$6,333,333"
5,D'Brickashaw Ferguson,Left Tackle,2006-2010 (FA: 2011),22,6,"$37,500,000","$6,250,000"
2,Shawn Andrews,Guard,2006-2012 (FA: 2013),23,7,"$41,790,000","$5,970,000"
6,Brian Waters,Guard,2006-2011 (FA: 2012),28,6,"$26,500,000","$4,416,667"
7,Shane Olivea,Guard,2006-2011 (FA: 2012),24,6,"$23,825,000","$3,970,833"
14,Zach Wiegert,Tackle,2006-2009 (FA: 2010),33,4,"$14,500,000","$3,625,000"
8,Dan Koppen,Center,2006-2011 (FA: 2012),26,6,"$21,073,000","$3,512,167"
10,Jason Peters,Left Tackle,2006-2010 (FA: 2011),23,5,"$16,500,000","$3,300,000"
11,Reggie Wells,Guard,2006-2010 (FA: 2011),25,5,"$15,000,000","$3,000,000"
11,Kyle Kosier,Guard,2006-2010 (FA: 2011),27,5,"$15,000,000","$3,000,000"
11,Scott Wells,Center,2006-2011 (FA: 2012),25,5,"$15,000,000","$3,000,000"
16,Milford Brown,Guard,2006-2009 (FA: 2010),25,4,"$12,000,000","$3,000,000"
9,Nick Hardwick,Center,2006-2011 (FA: 2012),24,6,"$17,525,000","$2,920,833"
18,Bobbie Williams,Guard,2006-2009 (FA: 2010),29,4,"$11,000,000","$2,750,000"
23,Seth McKinney,Guard,2006-2007 (FA: 2008),26,2,"$5,000,000","$2,500,000"
20,Will Shields,Guard,2006-2009 (FA: 2010),34,4,"$9,870,000","$2,467,500"
15,Roberto Garza,Center,2006-2011 (FA: 2012),26,6,"$14,000,000","$2,333,333"
17,Davin Joseph,Guard,2006-2010 (FA: 2011),22,5,"$11,275,000","$2,255,000"
19,Nick Mangold,Center,2006-2010 (FA: 2011),22,5,"$10,518,000","$2,103,600"
21,Jeremy Bridges,Guard,2006-2008 (FA: 2009),25,3,"$6,100,000","$2,033,333"
24,Mike Williams,Tackle,2006-2007 (FA: 2008),25,2,"$4,000,000","$2,000,000"
61,Derrick Dockery,Guard,2006-2006 (FA: 2007),25,1,"$1,573,000","$1,573,000"
61,Kris Dielman,Guard,2006-2006 (FA: 2007),24,1,"$1,573,000","$1,573,000"
61,Tony Pashos,Right Tackle,2006-2006 (FA: 2007),25,1,"$1,573,000","$1,573,000"
28,Kyle Turley,Left Tackle,2006-2007 (FA: 2008),30,2,"$3,085,000","$1,542,500"
66,Andre Gurode,Center,2006-2006 (FA: 2007),26,1,"$1,500,000","$1,500,000"
34,Jonathan Goodwin,Center,2006-2007 (FA: 2008),27,2,"$2,700,000","$1,350,000"
22,Rich Seubert,Guard,2006-2009 (FA: 2010),26,4,"$5,215,000","$1,303,750"
25,Winston Justice,Left Tackle,2006-2009 (FA: 2010),21,4,"$3,710,000","$927,500"
26,Taitusi Lutui,Guard,2006-2009 (FA: 2010),23,4,"$3,595,000","$898,750"
60,Stockar McDougle,Guard,2006-2007 (FA: 2008),28,2,"$1,605,000","$802,500"
27,Ryan Cook,Center,2006-2009 (FA: 2010),23,4,"$3,116,385","$779,096"
91,Anthony Clement,Tackle,2006-2006 (FA: 2007),29,1,"$750,000","$750,000"
29,Andrew Whitworth,Left Tackle,2006-2009 (FA: 2010),24,4,"$2,965,000","$741,250"
30,Chris Chester,Guard,2006-2009 (FA: 2010),23,4,"$2,920,000","$730,000"
31,Daryn Colledge,Guard,2006-2009 (FA: 2010),24,4,"$2,915,000","$728,750"
92,Scott Kooistra,Tackle,2006-2006 (FA: 2007),25,1,"$721,600","$721,600"
92,Vince Manuwai,Guard,2006-2006 (FA: 2007),25,1,"$721,600","$721,600"
92,Wayne Hunter,Tackle,2006-2006 (FA: 2007),24,1,"$721,600","$721,600"
92,Montrae Holland,Guard,2006-2006 (FA: 2007),25,1,"$721,600","$721,600"
32,Jeremy Trueblood,Right Tackle,2006-2009 (FA: 2010),23,4,"$2,840,000","$710,000"
33,Marcus McNeill,Tackle,2006-2009 (FA: 2010),22,4,"$2,839,000","$709,750"
96,Jason Whittle,Guard,2006-2006 (FA: 2007),30,1,"$695,000","$695,000"
97,Chad Slaughter,Tackle,2006-2006 (FA: 2007),27,1,"$685,000","$685,000"
35,Claude Wroten,Tackle,2006-2009 (FA: 2010),22,4,"$2,415,000","$603,750"
36,Paul McQuistan,Left Tackle,2006-2009 (FA: 2010),23,4,"$2,405,000","$601,250"
37,Jason Spitz,Guard,2006-2009 (FA: 2010),23,4,"$2,352,250","$588,063"
99,Cornell Green,Tackle,2006-2006 (FA: 2007),29,1,"$585,000","$585,000"
38,Charles Spencer,Tackle,2006-2009 (FA: 2010),25,4,"$2,220,000","$555,000"
39,Eric Winston,Right Tackle,2006-2009 (FA: 2010),22,4,"$2,218,000","$554,500"
81,Brett Romberg,Center,2006-2007 (FA: 2008),26,2,"$1,095,000","$547,500"
40,Max Jean-Giles,Guard,2006-2009 (FA: 2010),22,4,"$2,085,500","$521,375"
64,Rashad Butler,Left Tackle,2006-2008 (FA: 2009),23,3,"$1,559,975","$519,992"
65,Dominique Byrd,Tackle,2006-2008 (FA: 2009),22,3,"$1,546,000","$515,333"
102,Scott Peters,Center,2006-2006 (FA: 2007),18,1,"$515,000","$515,000"
41,Isaac Sowells,Guard,2006-2009 (FA: 2010),24,4,"$2,054,000","$513,500"
42,Joe Toledo,Tackle,2006-2009 (FA: 2010),23,4,"$2,046,750","$511,688"
43,Guy Whimper,Guard,2006-2009 (FA: 2010),23,4,"$1,995,000","$498,750"
67,Jahri Evans,Guard,2006-2008 (FA: 2009),22,3,"$1,426,300","$475,433"
68,Michael Toudouze,Tackle,2006-2008 (FA: 2009),23,3,"$1,404,000","$468,000"
69,Rob Sims,Guard,2006-2008 (FA: 2009),22,3,"$1,389,000","$463,000"
70,Willie Colon,Guard,2006-2008 (FA: 2009),22,3,"$1,363,500","$454,500"
44,Quinn Ojinnaka,Tackle,2006-2009 (FA: 2010),22,4,"$1,790,500","$447,625"
45,Brad Butler,Tackle,2006-2009 (FA: 2010),22,4,"$1,785,000","$446,250"
46,DeMario Minter,Center,2006-2009 (FA: 2010),22,4,"$1,780,500","$445,125"
47,Chris Kuper,Guard,2006-2009 (FA: 2010),23,4,"$1,765,000","$441,250"
48,Ryan O'Callaghan,Tackle,2006-2009 (FA: 2010),23,4,"$1,755,500","$438,875"
49,Tony Moll,Tackle,2006-2009 (FA: 2010),22,4,"$1,755,000","$438,750"
50,Kevin Boothe,Guard,2006-2009 (FA: 2010),23,4,"$1,711,000","$427,750"
51,Jeromey Clary,Guard,2006-2009 (FA: 2010),22,4,"$1,703,000","$425,750"
103,Adam Goldberg,Guard,2006-2006 (FA: 2007),25,1,"$425,000","$425,000"
103,Jeb Terry,Guard,2006-2006 (FA: 2007),25,1,"$425,000","$425,000"
52,Charlie Johnson,Guard,2006-2009 (FA: 2010),22,4,"$1,692,300","$423,075"
53,Tyler Reed,Guard,2006-2009 (FA: 2010),23,4,"$1,691,470","$422,868"
54,Dan Stevenson,Guard,2006-2009 (FA: 2010),23,4,"$1,682,000","$420,500"
55,Pat McQuistan,Right Tackle,2006-2009 (FA: 2010),22,4,"$1,669,000","$417,250"
56,Terrance Pennington,Tackle,2006-2009 (FA: 2010),22,4,"$1,666,900","$416,725"
57,Jimmy Martin,Center,2006-2009 (FA: 2010),23,4,"$1,658,750","$414,688"
58,Kili Lefotu,Guard,2006-2009 (FA: 2010),22,4,"$1,644,590","$411,148"
71,Jonathan Scott,Left Tackle,2006-2008 (FA: 2009),23,3,"$1,213,000","$404,333"
59,Ben Wilkerson,Center,2006-2009 (FA: 2010),23,4,"$1,615,000","$403,750"
89,Chris Myers,Center,2006-2007 (FA: 2008),24,2,"$785,000","$392,500"
89,Rob Petitti,Tackle,2006-2007 (FA: 2008),23,2,"$785,000","$392,500"
72,Tre Stallings,Guard,2006-2008 (FA: 2009),23,3,"$1,151,250","$383,750"
73,Marvin Philip,Center,2006-2008 (FA: 2009),24,3,"$1,139,150","$379,717"
74,Zach Strief,Right Tackle,2006-2008 (FA: 2009),22,3,"$1,125,390","$375,130"
75,Chris Morris,Center,2006-2008 (FA: 2009),0,3,"$1,122,555","$374,185"
76,Fred Matua,Guard,2006-2008 (FA: 2009),22,3,"$1,121,600","$373,867"
77,Will Montgomery,Center,2006-2008 (FA: 2009),22,3,"$1,113,500","$371,167"
78,Mark Setterstrom,Guard,2006-2008 (FA: 2009),22,3,"$1,109,000","$369,667"
79,Tony Palmer,Guard,2006-2008 (FA: 2009),23,3,"$1,108,900","$369,633"
80,Aaron Merz,Guard,2006-2008 (FA: 2009),22,3,"$1,106,400","$368,800"
82,Nick Cole,Center,2006-2008 (FA: 2009),21,3,"$1,084,000","$361,333"
83,Pat McCoy,Tackle,2006-2008 (FA: 2009),25,3,"$1,083,500","$361,167"
84,Rudy Niswanger,Center,2006-2008 (FA: 2009),23,3,"$1,080,000","$360,000"
84,Stefan Rodgers,Tackle,2006-2008 (FA: 2009),24,3,"$1,080,000","$360,000"
84,D'Anthony Batiste,Guard,2006-2008 (FA: 2009),23,3,"$1,080,000","$360,000"
98,Donald Penn,Right Tackle,2006-2007 (FA: 2008),23,2,"$635,000","$317,500"
88,Erik Pears,Right Tackle,2006-2007 (FA: 2008),23,3,"$935,000","$311,667"
100,Tyson Clabo,Right Tackle,2006-2007 (FA: 2008),24,2,"$545,000","$272,500"
100,Erik Pears,Right Tackle,2006-2007 (FA: 2008),23,2,"$545,000","$272,500"
87,Greg Eslinger,Center,2006-2009 (FA: 2010),23,4,"$1,059,500","$264,875"
