player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Charles Woodson,330,S,OAK,16,12,6.6,72.3,97.6,16.5,11.9,0,2,4,8.5,23,63.3,65.4,90.2,76.2,63.6,62.0,4,48,15.9,10,4,0,93.6,34,610,625,14,41,47,3,512,355,0.9,15.1
John Abraham,591,ED,ARZ,1,0,,,13.0,,,0,0,0,,1,60.4,54.7,70.5,47.9,66.7,69.9,0,,,0,0,0,0.0,0,3,23,0,0,0,0,0,0,0.0,
Justin Smith,776,DI,SF,16,1,,,0.5,,,0,0,0,,28,67.0,72.9,62.4,55.8,84.6,69.8,0,,0.0,0,0,2,0.0,0,2,441,6,2,0,0,0,0,0.0,
Julius Peppers,1010,ED,GB,18,2,4.5,50.0,7.0,18.0,9.0,1,1,1,25.0,12,83.9,81.6,77.6,81.4,59.2,39.0,2,7,44.4,4,1,3,16.7,2,39,559,12,3,4,0,12,11,0.3,6.0
Dwight Freeney,1019,ED,SD,16,0,5.0,100.0,3.3,12.0,12.0,0,0,0,0.0,27,61.3,60.9,53.5,69.7,43.5,23.7,0,35,100.0,3,0,3,118.8,1,14,422,4,0,1,0,35,30,2.9,35.0
Larry Foote,1126,LB,ARZ,16,4,3.7,82.5,69.5,8.6,7.1,0,0,1,1.6,1,36.9,41.0,46.1,48.1,55.6,41.6,1,39,33.3,14,1,3,123.1,52,479,689,12,24,63,4,634,443,1.4,12.2
Brett Keisel,1204,DI,PIT,12,0,,,2.0,,,1,0,0,,25,72.5,59.9,66.0,56.0,62.0,66.6,1,,40.0,2,0,1,0.0,0,6,295,1,3,0,0,0,0,0.0,
Ryan Clark,1229,S,WAS,16,5,7.9,65.4,95.8,32.4,21.2,0,0,2,7.7,32,50.3,42.9,39.5,33.8,35.2,45.7,1,16,12.7,7,2,2,75.6,17,591,617,11,43,26,1,139,69,0.3,8.2
James Harrison,1251,ED,PIT,12,0,1.4,100.0,23.0,14.0,14.0,0,0,0,0.0,25,68.5,81.7,69.8,80.3,71.0,75.9,0,13,0.0,0,0,2,130.4,5,72,313,8,8,5,1,29,22,0.4,5.8
Terence Newman,1321,CB,CIN,14,4,12.2,57.1,99.6,9.3,5.3,1,5,8,8.2,7,58.7,62.2,70.2,55.5,77.7,68.2,1,46,6.6,4,8,8,79.8,56,546,548,16,53,98,2,647,148,1.2,11.6
Kevin Williams,1325,DI,SEA,19,0,1.5,50.0,4.0,10.0,5.0,0,0,0,0.0,29,58.8,63.7,86.9,58.6,63.7,57.4,0,11,33.3,2,0,0,66.7,1,11,277,3,4,2,0,11,9,1.1,11.0
Terrell Suggs,1326,ED,BLT,18,1,0.3,50.0,9.7,19.7,9.8,1,0,1,16.7,3,82.1,77.9,24.4,69.9,82.1,72.7,1,9,20.0,2,1,9,17.4,3,63,652,18,7,6,0,19,17,0.3,6.3
Troy Polamalu,1332,S,PIT,13,6,9.0,71.4,90.7,26.5,19.0,0,0,1,4.8,25,69.5,68.0,0.0,72.5,76.5,60.2,0,56,18.8,6,1,6,114.8,15,431,475,5,20,21,1,188,89,0.5,12.5
Calvin Pace,1334,ED,NYJ,16,1,2.3,66.7,43.7,13.5,9.0,0,1,2,8.3,22,73.2,68.5,60.3,53.3,75.5,68.6,0,35,7.7,1,2,4,74.8,16,227,519,9,11,24,0,99,92,0.5,6.2
Charles Tillman,1351,CB,CHI,2,0,12.1,77.8,98.1,6.9,5.3,0,1,1,11.1,6,68.6,67.4,80.4,68.5,46.5,83.2,0,22,0.0,0,1,0,97.2,7,51,52,4,8,9,0,66,9,1.4,9.4
Rashean Mathis,1355,CB,DET,17,5,10.1,61.1,99.7,11.9,7.3,2,0,4,4.4,11,80.3,79.4,69.5,58.3,66.4,62.4,1,49,13.5,7,4,8,85.3,55,706,708,14,40,90,3,558,238,0.9,10.1
Osi Umenyiora,1371,ED,ATL,16,0,2.0,100.0,1.4,4.0,4.0,0,0,0,0.0,2,36.3,58.7,83.2,61.8,61.9,39.4,0,49,60.0,3,0,1,118.8,1,4,296,3,2,1,0,49,47,12.3,49.0
Cory Redding,1381,DI,IND,19,2,-2.0,0.0,0.7,,4.0,1,0,0,0.0,14,75.2,58.3,36.3,58.7,57.5,60.8,0,,28.6,2,0,5,39.6,0,4,538,8,3,1,0,0,0,0.0,
Lance Briggs,1383,LB,CHI,8,5,4.7,74.3,88.2,9.1,6.7,0,0,2,5.7,6,54.4,63.0,76.1,55.6,73.9,54.2,1,56,17.6,3,2,0,118.0,26,247,280,4,9,35,3,314,191,1.3,12.1
Jarret Johnson,1421,ED,SD,15,4,1.6,50.0,46.7,16.0,8.0,0,0,0,0.0,27,70.6,66.8,72.2,50.2,69.0,73.7,0,37,12.5,2,0,1,69.3,7,120,257,4,10,14,0,86,96,0.8,12.3
Ike Taylor,1437,CB,PIT,5,1,13.1,76.9,100.0,6.9,5.3,2,1,2,7.7,25,39.8,39.1,0.0,,61.9,39.0,0,81,17.6,3,2,3,157.2,20,149,149,4,13,26,4,321,116,2.3,16.1
Chris Clemons,1585,ED,JAX,16,2,-2.0,100.0,3.8,19.0,19.0,4,0,0,0.0,15,67.2,58.7,25.9,60.3,59.3,47.2,0,4,14.3,1,0,8,83.3,1,19,505,10,4,1,0,4,6,0.2,4.0
Cullen Jenkins,1637,DI,NYG,12,0,,,1.2,,,0,0,0,,21,60.5,64.5,85.7,70.3,50.8,52.3,0,,60.0,3,0,1,0.0,0,3,241,2,2,0,0,0,0,0.0,
DeAngelo Hall,1729,CB,WAS,3,2,16.2,83.3,98.9,17.2,14.3,0,0,0,0.0,32,50.6,50.9,0.0,58.6,83.6,76.1,0,26,10.0,1,0,1,118.8,5,92,93,1,7,6,0,76,18,0.9,15.2
D.J. Williams,1738,LB,CHI,12,1,5.5,79.2,95.6,9.9,7.9,0,0,0,0.0,6,41.6,50.0,34.3,58.9,63.5,74.0,0,46,15.8,3,0,1,118.2,19,194,203,6,15,24,1,217,131,1.1,11.4
Vince Wilfork,1742,DI,NE,19,0,,,0.2,,,0,0,0,,19,63.5,60.4,79.8,45.6,72.7,46.9,1,,60.0,3,0,1,0.0,0,1,537,2,2,0,0,0,0,0.0,
Jason Babin,1748,ED,NYJ,16,0,7.3,66.7,16.2,25.0,16.7,1,0,1,33.3,22,71.3,72.8,19.6,65.5,79.8,80.9,0,13,0.0,0,1,6,82.6,2,53,327,5,3,3,0,18,10,0.4,9.0
