player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Brandon Browner,2512,CB,SEA,14,2,12.0,55.3,99.8,12.2,6.8,2,0,6,7.9,29,72.5,73.9,17.8,53.4,84.7,59.4,3,43,8.5,4,6,7,77.6,42,538,539,9,41,76,4,517,152,1.0,12.3
Chris Carr,2526,CB,SD,1,0,,,100.0,,,0,0,0,,27,61.6,62.4,67.8,,60.0,,0,,,0,0,0,0.0,0,2,2,0,0,0,0,0,0,0.0,
Heath Farwell,2588,LB,SEA,3,1,3.0,100.0,100.0,12.5,12.5,0,0,0,0.0,29,69.8,75.1,72.6,,68.7,82.5,0,10,0.0,0,0,0,97.9,2,25,25,1,2,2,0,15,9,0.6,7.5
Jim Leonhard,2694,S,DEN,17,0,11.6,75.0,94.2,32.2,24.1,0,0,0,0.0,10,79.1,79.5,80.9,47.4,68.3,81.7,2,24,11.1,1,0,1,103.1,6,210,223,3,8,8,1,74,32,0.4,12.3
Ray Ventrone,2824,CB,CLV,3,0,,,100.0,,,0,0,0,,8,62.3,63.6,70.6,,60.0,,0,,,0,0,0,0.0,0,12,12,0,0,0,0,0,0,0.0,
Dimitri Patterson,2868,CB,MIA,9,1,9.5,59.3,97.2,8.4,5.0,1,0,3,5.1,17,63.9,66.8,12.7,86.8,79.5,83.4,0,28,3.6,1,3,3,98.4,35,313,322,8,26,59,4,344,98,1.2,9.8
Ahmad Brooks,2945,ED,SF,19,1,4.0,76.9,18.3,12.7,9.8,1,0,0,0.0,28,75.7,78.5,38.9,73.3,76.2,68.2,1,24,26.7,4,0,6,61.4,10,133,725,14,10,13,0,85,50,0.7,8.5
Mario Williams,2946,ED,BUF,16,0,,,1.1,,,0,0,0,,4,62.1,74.9,69.7,69.6,71.4,54.0,0,,0.0,0,0,2,0.0,0,6,541,12,2,0,0,0,0,0.0,
A.J. Hawk,2950,LB,GB,18,6,5.9,80.0,80.4,10.8,8.6,0,0,0,0.0,12,59.6,69.9,90.4,55.7,76.1,85.6,0,50,5.6,2,0,1,124.4,28,325,404,12,28,35,2,325,173,1.1,11.6
Michael Huff,2952,CB,OAK,16,6,10.6,53.3,98.9,11.1,5.9,0,0,9,10.0,23,65.0,68.6,88.3,42.2,80.3,56.8,2,64,15.0,6,9,0,92.4,48,554,560,9,28,90,6,710,303,1.3,14.8
Donte Whitner,2953,S,SF,19,12,9.9,77.8,99.5,17.5,13.6,0,0,4,7.4,28,57.7,59.8,69.7,50.6,64.3,72.7,1,41,10.5,8,4,1,130.6,42,778,782,8,56,54,12,416,120,0.6,9.9
Ernie Sims,2954,LB,DAL,10,1,5.0,63.6,88.1,11.2,7.1,0,0,0,0.0,9,51.2,48.2,33.8,78.0,46.3,68.6,0,29,15.4,2,0,1,97.0,14,171,194,3,10,22,1,141,69,0.9,10.1
