player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Charles Woodson,330,S,OAK,16,3,7.8,78.9,96.4,19.6,15.4,0,0,3,7.9,23,71.3,73.2,84.0,70.6,73.2,62.3,1,51,14.1,9,3,0,119.2,30,620,643,16,52,38,3,339,144,0.6,11.3
London Fletcher,424,LB,WAS,16,7,4.7,73.8,89.2,14.1,10.4,0,0,2,4.8,32,63.4,45.3,74.3,58.2,29.4,54.3,0,24,14.3,6,2,3,109.8,31,454,509,9,29,42,2,306,230,0.7,9.9
Champ Bailey,442,CB,DEN,8,1,9.4,65.7,96.5,9.2,6.1,0,0,3,8.6,10,66.2,63.4,83.8,45.1,47.5,50.0,0,37,12.0,3,3,0,96.1,23,223,231,4,21,35,1,250,109,1.2,10.9
John Abraham,591,ED,ARZ,16,1,4.3,50.0,13.4,36.0,18.0,0,0,1,25.0,1,80.7,77.3,64.6,76.5,61.4,76.6,0,15,28.6,2,1,3,63.5,2,76,569,12,4,4,0,19,9,0.3,9.5
Paris Lenon,751,LB,DEN,12,0,5.9,78.6,92.4,11.5,9.1,0,0,1,7.1,10,28.8,37.6,81.7,72.6,60.1,44.1,0,27,18.2,2,1,1,100.9,11,134,145,1,9,14,0,115,68,0.9,10.5
Justin Smith,776,DI,SF,19,0,,,0.7,,,0,0,0,,28,63.1,62.9,68.1,62.6,60.2,71.4,0,,66.7,2,0,2,0.0,0,4,562,7,1,0,0,0,0,0.0,
Andre Carter,779,ED,NE,11,0,1.0,100.0,3.0,5.0,5.0,0,0,0,0.0,19,59.4,56.7,82.3,52.7,67.8,72.0,0,2,0.0,0,0,0,79.2,1,5,164,3,1,1,0,2,1,0.4,2.0
Ryan Pickett,799,DI,GB,17,0,,,2.2,,,0,0,0,,12,60.4,61.6,85.5,48.1,67.1,78.4,0,,,0,0,0,0.0,0,5,230,0,0,0,0,0,0,0.0,
Julius Peppers,1010,ED,CHI,16,0,-7.0,0.0,4.6,,22.0,0,0,0,0.0,6,65.3,65.6,56.6,67.2,58.9,55.4,1,,40.0,2,0,3,0.0,0,22,479,8,3,1,0,0,0,0.0,
Quentin Jammer,1013,CB,DEN,11,0,13.8,61.5,99.4,10.2,6.3,0,0,3,11.5,10,65.3,67.7,32.4,59.0,86.3,85.2,0,49,0.0,0,3,3,132.9,16,175,176,4,13,26,4,249,46,1.5,15.6
Dwight Freeney,1019,ED,SD,4,0,2.0,100.0,7.3,9.0,9.0,0,0,0,0.0,27,48.8,67.2,80.9,77.0,46.8,70.6,0,13,0.0,0,0,0,118.8,1,9,123,1,1,1,0,13,11,1.4,13.0
Edward Reed,1031,S,NYJ,14,6,11.6,85.7,96.4,59.8,51.3,1,0,1,14.3,22,44.9,48.2,13.8,40.3,69.9,69.1,3,64,14.8,4,1,2,118.8,6,378,392,1,17,7,1,136,63,0.4,22.7
Will Witherspoon,1079,LB,SL,7,0,4.5,90.9,89.6,5.7,5.2,0,0,0,0.0,26,62.4,63.8,70.7,63.0,62.5,83.2,1,24,0.0,0,0,0,89.8,10,60,67,3,5,11,1,81,36,1.4,8.1
Larry Foote,1126,LB,PIT,1,0,,,56.5,,,0,0,0,,25,65.2,44.8,79.4,54.6,41.9,32.6,0,,,0,0,0,0.0,0,13,23,0,0,0,0,0,0,0.0,
Brett Keisel,1204,DI,PIT,12,2,,,1.3,,,0,0,0,,25,57.9,56.8,84.7,61.4,51.7,69.4,0,,16.7,1,0,0,0.0,0,4,312,6,3,0,0,0,0,0.0,
Ryan Clark,1229,S,PIT,16,4,12.8,62.5,97.8,40.4,25.3,0,0,1,4.2,25,67.9,67.2,66.9,50.2,66.4,72.1,2,61,13.6,6,1,2,101.4,15,630,644,1,34,24,3,244,132,0.4,16.3
James Harrison,1251,LB,CIN,16,0,1.9,90.0,37.0,9.2,8.3,0,0,0,0.0,7,75.4,78.5,17.9,57.3,88.9,65.5,1,22,15.4,2,0,2,58.3,9,88,238,6,11,10,0,75,58,0.9,8.3
Terence Newman,1321,CB,CIN,13,0,12.8,60.0,100.0,10.6,6.4,1,0,6,7.5,7,71.6,72.5,87.8,,68.2,52.8,2,43,12.0,6,6,5,86.0,48,535,535,11,44,80,3,612,208,1.2,12.8
