player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Charles Woodson,330,S,OAK,16,4,11.1,63.2,99.3,56.3,35.5,0,3,4,21.1,23,92.1,90.1,85.9,53.3,60.1,54.0,5,40,16.7,8,4,0,47.1,12,732,737,6,36,19,0,146,66,0.2,12.2
Julius Peppers,1010,ED,GB,18,2,1.8,100.0,9.5,10.4,10.4,1,0,0,0.0,12,51.1,63.8,62.3,73.9,47.9,48.1,0,14,33.3,4,0,3,140.4,5,52,546,15,6,5,1,41,33,0.8,8.2
Dwight Freeney,1019,ED,ARZ,13,0,-1.0,100.0,3.2,9.0,9.0,0,0,0,0.0,1,46.2,77.7,89.1,77.2,56.7,59.7,0,41,100.0,2,0,0,118.8,1,9,277,8,0,1,0,41,42,4.6,41.0
James Harrison,1251,ED,PIT,17,1,4.0,71.4,27.1,11.6,8.3,0,1,1,7.1,25,79.5,86.0,37.6,81.2,77.9,69.4,1,15,27.3,3,1,5,48.2,10,124,458,10,7,14,0,55,45,0.5,5.5
Terence Newman,1321,CB,MIN,17,4,11.4,60.6,99.7,10.3,6.2,0,1,12,12.8,18,64.9,68.2,87.4,68.3,75.0,67.6,3,72,10.4,5,9,5,85.9,57,623,625,7,39,94,4,731,233,1.2,12.8
Terrell Suggs,1326,ED,BLT,1,0,,,20.6,,,0,0,0,,3,75.1,62.5,77.6,64.3,44.8,,0,,,0,0,0,0.0,0,7,34,0,0,0,0,0,0,0.0,
Calvin Pace,1334,ED,NYJ,16,0,3.4,63.6,24.6,10.0,6.4,0,0,1,9.1,22,62.5,64.0,75.5,60.4,63.5,56.5,0,14,40.0,2,1,1,78.2,7,74,301,3,3,11,0,61,33,0.9,8.7
Charles Tillman,1351,CB,CAR,12,3,13.7,52.2,98.8,13.2,6.9,0,1,5,7.5,5,58.1,62.6,60.4,68.4,84.7,74.6,2,48,7.1,3,5,2,69.5,35,484,490,5,36,67,1,504,133,1.1,14.4
Rashean Mathis,1355,CB,DET,7,2,8.3,80.0,99.2,7.4,6.0,0,0,3,7.5,11,62.5,63.6,85.9,54.7,64.7,68.8,1,50,7.7,2,2,1,107.6,32,248,250,9,22,40,1,413,173,1.7,12.9
Cory Redding,1381,DI,ARZ,11,0,,,0.9,,,1,0,0,,1,68.1,65.7,21.4,55.2,62.7,26.5,1,,100.0,1,0,2,0.0,0,1,116,0,0,0,0,0,0,0.0,
