player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Antonio Smith,1856,DI,HST,15,0,,,0.5,,,0,0,0,,13,60.0,49.4,39.6,59.3,43.8,71.8,0,,100.0,1,0,2,0.0,0,1,220,0,0,0,0,0,0,0.0,
Mike Adams,1972,S,IND,15,3,5.3,75.9,95.9,25.3,19.2,0,1,0,0.0,14,70.1,75.9,89.3,59.5,86.2,77.7,2,34,8.9,4,0,0,88.3,22,592,617,7,38,29,2,200,87,0.4,9.1
Adam Jones,2223,CB,CIN,16,3,9.8,67.1,99.7,11.9,8.0,1,2,6,7.6,7,72.0,71.4,30.3,54.0,73.1,55.3,1,41,16.4,10,5,8,91.6,53,672,674,7,48,79,3,498,189,0.8,9.4
DeMarcus Ware,2228,ED,DEN,10,0,4.0,100.0,4.5,10.0,10.0,2,0,0,0.0,10,53.6,64.5,13.0,68.4,66.1,60.3,0,20,0.0,0,0,4,118.8,1,10,220,4,1,1,0,20,16,2.0,20.0
Thomas Davis Sr.,2231,LB,CAR,16,6,4.2,79.0,85.0,8.7,6.9,0,1,0,0.0,5,60.5,66.4,49.9,89.9,60.8,71.6,3,42,11.3,7,0,2,107.5,64,579,681,17,49,81,6,614,399,1.1,9.6
Derrick Johnson,2232,LB,KC,13,5,2.6,78.4,92.9,15.7,12.3,0,0,3,8.1,16,82.8,70.5,88.7,50.5,51.4,47.5,1,30,16.7,6,3,0,92.0,29,487,524,10,25,37,1,245,197,0.5,8.4
Jonathan Babineaux,2276,DI,ATL,19,0,6.0,100.0,3.9,14.0,14.0,0,0,0,0.0,2,53.0,53.3,73.6,53.9,57.5,27.4,0,10,50.0,2,0,1,108.3,1,14,361,2,2,1,0,10,4,0.7,10.0
Trent Cole,2363,ED,IND,7,0,0.0,100.0,2.7,4.0,4.0,0,0,0,0.0,14,43.2,62.5,85.0,61.3,62.2,32.9,0,8,,0,0,0,100.0,1,4,147,2,0,1,0,8,8,2.0,8.0
Lorenzo Alexander,2476,ED,BUF,16,2,3.0,90.9,18.0,7.8,7.1,0,1,0,0.0,4,58.3,76.0,52.4,77.5,70.0,67.5,1,28,25.0,4,0,4,69.3,10,84,466,17,10,11,0,107,79,1.4,10.7
Ahmad Brooks,2945,ED,SF,16,0,5.8,90.0,21.3,11.1,10.0,3,1,1,10.0,28,63.2,59.6,23.6,56.1,68.2,47.9,0,31,40.0,4,1,8,111.7,9,105,493,8,6,10,0,108,74,1.1,12.0
Mario Williams,2946,ED,MIA,14,0,0.0,100.0,4.1,10.0,10.0,0,0,0,0.0,17,64.2,65.4,90.0,55.4,68.1,44.4,0,0,100.0,1,0,0,79.2,1,11,266,1,0,1,0,0,0,0.0,0.0
Donte Whitner,2953,S,WAS,11,3,7.2,78.8,97.5,12.5,9.8,0,0,1,3.0,32,52.8,57.2,49.2,50.1,70.5,86.1,0,47,6.7,2,0,1,129.8,26,347,356,2,25,33,2,340,213,1.0,13.1
Haloti Ngata,2957,DI,DET,14,2,8.0,100.0,2.9,4.5,4.5,0,0,0,0.0,11,53.5,58.7,63.5,52.8,69.1,45.2,0,12,33.3,2,0,2,147.9,2,11,373,3,2,2,1,20,5,2.2,10.0
Chad Greenway,2962,LB,MIN,15,2,3.6,72.0,89.8,8.4,6.0,0,0,0,0.0,18,41.9,54.8,82.1,56.4,67.0,48.9,1,27,17.6,3,0,0,98.8,18,158,176,7,12,25,2,160,117,1.1,8.9
Antonio Cromartie,2964,CB,IND,4,0,9.1,66.7,100.0,9.1,6.1,1,1,1,4.8,14,52.0,52.7,82.7,,55.6,68.0,0,44,0.0,0,1,5,107.8,14,138,138,1,13,21,1,173,78,1.4,12.4
Tamba Hali,2965,ED,KC,17,1,,,6.9,,,2,0,0,,16,78.0,77.8,50.2,72.7,72.8,85.2,0,,37.5,3,0,3,0.0,0,29,419,5,4,0,0,0,0,0.0,
Johnathan Joseph,2969,CB,HST,15,4,11.2,58.8,99.8,8.9,5.2,0,1,11,12.9,13,64.2,67.2,59.5,59.1,82.5,73.9,0,36,10.2,5,9,5,86.3,50,479,480,6,40,85,2,558,180,1.3,11.2
D'Qwell Jackson,2979,LB,IND,12,2,3.8,70.0,86.8,16.8,11.7,1,0,2,6.7,14,49.0,49.4,59.2,46.9,57.7,52.8,0,40,25.0,7,2,2,110.4,21,376,433,5,19,30,1,280,196,0.8,13.3
Roman Harper,2988,S,NO,11,1,6.7,80.0,86.1,14.0,11.2,0,0,1,6.7,20,55.4,50.2,0.0,43.6,58.1,52.1,0,24,21.4,3,1,3,108.3,12,174,202,1,10,15,0,150,78,0.9,12.5
Darryl Tapp,3008,ED,NO,15,0,,,1.3,,,0,0,0,,20,61.8,74.8,87.7,67.1,70.8,78.5,0,,0.0,0,0,0,0.0,0,2,156,2,2,0,0,0,0,0.0,
Frostee Rucker,3036,DI,ARZ,13,0,,,0.6,,,0,0,0,,1,62.8,56.3,64.8,57.3,55.0,45.7,0,,0.0,0,0,0,0.0,0,1,168,1,1,0,0,0,0,0.0,
Will Blackmon,3060,S,WAS,14,1,7.5,68.2,97.5,22.5,15.3,0,2,3,13.6,32,76.5,76.9,86.6,58.9,68.4,64.2,1,32,16.7,4,3,0,86.4,15,357,366,6,19,22,1,165,85,0.5,11.0
Stephen Tulloch,3061,LB,PHI,8,0,1.0,80.0,94.4,8.0,6.4,0,0,0,0.0,24,54.9,60.5,77.2,57.8,67.0,41.0,0,19,25.0,1,0,0,100.0,4,34,36,1,3,5,0,40,32,1.3,10.0
Domata Peko Sr.,3068,DI,CIN,16,1,,,0.7,,,0,0,0,,7,60.9,54.6,65.9,55.1,55.3,42.4,0,,50.0,3,0,2,0.0,0,2,306,2,2,0,0,0,0,0.0,
Kyle Williams,3079,DI,BUF,15,0,8.0,100.0,1.5,7.0,7.0,0,0,0,0.0,4,44.4,73.3,69.8,60.3,82.3,28.8,0,18,40.0,2,0,2,118.8,1,7,466,5,3,1,0,18,10,2.6,18.0
Rob Ninkovich,3080,ED,NE,15,2,3.9,76.2,32.9,6.9,5.3,0,0,2,9.5,19,58.8,61.3,89.6,55.9,63.9,28.9,0,22,40.0,6,2,0,108.6,16,120,365,8,7,21,1,137,84,1.2,8.6
Kedric Golston,3141,DI,WAS,2,0,,,11.1,,,0,0,0,,32,60.0,61.0,77.9,56.2,63.0,69.7,0,,,0,0,0,0.0,0,1,9,0,0,0,0,0,0,0.0,
Antoine Bethea,3152,S,SF,16,4,10.8,81.4,97.2,15.9,12.9,0,0,2,4.7,28,54.1,59.4,67.4,50.5,69.7,81.9,1,78,8.6,5,1,1,140.1,35,592,609,11,49,43,4,559,225,1.0,16.0
Tramon Williams,3558,CB,CLV,12,4,8.4,70.0,98.2,10.2,7.1,1,0,4,8.0,8,63.7,65.8,53.8,48.2,75.7,50.4,1,42,21.1,8,4,3,106.3,35,374,381,8,26,50,3,411,192,1.2,11.7
Brent Grimes,3589,CB,TB,16,5,13.6,54.9,99.8,11.4,6.3,2,4,18,19.8,30,87.4,88.6,87.2,60.0,83.4,86.7,4,40,4.4,2,14,4,75.8,50,608,609,7,38,91,5,610,160,1.1,12.2
Darrelle Revis,3630,CB,NYJ,15,3,12.3,66.7,100.0,10.8,7.2,1,0,5,6.9,22,62.3,63.8,65.5,,69.0,46.7,1,84,12.7,7,4,4,104.2,48,545,545,8,45,72,3,664,216,1.3,13.8
Lawrence Timmons,3631,LB,PIT,19,11,6.0,80.0,79.3,7.8,6.3,0,0,2,2.2,25,64.8,59.2,19.3,61.6,54.5,65.4,2,32,12.7,10,2,4,96.8,72,600,757,25,58,90,2,691,348,1.2,9.6
Leon Hall,3634,CB,NYG,13,2,3.8,78.4,94.4,10.5,8.2,0,0,2,5.4,21,65.4,65.6,84.7,63.1,58.6,59.4,1,55,18.5,5,1,0,99.0,29,323,342,8,20,37,1,307,208,1.0,10.6
Michael Griffin,3635,S,CAR,10,1,6.3,83.3,97.3,28.2,23.5,0,0,0,0.0,5,52.0,51.2,80.3,54.9,54.4,49.6,0,40,13.3,2,0,0,158.3,5,145,149,0,12,6,1,82,73,0.6,16.4
Reggie Nelson,3637,S,OAK,17,5,11.8,58.3,97.9,42.8,25.0,0,2,5,20.8,23,69.3,71.7,89.4,64.6,73.8,69.9,5,48,14.3,6,5,0,73.6,14,657,671,3,31,24,2,200,71,0.3,14.3
Paul Posluszny,3650,LB,JAX,16,7,4.5,74.1,86.6,12.3,9.1,0,1,2,3.4,15,82.6,82.0,88.2,69.9,70.6,68.9,1,44,9.5,6,2,0,91.4,43,558,644,23,50,58,1,403,244,0.8,9.4
Eric Weddle,3653,S,BLT,16,8,10.7,59.1,96.6,45.6,27.0,0,4,5,22.7,3,88.7,90.0,71.8,72.8,89.7,90.8,4,79,4.8,2,5,2,83.9,13,634,656,5,32,22,2,221,89,0.4,17.0
David Harris,3663,LB,NYJ,15,1,3.9,78.3,78.4,11.1,8.7,0,0,2,4.3,22,69.3,65.0,86.6,45.2,64.4,84.2,0,32,5.1,2,1,0,115.1,36,417,532,17,36,46,3,295,184,0.7,8.2
Justin Durant,3664,LB,DAL,14,4,6.0,81.5,92.9,8.5,7.0,0,1,1,3.7,9,55.5,54.6,0.0,77.1,59.7,80.0,0,38,0.0,0,1,4,109.7,22,208,224,9,19,27,0,279,172,1.5,12.7
Charles Johnson,3699,ED,CAR,13,2,2.5,100.0,8.6,7.3,7.3,0,0,0,0.0,5,64.7,78.0,56.3,70.3,78.7,66.0,0,12,0.0,0,0,3,129.2,4,31,361,9,6,4,1,22,14,0.8,5.5
Brian Robison,3718,ED,MIN,16,1,1.0,80.0,4.3,5.3,4.2,0,0,0,0.0,18,57.0,58.8,85.3,66.5,45.2,29.2,0,15,50.0,2,0,1,84.2,4,23,531,9,1,5,0,21,19,1.0,5.3
Dashon Goldson,3742,S,ATL,2,0,4.0,100.0,100.0,3.0,3.0,0,0,0,0.0,2,47.2,43.5,69.7,,60.0,22.9,0,14,100.0,1,0,0,118.8,1,3,3,0,0,1,0,14,10,4.7,14.0
Corey Graham,3784,S,BUF,16,6,12.0,60.6,95.0,26.9,16.3,0,1,6,18.2,4,67.9,69.8,90.2,59.4,69.9,56.4,1,25,17.1,7,6,0,98.0,20,569,599,5,28,33,3,220,133,0.4,11.0
William Gay,3786,CB,PIT,19,6,7.3,68.7,94.2,10.8,7.4,1,2,5,6.0,25,79.2,80.0,67.5,74.8,72.3,57.1,1,53,13.5,7,4,3,100.0,57,651,691,14,39,83,5,511,231,0.8,9.0
James Ihedigbo,4147,S,BUF,4,1,14.3,33.3,83.6,44.0,14.7,0,1,1,33.3,4,58.7,52.9,80.9,51.3,51.0,45.1,0,17,33.3,1,1,0,53.5,1,46,55,0,1,3,0,17,3,0.4,17.0
Chris Long,4316,ED,NE,19,0,3.3,91.7,9.4,4.3,3.9,0,1,0,0.0,19,45.2,63.7,67.8,63.0,68.1,46.1,0,18,40.0,6,0,2,103.1,11,50,532,8,9,12,0,105,69,2.2,9.5
Glenn Dorsey,4319,DI,SF,12,0,,,0.6,,,1,0,0,,28,50.1,44.4,53.7,49.4,48.9,33.0,0,,,0,0,2,0.0,0,1,171,1,0,0,0,0,0,0.0,
Leodis McKelvin,4325,CB,PHI,13,2,13.5,57.1,100.0,8.1,4.6,0,3,13,16.9,24,61.6,62.2,85.5,,60.3,41.8,2,80,16.7,6,11,1,113.0,44,373,373,4,28,77,7,809,274,2.3,18.4
Dominique Rodgers-Cromartie,4330,CB,NYG,16,0,12.7,55.2,95.3,10.1,5.6,1,2,14,16.1,21,90.6,90.2,86.7,56.1,70.2,62.3,6,67,15.0,6,12,2,56.0,48,509,534,10,34,87,2,606,312,1.3,12.6
Aqib Talib,4334,CB,DEN,13,1,11.2,53.0,99.8,13.5,7.2,2,1,10,15.2,10,89.8,88.9,39.7,60.0,80.1,74.2,3,26,8.6,3,10,6,49.5,35,514,515,8,31,66,0,351,126,0.7,10.0
Brandon Flowers,4349,CB,SD,6,1,8.2,60.9,97.6,8.3,5.0,1,1,4,8.7,27,65.6,71.3,82.5,91.2,79.9,80.8,1,48,4.5,1,4,1,82.2,28,240,246,6,20,46,1,344,187,1.5,12.3
Tracy Porter,4354,CB,CHI,16,1,12.2,63.9,99.7,10.1,6.4,0,0,5,6.0,6,46.0,49.4,87.9,57.3,64.1,29.7,2,57,13.6,6,5,5,99.4,53,574,576,6,37,83,4,759,250,1.4,14.3
Calais Campbell,4364,DI,ARZ,16,0,2.0,100.0,0.2,1.0,1.0,0,0,0,0.0,1,60.2,91.2,70.3,89.2,89.7,68.6,1,9,28.6,2,0,2,64.6,1,1,519,10,5,1,0,9,7,9.0,9.0
Jason Jones,4368,ED,MIA,14,2,0.4,80.0,8.8,7.0,5.6,1,0,0,0.0,17,66.7,50.8,30.0,56.6,48.6,83.1,0,25,0.0,0,0,4,91.7,4,29,329,8,7,5,0,30,30,1.1,7.5
Kendall Langford,4380,DI,IND,7,0,,,1.5,,,0,0,0,,14,58.6,44.1,85.7,51.6,40.5,42.3,0,,100.0,1,0,0,0.0,0,3,202,0,0,0,0,0,0,0.0,
Cliff Avril,4406,ED,SEA,18,1,13.5,50.0,3.8,18.0,9.0,0,0,0,0.0,29,44.7,66.3,56.3,75.3,54.5,30.0,0,53,60.0,3,0,6,95.8,1,22,576,15,1,2,0,53,45,2.9,53.0
Philip Wheeler,4407,LB,ATL,18,3,3.2,80.0,63.5,9.7,7.7,0,0,0,0.0,2,59.8,59.3,43.6,50.4,67.3,40.1,0,26,35.3,6,0,2,101.9,12,125,197,5,8,15,0,127,79,1.1,10.6
Tyvon Branch,4414,CB,ARZ,6,1,8.0,63.0,93.9,9.1,5.7,1,0,3,11.1,1,69.1,69.5,83.2,54.6,69.0,71.1,0,71,10.5,2,2,1,91.1,17,169,180,5,16,27,0,237,111,1.5,13.9
William Hayes,4417,ED,LA,14,0,,,0.6,,,0,0,0,,26,67.1,79.6,78.0,67.7,79.6,70.8,0,,20.0,1,0,1,0.0,0,2,326,8,4,0,0,0,0,0.0,
Dwight Lowery,4427,S,SD,16,0,9.7,65.1,97.8,21.2,13.8,0,1,7,16.3,27,73.1,67.9,68.2,50.5,54.3,64.8,1,45,7.9,3,7,2,89.6,28,626,640,5,35,43,1,363,153,0.6,13.0
Quintin Demps,4431,S,HST,14,4,10.0,60.9,98.4,29.1,17.7,0,1,2,8.7,13,83.1,86.1,89.8,64.2,82.9,73.5,6,52,13.0,3,2,1,67.2,14,437,444,5,16,23,2,138,35,0.3,9.9
Brandon Carr,4454,CB,DAL,17,3,12.6,60.6,99.7,11.8,7.2,1,2,12,12.1,9,63.7,64.0,90.3,55.7,58.2,56.3,1,61,10.5,6,6,3,101.0,60,749,751,8,48,99,5,850,255,1.2,14.2
Orlando Scandrick,4457,CB,DAL,13,1,9.4,71.2,92.2,9.2,6.6,1,2,5,7.6,9,69.9,67.9,14.0,55.5,70.8,63.9,1,45,13.6,6,4,5,95.3,47,458,497,10,37,66,2,477,189,1.1,10.1
Letroy Guion,4466,DI,GB,18,2,,,1.0,,,1,0,0,,12,55.7,61.1,22.5,50.2,74.9,68.8,0,,40.0,2,0,6,0.0,0,3,286,1,1,0,0,0,0,0.0,
Erik Walden,4481,ED,IND,16,1,3.8,90.0,23.5,11.8,10.6,0,0,0,0.0,14,48.6,51.9,67.4,59.6,48.7,47.4,0,32,10.0,1,0,3,152.1,9,110,468,14,8,10,1,125,86,1.2,13.9
Ahtyba Rubin,4504,DI,SEA,18,0,4.0,100.0,0.9,2.0,2.0,0,0,0,0.0,29,60.3,61.2,88.3,55.7,61.2,70.2,0,6,0.0,0,0,0,91.7,1,3,339,4,2,1,0,6,2,3.0,6.0
Wesley Woodyard,4583,LB,TEN,16,4,4.4,67.7,81.1,13.1,8.9,0,0,2,6.5,31,63.4,74.2,54.3,71.6,78.6,58.7,1,37,28.0,7,2,3,76.8,21,291,359,4,14,31,0,236,176,0.9,11.2
Leger Douzable,4654,DI,BUF,16,3,5.3,33.3,3.2,8.0,2.7,0,0,0,0.0,4,65.0,60.6,73.7,54.9,60.9,68.6,0,10,0.0,0,0,1,43.8,1,8,249,3,3,3,0,10,6,1.3,10.0
Erin Henderson,4656,LB,NYJ,5,4,3.6,80.0,72.3,7.9,6.3,0,0,0,0.0,22,48.4,42.3,82.2,50.2,46.8,67.6,0,16,0.0,0,0,0,97.9,8,68,94,0,6,10,0,75,62,1.2,9.4
Wallace Gilberry,4763,ED,CIN,9,1,,,0.5,,,0,0,0,,7,60.9,53.8,86.3,56.7,46.4,64.1,0,,25.0,1,0,0,0.0,0,1,203,3,2,0,0,0,0,0.0,
Jerrell Freeman,4888,LB,CHI,12,2,3.1,76.3,92.8,9.4,7.2,1,0,6,10.2,6,90.8,90.9,87.1,61.5,81.6,90.7,0,32,2.4,1,4,3,89.8,45,454,489,23,38,59,0,342,201,0.8,7.6
Cameron Wake,4907,ED,MIA,17,1,3.7,33.3,4.5,10.0,3.3,0,0,1,16.7,17,67.1,87.0,51.0,90.1,56.5,61.8,1,16,50.0,2,1,4,2.8,2,20,444,14,1,6,0,18,11,0.9,9.0
Brian Orakpo,4936,ED,TEN,16,0,2.8,92.3,24.1,11.6,10.7,0,0,0,0.0,31,71.5,72.6,81.4,72.8,57.0,74.8,0,20,20.0,3,0,1,120.2,12,143,594,16,12,13,1,87,58,0.6,7.3
Malcolm Jenkins,4937,S,PHI,16,8,6.6,69.1,93.3,12.1,8.3,1,4,7,10.3,24,74.7,74.5,68.6,55.4,73.1,54.6,3,37,17.6,9,6,5,103.5,47,600,643,13,34,68,7,455,260,0.8,9.7
Brian Cushing,4938,LB,HST,15,3,3.3,68.4,81.2,26.3,18.0,0,0,0,0.0,13,73.7,65.3,61.4,47.7,59.8,84.1,0,20,10.0,2,0,1,83.4,13,368,453,6,15,19,0,111,55,0.3,8.5
Robert Ayers,4941,ED,TB,12,0,1.0,100.0,1.9,3.5,3.5,1,0,0,0.0,30,58.2,72.9,79.1,75.4,59.3,56.9,0,47,50.0,2,0,1,118.8,2,7,378,8,2,2,0,50,48,7.1,25.0
Vontae Davis,4948,CB,IND,14,1,14.6,53.2,99.4,11.8,6.3,1,0,8,10.1,14,52.8,52.7,38.5,75.5,55.6,54.7,1,42,10.3,4,8,9,85.1,42,523,526,9,34,79,4,514,149,1.0,12.2
Clay Matthews,4949,ED,GB,15,0,5.2,100.0,7.5,5.2,5.2,1,1,1,16.7,12,49.6,58.7,60.3,66.3,49.1,47.4,0,14,0.0,0,1,3,109.0,6,32,425,6,3,6,0,61,30,2.0,10.2
Ziggy Hood,4955,DI,WAS,16,0,,,0.8,,,0,0,0,,32,70.8,51.2,67.4,52.2,50.3,58.8,0,,0.0,0,0,2,0.0,0,3,390,2,2,0,0,0,0,0.0,
Patrick Chung,4957,S,NE,19,9,8.8,68.2,96.0,11.7,8.0,3,1,5,5.7,19,48.3,54.4,87.8,52.2,65.5,72.6,1,31,11.7,7,5,3,100.8,60,742,773,14,44,88,4,664,250,0.9,11.1
James Laurinaitis,4958,LB,NO,3,1,11.9,75.0,82.3,16.3,12.3,0,0,1,12.5,20,46.4,33.9,80.8,57.0,30.3,60.0,0,34,22.2,2,1,0,116.7,6,107,130,1,6,8,0,116,51,1.2,19.3
Rey Maualuga,4961,LB,CIN,14,1,5.2,76.2,95.2,8.1,6.2,0,0,0,0.0,7,53.5,37.3,83.6,60.7,31.4,36.1,1,26,18.2,2,0,0,108.0,16,140,147,4,8,21,2,154,79,1.2,9.6
Darius Butler,4964,CB,IND,12,2,10.7,61.8,97.9,14.8,9.1,0,0,3,8.8,14,85.9,81.4,43.2,63.1,47.0,42.1,3,40,10.3,3,3,2,61.4,21,331,338,9,24,34,2,204,66,0.7,9.7
Jairus Byrd,4965,S,NO,16,8,10.3,71.0,96.9,24.3,17.3,0,0,0,0.0,20,70.5,70.2,88.4,53.4,68.3,85.4,2,34,6.5,4,0,0,78.8,22,565,583,9,50,31,1,251,82,0.5,11.4
Connor Barwin,4969,ED,PHI,16,0,,,2.0,,,0,0,0,,24,71.1,60.2,92.0,55.3,58.4,75.0,0,,30.0,3,0,0,0.0,0,9,456,8,7,0,0,0,0,0.0,
Mike Mitchell,4970,S,PIT,19,7,11.4,48.7,97.2,38.2,18.6,0,0,8,20.5,25,71.2,69.0,28.7,51.2,74.0,89.9,1,44,8.9,5,8,5,71.8,19,775,797,6,44,39,1,293,92,0.4,15.4
Paul Kruger,4980,ED,NO,15,1,4.0,100.0,3.8,6.5,6.5,1,0,0,0.0,20,73.8,62.4,67.4,58.7,61.7,56.5,0,9,37.5,3,0,2,91.7,2,13,339,4,4,2,0,12,4,0.9,6.0
Sean Smith,4984,CB,OAK,16,1,12.9,57.1,100.0,11.7,6.7,1,1,10,13.0,23,74.3,74.0,88.9,,64.9,60.9,2,98,9.4,3,10,4,114.0,44,561,561,8,28,77,8,749,308,1.5,17.0
Sen'Derrick Marks,4985,DI,JAX,16,1,,,1.1,,,0,0,0,,15,66.6,57.4,32.7,54.6,62.5,58.5,0,,12.5,1,0,4,0.0,0,4,361,9,6,0,0,0,0,0.0,
Michael Johnson,4993,ED,CIN,16,2,4.2,60.0,7.7,6.2,3.7,0,2,1,10.0,7,59.4,54.8,71.5,49.8,62.4,48.9,0,28,30.0,3,1,4,82.9,6,41,535,6,5,10,0,74,33,2.0,12.3
DeAndre Levy,4999,LB,DET,6,1,4.3,90.9,86.5,11.5,10.5,1,0,0,0.0,11,63.5,66.5,18.8,57.1,71.0,87.1,0,20,0.0,0,0,2,128.8,10,122,141,4,8,11,1,84,68,0.7,8.4
Roy Miller,5004,DI,JAX,6,0,,,1.3,,,0,0,0,,15,60.1,59.7,83.2,53.3,61.4,74.2,0,,,0,0,0,0.0,0,1,75,0,0,0,0,0,0,0.0,
Lardarius Webb,5011,S,BLT,16,4,10.0,68.6,98.2,25.0,17.1,0,2,5,14.3,3,82.0,81.7,84.5,62.4,79.0,72.7,1,28,13.1,8,4,1,81.7,24,637,649,9,49,35,1,209,79,0.3,8.7
Jerraud Powers,5015,CB,BLT,13,1,7.0,66.2,95.2,7.4,4.9,0,1,3,4.6,3,60.6,60.8,84.8,63.4,55.6,61.5,2,39,12.5,4,2,1,86.0,43,338,355,11,27,65,3,409,253,1.3,9.5
Rashad Johnson,5018,S,TEN,14,2,9.2,41.7,96.8,69.0,28.8,1,0,0,0.0,31,60.6,63.0,85.6,50.0,67.9,40.1,0,12,20.8,5,0,1,49.3,5,363,375,5,17,12,0,35,16,0.1,7.0
Glover Quin,5035,S,DET,17,6,9.4,71.4,98.4,24.7,17.7,0,2,3,8.6,11,79.3,77.5,69.0,71.6,71.8,79.8,2,41,12.2,6,2,2,87.9,25,665,676,9,37,35,2,261,171,0.4,10.4
David Bruton,5037,S,WAS,4,1,6.9,75.0,97.8,13.8,10.3,0,0,2,16.7,32,60.7,55.2,79.2,56.7,45.8,29.2,0,28,33.3,4,2,0,126.0,9,134,137,1,7,12,1,97,47,0.8,10.8
Greg Toler,5055,CB,WAS,11,0,14.0,59.3,100.0,9.6,5.7,1,1,3,11.1,32,51.8,49.5,19.9,,47.6,39.9,0,44,20.0,3,1,2,103.2,16,161,161,0,12,27,1,255,75,1.7,15.9
Don Carey,5101,CB,DET,7,1,7.3,71.4,94.7,10.0,7.1,1,0,0,0.0,11,29.1,33.3,78.7,56.7,71.0,50.3,0,11,25.0,1,0,2,119.6,5,54,57,0,2,7,1,31,31,0.6,6.2
Brice McCain,5112,CB,TEN,16,1,8.9,60.8,96.7,12.0,7.3,3,1,8,10.1,31,65.8,64.1,63.5,49.9,56.3,51.9,2,44,13.9,5,7,8,97.4,48,615,636,8,30,79,6,568,276,1.0,11.8
Jason McCourty,5127,CB,TEN,13,3,11.4,59.4,100.0,9.1,5.4,0,1,10,10.4,31,63.5,65.6,88.7,,71.7,87.0,2,50,4.7,3,8,4,83.8,57,557,557,12,58,96,3,703,168,1.4,12.3
