player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Julius Peppers,1010,ED,GB,19,2,3.8,75.0,5.1,8.7,6.5,0,0,1,25.0,12,56.3,73.8,70.8,73.8,64.2,58.9,0,15,33.3,2,1,2,91.7,3,26,511,9,2,4,0,26,10,1.0,8.7
Dwight Freeney,1019,ED,ATL,18,0,,,0.2,,,1,0,0,,2,60.0,68.9,69.1,69.4,53.9,47.6,0,,100.0,1,0,3,0.0,0,1,452,3,0,0,0,0,0,0.0,
James Harrison,1251,ED,PIT,18,5,5.7,89.5,34.6,9.8,8.8,0,0,0,0.0,25,73.9,89.6,75.8,85.4,80.5,81.9,1,24,4.2,1,0,1,74.8,17,178,514,15,18,19,0,137,64,0.8,8.1
Terence Newman,1321,CB,MIN,15,2,13.5,51.8,99.1,14.8,7.6,0,1,9,16.1,18,83.0,83.0,86.5,53.9,74.8,71.3,1,24,8.6,3,7,4,62.0,29,455,459,8,30,56,1,245,31,0.6,8.4
Terrell Suggs,1326,ED,BLT,15,1,0.0,100.0,2.6,12.0,12.0,1,0,0,0.0,3,61.2,69.7,33.1,67.9,71.9,61.8,0,1,11.1,1,0,5,79.2,1,12,466,12,7,1,0,1,1,0.1,1.0
Robert Mathis,1447,ED,IND,14,0,6.8,100.0,7.7,7.3,7.3,0,0,0,0.0,14,51.1,54.3,89.2,61.0,41.7,42.1,0,14,0.0,0,0,0,101.0,4,29,375,5,3,4,0,33,6,1.1,8.3
Cullen Jenkins,1637,DI,WAS,15,0,,,1.0,,,0,0,0,,32,57.2,59.9,64.8,63.1,56.8,60.9,0,,0.0,0,0,1,0.0,0,2,192,1,1,0,0,0,0,0.0,
Larry Fitzgerald,1724,WR,ARZ,1,0,,,100.0,,,0,0,0,,1,60.0,60.0,62.9,,,,0,,,0,0,1,0.0,0,1,1,0,0,0,0,0,0,0.0,
DeAngelo Hall,1729,S,WAS,3,0,5.4,85.7,96.8,14.0,12.0,0,0,1,14.3,32,53.2,55.4,79.3,54.9,64.9,57.1,0,29,12.5,1,1,0,113.7,6,90,93,1,7,7,0,79,48,0.9,13.2
Vince Wilfork,1742,DI,HST,17,0,,,1.0,,,0,0,0,,13,59.3,59.0,64.5,56.5,60.7,77.0,0,,0.0,0,0,2,0.0,0,3,306,1,1,0,0,0,0,0.0,
Karlos Dansby,1754,LB,CIN,16,5,4.4,80.3,87.6,8.2,6.6,2,0,3,4.9,7,62.2,65.0,63.6,61.7,67.0,70.4,0,44,12.3,7,3,3,113.6,49,429,490,18,45,61,2,527,323,1.3,10.8
Daryl Smith,1760,LB,TB,16,0,6.1,91.7,72.2,14.3,13.1,0,0,0,0.0,30,60.6,57.5,85.2,51.3,56.4,66.4,1,33,10.0,1,0,0,84.0,11,169,234,1,9,12,0,158,102,1.0,14.4
