rank,player-name,rank-position,year signed,age,year 2,value,average/year
1,Marshon Lattimore,Cornerback,2021-2026 (FA: 2027),25,5,"$97,603,000","$19,520,600"
2,Jamal Adams,Strong Safety,2021-2025 (FA: 2026),25,4,"$70,580,000","$17,645,000"
3,Harrison Smith,Free Safety,2021-2025 (FA: 2026),32,4,"$64,000,000","$16,000,000"
4,Justin Simmons,Free Safety,2021-2024 (FA: 2025),27,4,"$61,000,000","$15,250,000"
20,Justin Simmons,Free Safety,2021-2021 (FA: 2022),27,1,"$13,729,200","$13,729,200"
5,William Jackson,Cornerback,2021-2023 (FA: 2024),28,3,"$40,500,000","$13,500,000"
6,Shaquill Griffin,Cornerback,2021-2023 (FA: 2024),25,3,"$40,000,000","$13,333,333"
7,Adoree' Jackson,Cornerback,2021-2023 (FA: 2024),25,3,"$39,000,000","$13,000,000"
9,John Johnson,Strong Safety,2021-2023 (FA: 2024),25,3,"$33,750,000","$11,250,000"
26,Marcus Maye,Free Safety,2021-2021 (FA: 2022),27,1,"$10,612,000","$10,612,000"
26,Marcus Williams,Free Safety,2021-2021 (FA: 2022),24,1,"$10,612,000","$10,612,000"
10,Ronald Darby,Cornerback,2021-2023 (FA: 2024),27,3,"$30,000,000","$10,000,000"
28,Kyle Fuller,Cornerback,2021-2021 (FA: 2022),29,1,"$9,500,000","$9,500,000"
8,Rayshawn Jenkins,Safety,2021-2024 (FA: 2025),27,4,"$35,000,000","$8,750,000"
11,Michael Davis,Cornerback,2021-2023 (FA: 2024),26,3,"$25,200,000","$8,400,000"
12,Taron Johnson,Cornerback,2021-2024 (FA: 2025),25,3,"$24,000,000","$8,000,000"
35,Patrick Peterson,Cornerback,2021-2021 (FA: 2022),30,1,"$8,000,000","$8,000,000"
15,Avonte Maddox,Cornerback,2021-2024 (FA: 2025),25,3,"$22,500,000","$7,500,000"
19,Janoris Jenkins,Cornerback,2021-2022 (FA: 2023),32,2,"$15,000,000","$7,500,000"
16,Chidobe Awuzie,Cornerback,2021-2023 (FA: 2024),25,3,"$21,750,000","$7,250,000"
12,Jalen Mills,Cornerback,2021-2024 (FA: 2025),26,4,"$24,000,000","$6,000,000"
12,Mike Hilton,Cornerback,2021-2024 (FA: 2025),27,4,"$24,000,000","$6,000,000"
43,Jason Verrett,Cornerback,2021-2021 (FA: 2022),29,1,"$5,500,000","$5,500,000"
17,Jaycee Horn,Cornerback,2021-2025 (FA: 2026),21,4,"$21,112,146","$5,278,037"
18,Patrick Surtain II,Cornerback,2021-2025 (FA: 2026),21,4,"$20,962,628","$5,240,657"
48,Kareem Jackson,Strong Safety,2021-2021 (FA: 2022),32,1,"$5,000,000","$5,000,000"
48,Kevin King,Cornerback,2021-2021 (FA: 2022),25,1,"$5,000,000","$5,000,000"
55,Xavier Rhodes,Cornerback,2021-2021 (FA: 2022),30,1,"$4,770,000","$4,770,000"
56,Darious Williams,Cornerback,2021-2021 (FA: 2022),28,1,"$4,766,000","$4,766,000"
29,Emmanuel Moseley,Cornerback,2021-2022 (FA: 2023),24,2,"$9,384,000","$4,692,000"
21,Jourdan Lewis,Cornerback,2021-2023 (FA: 2024),25,3,"$13,500,000","$4,500,000"
31,Troy Hill,Cornerback,2021-2022 (FA: 2023),29,2,"$9,000,000","$4,500,000"
31,Cameron Sutton,Cornerback,2021-2022 (FA: 2023),26,2,"$9,000,000","$4,500,000"
23,Adrian Phillips,Free Safety,2021-2024 (FA: 2025),29,3,"$12,750,000","$4,250,000"
66,Anthony Harris,Free Safety,2021-2021 (FA: 2022),29,1,"$4,000,000","$4,000,000"
66,Keanu Neal,Strong Safety,2021-2021 (FA: 2022),25,1,"$4,000,000","$4,000,000"
66,Ahkello Witherspoon,Cornerback,2021-2021 (FA: 2022),25,1,"$4,000,000","$4,000,000"
39,A.J. Bouye,Cornerback,2021-2022 (FA: 2023),29,2,"$7,000,000","$3,500,000"
104,Charvarius Ward,Cornerback,2021-2021 (FA: 2022),25,1,"$3,384,000","$3,384,000"
104,J.C. Jackson,Cornerback,2021-2021 (FA: 2022),25,1,"$3,384,000","$3,384,000"
22,Caleb Farley,Cornerback,2021-2025 (FA: 2026),22,4,"$13,495,482","$3,373,871"
41,Terrance Mitchell,Cornerback,2021-2022 (FA: 2023),28,2,"$6,500,000","$3,250,000"
106,Malcolm Butler,Cornerback,2021-2021 (FA: 2022),31,1,"$3,250,000","$3,250,000"
24,Greg Newsome,Cornerback,2021-2025 (FA: 2026),21,4,"$12,748,736","$3,187,184"
107,Steven Nelson,Cornerback,2021-2021 (FA: 2022),28,1,"$3,010,000","$3,010,000"
108,LaMarcus Joyner,Free Safety,2021-2021 (FA: 2022),30,1,"$3,000,000","$3,000,000"
108,Desmond King,Cornerback,2021-2021 (FA: 2022),26,1,"$3,000,000","$3,000,000"
25,Eric Stokes,Cornerback,2021-2025 (FA: 2026),22,4,"$11,925,524","$2,981,381"
110,Tashaun Gipson,Free Safety,2021-2021 (FA: 2022),30,1,"$2,550,000","$2,550,000"
111,Casey Hayward,Cornerback,2021-2021 (FA: 2022),31,1,"$2,500,000","$2,500,000"
112,Daniel Sorensen,Strong Safety,2021-2021 (FA: 2022),30,1,"$2,462,000","$2,462,000"
163,K'Waun Williams,Cornerback,2021-2021 (FA: 2022),29,1,"$2,377,500","$2,377,500"
164,P.J. Williams,Cornerback,2021-2021 (FA: 2022),27,1,"$2,300,000","$2,300,000"
30,Tyson Campbell,Cornerback,2021-2024 (FA: 2025),21,4,"$9,015,105","$2,253,776"
40,Justin Hardee,Cornerback,2021-2023 (FA: 2024),27,3,"$6,750,000","$2,250,000"
165,Kevin Johnson,Cornerback,2021-2021 (FA: 2022),28,1,"$2,250,000","$2,250,000"
165,Justin Coleman,Cornerback,2021-2021 (FA: 2022),27,1,"$2,250,000","$2,250,000"
33,Jevon Holland,Safety,2021-2024 (FA: 2025),21,4,"$8,716,410","$2,179,103"
57,Cody Davis,Free Safety,2021-2022 (FA: 2023),31,2,"$4,300,000","$2,150,000"
167,George Odum,Safety,2021-2021 (FA: 2022),27,1,"$2,133,000","$2,133,000"
167,Chandon Sullivan,Cornerback,2021-2021 (FA: 2022),24,1,"$2,133,000","$2,133,000"
167,A.J. Moore,Safety,2021-2021 (FA: 2022),25,1,"$2,133,000","$2,133,000"
60,Johnathan Ford,Safety,2021-2022 (FA: 2023),25,2,"$4,200,000","$2,100,000"
171,Travis Carrie,Cornerback,2021-2021 (FA: 2022),30,1,"$2,085,000","$2,085,000"
34,Richie Grant,Safety,2021-2024 (FA: 2025),23,4,"$8,268,365","$2,067,091"
64,Brandon Wilson,Safety,2021-2022 (FA: 2023),26,2,"$4,125,000","$2,062,500"
42,Justin Bethel,Cornerback,2021-2023 (FA: 2024),29,3,"$6,000,000","$2,000,000"
66,Tavierre Thomas,Cornerback,2021-2022 (FA: 2023),25,2,"$4,000,000","$2,000,000"
66,J.T. Gray,Strong Safety,2021-2022 (FA: 2023),25,2,"$4,000,000","$2,000,000"
172,Vernon Hargreaves,Cornerback,2021-2021 (FA: 2022),25,1,"$2,000,000","$2,000,000"
172,Tre Herndon,Cornerback,2021-2021 (FA: 2022),25,1,"$2,000,000","$2,000,000"
36,Trevon Moehrig,Safety,2021-2024 (FA: 2025),21,4,"$7,895,007","$1,973,752"
37,Kelvin Joseph,Cornerback,2021-2024 (FA: 2025),20,4,"$7,781,162","$1,945,291"
38,Asante Samuel Jr.,Cornerback,2021-2024 (FA: 2025),21,4,"$7,222,946","$1,805,737"
103,C.J. Goodwin,Cornerback,2021-2022 (FA: 2023),31,2,"$3,500,000","$1,750,000"
178,Sidney Jones,Cornerback,2021-2021 (FA: 2022),24,1,"$1,750,000","$1,750,000"
178,Xavier Woods,Safety,2021-2021 (FA: 2022),25,1,"$1,750,000","$1,750,000"
178,Levi Wallace,Cornerback,2021-2021 (FA: 2022),25,1,"$1,750,000","$1,750,000"
178,Terrence Brooks,Free Safety,2021-2021 (FA: 2022),29,1,"$1,750,000","$1,750,000"
186,Darryl Roberts,Cornerback,2021-2021 (FA: 2022),30,1,"$1,615,000","$1,615,000"
188,Josh Norman,Cornerback,2021-2021 (FA: 2022),33,1,"$1,500,000","$1,500,000"
188,Ryan Smith,Cornerback,2021-2021 (FA: 2022),27,1,"$1,500,000","$1,500,000"
188,Deon Bush,Safety,2021-2021 (FA: 2022),27,1,"$1,500,000","$1,500,000"
192,Ricardo Allen,Free Safety,2021-2021 (FA: 2022),29,1,"$1,490,000","$1,490,000"
204,Bobby McCain,Cornerback,2021-2021 (FA: 2022),27,1,"$1,475,000","$1,475,000"
205,Richard Sherman,Cornerback,2021-2021 (FA: 2022),33,1,"$1,350,000","$1,350,000"
205,Erik Harris,Safety,2021-2021 (FA: 2022),30,1,"$1,350,000","$1,350,000"
44,Andre Cisco,Safety,2021-2024 (FA: 2025),21,4,"$5,236,500","$1,309,125"
45,Aaron Robinson,Cornerback,2021-2024 (FA: 2025),23,4,"$5,143,292","$1,285,823"
46,Benjamin St-Juste,Cornerback,2021-2024 (FA: 2025),23,4,"$5,100,752","$1,275,188"
207,Nevin Lawson,Cornerback,2021-2021 (FA: 2022),29,1,"$1,275,000","$1,275,000"
47,Paulson Adebo,Cornerback,2021-2024 (FA: 2025),21,4,"$5,040,359","$1,260,090"
208,Jason McCourty,Cornerback,2021-2021 (FA: 2022),33,1,"$1,212,500","$1,212,500"
208,Nate Ebner,Free Safety,2021-2021 (FA: 2022),32,1,"$1,212,500","$1,212,500"
208,Chris Banjo,Safety,2021-2021 (FA: 2022),31,1,"$1,212,500","$1,212,500"
208,Blidi Wreh-Wilson,Cornerback,2021-2021 (FA: 2022),31,1,"$1,212,500","$1,212,500"
208,Shawn Williams,Strong Safety,2021-2021 (FA: 2022),29,1,"$1,212,500","$1,212,500"
208,Duron Harmon,Strong Safety,2021-2021 (FA: 2022),30,1,"$1,212,500","$1,212,500"
208,Pierre Desir,Cornerback,2021-2021 (FA: 2022),30,1,"$1,212,500","$1,212,500"
215,Eli Apple,Cornerback,2021-2021 (FA: 2022),25,1,"$1,200,000","$1,200,000"
215,Marcell Harris,Safety,2021-2021 (FA: 2022),26,1,"$1,200,000","$1,200,000"
215,Michael Ford,Cornerback,2021-2021 (FA: 2022),25,1,"$1,200,000","$1,200,000"
50,Nahshon Wright,Cornerback,2021-2024 (FA: 2025),22,4,"$4,785,852","$1,196,463"
50,Elijah Molden,Cornerback,2021-2024 (FA: 2025),22,4,"$4,785,852","$1,196,463"
50,Ifeatu Melifonwu,Cornerback,2021-2024 (FA: 2025),22,4,"$4,785,852","$1,196,463"
50,Ambry Thomas,Cornerback,2021-2024 (FA: 2025),21,4,"$4,785,852","$1,196,463"
50,Brandon Stephens,Cornerback,2021-2024 (FA: 2025),23,4,"$4,785,852","$1,196,463"
219,Cornell Armstrong,Cornerback,2021-2021 (FA: 2022),25,1,"$1,150,000","$1,150,000"
220,Jayron Kearse,Safety,2021-2021 (FA: 2022),27,1,"$1,127,500","$1,127,500"
220,Brian Poole,Cornerback,2021-2021 (FA: 2022),28,1,"$1,127,500","$1,127,500"
220,Charles Washington,Safety,2021-2021 (FA: 2022),28,1,"$1,127,500","$1,127,500"
220,Josh Jones,Safety,2021-2021 (FA: 2022),26,1,"$1,127,500","$1,127,500"
220,Fabian Moreau,Cornerback,2021-2021 (FA: 2022),26,1,"$1,127,500","$1,127,500"
