player,player_id,position,team_name,grades_offense,snap_counts_offense,rank,Year
Clay Harbor,5648,TE,PHI,61.6,340,54.0,2012
Ed Dickson,5595,TE,BLT,61.0,679,55.0,2012
Brandon Pettigrew,4943,TE,DET,60.8,769,56.0,2012
Kellen Davis,4472,TE,CHI,60.0,956,57.0,2012
Charles Clay,6326,TE,MIA,60.0,332,57.0,2012
Michael Palmer,5784,TE,ATL,59.8,179,59.0,2012
Tom Crabtree,5458,TE,GB,57.4,386,60.0,2012
John Carlson,4352,TE,MIN,56.6,253,61.0,2012
Bear Pascoe,5108,TE,NYG,51.9,242,62.0,2012
David Paulson,7660,TE,PIT,51.7,313,63.0,2012
Zach Potter,5302,TE,JAX,49.0,196,64.0,2012
