player,player_id,position,team_name,grades_offense,grades_pass_block,snap_counts_block,rank,Year
Brandon Pettigrew,4943,TE,DET,54.8,57.6,400,55.0,2014
Kevin Brock,5328,TE,CIN,54.8,70.7,126,55.0,2014
Vernon Davis,2951,TE,SF,53.8,76.3,382,57.0,2014
Levine Toilolo,7915,TE,ATL,53.8,69.5,474,57.0,2014
Mychal Rivera,7965,TE,LV,53.1,68.2,312,59.0,2014
Logan Paulsen,5795,TE,WAS,52.7,65.3,270,60.0,2014
Michael Hoomanawanui,5655,TE,NE,51.9,63.6,378,61.0,2014
John Carlson,4352,TE,ARZ,51.1,51.4,334,62.0,2014
C.J. Fiedorowicz,8700,TE,HST,50.1,64.9,356,63.0,2014
Jeff Cumberland,5861,TE,NYJ,48.9,50.5,530,64.0,2014
Jordan Reed,7866,TE,WAS,89.0,74.7,144,1.0,2013
Benjamin Watson,1753,TE,NO,87.6,68.2,419,2.0,2013
Ladarius Green,7110,TE,LAC,84.8,71.0,268,3.0,2013
Ben Hartsock,1789,TE,CAR,84.5,77.9,291,4.0,2013
Jimmy Graham,5619,TE,NO,81.0,69.3,224,5.0,2013
Joseph Fauria,8478,TE,DET,80.9,49.2,127,6.0,2013
Zach Ertz,7816,TE,PHI,80.2,76.6,198,7.0,2013
Julius Thomas,6281,TE,DEN,79.5,73.9,540,8.0,2013
Greg Olsen,3647,TE,CAR,78.9,68.5,524,9.0,2013
Brent Celek,3778,TE,PHI,78.8,70.7,532,10.0,2013
John Carlson,4352,TE,MIN,78.5,71.3,277,11.0,2013
Jason Witten,1384,TE,DAL,78.2,77.1,420,12.0,2013
Lance Kendricks,6199,TE,LA,77.5,78.5,389,13.0,2013
Charles Clay,6326,TE,MIA,76.3,71.2,370,14.0,2013
Kellen Winslow,1727,TE,NYJ,76.1,58.7,116,15.0,2013
Tony Gonzalez,237,TE,ATL,75.5,62.6,363,16.0,2013
Martellus Bennett,4375,TE,CHI,75.1,45.0,408,17.0,2013
Gary Barnidge,4455,TE,CLV,74.4,91.0,427,18.0,2013
Zach Miller,3654,TE,SEA,73.6,66.2,520,19.0,2013
Bear Pascoe,5108,TE,NYG,72.6,57.4,227,20.0,2013
Vernon Davis,2951,TE,SF,72.4,65.8,488,21.0,2013
Jordan Cameron,6254,TE,CLV,70.6,58.2,338,22.0,2013
Kyle Rudolph,6195,TE,MIN,70.3,87.9,188,23.0,2013
Jeff Cumberland,5861,TE,NYJ,70.2,48.8,419,24.0,2013
Lee Smith,6311,TE,BUF,69.0,82.2,342,25.0,2013
Antonio Gates,1609,TE,LAC,68.7,69.0,424,26.0,2013
Heath Miller,2247,TE,PIT,68.7,68.0,415,26.0,2013
Mychal Rivera,7965,TE,LV,68.7,73.5,245,26.0,2013
Sean McGrath,7515,TE,KC,68.4,63.5,337,29.0,2013
Coby Fleener,7038,TE,IND,68.0,84.6,345,30.0,2013
Delanie Walker,3120,TE,TEN,68.0,49.3,261,30.0,2013
Luke Willson,7940,TE,SEA,67.9,66.4,254,32.0,2013
Brandon Myers,5126,TE,NYG,67.1,61.8,385,33.0,2013
Ryan Griffin,7982,TE,HST,67.0,47.8,163,34.0,2013
Matthew Mulligan,4701,TE,NE,66.7,65.3,286,35.0,2013
Tim Wright,8392,TE,TB,66.6,64.4,201,36.0,2013
Marcedes Lewis,2973,TE,JAX,66.5,78.6,309,37.0,2013
Tyler Eifert,7802,TE,CIN,66.5,75.6,366,37.0,2013
Jim Dray,5756,TE,ARZ,66.2,67.3,466,39.0,2013
Andrew Quarless,5677,TE,GB,66.2,66.9,393,39.0,2013
Craig Stevens,4399,TE,TEN,65.8,77.1,328,41.0,2013
Jared Cook,5012,TE,LA,65.2,77.7,301,42.0,2013
Scott Chandler,3745,TE,BUF,64.8,38.8,400,43.0,2013
Virgil Green,6356,TE,DEN,64.1,70.6,269,44.0,2013
Garrett Graham,5642,TE,HST,64.0,58.1,336,45.0,2013
Brandon Pettigrew,4943,TE,DET,64.0,73.3,475,45.0,2013
Clay Harbor,5648,TE,JAX,63.2,74.8,163,47.0,2013
Ed Dickson,5595,TE,BLT,63.1,74.4,389,48.0,2013
Levine Toilolo,7915,TE,ATL,62.8,65.5,104,49.0,2013
Anthony Fasano,2998,TE,KC,62.8,67.7,296,49.0,2013
Jermaine Gresham,5546,TE,CIN,61.7,65.7,532,51.0,2013
Dallas Clark,1340,TE,BLT,61.1,69.6,91,52.0,2013
Jeron Mastrud,5948,TE,LV,59.9,81.8,383,53.0,2013
Tom Crabtree,5458,TE,TB,59.3,64.0,168,54.0,2013
Dante Rosario,3771,TE,CHI,59.1,85.5,77,55.0,2013
Matt Spaeth,3693,TE,PIT,58.7,80.5,97,56.0,2013
Michael Hoomanawanui,5655,TE,NE,58.7,64.7,556,56.0,2013
Logan Paulsen,5795,TE,WAS,58.4,63.4,460,58.0,2013
Rob Housler,6221,TE,ARZ,58.0,37.5,210,59.0,2013
Vance McDonald,7836,TE,SF,55.4,63.3,350,60.0,2013
Dion Sims,7888,TE,MIA,54.9,59.9,198,61.0,2013
James Hanna,7175,TE,DAL,53.9,71.9,211,62.0,2013
Jack Doyle,8520,TE,IND,52.3,81.8,156,63.0,2013
Ryan Taylor,6370,TE,GB,50.0,83.5,106,64.0,2013
Rob Gronkowski,5567,TE,NE,90.9,71.3,391,1.0,2012
Tony Gonzalez,237,TE,ATL,89.3,73.9,429,2.0,2012
Heath Miller,2247,TE,PIT,87.1,65.0,516,3.0,2012
Dwayne Allen,7066,TE,IND,85.9,75.2,551,4.0,2012
Zach Miller,3654,TE,SEA,84.9,66.0,575,5.0,2012
Jason Witten,1384,TE,DAL,84.5,66.6,422,6.0,2012
Greg Olsen,3647,TE,CAR,83.3,65.0,516,7.0,2012
Vernon Davis,2951,TE,SF,81.9,63.4,567,8.0,2012
Martellus Bennett,4375,TE,NYG,81.3,75.2,477,9.0,2012
Jacob Tamme,4441,TE,DEN,80.2,79.2,222,10.0,2012
Ben Hartsock,1789,TE,CAR,80.2,65.5,177,10.0,2012
Jimmy Graham,5619,TE,NO,79.2,73.3,157,12.0,2012
Marcedes Lewis,2973,TE,JAX,78.9,73.0,410,13.0,2012
Dennis Pitta,5638,TE,BLT,78.5,62.1,299,14.0,2012
Matthew Mulligan,4701,TE,LA,78.1,74.7,309,15.0,2012
Matt Spaeth,3693,TE,CHI,77.7,75.3,319,16.0,2012
Luke Stocker,6256,TE,TB,77.3,65.5,379,17.0,2012
Lee Smith,6311,TE,BUF,76.5,71.3,267,18.0,2012
Garrett Graham,5642,TE,HST,76.3,68.6,435,19.0,2012
Kyle Rudolph,6195,TE,MIN,76.0,73.5,529,20.0,2012
Fred Davis,4362,TE,WAS,75.4,58.1,228,21.0,2012
Owen Daniels,3043,TE,HST,74.8,60.4,465,22.0,2012
Joel Dreessen,2415,TE,DEN,74.4,82.9,599,23.0,2012
Steve Maneri,6028,TE,KC,73.7,75.3,299,24.0,2012
Scott Chandler,3745,TE,BUF,73.2,70.3,309,25.0,2012
Benjamin Watson,1753,TE,CLV,73.1,70.3,458,26.0,2012
Aaron Hernandez,5637,TE,NE,73.0,75.1,291,27.0,2012
Brandon Myers,5126,TE,LV,72.5,65.0,502,28.0,2012
Brent Celek,3778,TE,PHI,71.5,64.0,445,29.0,2012
Anthony Fasano,2998,TE,MIA,71.4,73.3,489,30.0,2012
Logan Paulsen,5795,TE,WAS,70.9,44.9,440,31.0,2012
Jeff Cumberland,5861,TE,NYJ,69.5,76.8,301,32.0,2012
Dallas Clark,1340,TE,TB,69.3,57.9,171,33.0,2012
Lance Kendricks,6199,TE,LA,68.4,68.6,440,34.0,2012
Taylor Thompson,7140,TE,TEN,68.3,72.4,178,35.0,2012
Will Heller,1623,TE,DET,68.2,80.4,211,36.0,2012
Jeff King,3100,TE,ARZ,68.0,77.9,302,37.0,2012
Jermichael Finley,4405,TE,GB,67.4,77.2,236,38.0,2012
Anthony McCoy,5708,TE,SEA,67.4,55.0,316,38.0,2012
Randy McMichael,1114,TE,LAC,67.1,72.7,399,40.0,2012
Delanie Walker,3120,TE,SF,67.0,84.0,375,41.0,2012
Coby Fleener,7038,TE,IND,66.3,58.7,198,42.0,2012
Tony Moeaki,5617,TE,KC,65.7,71.2,491,43.0,2012
Antonio Gates,1609,TE,LAC,65.5,67.1,314,44.0,2012
John Phillips,5132,TE,DAL,65.3,55.0,230,45.0,2012
Jermaine Gresham,5546,TE,CIN,65.1,61.4,519,46.0,2012
Alex Smith,2288,TE,CLV,63.0,59.8,203,47.0,2012
Orson Charles,7116,TE,CIN,62.8,77.7,195,48.0,2012
Craig Stevens,4399,TE,TEN,62.7,73.7,329,49.0,2012
Dave Thomas,3031,TE,NO,62.3,50.9,246,50.0,2012
Rob Housler,6221,TE,ARZ,62.1,73.0,219,51.0,2012
Clay Harbor,5648,TE,PHI,61.6,54.2,168,52.0,2012
Ed Dickson,5595,TE,BLT,61.0,56.3,430,53.0,2012
Konrad Reuland,6469,TE,NYJ,61.0,71.9,273,53.0,2012
Brandon Pettigrew,4943,TE,DET,60.8,73.3,278,55.0,2012
Kellen Davis,4472,TE,CHI,60.0,69.5,570,56.0,2012
Charles Clay,6326,TE,MIA,60.0,78.0,171,56.0,2012
Michael Palmer,5784,TE,ATL,59.8,75.5,107,58.0,2012
Tom Crabtree,5458,TE,GB,57.4,66.3,278,59.0,2012
John Carlson,4352,TE,MIN,56.6,37.2,132,60.0,2012
Bear Pascoe,5108,TE,NYG,51.9,29.7,159,61.0,2012
David Paulson,7660,TE,PIT,51.7,51.1,208,62.0,2012
Richard Gordon,6333,TE,LV,51.7,76.5,53,62.0,2012
Zach Potter,5302,TE,JAX,49.0,78.4,141,64.0,2012
