player,player_id,position,team_name,grades_offense,grades_pass_block,snap_counts_block,rank,Year,index,player_name,year_signed,age,contract_length,value,average/year
Dante Rosario,3771,TE,CHI,57.5,45.6,158,48.0,2014,616,Dante Rosario,2014,29,1,"$855,000",855000
Garrett Graham,5642,TE,HST,57.4,65.3,278,49.0,2014,625,Garrett Graham,2014,27,3,"$11,250,000",3750000
Marcedes Lewis,2973,TE,JAX,57.1,72.7,202,50.0,2014,834,Marcedes Lewis,2014,30,5,"$34,000,000",6800000
John Phillips,5132,TE,LAC,55.2,80.8,174,52.0,2014,710,John Phillips,2014,26,3,"$5,275,000",1758333
Brandon Myers,5126,TE,TB,55.0,38.5,216,53.0,2014,603,Brandon Myers,2014,28,2,"$4,250,000",2125000
Brandon Pettigrew,4943,TE,DET,54.8,57.6,400,55.0,2014,604,Brandon Pettigrew,2014,29,4,"$16,000,000",4000000
Kevin Brock,5328,TE,CIN,54.8,70.7,126,55.0,2014,639,Kevin Brock,2014,27,1,"$495,000",495000
Vernon Davis,2951,TE,SF,53.8,76.3,382,57.0,2014,881,Vernon Davis,2014,30,5,"$36,750,000",7350000
Logan Paulsen,5795,TE,WAS,52.7,65.3,270,60.0,2014,717,Logan Paulsen,2014,27,3,"$4,000,000",1333333
Michael Hoomanawanui,5655,TE,NE,51.9,63.6,378,61.0,2014,649,Michael Hoomanawanui,2014,25,2,"$2,400,000",1200000
John Carlson,4352,TE,ARZ,51.1,51.4,334,62.0,2014,635,John Carlson,2014,29,2,"$3,200,000",1600000
Jeff Cumberland,5861,TE,NYJ,48.9,50.5,530,64.0,2014,631,Jeff Cumberland,2014,26,3,"$5,700,000",1900000
Benjamin Watson,1753,TE,NO,87.6,68.2,419,2.0,2013,676,Benjamin Watson,2013,32,3,"$4,950,000",1650000
Ben Hartsock,1789,TE,CAR,84.5,77.9,291,4.0,2013,675,Ben Hartsock,2013,32,1,"$905,000",905000
Greg Olsen,3647,TE,CAR,78.9,68.5,524,9.0,2013,822,Greg Olsen,2013,28,5,"$22,800,000",4560000
Brent Celek,3778,TE,PHI,78.8,70.7,532,10.0,2013,887,Brent Celek,2013,28,6,"$29,250,000",4875000
John Carlson,4352,TE,MIN,78.5,71.3,277,11.0,2013,781,John Carlson,2013,28,5,"$25,000,000",5000000
Jason Witten,1384,TE,DAL,78.2,77.1,420,12.0,2013,823,Jason Witten,2013,31,5,"$37,000,000",7400000
Kellen Winslow,1727,TE,NYJ,76.1,58.7,116,15.0,2013,712,Kellen Winslow,2013,29,1,"$840,000",840000
Tony Gonzalez,237,TE,ATL,75.5,62.6,363,16.0,2013,736,Tony Gonzalez,2013,35,2,"$12,650,000",6325000
Martellus Bennett,4375,TE,CHI,75.1,45.0,408,17.0,2013,718,Martellus Bennett,2013,26,4,"$20,400,000",5100000
Gary Barnidge,4455,TE,CLV,74.4,91.0,427,18.0,2013,703,Gary Barnidge,2013,27,3,"$3,750,000",1250000
Zach Miller,3654,TE,SEA,73.6,66.2,520,19.0,2013,739,Zach Miller,2013,28,1,"$630,000",630000
Bear Pascoe,5108,TE,NYG,72.6,57.4,227,20.0,2013,674,Bear Pascoe,2013,26,1,"$900,000",900000
Vernon Davis,2951,TE,SF,72.4,65.8,488,21.0,2013,881,Vernon Davis,2013,29,5,"$36,750,000",7350000
Jeff Cumberland,5861,TE,NYJ,70.2,48.8,419,24.0,2013,708,Jeff Cumberland,2013,25,1,"$1,323,000",1323000
Antonio Gates,1609,TE,LAC,68.7,69.0,424,26.0,2013,852,Antonio Gates,2013,33,5,"$36,175,000",7235000
Heath Miller,2247,TE,PIT,68.7,68.0,415,26.0,2013,893,Heath Miller,2013,30,5,"$33,750,000",6750000
Sean McGrath,7515,TE,KC,68.4,63.5,337,29.0,2013,802,Sean McGrath,2013,25,4,"$1,875,000",468750
Delanie Walker,3120,TE,TEN,68.0,49.3,261,30.0,2013,693,Delanie Walker,2013,28,4,"$17,500,000",4375000
Brandon Myers,5126,TE,NYG,67.1,61.8,385,33.0,2013,677,Brandon Myers,2013,27,1,"$2,250,000",2250000
Matthew Mulligan,4701,TE,NE,66.7,65.3,286,35.0,2013,720,Matthew Mulligan,2013,28,1,"$820,000",820000
Marcedes Lewis,2973,TE,JAX,66.5,78.6,309,37.0,2013,834,Marcedes Lewis,2013,29,5,"$34,000,000",6800000
Craig Stevens,4399,TE,TEN,65.8,77.1,328,41.0,2013,753,Craig Stevens,2013,28,4,"$14,400,000",3600000
Jared Cook,5012,TE,LA,65.2,77.7,301,42.0,2013,707,Jared Cook,2013,25,5,"$35,100,000",7020000
Scott Chandler,3745,TE,BUF,64.8,38.8,400,43.0,2013,801,Scott Chandler,2013,27,2,"$5,450,000",2725000
Clay Harbor,5648,TE,JAX,63.2,74.8,163,47.0,2013,681,Clay Harbor,2013,25,1,"$630,000",630000
Ed Dickson,5595,TE,BLT,63.1,74.4,389,48.0,2013,699,Ed Dickson,2013,25,1,"$1,323,000",1323000
Anthony Fasano,2998,TE,KC,62.8,67.7,296,49.0,2013,673,Anthony Fasano,2013,28,4,"$16,000,000",4000000
Dallas Clark,1340,TE,BLT,61.1,69.6,91,52.0,2013,686,Dallas Clark,2013,34,1,"$1,005,000",1005000
Jeron Mastrud,5948,TE,LV,59.9,81.8,383,53.0,2013,709,Jeron Mastrud,2013,25,1,"$630,000",630000
Tom Crabtree,5458,TE,TB,59.3,64.0,168,54.0,2013,735,Tom Crabtree,2013,27,2,"$1,600,000",800000
Dante Rosario,3771,TE,CHI,59.1,85.5,77,55.0,2013,689,Dante Rosario,2013,28,1,"$780,000",780000
Matt Spaeth,3693,TE,PIT,58.7,80.5,97,56.0,2013,719,Matt Spaeth,2013,29,2,"$2,000,000",1000000
Michael Hoomanawanui,5655,TE,NE,58.7,64.7,556,56.0,2013,722,Michael Hoomanawanui,2013,24,1,"$630,000",630000
Logan Paulsen,5795,TE,WAS,58.4,63.4,460,58.0,2013,717,Logan Paulsen,2013,26,3,"$4,000,000",1333333
Tony Gonzalez,237,TE,ATL,89.3,73.9,429,2.0,2012,845,Tony Gonzalez,2012,36,2,"$12,650,000",6325000
Heath Miller,2247,TE,PIT,87.1,65.0,516,3.0,2012,893,Heath Miller,2012,29,5,"$33,750,000",6750000
Zach Miller,3654,TE,SEA,84.9,66.0,575,5.0,2012,846,Zach Miller,2012,26,5,"$34,000,000",6800000
Jason Witten,1384,TE,DAL,84.5,66.6,422,6.0,2012,823,Jason Witten,2012,30,5,"$37,000,000",7400000
Greg Olsen,3647,TE,CAR,83.3,65.0,516,7.0,2012,822,Greg Olsen,2012,27,5,"$22,800,000",4560000
Vernon Davis,2951,TE,SF,81.9,63.4,567,8.0,2012,881,Vernon Davis,2012,28,5,"$36,750,000",7350000
Martellus Bennett,4375,TE,NYG,81.3,75.2,477,9.0,2012,790,Martellus Bennett,2012,25,1,"$2,500,000",2500000
Jacob Tamme,4441,TE,DEN,80.2,79.2,222,10.0,2012,772,Jacob Tamme,2012,27,3,"$8,125,000",2708333
Ben Hartsock,1789,TE,CAR,80.2,65.5,177,10.0,2012,809,Ben Hartsock,2012,32,2,"$2,000,000",1000000
Marcedes Lewis,2973,TE,JAX,78.9,73.0,410,13.0,2012,834,Marcedes Lewis,2012,28,5,"$34,000,000",6800000
Dennis Pitta,5638,TE,BLT,78.5,62.1,299,14.0,2012,862,Dennis Pitta,2012,26,3,"$1,586,000",528667
Matthew Mulligan,4701,TE,LA,78.1,74.7,309,15.0,2012,792,Matthew Mulligan,2012,26,2,"$1,402,000",701000
Matt Spaeth,3693,TE,CHI,77.7,75.3,319,16.0,2012,835,Matt Spaeth,2012,28,3,"$5,975,000",1991667
Fred Davis,4362,TE,WAS,75.4,58.1,228,21.0,2012,768,Fred Davis,2012,26,1,"$5,446,000",5446000
Owen Daniels,3043,TE,HST,74.8,60.4,465,22.0,2012,837,Owen Daniels,2012,29,4,"$22,000,000",5500000
Joel Dreessen,2415,TE,DEN,74.4,82.9,599,23.0,2012,779,Joel Dreessen,2012,29,3,"$8,500,000",2833333
Scott Chandler,3745,TE,BUF,73.2,70.3,309,25.0,2012,801,Scott Chandler,2012,26,2,"$5,450,000",2725000
Benjamin Watson,1753,TE,CLV,73.1,70.3,458,26.0,2012,855,Benjamin Watson,2012,31,3,"$12,000,000",4000000
Brent Celek,3778,TE,PHI,71.5,64.0,445,29.0,2012,887,Brent Celek,2012,27,6,"$29,250,000",4875000
Anthony Fasano,2998,TE,MIA,71.4,73.3,489,30.0,2012,851,Anthony Fasano,2012,27,3,"$8,776,000",2925333
Dallas Clark,1340,TE,TB,69.3,57.9,171,33.0,2012,754,Dallas Clark,2012,32,1,"$2,700,000",2700000
Jeff King,3100,TE,ARZ,68.0,77.9,302,37.0,2012,824,Jeff King,2012,29,3,"$5,550,000",1850000
Jermichael Finley,4405,TE,GB,67.4,77.2,236,38.0,2012,776,Jermichael Finley,2012,24,2,"$14,000,000",7000000
Randy McMichael,1114,TE,LAC,67.1,72.7,399,40.0,2012,796,Randy McMichael,2012,32,2,"$2,700,000",1350000
Antonio Gates,1609,TE,LAC,65.5,67.1,314,44.0,2012,852,Antonio Gates,2012,32,5,"$36,175,000",7235000
Alex Smith,2288,TE,CLV,63.0,59.8,203,47.0,2012,742,Alex Smith,2012,29,1,"$850,000",850000
Craig Stevens,4399,TE,TEN,62.7,73.7,329,49.0,2012,753,Craig Stevens,2012,27,4,"$14,400,000",3600000
Konrad Reuland,6469,TE,NYJ,61.0,71.9,273,53.0,2012,830,Konrad Reuland,2012,25,3,"$1,396,000",465333
Kellen Davis,4472,TE,CHI,60.0,69.5,570,56.0,2012,784,Kellen Davis,2012,26,2,"$6,000,000",3000000
Tom Crabtree,5458,TE,GB,57.4,66.3,278,59.0,2012,878,Tom Crabtree,2012,26,3,"$1,215,000",405000
John Carlson,4352,TE,MIN,56.6,37.2,132,60.0,2012,781,John Carlson,2012,27,5,"$25,000,000",5000000
Richard Gordon,6333,TE,LV,51.7,76.5,53,62.0,2012,840,Richard Gordon,2012,25,4,"$2,144,852",536213
Zach Potter,5302,TE,JAX,49.0,78.4,141,64.0,2012,806,Zach Potter,2012,25,1,"$540,000",540000
