player,player_id,position,team_name,grades_offense,pass_plays,rank,Year
Markus Wheaton,7860,WR,PIT,69.6,552,61.0,2014
Michael Floyd,7019,WR,ARZ,69.6,668,61.0,2014
Allen Robinson II,8696,WR,JAX,69.4,357,63.0,2014
Sammy Watkins,8639,WR,BUF,69.3,649,64.0,2014
John Brown,8726,WR,ARZ,69.3,527,64.0,2014
Corey Brown,8986,WR,CAR,69.1,231,66.0,2014
Brandin Cooks,8655,WR,NO,68.8,376,67.0,2014
Travis Benjamin,7100,WR,CLV,68.8,202,67.0,2014
Robert Woods,7822,WR,BUF,68.6,608,69.0,2014
Roddy White,2244,WR,ATL,68.5,620,70.0,2014
Albert Wilson,8943,WR,KC,68.4,172,71.0,2014
Paul Richardson Jr.,8680,WR,SEA,67.7,322,72.0,2014
Charles Johnson,7998,WR,MIN,67.6,288,73.0,2014
Jermaine Kearse,7428,WR,SEA,67.4,545,74.0,2014
Mohamed Sanu,7084,WR,CIN,67.3,608,75.0,2014
Cordarrelle Patterson,7810,WR,MIN,67.2,385,76.0,2014
Michael Crabtree,4933,WR,SF,66.1,505,77.0,2014
Terrance Williams,7855,WR,DAL,66.0,550,78.0,2014
James Jones,3694,WR,LV,65.7,547,79.0,2014
Marques Colston,3197,WR,NO,65.3,613,80.0,2014
Nate Washington,2832,WR,TEN,64.8,540,81.0,2014
Jerricho Cotchery,1829,WR,CAR,64.6,579,82.0,2014
Chris Hogan,6468,WR,BUF,64.5,362,83.0,2014
Nick Toon,7122,WR,NO,64.4,180,84.0,2014
Devin Hester,3002,WR,ATL,64.3,318,85.0,2014
Andre Holmes,6489,WR,LV,63.9,497,86.0,2014
Brandon Lloyd,1436,WR,SF,63.3,250,87.0,2014
Davante Adams,8688,WR,GB,63.2,575,88.0,2014
Brian Hartline,5031,WR,MIA,63.0,515,89.0,2014
Justin Hunter,7815,WR,TEN,62.9,399,90.0,2014
Jason Avant,3054,WR,KC,62.8,386,91.0,2014
Cecil Shorts,6266,WR,JAX,62.4,507,92.0,2014
Hakeem Nicks,4952,WR,IND,62.2,491,93.0,2014
Brandon Tate,5006,WR,CIN,62.0,329,94.0,2014
Allen Hurns,8931,WR,JAX,62.0,546,94.0,2014
Victor Cruz,5827,WR,NYG,61.8,211,96.0,2014
Preston Parker,5950,WR,NYG,61.8,425,96.0,2014
Reggie Wayne,800,WR,IND,61.7,686,98.0,2014
Jeremy Kerley,6305,WR,NYJ,61.6,443,99.0,2014
Marqise Lee,8674,WR,JAX,61.4,348,100.0,2014
Andre Roberts,5612,WR,WAS,61.2,497,101.0,2014
Wes Welker,2204,WR,DEN,60.9,546,102.0,2014
Louis Murphy Jr.,5048,WR,TB,60.5,353,103.0,2014
Kenbrell Thompkins,8126,WR,LV,60.3,272,104.0,2014
Corey Fuller,7953,WR,DET,59.4,278,105.0,2014
Tavon Austin,7789,WR,LA,59.3,350,106.0,2014
Riley Cooper,5682,WR,PHI,59.1,590,107.0,2014
Derek Hagan,3027,WR,TEN,58.9,214,108.0,2014
Danny Amendola,4717,WR,NE,58.9,410,108.0,2014
Jeremy Ross,6476,WR,DET,58.8,519,110.0,2014
Josh Huff,8721,WR,PHI,58.3,114,111.0,2014
Brian Tyms,7321,WR,NE,58.0,92,112.0,2014
Lance Moore,2718,WR,PIT,57.2,210,113.0,2014
Brandon Gibson,5118,WR,MIA,56.6,332,114.0,2014
Keshawn Martin,7121,WR,HST,56.1,110,115.0,2014
Mike Williams,5625,WR,BUF,55.2,128,116.0,2014
Ryan Grant,8777,WR,WAS,54.5,114,117.0,2014
Damaris Johnson,7530,WR,HST,54.4,355,118.0,2014
A.J. Jenkins,7034,WR,KC,53.5,161,119.0,2014
Marquess Wilson,8019,WR,CHI,53.4,268,120.0,2014
Josh Morgan,4488,WR,CHI,52.5,271,121.0,2014
Devin Street,8781,WR,DAL,52.2,87,122.0,2014
Dane Sanzenbacher,6570,WR,CIN,50.2,129,123.0,2014
Andre Caldwell,4411,WR,DEN,48.9,107,124.0,2014
Seyi Ajirotutu,6035,WR,LAC,48.8,107,125.0,2014
David Nelson,5862,WR,NYJ,47.0,172,126.0,2014
Robert Herron,8820,WR,TB,46.7,98,127.0,2014
Jarrett Boykin,7363,WR,GB,44.3,150,128.0,2014
Brandon Marshall,3064,WR,CHI,91.6,641,1.0,2013
Anquan Boldin,1369,WR,SF,90.5,585,2.0,2013
Calvin Johnson,3618,WR,DET,89.9,565,3.0,2013
Andre Johnson,1319,WR,HST,89.4,635,4.0,2013
Antonio Brown,5718,WR,PIT,89.1,630,5.0,2013
Marvin Jones Jr.,7158,WR,CIN,87.2,444,6.0,2013
Keenan Allen,7857,WR,LAC,86.7,600,7.0,2013
Alshon Jeffery,7048,WR,CHI,86.6,637,8.0,2013
Jerrel Jernigan,6235,WR,NYG,86.5,154,9.0,2013
Jordy Nelson,4350,WR,GB,86.0,715,10.0,2013
Marques Colston,3197,WR,NO,85.3,634,11.0,2013
DeSean Jackson,4363,WR,PHI,84.4,612,12.0,2013
Demaryius Thomas,5547,WR,DEN,84.2,821,13.0,2013
Doug Baldwin,6615,WR,SEA,82.7,524,14.0,2013
Josh Gordon,7618,WR,CLV,82.6,632,15.0,2013
Dez Bryant,5549,WR,DAL,82.5,647,16.0,2013
Steve Smith,837,WR,CAR,82.3,501,17.0,2013
Pierre Garcon,4519,WR,WAS,82.2,632,18.0,2013
Michael Floyd,7019,WR,ARZ,82.0,602,19.0,2013
T.Y. Hilton,7092,WR,IND,82.0,659,19.0,2013
Kendall Wright,7026,WR,TEN,81.5,562,21.0,2013
A.J. Green,6156,WR,CIN,81.3,703,22.0,2013
Julian Edelman,5156,WR,NE,81.2,703,23.0,2013
Reggie Wayne,800,WR,IND,80.9,274,24.0,2013
Larry Fitzgerald,1724,WR,ARZ,80.3,632,25.0,2013
Cordarrelle Patterson,7810,WR,MIN,80.3,298,25.0,2013
Golden Tate,5585,WR,SEA,79.9,556,27.0,2013
Malcom Floyd,2044,WR,LAC,79.3,57,28.0,2013
Brandon Gibson,5118,WR,MIA,79.2,201,29.0,2013
Vincent Jackson,2278,WR,TB,79.1,591,30.0,2013
Randall Cobb,6216,WR,GB,78.3,241,31.0,2013
Brian Hartline,5031,WR,MIA,77.9,636,32.0,2013
Nate Washington,2832,WR,TEN,77.9,584,32.0,2013
Cole Beasley,7330,WR,DAL,77.7,210,34.0,2013
Eric Decker,5611,WR,DEN,77.1,810,35.0,2013
Victor Cruz,5827,WR,NYG,76.9,527,36.0,2013
Ted Ginn Jr.,3625,WR,CAR,75.1,391,37.0,2013
Jerricho Cotchery,1829,WR,PIT,74.9,457,38.0,2013
Dwayne Bowe,3639,WR,KC,74.8,628,39.0,2013
Eddie Royal,4356,WR,LAC,74.5,509,40.0,2013
Andre Holmes,6489,WR,LV,74.5,261,40.0,2013
Rod Streater,7416,WR,LV,74.3,518,42.0,2013
Wes Welker,2204,WR,DEN,74.2,639,43.0,2013
Jermaine Kearse,7428,WR,SEA,74.2,305,43.0,2013
Robert Meachem,3643,WR,NO,73.8,204,45.0,2013
Greg Jennings,2997,WR,MIN,73.8,508,45.0,2013
Denarius Moore,6300,WR,LV,73.7,388,47.0,2013
Jerome Simpson,4360,WR,MIN,73.5,463,48.0,2013
Jeremy Kerley,6305,WR,NYJ,73.4,337,49.0,2013
Steve Johnson,4538,WR,BUF,73.3,411,50.0,2013
Jarrett Boykin,7363,WR,GB,73.1,454,51.0,2013
Griff Whalen,7351,WR,IND,73.0,277,52.0,2013
Michael Crabtree,4933,WR,SF,72.7,242,53.0,2013
Danny Amendola,4717,WR,NE,72.7,458,53.0,2013
Cecil Shorts,6266,WR,JAX,71.8,497,55.0,2013
Riley Cooper,5682,WR,PHI,71.6,595,56.0,2013
David Nelson,5862,WR,NYJ,71.4,305,57.0,2013
Emmanuel Sanders,5606,WR,PIT,71.3,556,58.0,2013
Jarius Wright,7118,WR,MIN,70.9,322,59.0,2013
Torrey Smith,6210,WR,BLT,70.5,707,60.0,2013
Hakeem Nicks,4952,WR,NYG,70.1,550,61.0,2013
Tavon Austin,7789,WR,LA,70.0,320,62.0,2013
Mike Wallace,5007,WR,MIA,69.9,658,63.0,2013
Harry Douglas,4398,WR,ATL,69.8,681,64.0,2013
Lance Moore,2718,WR,NO,69.4,403,65.0,2013
Jacoby Jones,3689,WR,BLT,69.3,377,66.0,2013
Rueben Randle,7065,WR,NYG,69.2,439,67.0,2013
Andre Caldwell,4411,WR,DEN,69.0,176,68.0,2013
DeAndre Hopkins,7808,WR,HST,68.7,652,69.0,2013
Justin Hunter,7815,WR,TEN,68.5,219,70.0,2013
Marquise Goodwin,7859,WR,BUF,68.5,203,70.0,2013
Rishard Matthews,7211,WR,MIA,68.4,378,72.0,2013
Leonard Hankerson,6231,WR,WAS,68.2,280,73.0,2013
Sidney Rice,3660,WR,SEA,68.0,213,74.0,2013
James Jones,3694,WR,GB,67.9,588,75.0,2013
Andrew Hawkins,6125,WR,CIN,67.9,129,75.0,2013
Jaron Brown,8128,WR,ARZ,67.7,119,77.0,2013
Santonio Holmes,2970,WR,NYJ,67.6,304,78.0,2013
Dexter McCluster,5561,WR,KC,67.1,484,79.0,2013
Aldrick Robinson,6330,WR,WAS,66.9,273,80.0,2013
Austin Pettis,6230,WR,LA,66.7,399,81.0,2013
Drew Davis,6525,WR,ATL,66.6,250,82.0,2013
Terrance Williams,7855,WR,DAL,66.2,521,83.0,2013
Brandon LaFell,5602,WR,CAR,66.2,586,83.0,2013
Andre Roberts,5612,WR,ARZ,66.2,430,83.0,2013
Tiquan Underwood,5177,WR,TB,65.8,378,86.0,2013
Marlon Brown,8179,WR,BLT,65.7,544,87.0,2013
Roddy White,2244,WR,ATL,65.6,559,88.0,2013
Kerry Taylor,6760,WR,JAX,65.0,202,89.0,2013
Nate Burleson,1386,WR,DET,65.0,305,89.0,2013
Kenbrell Thompkins,8126,WR,NE,64.4,387,91.0,2013
Aaron Dobson,7840,WR,NE,64.1,356,92.0,2013
Robert Woods,7822,WR,BUF,63.9,516,93.0,2013
Vincent Brown,6234,WR,LAC,63.6,580,94.0,2013
Kevin Ogletree,5387,WR,DET,63.4,232,95.0,2013
Domenik Hixon,3075,WR,CAR,63.1,84,96.0,2013
Mohamed Sanu,7084,WR,CIN,63.0,505,97.0,2013
Tandon Doss,6275,WR,BLT,62.8,222,98.0,2013
Earl Bennett,4384,WR,CHI,62.8,387,98.0,2013
Brian Quick,7037,WR,LA,62.4,234,100.0,2013
Mike Williams,5625,WR,TB,62.2,240,101.0,2013
Kenny Stills,7926,WR,NO,62.1,588,102.0,2013
Ace Sanders,7883,WR,JAX,61.9,451,103.0,2013
Mario Manningham,4409,WR,SF,61.3,108,104.0,2013
Jason Avant,3054,WR,PHI,61.2,521,105.0,2013
Chris Givens,7096,WR,LA,61.0,465,106.0,2013
Stephen Hill,7047,WR,NYJ,60.6,349,107.0,2013
DeVier Posey,7070,WR,HST,59.2,172,108.0,2013
Travis Benjamin,7100,WR,CLV,59.1,107,109.0,2013
Donnie Avery,4347,WR,KC,58.6,525,110.0,2013
Miles Austin,3211,WR,DAL,58.5,345,111.0,2013
Santana Moss,786,WR,WAS,58.1,468,112.0,2013
T.J. Graham,7071,WR,BUF,57.1,496,113.0,2013
Mike Brown,7698,WR,JAX,56.9,379,114.0,2013
Quinton Patton,7910,WR,SF,56.4,86,115.0,2013
Keshawn Martin,7121,WR,HST,56.3,296,116.0,2013
Jacoby Ford,5632,WR,LV,55.8,159,117.0,2013
Kris Durham,6259,WR,DET,55.4,586,118.0,2013
Darius Johnson,8418,WR,ATL,55.2,308,119.0,2013
Markus Wheaton,7860,WR,PIT,55.1,112,120.0,2013
Marquess Wilson,8019,WR,CHI,54.8,40,121.0,2013
Darrius Heyward-Bey,4930,WR,IND,54.0,410,122.0,2013
Davone Bess,4694,WR,CLV,54.0,447,122.0,2013
Greg Little,6211,WR,CLV,53.6,691,124.0,2013
Chris Owusu,7276,WR,TB,53.5,204,125.0,2013
Kyle Williams,5729,WR,KC,52.9,197,126.0,2013
Jeff Maehl,6706,WR,PHI,50.7,70,127.0,2013
Kenny Britt,4953,WR,TEN,44.1,215,128.0,2013
Andre Johnson,1319,WR,HST,91.6,649,1.0,2012
Michael Crabtree,4933,WR,SF,91.3,544,2.0,2012
Percy Harvin,4945,WR,MIN,90.8,279,3.0,2012
Brandon Marshall,3064,WR,CHI,90.4,579,4.0,2012
Calvin Johnson,3618,WR,DET,89.9,796,5.0,2012
Vincent Jackson,2278,WR,TB,89.6,615,6.0,2012
Roddy White,2244,WR,ATL,89.3,760,7.0,2012
A.J. Green,6156,WR,CIN,88.9,647,8.0,2012
Reggie Wayne,800,WR,IND,88.6,795,9.0,2012
Danny Amendola,4717,WR,LA,86.5,342,10.0,2012
Julio Jones,6158,WR,ATL,86.2,682,11.0,2012
Demaryius Thomas,5547,WR,DEN,85.3,655,12.0,2012
Pierre Garcon,4519,WR,WAS,84.4,239,13.0,2012
Anquan Boldin,1369,WR,BLT,84.2,705,14.0,2012
Lance Moore,2718,WR,NO,83.2,503,15.0,2012
Golden Tate,5585,WR,SEA,82.8,473,16.0,2012
Wes Welker,2204,WR,NE,82.4,754,17.0,2012
Domenik Hixon,3075,WR,NYG,81.6,279,18.0,2012
Sidney Rice,3660,WR,SEA,81.6,519,18.0,2012
Dwayne Bowe,3639,WR,KC,81.1,421,20.0,2012
Steve Smith,837,WR,CAR,80.9,559,21.0,2012
Hakeem Nicks,4952,WR,NYG,80.1,424,22.0,2012
Antonio Brown,5718,WR,PIT,79.6,453,23.0,2012
Randall Cobb,6216,WR,GB,79.2,516,24.0,2012
Malcom Floyd,2044,WR,LAC,79.0,549,25.0,2012
Danario Alexander,6106,WR,LAC,78.9,329,26.0,2012
Mike Williams,5625,WR,TB,78.8,597,27.0,2012
Jason Avant,3054,WR,PHI,78.6,459,28.0,2012
Mario Manningham,4409,WR,SF,78.3,261,29.0,2012
Steve Johnson,4538,WR,BUF,78.1,568,30.0,2012
Victor Cruz,5827,WR,NYG,77.5,579,31.0,2012
Brian Hartline,5031,WR,MIA,77.4,554,32.0,2012
Brandon Lloyd,1436,WR,NE,77.0,732,33.0,2012
Brandon Gibson,5118,WR,LA,76.9,500,34.0,2012
Eric Decker,5611,WR,DEN,76.6,676,35.0,2012
Dez Bryant,5549,WR,DAL,76.5,681,36.0,2012
DeSean Jackson,4363,WR,PHI,76.2,471,37.0,2012
Brandon Stokley,498,WR,DEN,76.2,447,37.0,2012
Miles Austin,3211,WR,DAL,76.1,601,39.0,2012
Rueben Randle,7065,WR,NYG,76.1,169,39.0,2012
Marques Colston,3197,WR,NO,76.0,649,41.0,2012
Joe Morgan,6696,WR,NO,76.0,190,41.0,2012
Torrey Smith,6210,WR,BLT,75.6,705,43.0,2012
Jordy Nelson,4350,WR,GB,75.5,484,44.0,2012
Cecil Shorts,6266,WR,JAX,75.3,456,45.0,2012
Randy Moss,342,WR,SF,75.2,293,46.0,2012
Leonard Hankerson,6231,WR,WAS,75.0,329,47.0,2012
Davone Bess,4694,WR,MIA,74.4,459,48.0,2012
James Jones,3694,WR,GB,73.2,744,49.0,2012
Greg Jennings,2997,WR,GB,72.8,377,50.0,2012
Doug Baldwin,6615,WR,SEA,72.6,305,51.0,2012
Jacoby Jones,3689,WR,BLT,72.5,375,52.0,2012
Dwayne Harris,6328,WR,DAL,72.0,197,53.0,2012
Chris Givens,7096,WR,LA,71.4,387,54.0,2012
Brandon LaFell,5602,WR,CAR,70.0,472,55.0,2012
Josh Gordon,7618,WR,CLV,69.5,524,56.0,2012
Larry Fitzgerald,1724,WR,ARZ,69.4,705,57.0,2012
Emmanuel Sanders,5606,WR,PIT,69.1,444,58.0,2012
Austin Pettis,6230,WR,LA,69.1,282,58.0,2012
Darrius Heyward-Bey,4930,WR,LV,68.9,536,60.0,2012
Santana Moss,786,WR,WAS,68.6,352,61.0,2012
Denarius Moore,6300,WR,LV,68.6,520,61.0,2012
Derek Hagan,3027,WR,LV,68.5,180,63.0,2012
Josh Morgan,4488,WR,WAS,68.2,423,64.0,2012
Kendall Wright,7026,WR,TEN,67.7,417,65.0,2012
Andrew Hawkins,6125,WR,CIN,67.6,434,66.0,2012
Jeremy Kerley,6305,WR,NYJ,67.5,469,67.0,2012
Rod Streater,7416,WR,LV,67.4,405,68.0,2012
Braylon Edwards,2220,WR,NYJ,67.4,191,68.0,2012
Earl Bennett,4384,WR,CHI,67.3,295,70.0,2012
Mike Wallace,5007,WR,PIT,67.1,571,71.0,2012
Alshon Jeffery,7048,WR,CHI,66.0,282,72.0,2012
Michael Jenkins,1750,WR,MIN,65.9,490,73.0,2012
Mohamed Massaquoi,4973,WR,CLV,65.9,172,73.0,2012
Travis Benjamin,7100,WR,CLV,65.8,223,75.0,2012
Eddie Royal,4356,WR,LAC,65.7,204,76.0,2012
Justin Blackmon,7011,WR,JAX,65.7,684,76.0,2012
Matt Willis,4283,WR,DEN,65.5,111,78.0,2012
T.Y. Hilton,7092,WR,IND,65.5,558,78.0,2012
Donald Jones,6000,WR,BUF,65.4,416,80.0,2012
Greg Little,6211,WR,CLV,65.3,577,81.0,2012
Jerricho Cotchery,1829,WR,PIT,65.0,157,82.0,2012
Brad Smith,3048,WR,BUF,64.9,189,83.0,2012
Nate Washington,2832,WR,TEN,64.4,564,84.0,2012
Kevin Ogletree,5387,WR,DAL,64.1,361,85.0,2012
Devin Aromashodu,3178,WR,MIN,64.0,234,86.0,2012
Julian Edelman,5156,WR,NE,63.9,192,87.0,2012
Damian Williams,5601,WR,TEN,63.7,260,88.0,2012
Nate Burleson,1386,WR,DET,63.4,251,89.0,2012
Kevin Walter,1549,WR,HST,63.1,556,90.0,2012
Chaz Schilens,4540,WR,NYJ,63.1,253,90.0,2012
Michael Floyd,7019,WR,ARZ,63.1,432,90.0,2012
Jordan Shipley,5608,WR,JAX,63.1,199,90.0,2012
Tiquan Underwood,5177,WR,TB,62.8,343,94.0,2012
Brandon Tate,5006,WR,CIN,62.6,180,95.0,2012
Kenny Britt,4953,WR,TEN,62.5,415,96.0,2012
Jerome Simpson,4360,WR,MIN,62.3,299,97.0,2012
Marvin Jones Jr.,7158,WR,CIN,62.1,266,98.0,2012
Jeremy Maclin,4942,WR,PHI,62.1,661,98.0,2012
Dexter McCluster,5561,WR,KC,62.0,389,100.0,2012
Andre Roberts,5612,WR,ARZ,61.4,625,101.0,2012
Jonathan Baldwin,6178,WR,KC,61.2,312,102.0,2012
Riley Cooper,5682,WR,PHI,60.6,335,103.0,2012
Louis Murphy Jr.,5048,WR,CAR,60.6,420,103.0,2012
Arrelious Benn,5564,WR,TB,60.4,53,105.0,2012
Kyle Williams,5729,WR,SF,60.3,154,106.0,2012
Donnie Avery,4347,WR,IND,60.1,750,107.0,2012
Rishard Matthews,7211,WR,MIA,60.1,160,107.0,2012
Ben Obomanu,3194,WR,SEA,59.5,65,109.0,2012
Titus Young,6196,WR,DET,58.6,422,110.0,2012
Harry Douglas,4398,WR,ATL,58.6,507,110.0,2012
Laurent Robinson,3691,WR,JAX,57.6,199,112.0,2012
LaVon Brazill,7191,WR,IND,57.6,186,112.0,2012
Tandon Doss,6275,WR,BLT,57.2,167,114.0,2012
Armon Binns,6590,WR,MIA,56.8,265,115.0,2012
Stephen Hill,7047,WR,NYJ,56.6,283,116.0,2012
Robert Meachem,3643,WR,LAC,55.7,261,117.0,2012
DeVier Posey,7070,WR,HST,55.5,144,118.0,2012
Armanti Edwards,5613,WR,CAR,55.3,83,119.0,2012
Devin Hester,3002,WR,CHI,55.1,263,120.0,2012
Drew Davis,6525,WR,ATL,54.5,76,121.0,2012
Deion Branch,1072,WR,NE,53.5,353,122.0,2012
T.J. Graham,7071,WR,BUF,52.4,429,123.0,2012
Keshawn Martin,7121,WR,HST,51.9,168,124.0,2012
Steve Breaston,3758,WR,KC,51.3,159,125.0,2012
Devery Henderson,1771,WR,NO,50.5,475,126.0,2012
Mike Thomas,5030,WR,DET,47.4,311,127.0,2012
Early Doucet,4395,WR,ARZ,47.1,326,128.0,2012
