rank,player-name,year signed,age,year 2,value,average/year
1,Jason Witten,2017-2021 (FA: 2022),34,4,"$29,600,000","$7,400,000"
3,C.J. Fiedorowicz,2017-2020 (FA: 2021),25,3,"$21,500,000","$7,166,667"
2,Jermaine Gresham,2017-2020 (FA: 2021),28,4,"$28,000,000","$7,000,000"
4,Martellus Bennett,2017-2019 (FA: 2020),30,3,"$21,000,000","$7,000,000"
5,Jack Doyle,2017-2019 (FA: 2020),26,3,"$18,900,000","$6,300,000"
9,Julius Thomas,2017-2018 (FA: 2019),28,2,"$12,200,000","$6,100,000"
6,Dion Sims,2017-2019 (FA: 2020),26,3,"$18,000,000","$6,000,000"
13,Jared Cook,2017-2018 (FA: 2019),29,2,"$10,600,000","$5,300,000"
8,Vernon Davis,2017-2019 (FA: 2020),33,3,"$15,000,000","$5,000,000"
6,Rhett Ellison,2017-2020 (FA: 2021),28,4,"$18,000,000","$4,500,000"
10,Levine Toilolo,2017-2019 (FA: 2020),25,3,"$12,000,000","$4,000,000"
15,Ryan Griffin,2017-2019 (FA: 2020),27,3,"$9,000,000","$3,000,000"
11,O.J. Howard,2017-2021 (FA: 2022),22,4,"$11,094,618","$2,773,655"
23,Anthony Fasano,2017-2021 (FA: 2022),32,1,"$2,750,000","$2,750,000"
24,Trey Burton,2017-2017 (FA: 2018),25,1,"$2,746,000","$2,746,000"
12,Evan Engram,2017-2021 (FA: 2022),22,4,"$10,718,304","$2,679,576"
14,David Njoku,2017-2021 (FA: 2022),20,4,"$9,525,095","$2,381,274"
32,Lee Smith,2017-2017 (FA: 2018),29,1,"$2,250,000","$2,250,000"
18,Lance Kendricks,2017-2018 (FA: 2019),29,2,"$4,000,000","$2,000,000"
36,Luke Willson,2017-2017 (FA: 2018),27,1,"$1,800,000","$1,800,000"
19,Mychal Rivera,2017-2017 (FA: 2018),26,2,"$3,250,000","$1,625,000"
16,Gerald Everett,2017-2020 (FA: 2021),22,4,"$6,044,469","$1,511,117"
22,Phillip Supernaw,2017-2018 (FA: 2019),27,2,"$3,000,000","$1,500,000"
17,Adam Shaheen,2017-2020 (FA: 2021),22,4,"$5,910,537","$1,477,634"
33,Luke Stocker,2017-2018 (FA: 2019),29,2,"$2,200,000","$1,100,000"
34,David Johnson,2017-2018 (FA: 2019),29,2,"$2,050,000","$1,025,000"
35,MarQueis Gray,2017-2018 (FA: 2019),27,2,"$2,000,000","$1,000,000"
106,Logan Paulsen,2017-2017 (FA: 2018),30,1,"$1,000,000","$1,000,000"
106,Darren Fells,2017-2017 (FA: 2018),30,1,"$1,000,000","$1,000,000"
111,John Phillips,2017-2017 (FA: 2018),29,1,"$980,000","$980,000"
112,John Phillips,2017-2017 (FA: 2018),30,1,"$900,000","$900,000"
112,Clay Harbor,2017-2017 (FA: 2018),29,1,"$900,000","$900,000"
114,Gavin Escobar,2017-2017 (FA: 2018),26,1,"$855,000","$855,000"
114,Brandon Williams,2017-2017 (FA: 2018),29,1,"$855,000","$855,000"
20,Jonnu Smith,2017-2020 (FA: 2021),21,4,"$3,106,288","$776,572"
116,Jeff Cumberland,2017-2017 (FA: 2018),29,1,"$775,000","$775,000"
116,Logan Paulsen,2017-2017 (FA: 2018),30,1,"$775,000","$775,000"
116,Robert Housler,2017-2017 (FA: 2018),28,1,"$775,000","$775,000"
116,Bradley Sowell,2017-2017 (FA: 2018),27,1,"$775,000","$775,000"
116,Larry Donnell,2017-2017 (FA: 2018),28,1,"$775,000","$775,000"
