rank,player-name,year signed,age,year 2,value,average/year
1,Dallas Goedert,2021-2025 (FA: 2026),26,4,"$57,000,000","$14,250,000"
2,Mark Andrews,2021-2025 (FA: 2026),24,4,"$56,000,000","$14,000,000"
3,Jonnu Smith,2021-2024 (FA: 2025),25,4,"$50,000,000","$12,500,000"
5,Hunter Henry,2021-2023 (FA: 2024),26,3,"$37,500,000","$12,500,000"
10,Taysom Hill,2021-2021 (FA: 0),30,1,"$10,500,000","$10,500,000"
4,Taysom Hill,2021-2025 (FA: 2026),31,4,"$40,000,000","$10,000,000"
6,Kyle Pitts,2021-2025 (FA: 2026),20,4,"$32,910,495","$8,227,624"
7,Logan Thomas,2021-2024 (FA: 2025),29,3,"$24,065,000","$8,021,667"
11,Rob Gronkowski,2021-2021 (FA: 2022),31,1,"$8,000,000","$8,000,000"
8,Nick Boyle,2021-2023 (FA: 2024),27,2,"$13,000,000","$6,500,000"
9,Kyle Rudolph,2021-2022 (FA: 2023),31,2,"$12,000,000","$6,000,000"
17,Gerald Everett,2021-2021 (FA: 2022),26,1,"$6,000,000","$6,000,000"
23,Jared Cook,2021-2021 (FA: 2022),33,1,"$4,500,000","$4,500,000"
31,Mo Alie-Cox,2021-2021 (FA: 2022),27,1,"$3,384,000","$3,384,000"
31,Robert Tonyan Jr.,2021-2021 (FA: 2022),26,1,"$3,384,000","$3,384,000"
14,Chris Manhertz,2021-2022 (FA: 2023),28,2,"$6,650,000","$3,325,000"
15,Ryan Griffin,2021-2022 (FA: 2023),31,2,"$6,480,471","$3,240,236"
17,Dan Arnold,2021-2022 (FA: 2023),26,2,"$6,000,000","$3,000,000"
33,Anthony Firkser,2021-2021 (FA: 2022),26,1,"$3,000,000","$3,000,000"
19,Marcedes Lewis,2021-2022 (FA: 2023),36,2,"$5,920,000","$2,960,000"
11,Nick Vannett,2021-2023 (FA: 2024),28,3,"$8,000,000","$2,666,667"
13,Cethan Carter,2021-2023 (FA: 2024),27,3,"$7,800,000","$2,600,000"
34,Geoff Swaim,2021-2021 (FA: 2022),27,1,"$2,500,000","$2,500,000"
62,Tyler Kroft,2021-2021 (FA: 2022),28,1,"$2,000,000","$2,000,000"
67,Jesse James,2021-2021 (FA: 2022),27,1,"$1,650,000","$1,650,000"
68,Levine Toilolo,2021-2021 (FA: 2022),29,1,"$1,600,000","$1,600,000"
68,Pharaoh Brown,2021-2021 (FA: 2022),26,1,"$1,600,000","$1,600,000"
68,Ross Dwelley,2021-2021 (FA: 2022),26,1,"$1,600,000","$1,600,000"
71,James O'Shaughnessy,2021-2021 (FA: 2022),29,1,"$1,590,000","$1,590,000"
16,Pat Freiermuth,2021-2024 (FA: 2025),22,4,"$6,028,181","$1,507,045"
20,Hunter Long,2021-2024 (FA: 2025),22,4,"$4,968,706","$1,242,177"
21,Tommy Tremble,2021-2024 (FA: 2025),21,4,"$4,926,432","$1,231,608"
83,Josh Hill,2021-2021 (FA: 2022),30,1,"$1,212,500","$1,212,500"
22,Tre McKitty,2021-2024 (FA: 2025),22,4,"$4,785,852","$1,196,463"
84,Jeremy Sprinkle,2021-2021 (FA: 2022),26,1,"$1,127,500","$1,127,500"
84,Darrell Daniels,2021-2021 (FA: 2022),26,1,"$1,127,500","$1,127,500"
84,Jacob Hollister,2021-2021 (FA: 2022),27,1,"$1,127,500","$1,127,500"
84,Antony Auclair,2021-2021 (FA: 2022),27,1,"$1,127,500","$1,127,500"
84,Blake Bell,2021-2021 (FA: 2022),29,1,"$1,127,500","$1,127,500"
84,MyCole Pruitt,2021-2021 (FA: 2022),29,1,"$1,127,500","$1,127,500"
90,Luke Stocker,2021-2021 (FA: 2022),33,1,"$1,075,000","$1,075,000"
90,Derek Carrier,2021-2021 (FA: 2022),30,1,"$1,075,000","$1,075,000"
90,Darren Fells,2021-2021 (FA: 0),34,1,"$1,075,000","$1,075,000"
90,Luke Willson,2021-2021 (FA: 2022),31,1,"$1,075,000","$1,075,000"
90,Demetrius Harris,2021-2021 (FA: 2022),30,1,"$1,075,000","$1,075,000"
24,John Bates,2021-2024 (FA: 2025),23,4,"$4,202,416","$1,050,604"
25,Kylen Granson,2021-2024 (FA: 2025),23,4,"$4,186,368","$1,046,592"
95,Daniel Brown,2021-2021 (FA: 2022),28,1,"$1,040,000","$1,040,000"
96,Eric Saubert,2021-2021 (FA: 2022),27,1,"$990,000","$990,000"
96,Ricky Seals-Jones,2021-2021 (FA: 2022),26,1,"$990,000","$990,000"
96,Jacob Hollister,2021-2021 (FA: 2022),27,1,"$990,000","$990,000"
96,Antony Auclair,2021-2021 (FA: 0),27,1,"$990,000","$990,000"
96,Kelvin Benjamin,2021-2021 (FA: 2022),30,1,"$990,000","$990,000"
96,Richard Rodgers,2021-2021 (FA: 2022),28,1,"$990,000","$990,000"
96,MyCole Pruitt,2021-2021 (FA: 2022),28,1,"$990,000","$990,000"
96,Eric Tomlinson,2021-2021 (FA: 0),28,1,"$990,000","$990,000"
96,Ross Travis,2021-2021 (FA: 2022),28,1,"$990,000","$990,000"
26,Luke Farrell,2021-2024 (FA: 2025),22,4,"$3,838,020","$959,505"
27,Brevin Jordan,2021-2024 (FA: 2025),20,4,"$3,832,184","$958,046"
28,Noah Gray,2021-2024 (FA: 2025),22,4,"$3,793,776","$948,444"
29,Zach Davidson,2021-2024 (FA: 2025),22,4,"$3,781,768","$945,442"
30,Ben Mason,2021-2024 (FA: 2025),21,4,"$3,720,148","$930,037"
105,Tim Tebow,2021-2021 (FA: 2022),33,1,"$920,000","$920,000"
105,Joshua Perkins,2021-2021 (FA: 2022),27,1,"$920,000","$920,000"
105,Stephen Anderson,2021-2021 (FA: 2022),28,1,"$920,000","$920,000"
105,Jordan Leggett,2021-2021 (FA: 2022),25,1,"$920,000","$920,000"
105,Mason Schreck,2021-2021 (FA: 0),27,1,"$920,000","$920,000"
105,Sean Culkin,2021-2021 (FA: 2022),27,1,"$920,000","$920,000"
105,Johnny Mundt,2021-2021 (FA: 2022),26,1,"$920,000","$920,000"
105,Jordan Thomas,2021-2021 (FA: 2022),24,1,"$920,000","$920,000"
105,Ryan Izzo,2021-2022 (FA: 2023),25,1,"$920,000","$920,000"
105,Tanner Hudson,2021-2021 (FA: 2022),26,1,"$920,000","$920,000"
105,Deon Yelder,2021-2021 (FA: 2022),26,1,"$920,000","$920,000"
116,Evan Baylis,2021-2021 (FA: 2022),27,1,"$850,000","$850,000"
