rank,player-name,year signed,age,year 2,value,average/year
1,Vernon Davis,2010-2015 (FA: 2016),26,5,"$36,750,000","$7,350,000"
2,Antonio Gates,2010-2015 (FA: 2016),30,5,"$36,175,000","$7,235,000"
10,Bo Scaife,2010-2010 (FA: 2011),28,1,"$4,908,200","$4,908,200"
5,Benjamin Watson,2010-2012 (FA: 2013),29,3,"$12,000,000","$4,000,000"
17,Owen Daniels,2010-2010 (FA: 2011),27,1,"$3,168,000","$3,168,000"
3,Brandon Manumaleuna,2010-2014 (FA: 2015),29,5,"$15,000,000","$3,000,000"
8,Anthony Fasano,2010-2012 (FA: 2013),25,3,"$8,776,000","$2,925,333"
4,Jermaine Gresham,2010-2014 (FA: 2015),22,5,"$14,095,000","$2,819,000"
11,Alge Crumpler,2010-2011 (FA: 2012),32,2,"$4,800,000","$2,400,000"
12,Chris Baker,2010-2011 (FA: 2013),30,2,"$4,750,000","$2,375,000"
7,Tony Scheffler,2010-2013 (FA: 2014),26,4,"$9,426,000","$2,356,500"
6,Tim Tebow,2010-2014 (FA: 2015),22,5,"$11,250,000","$2,250,000"
36,Jeff King,2010-2010 (FA: 2011),27,1,"$1,759,000","$1,759,000"
37,Ben Patrick,2010-2010 (FA: 2011),25,1,"$1,684,000","$1,684,000"
16,Ben Hartsock,2010-2011 (FA: 2012),29,2,"$3,200,000","$1,600,000"
14,Will Heller,2010-2011 (FA: 2012),18,3,"$3,950,000","$1,316,667"
13,Rob Gronkowski,2010-2013 (FA: 2014),21,4,"$4,440,000","$1,110,000"
46,Matt Spaeth,2010-2010 (FA: 2011),26,1,"$1,101,000","$1,101,000"
47,Reggie Kelly,2010-2010 (FA: 2011),32,1,"$1,005,000","$1,005,000"
48,Anthony Becht,2010-2010 (FA: 2011),32,1,"$950,000","$950,000"
9,Delanie Walker,2010-2012 (FA: 2013),23,6,"$5,250,000","$875,000"
15,Tony Moeaki,2010-2013 (FA: 2014),22,4,"$3,269,650","$817,413"
38,David Martin,2010-2011 (FA: 2012),30,2,"$1,620,000","$810,000"
40,Kris Wilson,2010-2011 (FA: 2012),28,2,"$1,545,000","$772,500"
50,Randy McMichael,2010-2010 (FA: 2011),30,1,"$755,000","$755,000"
51,Daniel Fells,2010-2010 (FA: 2011),26,1,"$745,000","$745,000"
18,Andrew Quarless,2010-2013 (FA: 2014),21,4,"$2,815,425","$703,856"
56,Leonard Pope,2010-2010 (FA: 2011),26,1,"$630,000","$630,000"
56,Alex Smith,2010-2010 (FA: 2011),27,1,"$630,000","$630,000"
56,Stephen Spach,2010-2010 (FA: 2011),27,1,"$630,000","$630,000"
56,Garrett Mills,2010-2010 (FA: 201),26,1,"$630,000","$630,000"
29,Ed Dickson,2010-2012 (FA: 2013),22,3,"$1,877,500","$625,833"
19,Jimmy Graham,2010-2013 (FA: 2014),23,4,"$2,455,140","$613,785"
20,Aaron Hernandez,2010-2013 (FA: 2014),20,4,"$2,378,000","$594,500"
21,Garrett Graham,2010-2013 (FA: 2014),23,4,"$2,370,100","$592,525"
22,Clay Harbor,2010-2013 (FA: 2014),22,4,"$2,242,900","$560,725"
60,Daniel Coats,2010-2010 (FA: 2011),-,1,"$545,000","$545,000"
60,Scott Chandler,2010-2010 (FA: 2011),24,1,"$545,000","$545,000"
39,Dennis Pitta,2010-2012 (FA: 2013),24,3,"$1,586,000","$528,667"
23,Anthony McCoy,2010-2013 (FA: 2014),22,4,"$2,044,850","$511,213"
24,Michael Hoomanawanui,2010-2013 (FA: 2014),21,4,"$2,005,512","$501,378"
25,Jim Dray,2010-2013 (FA: 2014),23,4,"$1,989,000","$497,250"
26,Brody Eldridge,2010-2013 (FA: 2014),22,4,"$1,952,800","$488,200"
27,Fendi Onobun,2010-2013 (FA: 2014),23,4,"$1,919,000","$479,750"
28,Nate Byham,2010-2013 (FA: 2014),22,4,"$1,896,000","$474,000"
62,Tory Humphrey,2010-2010 (FA: 2011),26,1,"$470,000","$470,000"
62,Jonathan Stupar,2010-2010 (FA: 2011),25,1,"$470,000","$470,000"
62,Gijon Robinson,2010-2010 (FA: 2011),25,1,"$470,000","$470,000"
62,Joey Haynos,2010-2010 (FA: 2011),25,1,"$470,000","$470,000"
30,Mickey Shuler,2010-2013 (FA: 2014),23,4,"$1,850,000","$462,500"
31,Dorin Dickerson,2010-2013 (FA: 2014),22,4,"$1,843,165","$460,791"
32,Dedrick Epps,2010-2013 (FA: 2014),21,4,"$1,838,200","$459,550"
33,Dennis Morris,2010-2013 (FA: 2014),22,4,"$1,823,000","$455,750"
34,Ryan Purvis,2010-2013 (FA: 2014),24,4,"$1,790,000","$447,500"
34,Nathan Overbay,2010-2013 (FA: 2014),23,4,"$1,790,000","$447,500"
41,Nathan Overbay,2010-2012 (FA: 2013),22,3,"$1,226,000","$408,667"
42,Logan Paulsen,2010-2012 (FA: 2013),23,3,"$1,225,000","$408,333"
43,Richard Dickson,2010-2012 (FA: 2013),22,3,"$1,222,000","$407,333"
44,Jeff Cumberland,2010-2012 (FA: 2013),22,3,"$1,217,000","$405,667"
45,Tom Crabtree,2010-2012 (FA: 2013),24,3,"$1,215,000","$405,000"
49,Jeron Mastrud,2010-2011 (FA: 2012),22,2,"$770,000","$385,000"
66,Jonathan Stupar,2010-20101 (FA: 2011),25,1,"$385,000","$385,000"
52,Richie Brockel,2010-2011 (FA: 2012),23,2,"$738,750","$369,375"
53,Steve Maneri,2010-2011 (FA: 2012),21,2,"$737,500","$368,750"
54,Michael Palmer,2010-2011 (FA: 2012),21,2,"$725,000","$362,500"
54,Dan Gronkowski,2010-2011 (FA: 2012),24,2,"$725,000","$362,500"
67,Robert Agnone,2010-2010 (FA: 2011),24,1,"$325,000","$325,000"
