rank,player-name,year signed,age,year 2,value,average/year
1,Julius Thomas,2015-2019 (FA: 2020),26,5,"$46,000,000","$9,200,000"
2,Charles Clay,2015-2019 (FA: 2020),26,5,"$38,000,000","$7,600,000"
3,Greg Olsen,2015-2018 (FA: 2019),29,3,"$22,500,000","$7,500,000"
5,Jordan Cameron,2015-2016 (FA: 2017),26,2,"$15,000,000","$7,500,000"
10,Charles Clay,2015-2015 (FA: 2016),26,1,"$7,071,000","$7,071,000"
4,Lance Kendricks,2015-2018 (FA: 2019),27,4,"$18,500,000","$4,625,000"
6,Gary Barnidge,2015-2018 (FA: 2019),30,3,"$12,300,000","$4,100,000"
7,Owen Daniels,2015-2017 (FA: 2018),32,3,"$12,250,000","$4,083,333"
20,Jermaine Gresham,2015-2015 (FA: 2016),27,1,"$3,125,000","$3,125,000"
8,Lee Smith,2015-2017 (FA: 2018),27,3,"$9,350,000","$3,116,667"
9,Virgil Green,2015-2017 (FA: 2018),26,3,"$8,400,000","$2,800,000"
13,Scott Chandler,2015-2016 (FA: 2017),29,2,"$5,300,000","$2,650,000"
25,Marcedes Lewis,2015-2015 (FA: 2016),30,1,"$2,650,000","$2,650,000"
14,Anthony Fasano,2015-2016 (FA: 2017),30,2,"$5,250,000","$2,625,000"
11,Ed Dickson,2015-2017 (FA: 2018),27,3,"$6,100,000","$2,033,333"
12,Niles Paul,2015-2017 (FA: 2018),25,3,"$6,000,000","$2,000,000"
43,Robert Housler,2015-2015 (FA: 2016),27,1,"$1,760,000","$1,760,000"
15,Luke Stocker,2015-2017 (FA: 2018),26,3,"$4,800,000","$1,600,000"
19,Jacob Tamme,2015-2016 (FA: 2017),30,2,"$3,200,000","$1,600,000"
42,Matt Spaeth,2015-2016 (FA: 2017),31,2,"$2,200,000","$1,100,000"
16,Jake Fisher,2015-2018 (FA: 2019),22,4,"$4,259,520","$1,064,880"
17,Maxx Williams,2015-2018 (FA: 2019),21,4,"$4,052,738","$1,013,185"
22,Derek Carrier,2015-2017 (FA: 2018),24,3,"$2,985,000","$995,000"
119,Kellen Davis,2015-2015 (FA: 2016),29,1,"$950,000","$950,000"
119,Daniel Fells,2015-2015 (FA: 2016),31,1,"$950,000","$950,000"
