rank,player-name,year signed,age,year 2,value,average/year
1,Kyle Rudolph,2019-2023 (FA: 2024),29,4,"$36,000,000","$9,000,000"
10,Jared Cook,2019-2020 (FA: 2021),31,2,"$15,000,000","$7,500,000"
2,Darren Waller,2019-2023 (FA: 2024),27,4,"$29,800,000","$7,450,000"
3,Tyler Higbee,2019-2023 (FA: 2024),26,4,"$29,000,000","$7,250,000"
5,Jack Doyle,2019-2022 (FA: 2023),29,3,"$21,300,000","$7,100,000"
7,Tyler Kroft,2019-2020 (FA: 2021),26,3,"$18,750,000","$6,250,000"
8,C.J. Uzomah,2019-2021 (FA: 2022),26,3,"$18,300,000","$6,100,000"
9,Nick Boyle,2019-2021 (FA: 2022),26,3,"$18,000,000","$6,000,000"
4,Jesse James,2019-2022 (FA: 2023),24,4,"$22,600,000","$5,650,000"
6,T.J. Hockenson,2019-2023 (FA: 2024),21,4,"$19,821,225","$4,955,306"
25,Jason Witten,2019-2019 (FA: 2020),36,1,"$4,250,000","$4,250,000"
15,Jeff Heuerman,2019-2020 (FA: 2021),26,2,"$8,000,000","$4,000,000"
26,Tyler Eifert,2019-2019 (FA: 2020),28,1,"$4,000,000","$4,000,000"
12,Ryan Griffin,2019-2022 (FA: 2023),29,3,"$10,800,000","$3,600,000"
16,Maxx Williams,2019-2021 (FA: 2022),25,2,"$7,000,000","$3,500,000"
17,Geoff Swaim,2019-2020 (FA: 2021),25,2,"$6,600,000","$3,300,000"
18,Dwayne Allen,2019-2020 (FA: 2021),29,2,"$6,500,000","$3,250,000"
11,Noah Fant,2019-2023 (FA: 2024),21,4,"$12,590,721","$3,147,680"
13,Lee Smith,2019-2021 (FA: 2022),30,3,"$9,000,000","$3,000,000"
19,Demetrius Harris,2019-2020 (FA: 2021),27,2,"$6,000,000","$3,000,000"
31,Benjamin Watson,2019-2019 (FA: 2020),38,1,"$3,000,000","$3,000,000"
14,Josh Hill,2019-2021 (FA: 2022),28,3,"$8,850,000","$2,950,000"
22,Luke Stocker,2019-2020 (FA: 2021),30,2,"$5,500,000","$2,750,000"
42,Marcedes Lewis,2019-2019 (FA: 2020),34,1,"$2,100,000","$2,100,000"
43,Xavier Grimble,2019-2019 (FA: 2020),26,1,"$2,025,000","$2,025,000"
44,Charles Clay,2019-2019 (FA: 2020),30,1,"$2,000,000","$2,000,000"
