rank,player-name,year signed,age,year 2,value,average/year
1,Travis Kelce,2016-2021 (FA: 2022),26,5,"$46,842,000","$9,368,400"
2,Jordan Reed,2016-2021 (FA: 2022),25,5,"$46,750,000","$9,350,000"
3,Zach Ertz,2016-2021 (FA: 2022),25,5,"$42,500,000","$8,500,000"
5,Dwayne Allen,2016-2019 (FA: 2020),26,4,"$29,400,000","$7,350,000"
4,Coby Fleener,2016-2020 (FA: 2021),27,5,"$36,000,000","$7,200,000"
8,Delanie Walker,2016-2018 (FA: 2019),31,2,"$13,375,000","$6,687,500"
7,Vance McDonald,2016-2021 (FA: 2022),26,3,"$19,650,000","$6,550,000"
11,Antonio Gates,2016-2017 (FA: 2018),35,2,"$11,000,000","$5,500,000"
6,Ladarius Green,2016-2019 (FA: 2020),25,4,"$20,000,000","$5,000,000"
9,Brent Celek,2016-2018 (FA: 2019),31,3,"$13,000,000","$4,333,333"
10,Marcedes Lewis,2016-2018 (FA: 2019),31,3,"$12,000,000","$4,000,000"
15,Benjamin Watson,2016-2017 (FA: 2018),35,2,"$7,000,000","$3,500,000"
20,Jermaine Gresham,2016-2016 (FA: 2017),27,1,"$3,500,000","$3,500,000"
13,James Hanna,2016-2018 (FA: 2019),26,3,"$8,250,000","$2,750,000"
18,Zach Miller,2016-2017 (FA: 2018),31,2,"$5,500,000","$2,750,000"
25,Jared Cook,2016-2016 (FA: 2017),28,1,"$2,750,000","$2,750,000"
12,Garrett Celek,2016-2019 (FA: 2020),27,4,"$10,200,000","$2,550,000"
33,Vernon Davis,2016-2016 (FA: 2017),32,1,"$2,400,000","$2,400,000"
14,Josh Hill,2016-2018 (FA: 2019),25,3,"$7,100,000","$2,366,667"
17,Demetrius Harris,2016-2018 (FA: 2019),24,3,"$6,300,000","$2,100,000"
35,Craig Stevens,2016-2016 (FA: 2017),31,1,"$1,900,000","$1,900,000"
36,Rhett Ellison,2016-2016 (FA: 2017),27,1,"$1,750,000","$1,750,000"
19,Michael Hoomanawanui,2016-2018 (FA: 2019),27,3,"$5,200,000","$1,733,333"
37,Chase Ford,2016-2016 (FA: 2017),25,1,"$1,671,000","$1,671,000"
37,Larry Donnell,2016-2016 (FA: 2017),27,1,"$1,671,000","$1,671,000"
37,Jack Doyle,2016-2016 (FA: 2017),25,1,"$1,671,000","$1,671,000"
16,Hunter Henry,2016-2019 (FA: 2020),21,4,"$6,380,307","$1,595,077"
23,Clay Harbor,2016-2016 (FA: 2017),26,2,"$3,000,000","$1,500,000"
83,Bradley Sowell,2016-2016 (FA: 2017),26,1,"$1,000,000","$1,000,000"
103,Kellen Davis,2016-2016 (FA: 2017),30,1,"$965,000","$965,000"
104,Bear Pascoe,2016-2016 (FA: 2017),30,1,"$885,000","$885,000"
104,Clay Harbor,2016-2016 (FA: 2017),28,1,"$885,000","$885,000"
104,Matthew Mulligan,2016-2016 (FA: 2017),31,1,"$885,000","$885,000"
107,Garrett Graham,2016-2016 (FA: 2017),29,1,"$840,000","$840,000"
107,Jeff Cumberland,2016-2016 (FA: 2017),28,1,"$840,000","$840,000"
107,Logan Paulsen,2016-2016 (FA: 2017),29,1,"$840,000","$840,000"
110,Tim Wright,2016-2016 (FA: 2017),25,1,"$815,000","$815,000"
21,Austin Hooper,2016-2019 (FA: 2020),21,4,"$3,213,428","$803,357"
22,Nick Vannett,2016-2019 (FA: 2020),23,4,"$3,056,880","$764,220"
111,Chase Coffman,2016-2016 (FA: 2017),29,1,"$760,000","$760,000"
111,John Phillips,2016-2016 (FA: 2017),28,1,"$760,000","$760,000"
111,David Johnson,2016-2016 (FA: 2017),28,1,"$760,000","$760,000"
111,Tony Moeaki,2016-2016 (FA: 2017),29,1,"$760,000","$760,000"
111,Andrew Quarless,2016-2016 (FA: 2017),27,1,"$760,000","$760,000"
111,Logan Paulsen,2016-2016 (FA: 2017),29,1,"$760,000","$760,000"
111,Jim Dray,2016-2016 (FA: 2017),29,1,"$760,000","$760,000"
111,Robert Housler,2016-2016 (FA: 2017),27,1,"$760,000","$760,000"
111,Richard Gordon,2016-2016 (FA: 2017),28,1,"$760,000","$760,000"
77,Logan Thomas,2016-2017 (FA: 2018),25,2,"$1,470,000","$735,000"
24,Tyler Higbee,2016-2019 (FA: 2020),23,4,"$2,920,860","$730,215"
26,Seth Devalve,2016-2019 (FA: 2020),23,4,"$2,723,393","$680,848"
120,Dominique Jones,2016-2016 (FA: 2017),28,1,"$675,000","$675,000"
120,MarQueis Gray,2016-2016 (FA: 2017),26,1,"$675,000","$675,000"
120,Brandon Williams,2016-2016 (FA: 2017),28,1,"$675,000","$675,000"
120,Konrad Reuland,2016-2016 (FA: 2017),28,1,"$675,000","$675,000"
120,Adrien Robinson,2016-2016 (FA: 2017),27,1,"$675,000","$675,000"
78,Justice Cunningham,2016-2017 (FA: 2018),24,2,"$1,290,000","$645,000"
78,Chris Pantale,2016-2017 (FA: 2018),25,2,"$1,290,000","$645,000"
27,Temarrick Hemingway,2016-2019 (FA: 2020),22,4,"$2,499,585","$624,896"
28,Moritz Boehringer,2016-2019 (FA: 2020),22,4,"$2,490,421","$622,605"
29,Jerell Adams,2016-2019 (FA: 2020),23,4,"$2,482,855","$620,714"
30,David Morgan,2016-2019 (FA: 2020),22,4,"$2,475,457","$618,864"
31,Rico Gathers,2016-2019 (FA: 2020),22,4,"$2,440,356","$610,089"
32,Thomas Duarte,2016-2019 (FA: 2020),21,4,"$2,418,851","$604,713"
125,Emil Igwenagu,2016-2016 (FA: 2017),27,1,"$600,000","$600,000"
125,Brandon Bostick,2016-2016 (FA: 2017),26,1,"$600,000","$600,000"
125,Darren Fells,2016-2016 (FA: 2017),29,1,"$600,000","$600,000"
125,Jake Stoneburner,2016-2016 (FA: 2017),26,1,"$600,000","$600,000"
125,Zach Sudfeld,2016-2016 (FA: 2017),26,1,"$600,000","$600,000"
125,Brian Leonhardt,2016-2016 (FA: 2017),25,1,"$600,000","$600,000"
125,Justin Perillo,2016-2016 (FA: 2017),24,1,"$600,000","$600,000"
125,Nic Jacobs,2016-2016 (FA: 2017),24,1,"$600,000","$600,000"
34,Beau Sandland,2016-2019 (FA: 2020),23,4,"$2,399,326","$599,832"
80,Blake Annen,2016-2017 (FA: 2018),24,2,"$1,140,000","$570,000"
80,MyCole Pruitt,2016-2017 (FA: 2018),23,2,"$1,140,000","$570,000"
80,Gabe Holmes,2016-2017 (FA: 2018),24,2,"$1,140,000","$570,000"
40,Henry Krieger-Coble,2016-2018 (FA: 2019),23,3,"$1,630,000","$543,333"
40,Dillon Gordon,2016-2018 (FA: 2019),22,3,"$1,630,000","$543,333"
