rank,player-name,rank-position,year signed,age,year 2,value,average/year
1,Robert Quinn,Linebacker,2014-2019 (FA: 2020),24,4,"$57,014,895","$14,253,724"
22,Brian Orakpo,Outside Linebacker,2014-2014 (FA: 2015),27,1,"$11,455,000","$11,455,000"
5,Junior Galette,Outside Linebacker,2014-2019 (FA: 2020),26,4,"$41,500,000","$10,375,000"
7,DeMarcus Ware,Outside Linebacker,2014-2016 (FA: 2017),31,3,"$30,000,000","$10,000,000"
24,Jason Worilds,Outside Linebacker,2014-2014 (FA: 2015),25,1,"$9,754,000","$9,754,000"
2,Brian Cushing,Inside Linebacker,2014-2019 (FA: 2020),26,6,"$52,500,000","$8,750,000"
3,Donald Butler,Inside Linebacker,2014-2020 (FA: 2021),25,7,"$51,800,000","$7,400,000"
4,Sean Lee,Outside Linebacker,2014-2019 (FA: 2020),27,6,"$42,000,000","$7,000,000"
6,Lamarr Houston,Outside Linebacker,2014-2018 (FA: 2019),26,5,"$35,000,000","$7,000,000"
20,Chad Greenway,Outside Linebacker,2014-2015 (FA: 2016),30,2,"$12,600,000","$6,300,000"
8,Karlos Dansby,Inside Linebacker,2014-2017 (FA: 2018),32,4,"$24,000,000","$6,000,000"
13,Jon Beason,Inside Linebacker,2014-2016 (FA: 2017),29,3,"$17,000,000","$5,666,667"
9,D'Qwell Jackson,Inside Linebacker,2014-2017 (FA: 2018),30,4,"$22,000,000","$5,500,000"
10,Terrell Suggs,Outside Linebacker,2014-2018 (FA: 2019),31,4,"$20,700,000","$5,175,000"
23,LaMarr Woodley,Outside Linebacker,2014-2015 (FA: 2016),29,2,"$10,350,000","$5,175,000"
17,Rob Ninkovich,Outside Linebacker,2014-2016 (FA: 2017),29,3,"$15,000,000","$5,000,000"
11,Vontaze Burfict,Outside Linebacker,2014-2017 (FA: 2018),23,4,"$19,004,000","$4,751,000"
12,Khalil Mack,Outside Linebacker,2014-2018 (FA: 2019),23,4,"$18,676,999","$4,669,250"
13,Koa Misi,Outside Linebacker,2014-2017 (FA: 2018),26,4,"$17,000,000","$4,250,000"
21,Perry Riley,Inside Linebacker,2014-2016 (FA: 2017),25,3,"$12,000,000","$4,000,000"
30,Michael Neal,Outside Linebacker,2014-2015 (FA: 2016),26,2,"$8,000,000","$4,000,000"
16,Wesley Woodyard,Inside Linebacker,2014-2017 (FA: 2018),27,4,"$15,750,000","$3,937,500"
18,Daryl Smith,Inside Linebacker,2014-2017 (FA: 2018),32,4,"$13,600,000","$3,400,000"
15,Thomas Davis,Linebacker,2014-2015 (FA: 2016),30,5,"$16,500,000","$3,300,000"
19,Anthony Barr,Outside Linebacker,2014-2018 (FA: 2019),22,4,"$12,743,500","$3,185,875"
26,Kamerion Wimbley,Outside Linebacker,2014-2016 (FA: 2017),30,3,"$9,000,000","$3,000,000"
26,Willie Young,Outside Linebacker,2014-2016 (FA: 2017),28,3,"$9,000,000","$3,000,000"
33,Joe Mays,Inside Linebacker,2014-2015 (FA: 2016),28,2,"$6,000,000","$3,000,000"
43,Brandon Spikes,Inside Linebacker,2014-2014 (FA: 2015),26,1,"$3,000,000","$3,000,000"
55,Dwight Freeney,Outside Linebacker,2014-2014 (FA: 2015),33,1,"$2,500,000","$2,500,000"
25,Ryan Shazier,Inside Linebacker,2014-2020 (FA: 2021),22,4,"$9,507,212","$2,376,803"
35,Calvin Pace,Outside Linebacker,2014-2015 (FA: 2016),33,2,"$4,750,000","$2,375,000"
36,Jameel McClain,Inside Linebacker,2014-2015 (FA: 2016),28,2,"$4,500,000","$2,250,000"
28,C.J. Mosley,Inside Linebacker,2014-2018 (FA: 2019),21,4,"$8,788,002","$2,197,001"
38,Vincent Rey,Outside Linebacker,2014-2015 (FA: 2016),26,2,"$4,200,000","$2,100,000"
32,Dekoda Watson,Outside Linebacker,2014-2016 (FA: 2017),26,3,"$6,250,000","$2,083,333"
29,Dee Ford,Outside Linebacker,2014-2018 (FA: 2019),23,4,"$8,158,700","$2,039,675"
39,Keith Rivers,Outside Linebacker,2014-2015 (FA: 2016),27,2,"$4,050,000","$2,025,000"
40,Jarret Johnson,Outside Linebacker,2014-2015 (FA: 2016),32,2,"$4,000,000","$2,000,000"
81,Anthony Spencer,Outside Linebacker,2014-2014 (FA: 2015),30,1,"$2,000,000","$2,000,000"
31,Deone Bucannon,Inside Linebacker,2014-2018 (FA: 2019),21,4,"$7,709,202","$1,927,301"
83,Darryl Sharpton,Inside Linebacker,2014-2014 (FA: 2015),26,1,"$1,750,000","$1,750,000"
140,D.J. Williams,Inside Linebacker,2014-2014 (FA: 2015),31,1,"$1,500,000","$1,500,000"
141,Spencer Paysinger,Inside Linebacker,2014-2014 (FA: 2015),25,1,"$1,431,000","$1,431,000"
141,Jamari Lattimore,Inside Linebacker,2014-2014 (FA: 2015),25,1,"$1,431,000","$1,431,000"
143,Jonathan Casillas,Outside Linebacker,2014-2014 (FA: 2015),25,1,"$1,400,000","$1,400,000"
50,Bryan Braman,Outside Linebacker,2014-2014 (FA: 2016),26,2,"$2,650,000","$1,325,000"
34,Kyle Van Noy,Inside Linebacker,2014-2017 (FA: 2018),23,4,"$5,102,097","$1,275,524"
150,Dane Fletcher,Inside Linebacker,2014-2014 (FA: 2015),27,1,"$1,200,000","$1,200,000"
77,Dekoda Watson,Outside Linebacker,2014-2015 (FA: 2016),25,2,"$2,250,000","$1,125,000"
78,Albert McClellan,Inside Linebacker,2014-2015 (FA: 2016),27,2,"$2,200,000","$1,100,000"
37,Jeremiah Attaochu,Outside Linebacker,2014-2017 (FA: 2018),21,4,"$4,203,100","$1,050,775"
79,Reggie Walker,Inside Linebacker,2014-2015 (FA: 2016),27,2,"$2,050,000","$1,025,000"
163,James Harrison,Outside Linebacker,2014-2014 (FA: 2015),35,1,"$1,020,000","$1,020,000"
80,JoLonn Dunbar,Outside Linebacker,2014-2015 (FA: 2016),28,2,"$2,005,498","$1,002,749"
43,Adam Hayward,Outside Linebacker,2014-2016 (FA: 2017),29,3,"$3,000,000","$1,000,000"
81,Larry Dean,Outside Linebacker,2014-2014 (FA: 2015),25,2,"$2,000,000","$1,000,000"
164,Mark Herzlich,Outside Linebacker,2014-2014 (FA: 2015),26,1,"$1,000,000","$1,000,000"
166,Larry Foote,Inside Linebacker,2014-2014 (FA: 2015),33,1,"$955,000","$955,000"
198,James Anderson,Outside Linebacker,2014-2014 (FA: 2015),30,1,"$920,000","$920,000"
47,Kavell Conner,Inside Linebacker,2014-2016 (FA: 2017),27,3,"$2,700,000","$900,000"
199,Will Smith,Outside Linebacker,2014-2014 (FA: 2015),32,1,"$870,000","$870,000"
200,Ernie Sims,Outside Linebacker,2014-2014 (FA: 2015),29,1,"$865,000","$865,000"
201,Blake Costanzo,Outside Linebacker,2014-2014 (FA: 2015),29,1,"$855,000","$855,000"
201,Tim Dobbins,Inside Linebacker,2014-2014 (FA: 2015),31,1,"$855,000","$855,000"
201,Tim Dobbins,Inside Linebacker,2014-2014 (FA: 2015),31,1,"$855,000","$855,000"
201,Zac Diles,Inside Linebacker,2014-2014 (FA: 2015),28,1,"$855,000","$855,000"
201,Zac Diles,Inside Linebacker,2014-2014 (FA: 2015),28,1,"$855,000","$855,000"
201,Will Herring,Linebacker,2014-2014 (FA: 2015),30,1,"$855,000","$855,000"
208,Jasper Brinkley,Inside Linebacker,2014-2014 (FA: 2015),28,1,"$830,000","$830,000"
84,Frank Zombo,Outside Linebacker,2014-2015 (FA: 2016),27,2,"$1,625,000","$812,500"
209,Rob Jackson,Outside Linebacker,2014-2014 (FA: 2015),28,1,"$795,000","$795,000"
209,Jordan Senn,Outside Linebacker,2014-2014 (FA: 2015),29,1,"$795,000","$795,000"
209,Jarius Wynn,Outside Linebacker,2014-2014 (FA: 2015),27,1,"$795,000","$795,000"
209,Larry English,Outside Linebacker,2014-2014 (FA: 2015),28,1,"$795,000","$795,000"
209,Arthur Moats,Outside Linebacker,2014-2014 (FA: 2015),26,1,"$795,000","$795,000"
209,Ramon Humber,Outside Linebacker,2014-2014 (FA: 2015),26,1,"$795,000","$795,000"
41,Christian Kirksey,Inside Linebacker,2014-2017 (FA: 2018),21,4,"$3,040,000","$760,000"
42,Preston Brown,Inside Linebacker,2014-2017 (FA: 2018),21,4,"$3,005,750","$751,438"
215,Marcus Benard,Outside Linebacker,2014-2014 (FA: 2015),28,1,"$740,000","$740,000"
45,Chris Borland,Outside Linebacker,2014-2017 (FA: 2018),23,4,"$2,927,436","$731,859"
216,James Anderson,Outside Linebacker,2014-2014 (FA: 2015),30,1,"$730,000","$730,000"
216,Desmond Bishop,Outside Linebacker,2014-2014 (FA: 2015),30,1,"$730,000","$730,000"
216,Quentin Groves,Outside Linebacker,2014-2014 (FA: 2015),30,1,"$730,000","$730,000"
216,Quentin Groves,Outside Linebacker,2014-2014 (FA: 2015),30,1,"$730,000","$730,000"
216,Lawrence Sidbury,Outside Linebacker,2014-2014 (FA: 2015),28,1,"$730,000","$730,000"
216,Everette Brown,Outside Linebacker,2014-2014 (FA: 2015),26,1,"$730,000","$730,000"
216,Victor Butler,Outside Linebacker,2014-2014 (FA: 2015),27,1,"$730,000","$730,000"
216,Jason Williams,Outside Linebacker,2014-2014 (FA: 2015),27,1,"$730,000","$730,000"
216,Larry English,Outside Linebacker,2014-2014 (FA: 2015),27,1,"$730,000","$730,000"
216,Larry Grant,Linebacker,2014-2014 (FA: 2015),29,1,"$730,000","$730,000"
216,Marcus Benard,Outside Linebacker,2014-2014 (FA: 2015),28,1,"$730,000","$730,000"
216,Patrick Angerer,Inside Linebacker,2014-2014 (FA: 2015),27,1,"$730,000","$730,000"
216,Darryl Sharpton,Inside Linebacker,2014-2014 (FA: 2015),25,1,"$730,000","$730,000"
216,O'Brien Schofield,Outside Linebacker,2014-2014 (FA: 2015),27,1,"$730,000","$730,000"
216,Stevenson Sylvester,Inside Linebacker,2014-2014 (FA: 2015),25,1,"$730,000","$730,000"
216,Jamar Chaney,Inside Linebacker,2014-2014 (FA: 2015),27,1,"$730,000","$730,000"
216,Jamar Chaney,Inside Linebacker,2014-2014 (FA: 2015),27,1,"$730,000","$730,000"
216,Austin Spitler,Inside Linebacker,2014-2014 (FA: 2015),27,1,"$730,000","$730,000"
216,Jamaal Westerman,Linebacker,2014-2014 (FA: 2015),29,1,"$730,000","$730,000"
235,Jason Williams,Outside Linebacker,2014-2014 (FA: 2015),28,1,"$715,000","$715,000"
46,Kareem Martin,Outside Linebacker,2014-2017 (FA: 2018),22,4,"$2,843,560","$710,890"
236,Rolando McClain,Inside Linebacker,2014-2014 (FA: 2015),24,1,"$700,000","$700,000"
144,Josh Hull,Inside Linebacker,2014-2015 (FA: 2016),27,2,"$1,390,000","$695,000"
144,Chris Carter,Inside Linebacker,2014-2015 (FA: 2016),24,2,"$1,390,000","$695,000"
48,Maurice Alexander,Linebacker,2014-2017 (FA: 2018),24,4,"$2,684,260","$671,065"
49,Anthony Hitchens,Inside Linebacker,2014-2017 (FA: 2018),21,4,"$2,654,864","$663,716"
