rank,player-name,rank-position,year signed,age,year 2,value,average/year
21,Robert Mathis,Outside Linebacker,2006-2006 (FA: 2007),24,1,"$8,600,000","$8,600,000"
1,Julian Peterson,Linebacker,2006-2012 (FA: 2013),27,7,"$54,000,000","$7,714,286"
2,John Abraham,Outside Linebacker,2006-2011 (FA: 2012),27,6,"$45,000,000","$7,500,000"
3,A.J. Hawk,Outside Linebacker,2006-2011 (FA: 2012),22,6,"$37,500,000","$6,250,000"
5,Will Witherspoon,Outside Linebacker,2006-2011 (FA: 2012),25,6,"$33,000,000","$5,500,000"
3,LaVar Arrington,Outside Linebacker,2006-2012 (FA: 2013),27,7,"$37,500,000","$5,357,143"
6,Trent Cole,Outside Linebacker,2006-2013 (FA: 2014),23,5,"$26,000,000","$5,200,000"
7,Bryan Thomas,Linebacker,2006-2011 (FA: 2012),27,5,"$25,000,000","$5,000,000"
13,Bart Scott,Linebacker,2006-2008 (FA: 2009),25,3,"$13,500,000","$4,500,000"
9,Ben Leber,Linebacker,2006-2010 (FA: 2011),27,5,"$20,000,000","$4,000,000"
16,Willie McGinest,Linebacker,2006-2008 (FA: 2009),34,3,"$12,000,000","$4,000,000"
8,Kamerion Wimbley,Outside Linebacker,2006-2011 (FA: 2012),22,6,"$23,601,250","$3,933,542"
10,Ernie Sims,Outside Linebacker,2006-2010 (FA: 2011),21,5,"$16,650,000","$3,330,000"
14,Derrick Brooks,Linebacker,2006-2009 (FA: 2010),32,4,"$12,300,000","$3,075,000"
11,Stephen Cooper,Linebacker,2006-2010 (FA: 2011),26,5,"$15,000,000","$3,000,000"
16,Scott Fujita,Linebacker,2006-2009 (FA: 2010),26,4,"$12,000,000","$3,000,000"
12,Manny Lawson,Outside Linebacker,2006-2010 (FA: 2011),22,5,"$13,900,000","$2,780,000"
15,Tamba Hali,Outside Linebacker,2006-2010 (FA: 2011),22,5,"$12,150,000","$2,430,000"
20,Gary Brackett,Linebacker,2006-2009 (FA: 2010),25,4,"$9,315,000","$2,328,750"
18,Bobby Carpenter,Linebacker,2006-2010 (FA: 2011),22,5,"$10,800,000","$2,160,000"
19,Chad Greenway,Outside Linebacker,2006-2010 (FA: 2011),23,5,"$10,750,000","$2,150,000"
45,Jarret Johnson,Outside Linebacker,2006-2006 (FA: 2007),24,1,"$1,573,000","$1,573,000"
45,Cato June,Linebacker,2006-2006 (FA: 2007),26,1,"$1,573,000","$1,573,000"
23,Paris Lenon,Inside Linebacker,2006-2008 (FA: 2009),28,3,"$4,600,000","$1,533,333"
22,James Harrison,Outside Linebacker,2006-2009 (FA: 2010),27,4,"$5,500,000","$1,375,000"
24,DeMeco Ryans,Inside Linebacker,2006-2009 (FA: 2010),21,4,"$4,160,000","$1,040,000"
25,Rocky McIntosh,Outside Linebacker,2006-2009 (FA: 2010),23,4,"$4,150,000","$1,037,500"
61,Junior Seau,Linebacker,2006-2006 (FA: 2007),36,1,"$1,000,000","$1,000,000"
26,Thomas Howard,Linebacker,2006-2009 (FA: 2010),23,4,"$3,810,000","$952,500"
27,D'Qwell Jackson,Inside Linebacker,2006-2009 (FA: 2010),22,4,"$3,690,000","$922,500"
49,Mario Haggan,Linebacker,2006-2007 (FA: 2008),25,2,"$1,475,000","$737,500"
63,Scott Shanle,Linebacker,2006-2006 (FA: 2007),26,1,"$721,600","$721,600"
66,Nail Diggs,Linebacker,2006-2006 (FA: 2007),27,1,"$625,000","$625,000"
66,Rob Morris,Inside Linebacker,2006-2006 (FA: 2007),30,1,"$625,000","$625,000"
28,Chris Gocong,Linebacker,2006-2009 (FA: 2010),22,4,"$2,440,000","$610,000"
29,Abdul Hodge,Linebacker,2006-2009 (FA: 2010),23,4,"$2,418,000","$604,500"
30,Anthony Schlegel,Linebacker,2006-2009 (FA: 2010),25,4,"$2,344,000","$586,000"
68,Monty Beisel,Linebacker,2006-2006 (FA: 2007),28,1,"$585,000","$585,000"
31,Clint Ingram,Linebacker,2006-2009 (FA: 2010),23,4,"$2,325,000","$581,250"
32,Ahmad Brooks,Outside Linebacker,2006-2009 (FA: 2010),21,4,"$2,255,750","$563,938"
33,Gerris Wilkinson,Linebacker,2006-2009 (FA: 2010),23,4,"$2,193,500","$548,375"
44,Jon Alston,Linebacker,2006-2008 (FA: 2009),24,3,"$1,630,000","$543,333"
47,James Anderson,Outside Linebacker,2006-2008 (FA: 2009),22,3,"$1,567,200","$522,400"
34,Leon Williams,Linebacker,2006-2009 (FA: 2010),22,4,"$2,060,000","$515,000"
48,Freddy Keiaho,Linebacker,2006-2008 (FA: 2009),23,3,"$1,540,000","$513,333"
