rank,player-name,rank-position,year signed,age,year 2,value,average/year
1,Chandler Jones,Outside Linebacker,2017-2021 (FA: 2022),27,5,"$82,500,000","$16,500,000"
2,Melvin Ingram,Outside Linebacker,2017-2020 (FA: 2021),28,4,"$64,000,000","$16,000,000"
13,Chandler Jones,Outside Linebacker,2017-2017 (FA: 2018),27,1,"$14,550,000","$14,550,000"
4,Jamie Collins,Outside Linebacker,2017-2020 (FA: 2021),27,4,"$50,000,000","$12,500,000"
3,Nick Perry,Outside Linebacker,2017-2021 (FA: 2022),26,5,"$59,000,000","$11,800,000"
5,Telvin Smith,Outside Linebacker,2017-2021 (FA: 2022),26,4,"$45,051,175","$11,262,794"
9,Vontaze Burfict,Outside Linebacker,2017-2020 (FA: 2021),26,3,"$32,534,000","$10,844,667"
6,Alec Ogletree,Inside Linebacker,2017-2021 (FA: 2022),26,4,"$42,750,000","$10,687,500"
7,Christian Kirksey,Inside Linebacker,2017-2021 (FA: 2022),24,4,"$38,000,000","$9,500,000"
8,Dont'a Hightower,Inside Linebacker,2017-2021 (FA: 2022),27,4,"$35,500,000","$8,875,000"
10,Kiko Alonso,Outside Linebacker,2017-2020 (FA: 2021),26,4,"$28,910,000","$7,227,500"
23,Thomas Davis,Linebacker,2017-2018 (FA: 2019),34,1,"$6,750,000","$6,750,000"
12,A.J. Klein,Outside Linebacker,2017-2019 (FA: 2020),25,4,"$24,000,000","$6,000,000"
15,Lawrence Timmons,Inside Linebacker,2017-2018 (FA: 2019),30,2,"$12,000,000","$6,000,000"
16,Kyle Van Noy,Inside Linebacker,2017-2019 (FA: 2020),26,2,"$11,757,095","$5,878,548"
11,Malcolm Smith,Outside Linebacker,2017-2019 (FA: 2020),27,5,"$26,500,000","$5,300,000"
19,Derrick Johnson,Inside Linebacker,2017-2017 (FA: 2018),34,2,"$10,250,000","$5,125,000"
33,Kevin Minter,Inside Linebacker,2017-2017 (FA: 2018),26,1,"$4,250,000","$4,250,000"
22,Elvis Dumervil,Outside Linebacker,2017-2018 (FA: 2019),33,2,"$8,000,000","$4,000,000"
18,Wesley Woodyard,Inside Linebacker,2017-2019 (FA: 2020),30,3,"$10,500,000","$3,500,000"
36,Ahmad Brooks,Outside Linebacker,2017-2017 (FA: 2018),33,1,"$3,500,000","$3,500,000"
36,Connor Barwin,Outside Linebacker,2017-2017 (FA: 2018),30,1,"$3,500,000","$3,500,000"
14,Haason Reddick,Outside Linebacker,2017-2020 (FA: 2021),22,4,"$13,477,966","$3,369,492"
48,Keenan Robinson,Outside Linebacker,2017-2017 (FA: 2018),27,1,"$3,000,000","$3,000,000"
48,Paul Worrilow,Outside Linebacker,2017-2017 (FA: 2018),26,1,"$3,000,000","$3,000,000"
25,Lorenzo Alexander,Outside Linebacker,2017-2018 (FA: 2019),33,2,"$5,950,000","$2,975,000"
50,Erik Walden,Outside Linebacker,2017-2017 (FA: 2018),31,1,"$2,750,000","$2,750,000"
51,Todd Davis,Inside Linebacker,2017-2017 (FA: 2018),26,1,"$2,746,000","$2,746,000"
17,Jarrad Davis,Inside Linebacker,2017-2020 (FA: 2021),22,4,"$10,969,183","$2,742,296"
60,Navorro Bowman,Inside Linebacker,2017-2017 (FA: 2018),29,1,"$2,600,000","$2,600,000"
29,David Harris,Inside Linebacker,2017-2018 (FA: 2019),33,2,"$5,000,000","$2,500,000"
29,Manti Te'o,Inside Linebacker,2017-2018 (FA: 2019),26,2,"$5,000,000","$2,500,000"
65,Sean Spence,Inside Linebacker,2017-2017 (FA: 2018),27,1,"$2,500,000","$2,500,000"
20,T.J. Watt,Outside Linebacker,2017-2021 (FA: 2022),22,4,"$9,258,568","$2,314,642"
71,Zach Brown,Inside Linebacker,2017-2017 (FA: 2018),27,1,"$2,300,000","$2,300,000"
21,Reuben Foster,Inside Linebacker,2017-2020 (FA: 2021),23,4,"$9,035,309","$2,258,827"
73,Jarvis Jones,Outside Linebacker,2017-2017 (FA: 2018),27,1,"$2,250,000","$2,250,000"
74,Demario Davis,Outside Linebacker,2017-2017 (FA: 2018),28,1,"$2,225,000","$2,225,000"
24,Daren Bates,Inside Linebacker,2017-2019 (FA: 2020),26,3,"$6,000,000","$2,000,000"
75,Karlos Dansby,Inside Linebacker,2017-2017 (FA: 2018),34,1,"$2,000,000","$2,000,000"
75,Barkevious Mingo,Outside Linebacker,2017-2017 (FA: 2018),26,1,"$2,000,000","$2,000,000"
34,Josh Martin,Outside Linebacker,2017-2018 (FA: 2019),25,2,"$3,800,000","$1,900,000"
78,Korey Toomer,Inside Linebacker,2017-2017 (FA: 2018),28,1,"$1,797,000","$1,797,000"
78,Jacquies Smith,Outside Linebacker,2017-2017 (FA: 2018),26,1,"$1,797,000","$1,797,000"
78,Will Compton,Inside Linebacker,2017-2017 (FA: 2018),27,1,"$1,797,000","$1,797,000"
36,James Harrison,Outside Linebacker,2017-2018 (FA: 2019),38,2,"$3,500,000","$1,750,000"
28,Dekoda Watson,Outside Linebacker,2017-2019 (FA: 2020),29,3,"$5,100,000","$1,700,000"
168,Jayrone Elliott,Outside Linebacker,2017-2017 (FA: 2018),25,1,"$1,600,000","$1,600,000"
169,Michael Wilhoite,Inside Linebacker,2017-2017 (FA: 2018),30,1,"$1,550,000","$1,550,000"
170,Christian Jones,Linebacker,2017-2017 (FA: 2018),26,1,"$1,500,000","$1,500,000"
171,Brock Coyle,Outside Linebacker,2017-2017 (FA: 2018),26,1,"$1,450,000","$1,450,000"
26,Tyus Bowser,Outside Linebacker,2017-2020 (FA: 2021),21,4,"$5,575,610","$1,393,903"
27,Ryan Anderson,Outside Linebacker,2017-2020 (FA: 2021),22,4,"$5,324,723","$1,331,181"
60,Audie Cole,Inside Linebacker,2017-2018 (FA: 2019),27,2,"$2,600,000","$1,300,000"
181,LaRoy Reynolds,Inside Linebacker,2017-2017 (FA: 2018),26,1,"$1,300,000","$1,300,000"
182,Kasim Edebali,Outside Linebacker,2017-2017 (FA: 2018),27,1,"$1,200,000","$1,200,000"
31,Raekwon McMillan,Inside Linebacker,2017-2020 (FA: 2021),21,4,"$4,697,537","$1,174,384"
71,Nate Palmer,Inside Linebacker,2017-2018 (FA: 2019),27,2,"$2,300,000","$1,150,000"
32,Zach Cunningham,Inside Linebacker,2017-2020 (FA: 2021),22,4,"$4,471,745","$1,117,936"
193,Justin Durant,Outside Linebacker,2017-2017 (FA: 2018),31,1,"$1,080,000","$1,080,000"
223,James Harrison,Outside Linebacker,2017-2017 (FA: 2018),39,1,"$1,000,000","$1,000,000"
223,Dwight Freeney,Outside Linebacker,2017-2017 (FA: 2018),36,1,"$1,000,000","$1,000,000"
223,Jelani Jenkins,Outside Linebacker,2017-2017 (FA: 2018),24,1,"$1,000,000","$1,000,000"
228,Philip Wheeler,Outside Linebacker,2017-2017 (FA: 2018),32,1,"$980,000","$980,000"
228,Rey Maualuga,Inside Linebacker,2017-2017 (FA: 2018),30,1,"$980,000","$980,000"
230,Philip Wheeler,Outside Linebacker,2017-2017 (FA: 2018),32,1,"$900,000","$900,000"
230,Lamarr Houston,Outside Linebacker,2017-2017 (FA: 2018),30,1,"$900,000","$900,000"
230,Dannell Ellerbe,Outside Linebacker,2017-2017 (FA: 2018),31,1,"$900,000","$900,000"
230,Ramon Humber,Outside Linebacker,2017-2017 (FA: 2018),29,1,"$900,000","$900,000"
230,Dan Skuta,Outside Linebacker,2017-2017 (FA: 2018),31,1,"$900,000","$900,000"
230,Kelvin Sheppard,Inside Linebacker,2017-2017 (FA: 2018),29,1,"$900,000","$900,000"
230,Bryan Braman,Outside Linebacker,2017-2017 (FA: 2018),30,1,"$900,000","$900,000"
237,Chris Carter,Inside Linebacker,2017-2017 (FA: 2018),27,1,"$885,000","$885,000"
237,Corey Lemonier,Outside Linebacker,2017-2017 (FA: 2018),25,1,"$885,000","$885,000"
35,Duke Riley,Outside Linebacker,2017-2020 (FA: 2021),22,4,"$3,517,752","$879,438"
239,Najee Goode,Outside Linebacker,2017-2017 (FA: 2018),27,1,"$875,000","$875,000"
39,Alex Anzalone,Outside Linebacker,2017-2020 (FA: 2021),22,4,"$3,465,592","$866,398"
81,Ben Jacobs,Outside Linebacker,2017-2018 (FA: 2019),28,2,"$1,715,000","$857,500"
240,Sam Acho,Outside Linebacker,2017-2017 (FA: 2018),28,1,"$855,000","$855,000"
240,Mark Herzlich,Outside Linebacker,2017-2017 (FA: 2018),29,1,"$855,000","$855,000"
240,Steven Johnson,Inside Linebacker,2017-2017 (FA: 2018),28,1,"$855,000","$855,000"
240,Gerald Hodges,Inside Linebacker,2017-2017 (FA: 2018),26,1,"$855,000","$855,000"
240,Michael Mauti,Outside Linebacker,2017-2017 (FA: 2018),27,1,"$855,000","$855,000"
240,Terence Garvin,Inside Linebacker,2017-2017 (FA: 2018),26,1,"$855,000","$855,000"
40,Tim Williams,Outside Linebacker,2017-2020 (FA: 2021),23,4,"$3,396,680","$849,170"
41,Tarell Basham,Outside Linebacker,2017-2020 (FA: 2021),23,4,"$3,355,856","$838,964"
42,Derek Rivers,Outside Linebacker,2017-2020 (FA: 2021),23,4,"$3,304,896","$826,224"
246,Junior Galette,Outside Linebacker,2017-2017 (FA: 2018),28,1,"$800,000","$800,000"
247,J.T. Thomas,Outside Linebacker,2017-2017 (FA: 2018),29,1,"$795,000","$795,000"
43,Kendell Beckwith,Outside Linebacker,2017-2020 (FA: 2021),22,4,"$3,175,288","$793,822"
248,Sean Weatherspoon,Inside Linebacker,2017-2017 (FA: 2018),29,1,"$775,000","$775,000"
248,Josh Mauga,Inside Linebacker,2017-2017 (FA: 2018),30,1,"$775,000","$775,000"
248,Akeem Ayers,Outside Linebacker,2017-2017 (FA: 2018),28,1,"$775,000","$775,000"
248,Bruce Carter,Outside Linebacker,2017-2017 (FA: 2018),29,1,"$775,000","$775,000"
248,Bruce Carter,Outside Linebacker,2017-2017 (FA: 2018),29,1,"$775,000","$775,000"
248,Akeem Dent,Inside Linebacker,2017-2017 (FA: 2018),29,1,"$775,000","$775,000"
248,Andrew Gachkar,Outside Linebacker,2017-2017 (FA: 2018),28,1,"$775,000","$775,000"
248,Spencer Paysinger,Inside Linebacker,2017-2017 (FA: 2018),29,1,"$775,000","$775,000"
