rank,player-name,rank-position,year signed,age,year 2,value,average/year
1,Will Smith,Outside Linebacker,2008-2013 (FA: 2015),26,6,"$61,400,000","$10,233,333"
2,Vernon Gholston,Linebacker,2008-2010 (FA: 2011),22,5,"$50,000,000","$10,000,000"
3,Brian Urlacher,Linebacker,2008-2012 (FA: 2013),29,5,"$43,550,000","$8,710,000"
19,Terrell Suggs,Outside Linebacker,2008-2008 (FA: 2009),25,1,"$8,475,000","$8,475,000"
20,Karlos Dansby,Inside Linebacker,2008-2008 (FA: 2009),26,1,"$8,065,000","$8,065,000"
4,Lofa Tatupa,Linebacker,2008-2013 (FA: 2014),25,6,"$42,000,000","$7,000,000"
4,Calvin Pace,Outside Linebacker,2008-2013 (FA: 2014),27,6,"$42,000,000","$7,000,000"
6,Lance Briggs,Outside Linebacker,2008-2013 (FA: 2014),27,6,"$36,000,000","$6,000,000"
7,D.J. Williams,Inside Linebacker,2008-2013 (FA: 2014),26,6,"$32,000,000","$5,333,333"
8,Keith Rivers,Outside Linebacker,2008-2012 (FA: 2013),22,6,"$23,000,000","$3,833,333"
9,Jerod Mayo,Inside Linebacker,2008-2012 (FA: 2013),22,5,"$18,900,000","$3,780,000"
10,James Farrior,Linebacker,2008-2012 (FA: 2013),32,5,"$18,250,000","$3,650,000"
11,Boss Bailey,Linebacker,2008-2012 (FA: 2013),28,5,"$17,500,000","$3,500,000"
11,Kawika Mitchell,Linebacker,2008-2012 (FA: 2013),28,5,"$17,500,000","$3,500,000"
17,Reggie Torbor,Linebacker,2008-2011 (FA: 2012),27,4,"$14,000,000","$3,500,000"
28,Willie McGinest,Linebacker,2008-2008 (FA: 2009),36,1,"$3,500,000","$3,500,000"
13,Demorrio Williams,Linebacker,2008-2012 (FA: 2013),27,5,"$16,000,000","$3,200,000"
14,Matt Wilhelm,Linebacker,2008-2011 (FA: 2012),26,5,"$15,000,000","$3,000,000"
15,Brady Poppinga,Linebacker,2008-2012 (FA: 2013),28,5,"$14,900,000","$2,980,000"
18,Landon Johnson,Linebacker,2008-2010 (FA: 2011),26,3,"$8,500,000","$2,833,333"
16,Jyles Tucker,Linebacker,2008-2012 (FA: 2013),24,5,"$14,155,000","$2,831,000"
24,Brandon Chillar,Linebacker,2008-2009 (FA: 2010),25,2,"$5,400,000","$2,700,000"
21,Niko Koutouvides,Inside Linebacker,2008-2010 (FA: 2011),26,3,"$7,500,000","$2,500,000"
21,Charlie Anderson,Linebacker,2008-2010 (FA: 2011),26,3,"$7,500,000","$2,500,000"
23,Nail Diggs,Linebacker,2008-2010 (FA: 2011),29,3,"$7,000,000","$2,333,333"
40,Michael Boley,Linebacker,2008-2008 (FA: 2009),25,1,"$2,017,000","$2,017,000"
25,Dhani Jones,Linebacker,2008-2010 (FA: 2011),29,3,"$5,100,000","$1,700,000"
59,Takeo Spikes,Linebacker,2008-2008 (FA: 2009),31,1,"$1,680,000","$1,680,000"
61,Heath Farwell,Inside Linebacker,2008-2008 (FA: 2009),26,1,"$1,417,000","$1,417,000"
61,Tyjuan Hagler,Linebacker,2008-2008 (FA: 2009),26,1,"$1,417,000","$1,417,000"
63,Clark Haggans,Linebacker,2008-2008 (FA: 2009),30,1,"$1,350,000","$1,350,000"
64,Teddy Lehman,Linebacker,2008-2008 (FA: 2009),26,1,"$1,250,000","$1,250,000"
26,Brendon Ayanbadejo,Linebacker,2008-2011 (FA: 2012),31,4,"$4,925,000","$1,231,250"
34,Chaun Thompson,Linebacker,2008-2009 (FA: 2010),27,2,"$2,400,000","$1,200,000"
28,Brian Iwuh,Linebacker,2008-2010 (FA: 2011),23,3,"$3,500,000","$1,166,667"
27,Curtis Lofton,Inside Linebacker,2008-2011 (FA: 2012),22,4,"$4,578,000","$1,144,500"
38,Bryan Scott,Outside Linebacker,2008-2009 (FA: 2010),26,2,"$2,150,000","$1,075,000"
78,Adam Seward,Linebacker,2008-2008 (FA: 2009),25,1,"$927,000","$927,000"
78,Isaiah Ekejiuba,Linebacker,2008-2008 (FA: 2009),26,1,"$927,000","$927,000"
56,Dontarrious Thomas,Linebacker,2008-2009 (FA: 2010),27,2,"$1,720,000","$860,000"
30,Jordon Dizon,Linebacker,2008-2010 (FA: 2011),22,4,"$3,215,000","$803,750"
31,Quentin Groves,Outside Linebacker,2008-2011 (FA: 2012),24,4,"$3,060,000","$765,000"
85,Keyaron Fox,Inside Linebacker,2008-2008 (FA: 2009),25,1,"$645,000","$645,000"
