rank,player-name,rank-position,year signed,age,year 2,value,average/year
1,Luke Kuechly,Inside Linebacker,2015-2021 (FA: 2022),24,5,"$61,801,565","$12,360,313"
3,Bobby Wagner,Inside Linebacker,2015-2019 (FA: 2020),25,4,"$43,000,000","$10,750,000"
2,Lavonte David,Outside Linebacker,2015-2020 (FA: 2021),25,5,"$50,250,000","$10,050,000"
23,Aldon Smith,Outside Linebacker,2015-2015 (FA: 2016),25,1,"$9,754,400","$9,754,400"
14,Thomas Davis,Linebacker,2015-2017 (FA: 2018),32,2,"$18,000,000","$9,000,000"
5,DeAndre Levy,Outside Linebacker,2015-2019 (FA: 2020),28,4,"$33,758,730","$8,439,683"
28,Aldon Smith,Outside Linebacker,2015-2015 (FA: 2016),25,1,"$8,000,000","$8,000,000"
4,Pernell McPhee,Outside Linebacker,2015-2019 (FA: 2020),26,5,"$38,750,000","$7,750,000"
6,Brian Orakpo,Outside Linebacker,2015-2018 (FA: 2019),28,4,"$31,000,000","$7,750,000"
7,Mychal Kendricks,Outside Linebacker,2015-2019 (FA: 2020),24,4,"$29,000,000","$7,250,000"
12,David Harris,Inside Linebacker,2015-2017 (FA: 2018),31,3,"$21,500,000","$7,166,667"
20,Trent Cole,Outside Linebacker,2015-2016 (FA: 2017),32,2,"$14,000,000","$7,000,000"
8,Derrick Morgan,Outside Linebacker,2015-2018 (FA: 2019),29,4,"$27,000,000","$6,750,000"
8,K.J. Wright,Outside Linebacker,2015-2018 (FA: 2019),25,4,"$27,000,000","$6,750,000"
10,Whitney Mercilus,Outside Linebacker,2015-2019 (FA: 2020),24,4,"$26,000,000","$6,500,000"
14,Curtis Lofton,Inside Linebacker,2015-2017 (FA: 2018),28,3,"$18,000,000","$6,000,000"
37,Tamba Hali,Outside Linebacker,2015-2015 (FA: 2016),31,1,"$6,000,000","$6,000,000"
17,Dannell Ellerbe,Outside Linebacker,2015-2017 (FA: 2018),29,3,"$15,200,000","$5,066,667"
18,Paul Posluszny,Outside Linebacker,2015-2017 (FA: 2018),30,3,"$15,000,000","$5,000,000"
18,Rey Maualuga,Inside Linebacker,2015-2017 (FA: 2018),28,3,"$15,000,000","$5,000,000"
44,Jerod Mayo,Inside Linebacker,2015-2017 (FA: 2018),28,1,"$4,500,000","$4,500,000"
11,Brooks Reed,Outside Linebacker,2015-2019 (FA: 2020),28,5,"$22,000,000","$4,400,000"
16,Bruce Carter,Outside Linebacker,2015-2018 (FA: 2019),27,4,"$17,000,000","$4,250,000"
