player,player_id,position,team_name,grades_offense,snap_counts_block,rank,Year,index,player_name,year_signed,age,contract_length,value,average/year
Andrew Norwell,9126,G,JAX,67.9,801,74.0,2020,1047,Andrew Norwell,2020,28,5,"$66,500,000",13300000
Tyler Shatley,9257,C,JAX,67.7,642,75.0,2020,630,Tyler Shatley,2020,28,1,"$1,512,500",1512500
Alex Cappa,66578,G,TB,67.7,1105,75.0,2020,1039,Alex Cappa,2020,25,4,"$3,368,704",842176
Mark Glowinski,9567,G,IND,67.1,1168,78.0,2020,900,Mark Glowinski,2020,27,3,"$16,200,000",5400000
Elgton Jenkins,46298,G,GB,66.9,1184,79.0,2020,768,Elgton Jenkins,2020,24,4,"$6,767,140",1691785
Lucas Patrick,11435,G,GB,66.9,1086,79.0,2020,892,Lucas Patrick,2020,27,2,"$2,975,000",1487500
Alex Lewis,10764,G,NYJ,66.6,544,81.0,2020,338,Alex Lewis,2020,27,3,"$18,600,000",6200000
Oday Aboushi,7923,G,DET,66.6,622,81.0,2020,569,Oday Aboushi,2020,28,1,"$1,187,500",1187500
Bobby Hart,9659,T,CIN,66.3,872,83.0,2020,679,Bobby Hart,2020,25,3,"$16,150,000",5383333
Ezra Cleveland,41973,G,MIN,66.2,622,84.0,2020,445,Ezra Cleveland,2020,22,4,"$5,537,209",1384302
David DeCastro,7640,G,PIT,66.2,934,84.0,2020,1816,David DeCastro,2020,30,5,"$50,000,000",10000000
Nick Allegretti,39268,G,KC,66.0,898,86.0,2020,935,Nick Allegretti,2020,24,4,"$2,631,952",657988
Kevin Zeitler,7032,G,NYG,65.9,1003,87.0,2020,872,Kevin Zeitler,2020,29,3,"$32,000,000",10666667
Ereck Flowers,9442,G,MIA,65.9,857,87.0,2020,438,Ereck Flowers,2020,25,3,"$30,000,000",10000000
Matt Feiler,9289,G,PIT,65.9,937,87.0,2020,546,Matt Feiler,2020,27,1,"$3,259,000",3259000
Dennis Kelly,7146,T,TEN,65.9,1099,87.0,2020,426,Dennis Kelly,2020,30,3,"$17,250,000",5750000
Alex Mack,4944,C,ATL,65.9,972,87.0,2020,1737,Alex Mack,2020,34,5,"$45,000,000",9000000
Germain Ifedi,10665,G,CHI,65.5,1115,92.0,2020,450,Germain Ifedi,2020,25,1,"$1,047,500",1047500
Ted Karras,10855,C,MIA,65.3,1068,93.0,2020,610,Ted Karras,2020,27,1,"$3,000,000",3000000
Ike Boettger,46918,G,BUF,65.3,810,93.0,2020,1177,Ike Boettger,2020,25,3,"$1,710,000",570000
Justin Pugh,7800,G,ARZ,64.8,958,95.0,2020,1244,Justin Pugh,2020,29,5,"$44,775,000",8955000
Kaleb McGary,46912,T,ATL,64.3,890,96.0,2020,866,Kaleb McGary,2020,25,4,"$10,265,742",2566436
Jon Feliciano,9561,G,BUF,64.3,758,96.0,2020,843,Jon Feliciano,2020,28,2,"$7,250,000",3625000
Tyrell Crosby,38897,T,DET,64.2,657,98.0,2020,1360,Tyrell Crosby,2020,24,4,"$2,747,683",686921
Ryan Jensen,7985,C,TB,63.9,1335,99.0,2020,1329,Ryan Jensen,2020,28,4,"$42,000,000",10500000
Trey Hopkins,9276,C,CIN,63.8,938,100.0,2020,1001,Trey Hopkins,2020,28,3,"$20,400,000",6800000
Gabe Jackson,8716,G,LV,63.7,1062,101.0,2020,1516,Gabe Jackson,2020,28,5,"$55,000,000",11000000
Bradley Bozeman,27934,G,BLT,63.6,1158,102.0,2020,1074,Bradley Bozeman,2020,25,4,"$2,578,408",644602
Matt Paradis,8841,C,CAR,63.4,1029,103.0,2020,909,Matt Paradis,2020,30,3,"$29,030,000",9676667
Mitch Morse,9482,C,BUF,63.3,1067,104.0,2020,927,Mitch Morse,2020,27,4,"$44,500,000",11125000
Greg Van Roten,7746,G,NYJ,63.0,752,105.0,2020,453,Greg Van Roten,2020,30,3,"$10,500,000",3500000
Zach Fulton,8828,G,HST,63.0,953,105.0,2020,1377,Zach Fulton,2020,28,4,"$28,000,000",7000000
Chris Reed,9830,G,CAR,63.0,892,105.0,2020,714,Chris Reed,2020,27,2,"$2,975,000",1487500
Jesse Davis,9989,T,MIA,62.6,1055,108.0,2020,831,Jesse Davis,2020,28,3,"$15,000,000",5000000
Jedrick Wills Jr.,58467,T,CLV,62.6,1025,108.0,2020,476,Jedrick Wills Jr.,2020,21,4,"$19,702,914",4925729
Andrew Thomas,59701,T,NYG,62.4,977,110.0,2020,345,Andrew Thomas,2020,21,4,"$32,345,588",8086397
Isaac Seumalo,10713,G,PHI,62.4,588,110.0,2020,794,Isaac Seumalo,2020,26,3,"$15,918,000",5306000
Patrick Mekari,46219,C,BLT,62.3,695,112.0,2020,947,Patrick Mekari,2020,22,3,"$1,763,000",587667
Connor McGovern,10778,C,NYJ,62.2,969,113.0,2020,403,Connor McGovern,2020,26,3,"$27,000,000",9000000
Tytus Howard,25472,T,HST,62.1,811,114.0,2020,1012,Tytus Howard,2020,23,4,"$12,225,550",3056388
Andrus Peat,9446,G,NO,61.9,906,115.0,2020,347,Andrus Peat,2020,26,5,"$57,500,000",11500000
Cam Robinson,11789,T,JAX,61.7,973,116.0,2020,1436,Cam Robinson,2020,24,4,"$7,018,163",1754541
Daniel Brunskill,34807,C,SF,61.7,1087,116.0,2020,414,Daniel Brunskill,2020,26,1,"$675,000",675000
David Quessenberry,7957,T,TEN,61.7,485,116.0,2020,422,David Quessenberry,2020,29,2,"$1,525,000",762500
George Fant,11282,T,NYJ,61.6,829,119.0,2020,449,George Fant,2020,27,3,"$27,300,000",9100000
Garrett Bradbury,46013,C,MIN,61.4,1082,120.0,2020,780,Garrett Bradbury,2020,24,4,"$12,882,870",3220718
Dalton Risner,47008,G,DEN,61.3,999,121.0,2020,735,Dalton Risner,2020,25,4,"$7,142,284",1785571
John Miller,9514,G,CAR,61.2,910,122.0,2020,487,John Miller,2020,26,1,"$4,000,000",4000000
Ethan Pocic,11813,C,SEA,59.8,993,123.0,2020,1511,Ethan Pocic,2020,24,4,"$4,409,031",1102258
Nick Gates,29476,C,NYG,59.7,1014,124.0,2020,565,Nick Gates,2020,24,2,"$6,825,000",3412500
Sam Mustipher,13026,C,CHI,59.5,553,125.0,2020,594,Sam Mustipher,2020,23,2,"$1,390,000",695000
Sam Young,5702,T,LV,59.0,382,126.0,2020,596,Sam Young,2020,32,1,"$1,050,000",1050000
Cameron Fleming,8775,T,NYG,58.4,912,127.0,2020,382,Cameron Fleming,2020,27,1,"$3,500,000",3500000
Will Hernandez,46180,G,NYG,58.1,525,128.0,2020,1367,Will Hernandez,2020,24,4,"$7,450,744",1862686
Chukwuma Okorafor,46302,T,PIT,57.4,1122,129.0,2020,1110,Chukwuma Okorafor,2020,22,4,"$3,407,364",851841
Ben Powers,41482,G,BLT,57.2,654,130.0,2020,671,Ben Powers,2020,23,4,"$3,217,532",804383
Jonah Jackson,37070,G,DET,57.0,1006,131.0,2020,493,Jonah Jackson,2020,23,4,"$4,796,768",1199192
Quinton Spain,10110,G,CIN,56.7,720,132.0,2020,575,Quinton Spain,2020,28,3,"$15,000,000",5000000
Denzelle Good,9688,G,LV,56.7,958,132.0,2020,427,Denzelle Good,2020,28,1,"$2,000,000",2000000
Jawaan Taylor,41665,T,JAX,56.5,1037,134.0,2020,823,Jawaan Taylor,2020,22,4,"$7,823,899",1955975
Nick Martin,10684,C,HST,56.1,980,135.0,2020,937,Nick Martin,2020,27,3,"$33,000,000",11000000
James Carpenter,6177,G,ATL,56.1,826,135.0,2020,812,James Carpenter,2020,30,4,"$21,000,000",5250000
Michael Jordan,28021,G,CIN,55.7,731,137.0,2020,918,Michael Jordan,2020,22,4,"$3,008,392",752098
Matt Pryor,46647,G,PHI,55.3,775,138.0,2020,1283,Matt Pryor,2020,25,4,"$2,592,783",648196
Maurkice Pouncey,5543,C,PIT,54.8,952,139.0,2020,911,Maurkice Pouncey,2020,30,2,"$22,000,000",11000000
Trey Pipkins,91462,T,LAC,54.8,571,139.0,2020,1002,Trey Pipkins,2020,23,4,"$3,607,576",901894
Mason Cole,45547,C,ARZ,54.4,913,141.0,2020,1279,Mason Cole,2020,24,4,"$3,325,516",831379
Cesar Ruiz,59857,G,NO,53.8,884,142.0,2020,388,Cesar Ruiz,2020,21,4,"$12,679,205",3169801
Alex Bars,47018,G,CHI,53.3,617,143.0,2020,653,Alex Bars,2020,24,3,"$1,760,000",586667
Sam Tevi,11945,T,LAC,52.9,1024,144.0,2020,1681,Sam Tevi,2020,25,4,"$2,561,791",640448
Elijah Wilkinson,46238,T,DEN,52.5,503,145.0,2020,437,Elijah Wilkinson,2020,25,1,"$3,259,000",3259000
J.R. Sweezy,7209,G,ARZ,52.5,643,145.0,2020,802,J.R. Sweezy,2020,30,2,"$9,000,000",4500000
Austin Jackson,60816,T,MIA,52.3,848,148.0,2020,356,Austin Jackson,2020,21,4,"$13,640,342",3410086
Max Scharping,46961,G,HST,52.1,454,149.0,2020,914,Max Scharping,2020,23,4,"$5,068,088",1267022
Solomon Kindley,41471,G,MIA,51.3,747,150.0,2020,603,Solomon Kindley,2020,22,4,"$4,079,570",1019893
Joe Looney,7117,C,DAL,50.7,764,151.0,2020,483,Joe Looney,2020,29,1,"$2,437,000",2437000
Terence Steele,39461,T,DAL,50.3,970,152.0,2020,611,Terence Steele,2020,22,3,"$2,295,000",765000
Jordan Simmons,46744,G,SEA,50.0,621,153.0,2020,498,Jordan Simmons,2020,25,1,"$675,000",675000
Forrest Lamp,11793,G,LAC,49.4,1174,154.0,2020,1514,Forrest Lamp,2020,26,4,"$6,666,920",1666730
Matt Skura,11102,C,BLT,49.1,662,155.0,2020,550,Matt Skura,2020,27,1,"$2,133,000",2133000
Brandon Knight,25018,T,DAL,48.5,774,156.0,2020,686,Brandon Knight,2020,23,3,"$1,760,000",586667
Dan Feeney,11826,C,LAC,48.2,1174,157.0,2020,1474,Dan Feeney,2020,26,4,"$3,731,632",932908
Dakota Dozier,8772,G,MIN,44.6,1083,158.0,2020,411,Dakota Dozier,2020,28,1,"$1,000,000",1000000
Lloyd Cushenberry III,41924,C,DEN,40.5,1076,159.0,2020,535,Lloyd Cushenberry III,2020,22,4,"$4,655,990",1163998
Trai Turner,8727,G,LAC,34.8,536,160.0,2020,1702,Trai Turner,2020,27,4,"$45,000,000",11250000
Brandon Brooks,7078,G,PHI,92.8,1046,1.0,2019,683,Brandon Brooks,2019,30,4,"$56,350,000",14087500
Quenton Nelson,12954,G,IND,91.2,1042,2.0,2019,1315,Quenton Nelson,2019,23,4,"$23,888,907",5972227
Ryan Ramczyk,11787,T,NO,90.9,1113,3.0,2019,1679,Ryan Ramczyk,2019,25,4,"$8,891,554",2222889
Ronnie Stanley,10640,T,BLT,89.4,1032,4.0,2019,2005,Ronnie Stanley,2019,25,4,"$20,484,331",5121083
Mitchell Schwartz,7041,T,KC,89.3,1251,5.0,2019,928,Mitchell Schwartz,2019,30,3,"$24,455,000",8151667
Lane Johnson,7786,T,PHI,88.8,759,6.0,2019,885,Lane Johnson,2019,29,4,"$72,000,000",18000000
Zack Martin,8651,G,DAL,88.1,1114,7.0,2019,1380,Zack Martin,2019,28,6,"$84,000,000",14000000
La'el Collins,9719,T,DAL,86.4,1000,8.0,2019,881,La'el Collins,2019,26,5,"$50,000,000",10000000
Marshal Yanda,3702,G,BLT,85.2,1062,9.0,2019,902,Marshal Yanda,2019,34,1,"$10,000,000",10000000
Jason Peters,2148,T,PHI,83.3,936,10.0,2019,821,Jason Peters,2019,37,1,"$6,000,000",6000000
Joe Staley,3644,T,SF,81.3,605,11.0,2019,834,Joe Staley,2019,34,2,"$28,000,000",14000000
Terron Armstead,7856,T,NO,81.2,990,13.0,2019,2039,Terron Armstead,2019,27,5,"$65,000,000",13000000
Jason Kelce,6343,C,PHI,81.1,1227,14.0,2019,820,Jason Kelce,2019,31,3,"$24,500,000",8166667
Jack Conklin,10642,T,TEN,80.5,1108,15.0,2019,1859,Jack Conklin,2019,24,4,"$15,897,658",3974415
Taylor Lewan,8646,T,TEN,80.2,886,16.0,2019,1345,Taylor Lewan,2019,28,5,"$80,000,000",16000000
Braden Smith,46794,T,IND,79.8,1075,17.0,2019,1073,Braden Smith,2019,23,4,"$7,193,690",1798423
Jake Matthews,8641,T,ATL,79.7,1163,18.0,2019,1195,Jake Matthews,2019,27,5,"$72,500,000",14500000
Ryan Jensen,7985,C,TB,79.3,1139,19.0,2019,1329,Ryan Jensen,2019,27,4,"$42,000,000",10500000
Ben Jones,7099,C,TEN,79.3,1093,19.0,2019,670,Ben Jones,2019,30,2,"$13,500,000",6750000
David Bakhtiari,7891,T,GB,79.2,1199,21.0,2019,1815,David Bakhtiari,2019,27,4,"$48,000,000",12000000
Joe Thuney,10712,G,NE,79.2,1201,21.0,2019,1887,Joe Thuney,2019,26,4,"$3,213,428",803357
Erik McCoy,37347,C,NO,78.0,1113,23.0,2019,774,Erik McCoy,2019,21,4,"$6,077,748",1519437
Rodger Saffold,5558,G,TEN,77.4,1101,24.0,2019,964,Rodger Saffold,2019,30,4,"$44,000,000",11000000
Bryan Bulaga,5548,T,GB,77.1,959,25.0,2019,2127,Bryan Bulaga,2019,29,5,"$33,750,000",6750000
Tyron Smith,6161,T,DAL,76.6,882,26.0,2019,2055,Tyron Smith,2019,26,8,"$97,600,000",12200000
Kevin Zeitler,7032,G,NYG,76.4,991,27.0,2019,872,Kevin Zeitler,2019,28,3,"$32,000,000",10666667
Taylor Moton,11819,T,CAR,76.2,1106,28.0,2019,1691,Taylor Moton,2019,25,4,"$4,158,152",1039538
Garett Bolles,11775,T,DEN,76.1,1012,29.0,2019,1517,Garett Bolles,2019,26,4,"$11,031,904",2757976
Taylor Decker,10650,T,DET,75.9,1017,30.0,2019,2034,Taylor Decker,2019,25,4,"$10,966,980",2741745
Matt Feiler,9289,T,PIT,75.9,995,30.0,2019,905,Matt Feiler,2019,26,1,"$645,000",645000
Larry Warford,7846,G,NO,75.8,1025,32.0,2019,1614,Larry Warford,2019,27,4,"$34,000,000",8500000
Brandon Linder,8728,C,JAX,75.3,1083,34.0,2019,1426,Brandon Linder,2019,27,5,"$51,703,000",10340600
Shaq Mason,9564,G,NE,75.1,1128,35.0,2019,1337,Shaq Mason,2019,25,5,"$45,000,000",9000000
Laremy Tunsil,10647,T,HST,75.1,1062,35.0,2019,1937,Laremy Tunsil,2019,24,4,"$12,457,650",3114413
Frank Ragnow,39137,C,DET,74.9,996,37.0,2019,1162,Frank Ragnow,2019,22,4,"$11,780,140",2945035
Joel Bitonio,8670,G,CLV,74.2,1039,38.0,2019,1557,Joel Bitonio,2019,27,6,"$51,164,777",8527463
Graham Glasgow,10729,G,DET,74.1,872,39.0,2019,1852,Graham Glasgow,2019,26,4,"$3,037,920",759480
Duane Brown,4340,T,SEA,74.1,854,39.0,2019,1149,Duane Brown,2019,33,3,"$34,500,000",11500000
Richie Incognito,2298,G,LV,74.0,766,41.0,2019,960,Richie Incognito,2019,35,1,"$1,030,000",1030000
Alejandro Villanueva,9091,T,PIT,74.0,995,41.0,2019,1388,Alejandro Villanueva,2019,30,4,"$24,000,000",6000000
Corey Linsley,8796,C,GB,73.9,1074,43.0,2019,1465,Corey Linsley,2019,28,3,"$25,500,000",8500000
Orlando Brown Jr.,46227,T,BLT,73.6,1199,44.0,2019,1309,Orlando Brown Jr.,2019,23,4,"$3,491,720",872930
Dion Dawkins,11818,T,BUF,73.1,1099,45.0,2019,1494,Dion Dawkins,2019,25,4,"$4,183,239",1045810
Ryan Kelly,10652,C,IND,73.0,1018,46.0,2019,2013,Ryan Kelly,2019,25,4,"$10,450,983",2612746
Andrew Whitworth,3000,T,LA,72.8,1097,47.0,2019,1401,Andrew Whitworth,2019,37,3,"$33,750,000",11250000
Ali Marpet,9494,G,TB,72.3,1139,48.0,2019,655,Ali Marpet,2019,25,5,"$54,125,000",10825000
Alex Mack,4944,C,ATL,72.1,1156,49.0,2019,1737,Alex Mack,2019,33,5,"$45,000,000",9000000
Connor McGovern,10778,C,DEN,72.0,1013,50.0,2019,726,Connor McGovern,2019,21,4,"$3,618,108",904527
J.C. Tretter,7904,C,CLV,72.0,1039,50.0,2019,801,J.C. Tretter,2019,28,3,"$32,550,000",10850000
Eric Fisher,7783,T,KC,71.4,672,52.0,2019,1836,Eric Fisher,2019,28,4,"$48,000,000",12000000
David DeCastro,7640,G,PIT,71.1,995,53.0,2019,1816,David DeCastro,2019,29,5,"$50,000,000",10000000
Rodney Hudson,6207,C,LV,71.0,904,54.0,2019,965,Rodney Hudson,2019,30,3,"$33,750,000",11250000
Brian O'Neill,46854,T,MIN,70.8,1069,55.0,2019,1088,Brian O'Neill,2019,23,4,"$4,406,638",1101660
Isaac Seumalo,10713,G,PHI,70.6,1226,57.0,2019,794,Isaac Seumalo,2019,25,3,"$15,918,000",5306000
Mike McGlinchey,46275,T,SF,70.6,955,57.0,2019,1294,Mike McGlinchey,2019,24,4,"$18,341,721",4585430
Donovan Smith,9467,T,TB,70.4,1055,59.0,2019,764,Donovan Smith,2019,25,3,"$41,250,000",13750000
Marcus Cannon,6290,T,NE,70.1,1069,60.0,2019,1951,Marcus Cannon,2019,31,5,"$32,410,000",6482000
Travis Frederick,7812,C,DAL,70.0,1116,61.0,2019,2047,Travis Frederick,2019,28,6,"$56,400,060",9400010
James Daniels,45576,C,CHI,69.9,1069,62.0,2019,1199,James Daniels,2019,21,4,"$6,950,160",1737540
Riley Reiff,7029,T,MIN,69.5,998,63.0,2019,1667,Riley Reiff,2019,30,5,"$58,750,000",11750000
Chase Roullier,11954,C,WAS,69.3,833,64.0,2019,1449,Chase Roullier,2019,25,4,"$2,547,168",636792
Trent Brown,9677,T,LV,69.1,581,65.0,2019,999,Trent Brown,2019,25,4,"$66,000,000",16500000
Elgton Jenkins,46298,G,GB,69.1,1088,65.0,2019,768,Elgton Jenkins,2019,23,4,"$6,767,140",1691785
Laken Tomlinson,9461,G,SF,68.8,1239,67.0,2019,1266,Laken Tomlinson,2019,27,3,"$16,500,000",5500000
Matt Skura,11102,C,BLT,68.7,717,68.0,2019,910,Matt Skura,2019,26,1,"$645,000",645000
Andrew Wylie,12333,G,KC,67.4,716,69.0,2019,1049,Andrew Wylie,2019,24,2,"$1,050,000",525000
Nick Martin,10684,C,HST,67.3,1167,70.0,2019,937,Nick Martin,2019,26,3,"$33,000,000",11000000
Mitch Morse,9482,C,BUF,67.3,992,70.0,2019,927,Mitch Morse,2019,26,4,"$44,500,000",11125000
Kelvin Beachum,7229,T,NYJ,67.1,805,72.0,2019,1594,Kelvin Beachum,2019,29,3,"$24,000,000",8000000
Justin Pugh,7800,G,ARZ,66.8,1022,73.0,2019,1244,Justin Pugh,2019,28,5,"$44,775,000",8955000
Ted Karras,10855,C,NE,66.5,1102,74.0,2019,1692,Ted Karras,2019,25,3,"$1,890,000",630000
Greg Robinson,8637,T,CLV,66.3,860,75.0,2019,787,Greg Robinson,2019,26,1,"$7,000,000",7000000
Daniel Kilgore,6315,C,MIA,66.3,877,75.0,2019,1130,Daniel Kilgore,2019,31,3,"$11,780,000",3926667
Austin Reiter,9655,C,KC,66.0,1250,77.0,2019,1058,Austin Reiter,2019,28,2,"$4,500,000",2250000
Greg Van Roten,7746,G,CAR,65.6,704,78.0,2019,1174,Greg Van Roten,2019,28,2,"$1,660,000",830000
Andrew Norwell,9126,G,JAX,65.5,1088,79.0,2019,1047,Andrew Norwell,2019,27,5,"$66,500,000",13300000
Morgan Moses,8701,T,WAS,65.2,858,80.0,2019,1648,Morgan Moses,2019,28,5,"$38,500,000",7700000
Josh Kline,8230,G,MIN,65.1,857,81.0,2019,854,Josh Kline,2019,29,3,"$15,500,000",5166667
Kolton Miller,47013,T,LV,65.0,1019,82.0,2019,1256,Kolton Miller,2019,23,4,"$13,471,324",3367831
Nate Solder,6169,T,NYG,64.9,1011,83.0,2019,1299,Nate Solder,2019,30,4,"$62,000,000",15500000
Cody Whitehair,10690,G,CHI,64.9,1069,83.0,2019,719,Cody Whitehair,2019,27,5,"$51,250,000",10250000
Joe Dahl,10785,G,DET,64.9,798,83.0,2019,832,Joe Dahl,2019,26,2,"$3,600,000",1800000
Dalton Risner,47008,G,DEN,64.4,975,87.0,2019,735,Dalton Risner,2019,24,4,"$7,142,284",1785571
Mike Remmers,7431,T,NYG,64.2,870,88.0,2019,925,Mike Remmers,2019,30,1,"$2,500,000",2500000
Ereck Flowers,9442,G,WAS,64.1,937,89.0,2019,771,Ereck Flowers,2019,24,1,"$3,250,000",3250000
Donald Penn,3459,T,WAS,64.0,885,90.0,2019,762,Donald Penn,2019,36,1,"$2,030,000",2030000
Trai Turner,8727,G,CAR,63.9,888,91.0,2019,1702,Trai Turner,2019,26,4,"$45,000,000",11250000
Bradley Bozeman,27934,G,BLT,63.8,1199,92.0,2019,1074,Bradley Bozeman,2019,24,4,"$2,578,408",644602
Jawaan Taylor,41665,T,JAX,63.7,1087,93.0,2019,823,Jawaan Taylor,2019,21,4,"$7,823,899",1955975
Michael Schofield III,8730,G,LAC,63.6,1057,94.0,2019,1292,Michael Schofield III,2019,28,2,"$5,000,000",2500000
Brandon Shell,10792,T,NYJ,63.6,806,94.0,2019,1764,Brandon Shell,2019,27,4,"$2,575,966",643992
Billy Turner,8702,G,GB,63.4,1200,96.0,2019,674,Billy Turner,2019,27,4,"$28,000,000",7000000
Matt Paradis,8841,C,CAR,63.4,1094,96.0,2019,909,Matt Paradis,2019,29,3,"$29,030,000",9676667
Mike Person,6391,G,SF,63.2,1114,98.0,2019,921,Mike Person,2019,30,3,"$8,250,000",2750000
Bobby Massie,7112,T,CHI,63.2,612,98.0,2019,680,Bobby Massie,2019,29,4,"$32,000,000",8000000
Jon Feliciano,9561,G,BUF,63.1,1031,100.0,2019,843,Jon Feliciano,2019,27,2,"$7,250,000",3625000
Alex Cappa,66578,G,TB,62.7,869,102.0,2019,1039,Alex Cappa,2019,24,4,"$3,368,704",842176
Weston Richburg,8678,C,SF,62.5,835,103.0,2019,1365,Weston Richburg,2019,27,5,"$47,500,000",9500000
Marshall Newhouse,5692,T,NE,62.5,732,103.0,2019,903,Marshall Newhouse,2019,30,1,"$1,120,000",1120000
Trey Hopkins,9276,C,CIN,62.4,1097,105.0,2019,1001,Trey Hopkins,2019,27,3,"$20,400,000",6800000
Pat Elflein,11825,G,MIN,62.3,1043,106.0,2019,1659,Pat Elflein,2019,24,4,"$3,747,840",936960
Gabe Jackson,8716,G,LV,61.8,707,107.0,2019,1516,Gabe Jackson,2019,27,5,"$55,000,000",11000000
J.R. Sweezy,7209,G,ARZ,61.6,1001,108.0,2019,802,J.R. Sweezy,2019,29,2,"$9,000,000",4500000
Brian Winters,7853,G,NYJ,61.0,526,109.0,2019,1768,Brian Winters,2019,28,4,"$29,000,000",7250000
David Edwards,35941,G,LA,61.0,689,109.0,2019,744,David Edwards,2019,21,4,"$2,784,520",696130
Connor Williams,46216,G,DAL,60.9,727,111.0,2019,1119,Connor Williams,2019,21,4,"$5,488,989",1372247
Mark Glowinski,9567,G,IND,60.5,1076,112.0,2019,900,Mark Glowinski,2019,26,3,"$16,200,000",5400000
Mike Iupati,5542,G,SEA,60.4,1015,113.0,2019,923,Mike Iupati,2019,31,1,"$2,750,000",2750000
Sam Tevi,11945,T,LAC,59.8,782,114.0,2019,1681,Sam Tevi,2019,24,4,"$2,561,791",640448
Laurent Duvernay-Tardif,8834,G,KC,59.7,1104,115.0,2019,1617,Laurent Duvernay-Tardif,2019,28,5,"$42,363,000",8472600
Elijah Wilkinson,46238,T,DEN,59.6,832,116.0,2019,770,Elijah Wilkinson,2019,24,1,"$645,000",645000
Tytus Howard,25472,T,HST,59.4,488,117.0,2019,1012,Tytus Howard,2019,22,4,"$12,225,550",3056388
Max Scharping,46961,G,HST,59.1,1085,118.0,2019,914,Max Scharping,2019,22,4,"$5,068,088",1267022
D.J. Fluker,7792,G,SEA,59.1,984,118.0,2019,733,D.J. Fluker,2019,28,2,"$6,000,000",3000000
Ramon Foster,5229,G,PIT,59.0,822,120.0,2019,956,Ramon Foster,2019,33,2,"$8,250,000",4125000
Jesse Davis,9989,T,MIA,58.9,975,121.0,2019,831,Jesse Davis,2019,27,3,"$15,000,000",5000000
Germain Ifedi,10665,T,SEA,58.8,1228,122.0,2019,1849,Germain Ifedi,2019,24,4,"$8,265,105",2066276
Charles Leno Jr.,8880,T,CHI,58.6,1066,123.0,2019,1447,Charles Leno Jr.,2019,27,4,"$37,000,000",9250000
John Miller,9514,G,CIN,58.6,779,123.0,2019,839,John Miller,2019,25,3,"$16,500,000",5500000
Brian Allen,46104,C,LA,58.6,563,123.0,2019,1086,Brian Allen,2019,23,4,"$3,146,936",786734
Ron Leary,7338,G,DEN,58.4,754,127.0,2019,1671,Ron Leary,2019,29,4,"$36,000,000",9000000
Will Hernandez,46180,G,NYG,58.4,1068,127.0,2019,1367,Will Hernandez,2019,23,4,"$7,450,744",1862686
Scott Quessenberry,23918,C,LAC,58.4,625,127.0,2019,1333,Scott Quessenberry,2019,24,4,"$2,744,252",686063
Garrett Bradbury,46013,C,MIN,57.8,1112,130.0,2019,780,Garrett Bradbury,2019,23,4,"$12,882,870",3220718
Bobby Hart,9659,T,CIN,57.6,1086,131.0,2019,679,Bobby Hart,2019,24,3,"$16,150,000",5383333
Wyatt Teller,46131,G,CLV,56.7,557,133.0,2019,1373,Wyatt Teller,2019,24,4,"$2,714,123",678531
Wes Schweitzer,10829,G,ATL,56.4,697,134.0,2019,2064,Wes Schweitzer,2019,25,4,"$2,472,381",618095
Jon Halapio,8814,C,NYG,56.3,980,135.0,2019,844,Jon Halapio,2019,27,1,"$645,000",645000
Daryl Williams,9535,T,CAR,56.1,838,136.0,2019,742,Daryl Williams,2019,26,1,"$6,000,000",6000000
Alex Lewis,10764,G,NYJ,56.1,764,136.0,2019,1736,Alex Lewis,2019,27,4,"$2,831,897",707974
Quinton Spain,10110,G,BUF,55.8,1147,138.0,2019,954,Quinton Spain,2019,27,1,"$2,050,000",2050000
A.J. Cann,9500,G,JAX,55.3,775,139.0,2019,645,A.J. Cann,2019,27,3,"$15,055,000",5018333
Cam Robinson,11789,T,JAX,54.8,869,140.0,2019,1436,Cam Robinson,2019,23,4,"$7,018,163",1754541
Zach Fulton,8828,G,HST,53.4,1102,141.0,2019,1377,Zach Fulton,2019,27,4,"$28,000,000",7000000
Kaleb McGary,46912,T,ATL,53.0,1104,142.0,2019,866,Kaleb McGary,2019,24,4,"$10,265,742",2566436
Joey Hunt,10849,G,SEA,52.2,733,143.0,2019,835,Joey Hunt,2019,25,1,"$720,000",720000
Cody Ford,39805,T,BUF,51.8,783,144.0,2019,718,Cody Ford,2019,22,4,"$7,506,640",1876660
Dan Feeney,11826,G,LAC,51.7,1032,145.0,2019,1474,Dan Feeney,2019,25,4,"$3,731,632",932908
Rashaad Coward,12168,G,CHI,51.7,660,145.0,2019,958,Rashaad Coward,2019,24,2,"$1,470,000",735000
Maurkice Pouncey,5543,C,PIT,51.5,777,147.0,2019,911,Maurkice Pouncey,2019,29,2,"$22,000,000",11000000
Jonotthan Harrison,9132,C,NYJ,51.4,679,148.0,2019,846,Jonotthan Harrison,2019,27,2,"$5,000,000",2500000
Rob Havenstein,9490,T,LA,50.9,616,149.0,2019,1322,Rob Havenstein,2019,27,4,"$32,500,000",8125000
Chris Hubbard,8051,T,CLV,50.5,891,150.0,2019,1105,Chris Hubbard,2019,27,5,"$36,500,000",7300000
Austin Blythe,10882,C,LA,50.2,996,151.0,2019,1751,Austin Blythe,2019,26,4,"$2,401,989",600497
Evan Boehm,10762,G,MIA,47.4,595,154.0,2019,776,Evan Boehm,2019,25,1,"$2,025,000",2025000
Nate Davis,46808,G,TEN,46.6,899,155.0,2019,930,Nate Davis,2019,22,4,"$3,700,180",925045
