player,player_id,position,team_name,grades_offense,snap_counts_block,rank,Year,index,player_name,year_signed,age,contract_length,value,average/year
Alex Cappa,66578,G,TB,71.9,1327,54.0,2021,1039,Alex Cappa,2021,26,4,"$3,368,704",842176
Jake Matthews,8641,T,ATL,71.3,1029,57.0,2021,1195,Jake Matthews,2021,29,5,"$72,500,000",14500000
George Fant,11282,T,NYJ,71.1,889,58.0,2021,449,George Fant,2021,28,3,"$27,300,000",9100000
James Daniels,45576,G,CHI,71.0,1121,59.0,2021,1199,James Daniels,2021,23,4,"$6,950,160",1737540
Morgan Moses,8701,T,NYJ,71.0,1022,59.0,2021,240,Morgan Moses,2021,30,1,"$3,600,000",3600000
Alex Mack,4944,C,SF,70.6,1258,61.0,2021,12,Alex Mack,2021,35,3,"$14,850,000",4950000
Taylor Lewan,8646,T,TEN,70.5,899,62.0,2021,1345,Taylor Lewan,2021,30,5,"$80,000,000",16000000
Jack Driscoll,27064,G,PHI,70.5,512,62.0,2021,462,Jack Driscoll,2021,24,4,"$3,789,400",947350
Mark Glowinski,9567,G,IND,70.1,843,64.0,2021,900,Mark Glowinski,2021,28,3,"$16,200,000",5400000
Bobby Massie,7112,T,DEN,70.0,796,65.0,2021,33,Bobby Massie,2021,31,1,"$2,500,000",2500000
James Hurst,9001,T,NO,69.8,941,66.0,2021,157,James Hurst,2021,29,3,"$9,000,000",3000000
Landon Dickerson,41712,G,PHI,69.6,925,67.0,2021,213,Landon Dickerson,2021,22,4,"$8,656,675",2164169
Austin Corbett,46290,G,LA,69.6,1360,67.0,2021,1051,Austin Corbett,2021,25,4,"$7,568,000",1892000
Jonah Jackson,37070,G,DET,69.3,1037,69.0,2021,493,Jonah Jackson,2021,24,4,"$4,796,768",1199192
Nate Davis,46808,G,TEN,69.2,1004,70.0,2021,930,Nate Davis,2021,24,4,"$3,700,180",925045
Quenton Nelson,12954,G,IND,69.1,767,71.0,2021,1315,Quenton Nelson,2021,25,4,"$23,888,907",5972227
Ryan Jensen,7985,C,TB,68.7,1296,72.0,2021,1329,Ryan Jensen,2021,29,4,"$42,000,000",10500000
Ezra Cleveland,41973,G,MIN,68.6,1140,73.0,2021,445,Ezra Cleveland,2021,23,4,"$5,537,209",1384302
Dalton Risner,47008,G,DEN,68.5,832,74.0,2021,735,Dalton Risner,2021,26,4,"$7,142,284",1785571
Halapoulivaati Vaitai,10798,G,DET,68.4,953,75.0,2021,455,Halapoulivaati Vaitai,2021,27,5,"$45,000,000",9000000
Eric Fisher,7783,T,IND,68.2,874,76.0,2021,114,Eric Fisher,2021,30,1,"$8,380,000",8380000
Trai Turner,8727,G,PIT,68.1,1150,77.0,2021,300,Trai Turner,2021,28,1,"$3,000,000",3000000
Greg Van Roten,7746,G,NYJ,68.1,700,77.0,2021,453,Greg Van Roten,2021,31,3,"$10,500,000",3500000
David Edwards,35941,G,LA,68.0,1365,79.0,2021,744,David Edwards,2021,23,4,"$2,784,520",696130
Rodger Saffold,5558,G,TEN,67.6,906,80.0,2021,964,Rodger Saffold,2021,32,4,"$44,000,000",11000000
D.J. Humphries,9457,T,ARZ,67.5,1138,81.0,2021,409,D.J. Humphries,2021,27,3,"$43,750,000",14583333
Robert Hunt,46139,G,MIA,67.4,1153,82.0,2021,581,Robert Hunt,2021,24,4,"$8,065,741",2016435
Quinn Meinerz,112915,G,DEN,67.4,623,82.0,2021,259,Quinn Meinerz,2021,22,4,"$4,785,852",1196463
Cam Robinson,11789,T,JAX,67.4,856,82.0,2021,53,Cam Robinson,2021,25,1,"$13,754,000",13754000
Riley Reiff,7029,T,CIN,67.3,711,85.0,2021,267,Riley Reiff,2021,32,1,"$7,500,000",7500000
Ethan Pocic,11813,C,SEA,67.3,600,85.0,2021,117,Ethan Pocic,2021,25,1,"$3,000,000",3000000
Billy Turner,8702,T,GB,67.1,866,87.0,2021,674,Billy Turner,2021,29,4,"$28,000,000",7000000
Brandon Shell,10792,T,SEA,67.0,550,88.0,2021,373,Brandon Shell,2021,29,2,"$9,000,000",4500000
Evan Brown,38709,C,DET,66.8,755,89.0,2021,119,Evan Brown,2021,24,1,"$920,000",920000
Alijah Vera-Tucker,57107,G,NYJ,66.8,1027,89.0,2021,16,Alijah Vera-Tucker,2021,22,4,"$15,885,028",3971257
Michael Schofield III,8730,G,LAC,66.8,907,89.0,2021,235,Michael Schofield III,2021,30,1,"$1,075,000",1075000
Daryl Williams,9535,G,BUF,66.8,1292,89.0,2021,96,Daryl Williams,2021,28,3,"$24,000,000",8000000
Andrew Norwell,9126,G,JAX,66.7,1078,93.0,2021,1047,Andrew Norwell,2021,29,5,"$66,500,000",13300000
Quinton Spain,10110,G,CIN,66.4,1252,94.0,2021,260,Quinton Spain,2021,29,1,"$1,127,500",1127500
Ben Powers,41482,G,BLT,66.3,844,95.0,2021,671,Ben Powers,2021,24,4,"$3,217,532",804383
Cody Whitehair,10690,G,CHI,66.2,1121,96.0,2021,719,Cody Whitehair,2021,29,5,"$51,250,000",10250000
