position,player_name,team_name,grades_offense,snap_counts_block,rank,Year,player_name,year_signed,age,average/year,sim_sal,diff
T,Christian Darrisaw,MIN,71.9,652,54.0,2021,Christian Darrisaw,2021,21,3336535,7016627.5,-3680092.5
G,Alex Cappa,TB,71.9,1327,54.0,2021,Alex Cappa,2021,26,842176,5887460.833333333,-5045284.833333333
T,Jake Matthews,ATL,71.3,1029,57.0,2021,Jake Matthews,2021,29,14500000,5717794.166666667,8782205.833333332
T,George Fant,NYJ,71.1,889,58.0,2021,George Fant,2021,28,9100000,5743023.166666667,3356976.833333333
G,James Daniels,CHI,71.0,1121,59.0,2021,James Daniels,2021,23,1737540,5943023.166666667,-4205483.166666667
T,Morgan Moses,NYJ,71.0,1022,59.0,2021,Morgan Moses,2021,30,3600000,6076133.416666667,-2476133.416666667
C,Alex Mack,SF,70.6,1258,61.0,2021,Alex Mack,2021,35,4950000,5492800.083333333,-542800.083333333
T,Taylor Lewan,TEN,70.5,899,62.0,2021,Taylor Lewan,2021,30,16000000,5395102.916666667,10604897.083333332
G,Jack Driscoll,PHI,70.5,512,62.0,2021,Jack Driscoll,2021,24,947350,5482588.25,-4535238.25
G,Mark Glowinski,IND,70.1,843,64.0,2021,Mark Glowinski,2021,28,5400000,4374187.583333333,1025812.416666667
T,Bobby Massie,DEN,70.0,796,65.0,2021,Bobby Massie,2021,31,2500000,3692941.3333333335,-1192941.3333333335
T,James Hurst,NO,69.8,941,66.0,2021,James Hurst,2021,29,3000000,4045831.9166666665,-1045831.9166666665
G,Landon Dickerson,PHI,69.6,925,67.0,2021,Landon Dickerson,2021,22,2164169,4620831.916666667,-2456662.916666667
G,Austin Corbett,LA,69.6,1360,67.0,2021,Austin Corbett,2021,25,1892000,4323690.416666667,-2431690.416666667
G,Jonah Jackson,DET,69.3,1037,69.0,2021,Jonah Jackson,2021,24,1199192,3139154.6666666665,-1939962.6666666665
G,Nate Davis,TEN,69.2,1004,70.0,2021,Nate Davis,2021,24,925045,3810208.8333333335,-2885163.8333333335
