player,player_id,position,team_name,grades_offense,total_touches,rank,Year,index,player_name,year_signed,age,contract_length,value,average/year
Frank Gore,2282,HB,SF,78.2,351,12.0,2012,727,Frank Gore,2012,29,3,"$19,212,550",6404183
Arian Foster,5398,HB,HST,75.4,460,16.0,2012,634,Arian Foster,2012,25,5,"$43,500,000",8700000
Steven Jackson,1745,HB,LA,75.2,296,19.0,2012,870,Steven Jackson,2012,29,6,"$44,805,000",7467500
Andre Brown,5053,HB,NYG,74.2,85,20.0,2012,632,Andre Brown,2012,25,1,"$465,000",465000
Ray Rice,4369,HB,BLT,73.7,410,21.0,2012,686,Ray Rice,2012,25,5,"$35,000,000",7000000
Peyton Hillis,4541,HB,KC,72.6,95,26.0,2012,684,Peyton Hillis,2012,26,1,"$2,800,000",2800000
Joique Bell,5797,HB,DET,72.6,134,26.0,2012,734,Joique Bell,2012,26,2,"$1,005,000",502500
Michael Bush,3716,HB,CHI,72.1,123,28.0,2012,681,Michael Bush,2012,27,4,"$14,000,000",3500000
Willis McGahee,1339,HB,DEN,70.7,193,30.0,2012,761,Willis McGahee,2012,30,4,"$9,500,000",2375000
LaRod Stephens-Howling,5164,HB,ARZ,69.5,127,34.0,2012,671,LaRod Stephens-Howling,2012,24,1,"$1,927,000",1927000
Jonathan Stewart,4327,HB,CAR,69.3,110,36.0,2012,663,Jonathan Stewart,2012,25,5,"$36,500,000",7300000
Michael Turner,1873,HB,ATL,67.8,263,37.0,2012,863,Michael Turner,2012,29,6,"$34,500,000",5750000
Matt Forte,4358,HB,CHI,67.6,292,38.0,2012,679,Matt Forte,2012,26,4,"$30,400,000",7600000
Danny Woodhead,4914,HB,NE,67.4,121,39.0,2012,720,Danny Woodhead,2012,26,2,"$1,675,000",837500
Fred Jackson,3368,HB,BUF,66.2,149,41.0,2012,650,Fred Jackson,2012,31,2,"$8,700,000",4350000
DeAngelo Williams,2972,HB,CAR,65.6,185,43.0,2012,723,DeAngelo Williams,2012,29,5,"$43,000,000",8600000
Reggie Bush,2947,HB,MIA,65.2,262,44.0,2012,753,Reggie Bush,2012,26,2,"$9,750,000",4875000
BenJarvus Green-Ellis,4599,HB,CIN,63.5,313,48.0,2012,637,BenJarvus Green-Ellis,2012,26,3,"$9,000,000",3000000
LeGarrette Blount,5863,HB,TB,62.9,42,49.0,2012,673,LeGarrette Blount,2012,25,1,"$540,000",540000
Chris Johnson,4338,HB,TEN,62.3,312,50.0,2012,717,Chris Johnson,2012,26,4,"$53,975,000",13493750
Cedric Benson,2221,HB,GB,61.5,85,52.0,2012,642,Cedric Benson,2012,29,1,"$825,000",825000
Rashad Jennings,5174,HB,JAX,59.6,120,54.0,2012,834,Rashad Jennings,2012,27,4,"$1,788,450",447113
Darius Reynaud,4661,HB,TEN,59.1,21,55.0,2012,648,Darius Reynaud,2012,27,1,"$615,000",615000
