rank,player-name,rank-position,year signed,age,year 2,value,average/year
1,J.J. Watt,Defensive End,2014-2021 (FA: 2022),25,6,"$100,005,425","$16,667,571"
22,Greg Hardy,Defensive End,2014-2014 (FA: 2015),25,1,"$13,116,000","$13,116,000"
2,Geno Atkins,Defensive Tackle,2014-2018 (FA: 2019),25,5,"$53,327,000","$10,665,400"
3,Michael Johnson,Defensive End,2014-2018 (FA: 2019),27,5,"$43,750,000","$8,750,000"
12,Julius Peppers,Defensive End,2014-2016 (FA: 2017),34,3,"$26,000,000","$8,666,667"
4,Everson Griffen,Defensive End,2014-2018 (FA: 2019),26,5,"$42,500,000","$8,500,000"
6,Jared Allen,Defensive End,2014-2016 (FA: 2017),31,4,"$32,000,000","$8,000,000"
14,Vince Wilfork,Defensive Tackle,2014-2016 (FA: 2017),32,3,"$23,000,000","$7,666,667"
9,Michael Bennett,Defensive End,2014-2017 (FA: 2018),28,4,"$28,500,000","$7,125,000"
10,Henry Melton,Defensive Tackle,2014-2016 (FA: 2017),27,4,"$27,501,000","$6,875,250"
11,Jason Hatcher,Defensive End,2014-2017 (FA: 2018),31,4,"$27,500,000","$6,875,000"
5,Arthur Jones,Defensive Tackle,2014-2018 (FA: 2019),27,5,"$33,000,000","$6,600,000"
6,Paul Soliai,Defensive Tackle,2014-2018 (FA: 2019),30,5,"$32,000,000","$6,400,000"
8,Linval Joseph,Defensive Tackle,2014-2018 (FA: 2019),25,5,"$31,250,000","$6,250,000"
15,Brian Robison,Defensive End,2014-2017 (FA: 2018),30,4,"$22,400,000","$5,600,000"
16,Jadeveon Clowney,Defensive End,2014-2018 (FA: 2019),21,4,"$22,272,998","$5,568,250"
13,Tyson Jackson,Defensive End,2014-2018 (FA: 2019),27,5,"$25,000,000","$5,000,000"
27,Justin Tuck,Defensive End,2014-2015 (FA: 2016),30,2,"$10,000,000","$5,000,000"
27,Randy Starks,Defensive End,2014-2015 (FA: 2016),30,2,"$10,000,000","$5,000,000"
17,Red Bryant,Defensive End,2014-2017 (FA: 2018),29,4,"$19,000,000","$4,750,000"
30,Justin Smith,Defensive End,2014-2015 (FA: 2016),34,2,"$9,100,000","$4,550,000"
18,Sen'Derrick Marks,Defensive Tackle,2014-2017 (FA: 2018),26,4,"$18,000,000","$4,500,000"
31,Antonio Smith,Defensive End,2014-2015 (FA: 2016),32,2,"$9,000,000","$4,500,000"
