rank,player-name,rank-position,year signed,age,year 2,value,average/year
9,Michael Johnson,Defensive End,2013-2013 (FA: 2014),26,1,"$11,175,000","$11,175,000"
16,Randy Starks,Defensive End,2013-2013 (FA: 2014),29,1,"$8,450,000","$8,450,000"
16,Henry Melton,Defensive Tackle,2013-2013 (FA: 2014),26,1,"$8,450,000","$8,450,000"
1,Carlos Dunlap,Defensive End,2013-2018 (FA: 2019),24,5,"$39,370,000","$7,874,000"
2,Desmond Bryant,Defensive End,2013-2017 (FA: 2018),27,5,"$34,000,000","$6,800,000"
6,Cliff Avril,Defensive End,2013-2014 (FA: 0),26,2,"$13,000,000","$6,500,000"
3,Ricky Jean Francois,Defensive Tackle,2013-2017 (FA: 2018),26,4,"$22,000,000","$5,500,000"
4,Dion Jordan,Defensive End,2013-2017 (FA: 2018),22,4,"$20,572,309","$5,143,077"
26,Kevin Williams,Defensive Tackle,2013-2013 (FA: 2014),32,1,"$5,000,000","$5,000,000"
30,Michael Bennett,Defensive End,2013-2013 (FA: 2014),27,1,"$4,800,000","$4,800,000"
5,Ezekiel Ansah,Defensive End,2013-2017 (FA: 2018),23,4,"$18,594,514","$4,648,629"
7,Mike DeVito,Defensive End,2013-2015 (FA: 2016),28,3,"$12,600,000","$4,200,000"
8,Sammie Lee Hill,Defensive Tackle,2013-2015 (FA: 2016),26,3,"$11,400,000","$3,800,000"
36,Alan Branch,Defensive Tackle,2013-2013 (FA: 0),28,1,"$3,775,000","$3,775,000"
10,Isaac Sopoaga,Defensive Tackle,2013-2015 (FA: 2016),31,3,"$11,000,000","$3,666,667"
11,William Hayes,Defensive End,2013-2015 (FA: 2016),27,3,"$10,250,000","$3,416,667"
14,Jason Jones,Defensive End,2013-2015 (FA: 2016),26,3,"$9,500,000","$3,166,667"
15,Robert Geathers,Defensive End,2013-2015 (FA: 2016),29,3,"$9,000,000","$3,000,000"
25,Glenn Dorsey,Defensive End,2013-2014 (FA: 0),27,2,"$6,000,000","$3,000,000"
19,Chris Canty,Defensive End,2013-2015 (FA: 2016),30,3,"$8,000,000","$2,666,667"
19,Cullen Jenkins,Defensive End,2013-2015 (FA: 2016),32,3,"$8,000,000","$2,666,667"
12,Sheldon Richardson,Defensive Tackle,2013-2017 (FA: 2018),22,4,"$10,054,000","$2,513,500"
26,Kevin Vickerson,Defensive Tackle,2013-2014 (FA: 2015),30,2,"$5,000,000","$2,500,000"
26,Tommy Kelly,Defensive Tackle,2013-2014 (FA: 2015),32,2,"$5,000,000","$2,500,000"
23,Steve McLendon,Defensive Tackle,2013-2015 (FA: 2016),27,3,"$7,250,000","$2,416,667"
