rank,player-name,rank-position,year signed,age,year 2,value,average/year
1,Jared Allen,Defensive End,2008-2013 (FA: 2014),25,6,"$73,260,069","$12,210,012"
2,Chris Long,Defensive End,2008-2012 (FA: 2013),23,5,"$55,025,000","$11,005,000"
3,Glenn Dorsey,Defensive End,2008-2012 (FA: 2013),22,5,"$50,425,000","$10,085,000"
6,Justin Smith,Defensive End,2008-2013 (FA: 2014),28,6,"$45,000,000","$7,500,000"
16,Pat Williams,Defensive Tackle,2008-2010 (FA: 2011),35,3,"$22,000,000","$7,333,333"
30,Albert Haynesworth,Defensive Tackle,2008-2008 (FA: 2009),27,1,"$7,250,003","$7,250,003"
4,Tommy Kelly,Defensive Tackle,2008-2014 (FA: 2015),27,7,"$50,125,000","$7,160,714"
8,Shaun Rogers,Defensive Tackle,2008-2014 (FA: 2015),28,6,"$42,000,000","$7,000,000"
10,Sedrick Ellis,Defensive Tackle,2008-2012 (FA: 2013),23,5,"$33,500,000","$6,700,000"
11,Derrick Harvey,Defensive End,2008-2010 (FA: 2011),21,5,"$33,400,000","$6,680,000"
9,Corey Williams,Defensive Tackle,2008-2013 (FA: 2014),27,6,"$38,600,000","$6,433,333"
7,Luis Castillo,Defensive End,2008-2014 (FA: 2015),32,7,"$44,650,000","$6,378,571"
12,Kris Jenkins,Defensive Tackle,2008-2012 (FA: 2013),28,5,"$30,250,000","$6,050,000"
13,Antwan Odom,Defensive End,2008-2012 (FA: 2013),26,5,"$29,500,000","$5,900,000"
5,Kevin Williams,Defensive Tackle,2008-2013 (FA: 2014),27,8,"$45,774,000","$5,721,750"
14,Domata Peko,Defensive Tackle,2008-2014 (FA: 0),23,5,"$27,765,000","$5,553,000"
23,Marcus Stroud,Defensive Tackle,2008-2010 (FA: 2011),29,3,"$16,500,000","$5,500,000"
16,Travis LaBoy,Defensive Tackle,2008-2012 (FA: 2013),26,5,"$22,000,000","$4,400,000"
18,Jay Ratliff,Defensive Tackle,2008-2012 (FA: 0),26,5,"$20,935,000","$4,187,000"
19,Randy Starks,Defensive End,2008-2012 (FA: 2013),24,5,"$20,050,000","$4,010,000"
15,Dewayne Robertson,Defensive Tackle,2008-2013 (FA: 2014),26,6,"$24,000,000","$4,000,000"
20,Bobby McCray,Defensive End,2008-2012 (FA: 2013),26,5,"$20,000,000","$4,000,000"
20,Isaac Sopoaga,Defensive Tackle,2008-2012 (FA: 2013),26,5,"$20,000,000","$4,000,000"
22,Spencer Johnson,Defensive Tackle,2008-2012 (FA: 2013),26,5,"$17,500,000","$3,500,000"
26,Rob Meier,Defensive End,2008-2012 (FA: 2013),30,4,"$12,155,000","$3,038,750"
38,Kevin Carter,Defensive End,2008-2008 (FA: 2009),34,1,"$3,000,000","$3,000,000"
24,Kyle Williams,Defensive Tackle,2008-2012 (FA: 2013),24,5,"$14,400,000","$2,880,000"
25,Chris Clemons,Defensive End,2008-2012 (FA: 2013),26,5,"$12,600,000","$2,520,000"
27,Kentwan Balmer,Defensive End,2008-2010 (FA: 2011),21,5,"$11,305,000","$2,261,000"
28,Lawrence Jackson,Defensive End,2008-2012 (FA: 2013),22,5,"$11,200,000","$2,240,000"
33,Tyler Brayton,Defensive Tackle,2008-2009 (FA: 2010),28,2,"$4,050,000","$2,025,000"
53,Antonio Smith,Defensive End,2008-2008 (FA: 2009),26,1,"$2,017,000","$2,017,000"
53,Chris Canty,Defensive End,2008-2008 (FA: 2009),25,1,"$2,017,000","$2,017,000"
53,Jovan Haye,Defensive Tackle,2008-2008 (FA: 2009),25,1,"$2,017,000","$2,017,000"
29,Phillip Merling,Defensive End,2008-2011 (FA: 2012),23,4,"$7,455,000","$1,863,750"
69,Shaun Smith,Defensive Tackle,2008-2008 (FA: 2009),26,1,"$1,750,000","$1,750,000"
38,James Hall,Defensive End,2008-2009 (FA: 2010),30,2,"$3,000,000","$1,500,000"
32,Jonathan Fanene,Defensive End,2008-2010 (FA: 2011),25,3,"$4,400,000","$1,466,667"
31,Sione Pouha,Defensive Tackle,2008-2011 (FA: 2012),28,4,"$5,800,000","$1,450,000"
41,Jimmy Wilkerson,Defensive End,2008-2009 (FA: 2010),27,2,"$2,800,000","$1,400,000"
34,Tony McDaniel,Defensive Tackle,2008-2010 (FA: 2011),22,3,"$4,000,000","$1,333,333"
46,Bryan Robinson,Defensive End,2008-2009 (FA: 2010),33,2,"$2,425,000","$1,212,500"
87,Ryan Sims,Defensive Tackle,2008-2008 (FA: 2009),27,1,"$1,100,000","$1,100,000"
88,Jerome McDougle,Defensive End,2008-2008 (FA: 2009),29,1,"$1,000,000","$1,000,000"
40,Greg White,Defensive End,2008-2010 (FA: 2011),28,3,"$2,820,000","$940,000"
89,Anthony Maddox,Defensive Tackle,2008-2008 (FA: 2009),29,1,"$927,000","$927,000"
89,Chauncey Davis,Defensive End,2008-2008 (FA: 2009),24,1,"$927,000","$927,000"
35,Trevor Laws,Defensive Tackle,2008-2011 (FA: 2012),23,4,"$3,567,000","$891,750"
36,Calais Campbell,Defensive End,2008-2011 (FA: 2012),21,4,"$3,479,500","$869,875"
37,Jason Jones,Defensive End,2008-2011 (FA: 2012),22,4,"$3,210,000","$802,500"
91,Jimmy Kennedy,Defensive Tackle,2008-2008 (FA: 2009),28,1,"$705,000","$705,000"
75,Nick Eason,Defensive End,2008-2009 (FA: 2010),27,2,"$1,340,000","$670,000"
76,Kindal Moorehead,Defensive Tackle,2008-2009 (FA: 2010),29,2,"$1,325,000","$662,500"
56,Landon Cohen,Defensive Tackle,2008-2010 (FA: 2011),21,3,"$1,937,500","$645,833"
93,Tim Anderson,Defensive Tackle,2008-2008 (FA: 2009),27,1,"$645,000","$645,000"
42,Kendall Langford,Defensive End,2008-2011 (FA: 2012),22,4,"$2,565,000","$641,250"
43,Chris Ellis,Defensive End,2008-2011 (FA: 2012),23,4,"$2,508,000","$627,000"
44,Bryan Smith,Defensive End,2008-2011 (FA: 2012),24,4,"$2,445,976","$611,494"
79,Simon Fraser,Defensive End,2008-2009 (FA: 2010),24,2,"$1,220,000","$610,000"
45,Pat Sims,Defensive Tackle,2008-2011 (FA: 2012),22,4,"$2,437,000","$609,250"
94,William Joseph,Defensive Tackle,2008-2008 (FA: 2009),28,1,"$605,000","$605,000"
47,Marcus Harrison,Defensive Tackle,2008-2011 (FA: 2012),23,4,"$2,395,605","$598,901"
86,Dave Ball,Defensive End,2008-2009 (FA: 2010),23,2,"$1,140,000","$570,000"
71,Andre Fluellen,Defensive Tackle,2008-2010 (FA: 2011),23,3,"$1,662,000","$554,000"
48,Jeremy Thompson,Defensive End,2008-2011 (FA: 2012),22,4,"$2,206,200","$551,550"
49,William Hayes,Defensive End,2008-2011 (FA: 2012),23,4,"$2,203,300","$550,825"
72,Cliff Avril,Defensive End,2008-2010 (FA: 2011),22,3,"$1,634,000","$544,667"
50,Dre Moore,Defensive Tackle,2008-2011 (FA: 2012),23,4,"$2,165,500","$541,375"
51,Red Bryant,Defensive End,2008-2011 (FA: 2012),23,4,"$2,146,500","$536,625"
52,Jack Ikegwuonu,Defensive End,2008-2011 (FA: 2012),22,4,"$2,104,152","$526,038"
74,Kenny Iwebema,Defensive End,2008-2010 (FA: 2011),23,3,"$1,495,150","$498,383"
57,Jason Shirley,Defensive Tackle,2008-2011 (FA: 2012),22,4,"$1,886,000","$471,500"
58,Carlton Powell,Defensive Tackle,2008-2011 (FA: 2012),22,4,"$1,885,263","$471,316"
59,Frank Okam,Defensive Tackle,2008-2009 (FA: 2010),22,4,"$1,883,000","$470,750"
60,Letroy Guion,Defensive End,2008-2011 (FA: 2012),21,4,"$1,881,700","$470,425"
61,Marcus Howard,Defensive End,2008-2011 (FA: 2012),22,4,"$1,871,500","$467,875"
62,Trevor Scott,Defensive End,2008-2011 (FA: 2012),23,4,"$1,820,000","$455,000"
63,Nick Hayden,Defensive Tackle,2008-2011 (FA: 2012),25,4,"$1,803,000","$450,750"
64,Ahtyba Rubin,Defensive Tackle,2008-2011 (FA: 2012),21,4,"$1,797,000","$449,250"
65,Robert Henderson,Defensive End,2008-2011 (FA: 2012),24,4,"$1,782,900","$445,725"
66,Ervin Baldwin,Defensive End,2008-2011 (FA: 2012),21,4,"$1,770,000","$442,500"
67,Hilee Taylor,Defensive End,2008-2011 (FA: 2012),21,4,"$1,762,000","$440,500"
68,Lionel Dotson,Defensive End,2008-2011 (FA: 2012),23,4,"$1,760,281","$440,070"
70,Angelo Craig,Defensive End,2008-2011 (FA: 2012),22,4,"$1,745,700","$436,425"
77,DeMario Pressley,Defensive Tackle,2008-2010 (FA: 2011),22,3,"$1,289,000","$429,667"
78,Chris Harrington,Defensive End,2008-2010 (FA: 2011),23,3,"$1,223,000","$407,667"
80,Brian Johnston,Defensive End,2008-2010 (FA: 2011),22,3,"$1,197,277","$399,092"
81,Leger Douzable,Defensive Tackle,2008-2010 (FA: 2011),21,3,"$1,163,000","$387,667"
82,Ropati Pitoitua,Defensive End,2008-2010 (FA: 2011),23,3,"$1,157,000","$385,667"
83,Eric Foster,Defensive Tackle,2008-2010 (FA: 2011),22,3,"$1,155,000","$385,000"
84,Jesse Nading,Defensive End,2008-2010 (FA: 2011),22,3,"$1,150,000","$383,333"
84,Wallace Gilberry,Defensive End,2008-2010 (FA: 2011),23,3,"$1,150,000","$383,333"
73,Anthony Toribio,Defensive End,2008-2010 (FA: 2011),22,4,"$1,525,000","$381,250"
95,Dave Tollefson,Defensive End,2008-2008 (FA: 2009),25,1,"$370,000","$370,000"
92,Lamar Divens,Defensive Tackle,2008-2009 (FA: 2010),22,2,"$682,000","$341,000"
96,Lorenzo Williams,Defensive Tackle,2008-2008 (FA: 2009),23,1,"$296,000","$296,000"
97,Kelly Talavou,Defensive Tackle,2008-2008 (FA: 2009),23,1,"$295,000","$295,000"
