rank,player-name,rank-position,year signed,age,year 2,value,average/year
1,Myles Garrett,Defensive End,2020-2026 (FA: 2027),24,5,"$125,000,000","$25,000,000"
3,Chris Jones,Defensive Tackle,2020-2023 (FA: 2024),26,4,"$80,000,000","$20,000,000"
4,Kenny Clark,Defensive Tackle,2020-2024 (FA: 2025),24,4,"$70,000,000","$17,500,000"
2,Arik Armstead,Defensive End,2020-2024 (FA: 2025),26,5,"$85,000,000","$17,000,000"
5,Cameron Heyward,Defensive Tackle,2020-2024 (FA: 2025),31,4,"$65,600,000","$16,400,000"
27,Leonard Williams,Defensive End,2020-2020 (FA: 2021),25,1,"$16,126,000","$16,126,000"
27,Chris Jones,Defensive Tackle,2020-2020 (FA: 2021),25,1,"$16,126,000","$16,126,000"
7,Dante Fowler Jr.,Defensive End,2020-2021 (FA: 2022),25,3,"$45,000,000","$15,000,000"
6,D.J. Reader,Defensive Tackle,2020-2023 (FA: 2024),25,4,"$53,000,000","$13,250,000"
8,Javon Hargrave,Defensive Tackle,2020-2022 (FA: 2023),27,3,"$39,000,000","$13,000,000"
33,Jadeveon Clowney,Defensive End,2020-2020 (FA: 2021),27,1,"$13,000,000","$13,000,000"
17,Calais Campbell,Defensive End,2020-2021 (FA: 2022),33,2,"$25,000,000","$12,500,000"
17,Jason Pierre-Paul,Defensive End,2020-2021 (FA: 2022),31,2,"$25,000,000","$12,500,000"
35,Yannick Ngakoue,Defensive End,2020-2020 (FA: 2021),25,1,"$12,000,000","$12,000,000"
21,Jarran Reed,Defensive Tackle,2020-2021 (FA: 2022),27,2,"$23,000,000","$11,500,000"
10,Grover Stewart,Defensive Tackle,2020-2023 (FA: 2024),27,3,"$30,750,000","$10,250,000"
11,Mario Addison,Defensive End,2020-2021 (FA: 2022),32,3,"$30,450,000","$10,150,000"
12,Jordan Phillips,Defensive End,2020-2022 (FA: 2023),27,3,"$30,000,000","$10,000,000"
12,Shaq Lawson,Defensive End,2020-2022 (FA: 2023),25,3,"$30,000,000","$10,000,000"
40,Vic Beasley,Defensive End,2020-2020 (FA: 2021),27,1,"$9,500,000","$9,500,000"
14,Michael Pierce,Defensive Tackle,2020-2023 (FA: 2024),27,3,"$27,000,000","$9,000,000"
15,David Onyemata,Defensive Tackle,2020-2022 (FA: 2023),27,3,"$26,000,000","$8,666,667"
9,Chase Young,Defensive End,2020-2024 (FA: 2025),21,4,"$34,563,594","$8,640,899"
25,Linval Joseph,Defensive Tackle,2020-2021 (FA: 2022),31,2,"$17,000,000","$8,500,000"
25,A'Shawn Robinson,Defensive Tackle,2020-2022 (FA: 2023),24,2,"$17,000,000","$8,500,000"
16,Carl Nassib,Defensive End,2020-2022 (FA: 2023),26,3,"$25,250,000","$8,416,667"
19,Michael Brockers,Defensive Tackle,2020-2022 (FA: 2023),29,3,"$24,000,000","$8,000,000"
