team_name,Year,avg_diff_ol
ARZ,2012,0.688615831612555
ARZ,2013,0.6308215361426507
ARZ,2014,-0.09196209024484928
ARZ,2015,0.5703548887948997
ARZ,2016,0.015460935480521415
ARZ,2017,-0.2397573388407172
ARZ,2018,-0.5953938146024218
ARZ,2019,1.508222015690334
ARZ,2020,0.38538582137565763
ARZ,2021,2.6639353027972477
ATL,2012,0.2638679956352713
ATL,2013,-0.5495810323509471
ATL,2014,-0.08395867281717491
ATL,2015,0.06627114325130513
ATL,2016,0.7606993841352894
ATL,2017,-0.21391306103490315
ATL,2018,0.6062947767091939
ATL,2019,0.8821246350232803
ATL,2020,0.8507997798936504
ATL,2021,-1.0399778958837194
BLT,2012,-0.18210365448096782
BLT,2013,0.20536553675712954
BLT,2014,0.1333005544595104
BLT,2015,-0.6474694476930514
BLT,2016,0.3177759553265307
BLT,2017,-0.6684491643111976
BLT,2018,-1.4227789043683587
BLT,2019,-2.5158596443503223
BLT,2020,-2.383764927375228
BLT,2021,-0.7323181687775756
BUF,2012,-1.2231419993772235
BUF,2013,-0.3919733577376728
BUF,2014,0.2938450999271116
BUF,2015,-0.4402776648708532
BUF,2016,1.0976532027659953
BUF,2017,-1.0075408767674898
BUF,2018,-1.4140154222229186
BUF,2019,-0.3446109354230483
BUF,2020,0.7852301068989024
BUF,2021,1.6622578487163149
CAR,2012,0.15038634317032123
CAR,2013,0.5197339262265497
CAR,2014,0.12966146588536626
CAR,2015,-0.6198316151503726
CAR,2016,-0.39903376353424164
CAR,2017,-0.3514452670385837
CAR,2018,-0.680088358077179
CAR,2019,0.7958189186242683
CAR,2020,-0.27175274232692387
CAR,2021,1.3222570594784417
CHI,2012,-0.3845695231983109
CHI,2013,-0.101026716009505
CHI,2014,-0.11785067974237518
CHI,2015,-1.342379180239293
CHI,2016,-0.7965277908859649
CHI,2017,0.7826622434322478
CHI,2018,0.2677687953199826
CHI,2019,0.8719835948828135
CHI,2020,-0.8569204363021593
CHI,2021,-1.3645871017795892
CIN,2012,1.1384314873652743
CIN,2013,-0.5219099677339393
CIN,2014,-1.0511673987094525
CIN,2015,0.7089196685411588
CIN,2016,-0.4807954323854954
CIN,2017,-0.2910995207468283
CIN,2018,0.9153047870160671
CIN,2019,0.1636446260152488
CIN,2020,0.35065978338468934
CIN,2021,-0.4350684460369309
CLV,2012,-0.17602019516502887
CLV,2013,0.1825883139331471
CLV,2014,0.05811406925876452
CLV,2015,0.6242101659943831
CLV,2016,-0.2366008878039987
CLV,2017,0.9144739525395847
CLV,2018,-0.18245061785681177
CLV,2019,1.3195892655304016
CLV,2020,-0.8677758281544257
CLV,2021,0.8903963795609208
DAL,2012,1.0159656030596782
DAL,2013,-0.8858179118371258
DAL,2014,-1.02603591141909
DAL,2015,-0.8424517717443225
DAL,2016,0.1396031669551902
DAL,2017,0.3060761709627426
DAL,2018,1.4981819379543246
DAL,2019,1.5400611480676683
DAL,2020,-0.4970325976103327
DAL,2021,-1.0796186383055415
DEN,2012,-1.153122318261018
DEN,2013,-0.899657245655337
DEN,2014,0.5919815411161133
DEN,2015,-0.49425781379912637
DEN,2016,-0.01672937692382938
DEN,2017,-0.9982647186342848
DEN,2018,-1.2407441398569483
DEN,2019,-1.44817999917331
DEN,2020,0.9266920917208735
DEN,2021,-0.011538892831195049
DET,2012,0.06162033713348287
DET,2013,-0.8402140169100045
DET,2014,-0.43661189159635344
DET,2015,-1.0241033695787836
DET,2016,-1.4610581470601067
DET,2017,-0.15923329763445287
DET,2018,-1.2931688594754893
DET,2019,-2.816754169790857
DET,2020,-0.8262777772125154
DET,2021,-0.5830489188936079
GB,2012,0.9882993778060422
GB,2013,-0.29235414467879595
GB,2014,-0.1878126917784033
GB,2015,0.4995678103765261
GB,2016,0.3869165102308984
GB,2017,0.7364387913817219
GB,2018,0.43877850898159826
GB,2019,0.7815170579073482
GB,2020,1.4553723848023998
GB,2021,-1.0154010852159796
HST,2012,0.5144349478771516
HST,2013,-0.1070929014867427
HST,2014,0.09242161584657681
HST,2015,0.2483388462727219
HST,2016,0.16789655235164563
HST,2017,-0.18192178693543873
HST,2018,-0.9474390320174229
HST,2019,0.7425169487480845
HST,2020,2.772933920857965
HST,2021,-0.9564053522830019
IND,2012,-0.40133962529130335
IND,2013,0.10682888691222962
IND,2014,-0.22505924338656733
IND,2015,0.033504193420510156
IND,2016,-0.06440542675460259
IND,2017,0.028285375922841763
IND,2018,-1.3100334092172239
IND,2019,-2.24026426471388
IND,2020,0.5962331590617073
IND,2021,3.1639159798728587
JAX,2012,0.009176816548706291
JAX,2013,-0.9898358642325652
JAX,2014,-0.2833181921421167
JAX,2015,0.4620995993202866
JAX,2016,-0.11118381619410164
JAX,2017,-0.3278469181178245
JAX,2018,1.200745401554117
JAX,2019,1.7542518334782924
JAX,2020,0.012312609355345986
JAX,2021,2.8831248845140873
KC,2012,-0.41800055704000244
KC,2013,0.6217483347414322
KC,2014,-0.7416478564374859
KC,2015,-0.16915020882818232
KC,2016,0.5507429180067088
KC,2017,1.1374143136766186
KC,2018,-0.3115861816637665
KC,2019,-0.09671163123663548
KC,2020,-3.137020583779378
KC,2021,-2.347461169943115
LA,2012,0.3631025220063757
LA,2013,0.11526285564114853
LA,2014,1.1698455801182517
LA,2015,-0.6362100609234429
LA,2016,0.5088371269783764
LA,2017,-0.2968344747329077
LA,2018,-0.15943656512947915
LA,2019,0.04261078405675533
LA,2020,-1.426485417847124
LA,2021,-2.5187417461841384
LAC,2012,-0.05728479875784216
LAC,2013,0.3985283817578447
