team_name,avg_diff,win_percentage
ARZ,1.4866474011603235,0.48975
ATL,1.5145972899020514,0.3666666666666667
BLT,-0.7904157733571324,0.673
BUF,-0.300726801721307,0.562
CAR,-1.237794914762436,0.47933333333333333
CHI,-0.05769903619652614,0.5
CIN,-0.7918640372046745,0.419
CLV,0.7221430819978923,0.5794999999999999
DAL,0.6200330625996158,0.47900000000000004
DEN,-1.026978025220929,0.312
DET,-1.728102398296537,0.4163333333333334
GB,-0.6273863635324187,0.765
HST,0.4119363949207061,0.4096
IND,0.14425968346510554,0.3895
JAX,0.5229072645937329,0.29375
KC,0.29330544468704745,0.7412
LA,-0.036812059547620846,0.562
LAC,0.18906875787869948,0.438
LV,-0.5298442189885337,0.42825
MIA,0.7477978846062763,0.4065
MIN,0.830037537564678,0.4696666666666667
NE,-2.343929906942856,0.75
NO,0.295407430988175,0.6395
NYG,1.0218961946152685,0.2115
NYJ,-2.0556949370905415,0.27099999999999996
PHI,0.25410133400558077,0.812
PIT,0.51485328901081,0.812
SEA,0.5583355782126638,0.58725
SF,-0.1535794563550671,0.419
TB,-0.017163148036531878,0.312
TEN,0.8879875117081907,0.61
WAS,1.3151719059487372,0.425
