team_name,avg_diff,win_percentage
ARZ,1.6432177015296552,0.5022
ATL,1.6213035346905225,0.4788
BLT,-3.259934761704816,0.5782999999999999
BUF,0.23646238168724434,0.5271
CAR,-2.286696756263144,0.49829999999999997
CHI,-0.14425116728506843,0.4415
CIN,-0.587976790804843,0.48389999999999994
CLV,2.661980078689727,0.3222
DAL,1.1582234330407495,0.558
DEN,-1.8353434137592712,0.5535
DET,-4.736482935602253,0.3989
GB,2.4419157869022308,0.639
HST,1.5719927907618831,0.4609
IND,-1.2884569602967195,0.5593999999999999
JAX,-0.051712902023410334,0.2613
KC,1.9570503912595472,0.6519
LA,0.6995231992518419,0.5332
LAC,-1.6715730511859905,0.4715
LV,-1.9922339995679108,0.4027
MIA,0.23323279015501253,0.47169999999999995
MIN,3.204552103746685,0.5408999999999999
NE,-5.493186838976168,0.7151
NO,-0.43088733375653687,0.6031
NYG,0.3687556882696186,0.3798
NYJ,-0.4813357750951639,0.34219999999999995
PHI,3.1001216135944114,0.5091
PIT,-1.2112452044688724,0.6154
SEA,1.6761552898144432,0.6537
SF,-1.1547908747349993,0.47750000000000004
TB,0.36319263037543037,0.4265
TEN,2.041560984533415,0.4768
WAS,1.6720516516493222,0.4039
