team_name,Year,avg_diff_dl
ARZ,2012,0.40377372905888514
ARZ,2013,0.622278716433436
ARZ,2014,-0.1386397676654381
ARZ,2015,-0.048871468605245716
ARZ,2016,-1.1281955433082596
ARZ,2017,-0.007361104533423556
ARZ,2018,0.4219707153562052
ARZ,2019,-0.9449000102034683
ARZ,2020,-2.038350712345696
ARZ,2021,-0.42839903895286185
ATL,2012,-0.6162202773205606
ATL,2013,-0.3668434642153772
ATL,2014,0.1609888894884108
ATL,2015,-0.21036518602652093
ATL,2016,-0.03696850442579433
ATL,2017,-0.7688427104111413
ATL,2018,-0.46662645164144817
ATL,2019,-0.513533339566912
ATL,2020,0.5876693100394033
ATL,2021,1.1626399104944298
BLT,2012,0.5324699284271899
BLT,2013,0.5057676641385995
BLT,2014,-0.10551383359907224
BLT,2015,-1.541111273231256
BLT,2016,-0.8420904372875418
BLT,2017,-0.3413015856720089
BLT,2018,-0.4953255330437515
BLT,2019,0.1991834742042635
BLT,2020,0.6927260823895195
BLT,2021,0.20219531548829178
BUF,2012,1.1117746121002268
BUF,2013,0.5899302591570008
BUF,2014,1.153923486557887
BUF,2015,1.273613065895621
BUF,2016,0.27377997896121864
BUF,2017,0.6407684421514871
BUF,2018,0.2360234407888462
BUF,2019,0.5468505916184137
BUF,2020,0.5280787061228278
BUF,2021,1.774147910526322
CAR,2012,0.884953634528335
CAR,2013,0.11310550400622613
CAR,2014,-0.13359249104434154
CAR,2015,0.4283609164221837
CAR,2016,-2.2766541881750597
CAR,2017,-0.11300049852784422
CAR,2018,-0.22474606188937774
CAR,2019,-0.44374605841459963
CAR,2020,-1.779256036433192
CAR,2021,-0.9224153829610859
CHI,2012,0.7091548242635215
CHI,2013,1.0353860511690434
CHI,2014,-0.6923553473015069
CHI,2015,-0.7998013226064552
CHI,2016,-0.7405424448278103
CHI,2017,-0.11983799940814045
CHI,2018,0.7926858615866279
CHI,2019,0.08029198677931298
CHI,2020,-0.5576356675426303
CHI,2021,0.034600822031970346
CIN,2013,1.2321355166738426
CIN,2014,0.2646157086339866
CIN,2015,-0.10522512807447505
CIN,2016,0.0802228715807611
CIN,2017,-0.5961827176966928
CIN,2018,0.8786638761171198
CIN,2019,-0.5435634872971379
CIN,2020,-1.7803707645582503
CIN,2021,0.9776906027022745
CLV,2012,-0.19562373106047992
CLV,2013,0.3201773440100697
CLV,2014,1.1487517850451172
CLV,2015,1.177691298406707
CLV,2016,-1.2565581384529076
CLV,2019,1.8232575354735405
CLV,2020,1.7723881709135285
CLV,2021,-0.23642057629940927
DAL,2012,0.424702738232075
DAL,2013,0.03280385204089899
DAL,2014,-1.3964579616435708
DAL,2015,0.26793202994303056
DAL,2016,-0.32114436794626006
DAL,2017,-0.35393928924776896
DAL,2018,0.4635394305652281
DAL,2019,0.967029527846073
DAL,2020,-0.3181967853447958
DAL,2021,-0.786888586835066
DEN,2012,-0.1533556652203723
DEN,2013,-1.3103865513893844
DEN,2014,-0.005589483048956158
DEN,2015,-0.7176351517215753
DEN,2016,1.0702569134489115
DEN,2017,-1.865519323026919
DEN,2018,0.584499432156617
DEN,2019,-0.01023256456013581
DEN,2020,-3.1939377841539476
DEN,2021,-0.13881563443473488
DET,2012,0.39826832828803366
DET,2013,-1.3382834703232989
DET,2014,-0.9007933251500791
DET,2015,-0.9555209640937599
DET,2016,0.1731517574103658
DET,2017,-0.20968287224256402
DET,2018,-1.0977207385302084
DET,2019,0.29583366977623965
DET,2020,-0.6433360872503616
DET,2021,-1.162678828232084
GB,2012,-0.3670200741367575
GB,2013,1.996101350451708
GB,2014,0.9390144143404285
GB,2015,0.15221167831107899
GB,2016,0.6009816249873657
GB,2017,0.9246517229295987
GB,2018,-1.5469512362755122
GB,2019,1.3572689404399436
GB,2020,0.9742750485010175
GB,2021,0.025405321851450564
HST,2012,-0.7843088182819073
HST,2013,0.027440712667887418
HST,2014,0.6542900429384827
HST,2015,0.19420555448961022
HST,2016,-0.40725406423139615
HST,2017,-1.0328351010194654
HST,2018,0.25385684078554244
HST,2019,0.012490374603297227
HST,2020,0.40020695864841693
HST,2021,-0.725257472571872
IND,2012,0.9014429806259691
IND,2013,0.21919035157861347
IND,2014,0.10564304133345784
IND,2015,0.1841387027427935
IND,2016,0.7738915762201234
IND,2017,-1.2693158288982906
IND,2018,-0.2200345638110978
IND,2019,-0.5061849421772815
IND,2020,0.8977797888011813
IND,2021,-1.0093076697599723
JAX,2012,-0.6933885513005527
JAX,2013,-0.25833735934701685
JAX,2014,-0.26116123538007735
JAX,2015,0.27120062342253576
JAX,2016,0.01066468109927056
JAX,2017,1.0991808373119873
JAX,2018,1.2749690812430943
JAX,2019,-0.19747444944036485
JAX,2020,-2.0009430974326565
JAX,2021,-1.4401793504239757
KC,2012,1.1296622354243635
KC,2013,1.7876889959390243
KC,2014,1.219903257976852
KC,2015,0.768896638738613
KC,2016,0.48414866797718986
KC,2017,-0.025177904841348752
KC,2018,-1.011806413503127
KC,2019,2.3240119589420964
KC,2020,1.2620356403424564
KC,2021,1.143191659856218
LA,2012,0.696136474423528
LA,2013,0.7327334508248318
LA,2014,0.5877218491793658
LA,2015,-1.0102141646164713
LA,2016,0.1259852885169784
LA,2017,0.802298010667623
LA,2018,2.265928171559631
LA,2019,1.8643760597669152
LA,2020,0.5368819350172387
LA,2021,0.19462730424361768
LAC,2012,0.11628525827746053
LAC,2013,0.01909316613781506
LAC,2014,-0.6045294731293862
LAC,2015,0.3051842866870095
LAC,2016,0.5565822529106047
LAC,2017,0.28947558931865003
