team_name,avg_diff,win_percentage
ARZ,0.8551313534790215,0.526125
ATL,1.4570216707336467,0.478
BLT,-1.0837704277275055,0.6192
BUF,0.08585776848237076,0.49975
CAR,-2.1595500330963917,0.547125
CHI,0.13227334844220007,0.48425
CIN,-0.7918640372046745,0.419
CLV,0.7221430819978923,0.5794999999999999
DAL,1.0144550296201476,0.42175
DEN,-1.0121641308037332,0.49950000000000006
DET,-2.5069244396670385,0.4998
GB,0.29803754289264917,0.7343333333333333
HST,1.2896133492156994,0.48
IND,0.2804375037285559,0.4263333333333333
JAX,0.6180518870014347,0.248
KC,1.1290259100387576,0.7168571428571429
LA,0.6997721906581822,0.4166666666666667
LAC,-0.5167525838489846,0.453
LV,-1.5466391677815263,0.4001666666666666
MIA,0.6014216206864427,0.417
MIN,2.0307921435185183,0.4965
NE,-3.0053131088927225,0.75
NO,0.49871876265075044,0.5686
NYG,0.19926613122878356,0.4087142857142857
NYJ,-0.42649113063577715,0.35714285714285715
PHI,0.7214424279637262,0.7185
PIT,-1.1118788289591643,0.7032499999999999
SEA,0.9995152925898236,0.6103333333333333
SF,0.11185638029103157,0.45216666666666666
TB,-0.36052295547726687,0.2916666666666667
TEN,1.440778358611162,0.43975000000000003
WAS,1.0977469823194024,0.45
