team_name,Year,avg_diff_db
ARZ,2012,-0.39788527942087515
ARZ,2013,-0.46056454776575545
ARZ,2014,-0.4269387543208355
ARZ,2015,-0.9930122629694998
ARZ,2016,0.7683741816335087
ARZ,2017,0.3306723708011169
ARZ,2018,-0.10819465769021928
ARZ,2019,2.7118612757703993
ARZ,2020,0.6731384763689872
ARZ,2021,0.024556165554751718
ATL,2012,0.014609220645416128
ATL,2013,-0.1742041216890576
ATL,2014,-0.7542199133132039
ATL,2015,-0.5956139554588405
ATL,2016,-0.27459611045985777
ATL,2017,0.9477890393293691
ATL,2018,0.6751360554914763
ATL,2019,1.2775492414855352
ATL,2020,-0.4493243661227938
ATL,2021,-2.183335138680013
BLT,2012,-0.6389943336866089
BLT,2013,-0.05230991686522476
BLT,2014,-0.07642725789159613
BLT,2015,0.5932114095256091
BLT,2016,0.6357341149943755
BLT,2017,0.32602197790107856
BLT,2018,0.5251664801860099
BLT,2019,1.8703388417688602
BLT,2020,1.3234637852008246
BLT,2021,1.3558327599800757
BUF,2012,-0.8694265860284308
BUF,2013,-0.17028197083824906
BUF,2014,0.5102241289209781
BUF,2015,0.10313417974484614
BUF,2016,-1.0099425629344727
BUF,2017,-1.213957489203362
BUF,2018,-0.8712441590240984
BUF,2019,-0.6158592158396007
BUF,2020,0.7797528541188006
BUF,2021,0.25035869187190596
CAR,2012,-0.3427687242458876
CAR,2013,-0.8793409490547244
CAR,2014,-0.7240548952711134
CAR,2015,-1.0787904009245342
CAR,2016,-0.8845243712858355
CAR,2017,-0.354436811765164
CAR,2018,-0.6851825595108428
CAR,2019,-0.7539335695105954
CAR,2020,0.342172222202587
CAR,2021,-1.736455754370072
CHI,2012,-0.3768647064148029
CHI,2013,-0.227999787630821
CHI,2014,-0.19953281231435585
CHI,2015,-1.096481602744285
CHI,2016,-0.009872840524032962
CHI,2017,-1.7072795700759933
CHI,2018,-0.35949809260870297
CHI,2019,0.5830740939398503
CHI,2020,0.7394204218526087
CHI,2021,1.2812830995934161
CIN,2012,0.41728983490370947
CIN,2013,-0.008239904478406477
CIN,2014,0.8179298642373415
CIN,2015,-0.3990544509658628
CIN,2016,-0.4501364385170582
CIN,2017,1.1577107465445973
CIN,2018,0.5264409327433505
CIN,2019,-0.3204700317170259
CIN,2020,-1.142326615607984
CIN,2021,-0.7697335250313269
CLV,2012,-0.340246438372665
CLV,2014,0.1787138044037962
CLV,2015,0.3149486617390211
CLV,2016,1.1818876569007177
CLV,2017,-0.6435307821900271
CLV,2018,1.007198528040475
CLV,2019,-0.6663907622329222
CLV,2020,-0.7362665793266658
CLV,2021,2.047558998457804
DAL,2012,1.4501937465805996
DAL,2013,0.637649861213946
DAL,2014,0.5669220970955307
DAL,2015,0.7550161747385093
DAL,2016,0.30339769203183214
DAL,2017,-0.8952823182253405
DAL,2018,-1.7454610957038614
DAL,2019,-1.8729619761191887
DAL,2020,0.29746681314612455
DAL,2021,-1.524752841420518
DEN,2012,0.09473501271376428
DEN,2013,-0.5208047189348518
DEN,2014,0.19646194816623197
DEN,2015,0.5571867645948653
DEN,2016,0.5951204852361418
DEN,2017,1.2694091881944933
DEN,2018,0.39371266239420705
DEN,2019,1.4541307683565636
DEN,2020,0.3379495504794301
DEN,2021,1.7132869033777034
DET,2012,-0.7975660170555084
DET,2013,0.0715159840303416
DET,2014,-0.9544868108050334
DET,2015,-0.21258839425658793
DET,2016,-0.609446981376146
DET,2017,0.5114039727095662
DET,2018,0.5686796406476033
DET,2019,0.3775395950758956
DET,2020,-1.5230986008479512
DET,2021,-1.8248250140268336
GB,2012,1.6078982637745536
GB,2013,0.8790653050610535
GB,2014,1.5229270761648026
GB,2015,1.1232231016392498
GB,2016,0.2694464964849127
GB,2017,-0.48338194729781175
GB,2018,1.0828713171902258
GB,2019,0.3046726754897637
GB,2020,0.4049517479843357
GB,2021,-1.2694478050544296
HST,2012,1.1587859401220724
HST,2013,0.6845388130235556
HST,2014,0.6454696844022938
HST,2015,0.30625767064116566
HST,2016,-0.2591870718866329
HST,2017,-0.37869340858740547
HST,2018,-0.5532597252985769
HST,2019,1.1455446799796078
HST,2020,0.3872766173246783
HST,2021,-0.9321136751669626
IND,2012,0.4937405903662118
IND,2013,0.42552941207542677
IND,2014,0.05013791536990964
IND,2015,-0.08486430953216036
IND,2016,-0.6106382623618737
IND,2017,-1.066024897642025
IND,2018,-2.8280787185395226
IND,2019,0.1789308228647205
IND,2020,-2.8296542944868914
IND,2021,-1.4176128549598277
JAX,2012,0.00852209999923177
JAX,2013,-1.2400579817956612
JAX,2014,-1.0184498338848134
JAX,2015,0.29706868908038003
JAX,2016,0.6180198632406336
JAX,2017,0.7409222083264422
JAX,2018,0.517051185130054
JAX,2019,0.3646448731584203
JAX,2020,-1.904714078663394
JAX,2021,1.6498193903704585
KC,2012,-0.6252777270552958
KC,2013,1.5473624780226363
KC,2014,-0.9037203665889498
KC,2015,-0.3355677827227795
KC,2016,0.6845194265890726
KC,2017,0.12601200489792735
KC,2018,-1.087008315354127
KC,2019,0.0862569412959269
KC,2020,0.003086648411235112
KC,2021,0.15361531341646048
LA,2012,0.5463406476261401
LA,2013,-0.43264583291871495
LA,2015,-0.9344647855598597
LA,2016,3.0379703546817467
LA,2017,0.544532375095449
LA,2018,-0.12224680465275459
LA,2019,-1.2482747245333585
LA,2020,-0.3672301116896357
LA,2021,1.7289945894358962
LAC,2012,-0.017469913808517104
LAC,2013,-0.8089547481089862
LAC,2014,-0.49227351225835847
LAC,2015,0.6994450230881423
LAC,2016,-1.160759723887713
