team_name,avg_diff_wr
CLV,-2619583.9055555556
LA,-2474755.8666666667
BLT,-2186217.34
CAR,-1914403.653333333
LV,-1781125.6633333333
PIT,-1753273.7904761904
LAC,-1701854.72
NE,-1340289.0716666665
JAX,-1142367.8666666665
DEN,-731065.675
CIN,-690856.6380952378
SEA,-558119.7666666666
TEN,-494727.68
SF,-206424.5066666667
NYG,-78346.6299999998
BUF,41456.28333333336
MIN,98003.5666666668
HST,332877.5910714286
GB,379482.7187301589
ATL,423527.1299999999
MIA,438061.44444444455
NYJ,439044.4833333333
CHI,528064.6755555555
PHI,635064.9
IND,697330.865
WAS,826048.2933333333
DET,1333320.5283597885
TB,1398975.7208333332
NO,1539544.5875000001
DAL,1781790.0999999999
KC,2597992.5355555555
ARZ,2618568.29
