team_name,Year,avg_diff_wr
ARZ,2012,1.8413891043004837
ARZ,2013,3.3549973208702912
ARZ,2014,0.9383663712142349
ARZ,2015,-0.8991707521988261
ARZ,2016,-0.49008832823663084
ARZ,2017,-0.1741036179382481
ARZ,2019,0.06902436917388757
ARZ,2020,3.1477107360000813
ARZ,2021,1.277191912542141
ATL,2012,-0.18176602680121354
ATL,2013,0.4563744087237722
ATL,2014,0.06820843074639933
ATL,2015,0.21303175162248758
ATL,2016,0.3873542492605734
ATL,2017,-0.11651638926846306
ATL,2018,-0.2490019145999963
ATL,2019,1.5350846026040186
ATL,2020,2.0169300367316905
ATL,2021,-0.10581133668813379
BLT,2012,0.05311877515445522
BLT,2013,-0.1612192208464805
BLT,2014,-1.0836204439495662
BLT,2015,-2.097233329667136
BLT,2016,-0.2884906145224461
BLT,2017,-0.41467168058669396
BLT,2018,0.19196855978521796
BLT,2019,0.15424373369202013
BLT,2021,-1.425727188201767
BUF,2012,0.3697230364950857
BUF,2014,0.5995574765060999
BUF,2015,-0.800456937878112
BUF,2017,-0.7180466428103135
BUF,2019,-1.4060491860584103
BUF,2020,-0.937310864204237
BUF,2021,-0.5839536841515053
CAR,2012,0.6230888853103723
CAR,2013,-1.4275654415686587
CAR,2014,-0.38381352452135326
CAR,2015,-1.3516402030194288
CAR,2016,-0.5666738538331325
CAR,2017,-1.119705586656421
CAR,2018,-1.0207576110390748
CAR,2019,-0.8383066569250542
CAR,2020,-1.170532653639762
CAR,2021,0.7824653898600338
CHI,2012,0.32248606548807257
CHI,2013,-0.03424440029964922
CHI,2014,0.3731414484466495
CHI,2015,-0.37188875915558905
CHI,2016,0.8347903292753047
CHI,2017,-0.9715423820297129
CHI,2018,0.5898764826317964
CHI,2019,0.8793965954460907
CHI,2020,-1.453982146510726
CHI,2021,0.7167095210945226
CIN,2012,-1.1563737941098824
CIN,2013,-1.1980097443843674
CIN,2014,-0.606840519054975
CIN,2015,1.385601470990107
CIN,2016,0.5884692225495249
CIN,2017,0.9542245370911773
CIN,2018,0.6690648570663815
CIN,2019,-0.2588412871363081
CIN,2020,0.7204216999812528
CIN,2021,0.2564244274378872
CLV,2013,-1.2794012178200675
CLV,2014,-1.6519877746719076
CLV,2015,-0.24868471844729342
CLV,2016,-0.28243062132717145
CLV,2018,-0.0027299066452135335
CLV,2019,1.482752353226684
CLV,2020,-1.11956253427875
CLV,2021,1.2890749314420904
DAL,2012,0.24616342329559573
DAL,2013,1.3376569393182203
DAL,2015,1.5367735156400901
DAL,2016,-0.4837850334051138
DAL,2017,0.3684768005574073
DAL,2018,-0.7812581886267451
DAL,2019,-0.7049770542388676
DAL,2020,2.854168989238355
DAL,2021,0.31734655203135986
DEN,2012,-0.8444738571232031
DEN,2013,-0.28683393807263236
DEN,2014,-0.2699409188813877
DEN,2015,0.059816213209067326
DEN,2016,0.28462829932386097
DEN,2017,1.226752885598718
DEN,2018,-0.8655970145155173
DEN,2019,-1.147166238647475
DEN,2020,-2.2777881454461055
DEN,2021,1.4644215897946242
DET,2012,1.1067890767228972
DET,2013,0.22469715672418408
DET,2014,0.6973169423672313
DET,2015,0.5059335912083589
DET,2016,-0.015572998986883628
DET,2017,-1.1851995151146453
DET,2018,-0.8901680604441788
DET,2019,-0.8393539042627135
DET,2020,-0.7486607177410872
DET,2021,-1.3663668318065731
GB,2012,-0.13288713592130674
GB,2013,-0.7407776608104657
GB,2014,0.7410285655257494
GB,2015,0.16486512589293173
GB,2016,0.8346793749064119
GB,2017,1.793393025105545
GB,2018,1.2533789489431164
GB,2019,-0.3837350772947505
GB,2020,-1.2278731912991092
GB,2021,0.21630047872421815
HST,2012,0.23260243898048547
HST,2013,0.216751206926733
HST,2014,0.7940400738672441
HST,2015,-0.614451315505433
HST,2017,0.36342273757670523
HST,2018,1.690604599821652
HST,2019,0.10834283628573751
HST,2020,1.4888661202582147
HST,2021,-0.3031590638642864
IND,2012,-0.7201790730707499
IND,2013,-0.7019115818063802
IND,2014,0.6315218619489749
IND,2015,1.4751959888555117
IND,2016,0.7328635123596139
IND,2017,0.5852276296882298
IND,2018,0.5891020308373479
IND,2019,-0.3208046771395587
IND,2020,-1.2275960363393437
IND,2021,-0.4423265315936189
JAX,2012,0.3726965974140407
JAX,2015,-1.8418926824747799
JAX,2016,0.4076344051983909
JAX,2017,-0.3782662680016451
JAX,2018,0.33251494850218577
JAX,2019,-0.6494595033273785
JAX,2020,-0.710793566801988
JAX,2021,-1.601241259698123
KC,2012,0.7091088215532239
KC,2013,1.0429167918326525
KC,2014,0.7904211922688449
KC,2015,0.16926780171754807
KC,2016,1.998137406107305
KC,2017,-1.5321835515119375
KC,2018,3.3263197853840163
KC,2019,1.886724957806606
KC,2020,0.4645081272945679
KC,2021,-0.8901145051974001
LA,2012,-2.100070149257817
LA,2014,-1.5668237988026095
LA,2015,0.34309308720718895
LA,2016,0.06199557504269083
LA,2017,-0.7986121251771724
LA,2018,-0.026132178560420206
LA,2019,0.8591498540031102
LA,2020,0.9049426494269609
LA,2021,-0.9174277635412796
LAC,2012,0.37167269460768004
LAC,2013,-0.2444055844459926
LAC,2014,-1.0826380104540603
LAC,2015,-0.8565721561381505
LAC,2016,-0.9264798870378136
LAC,2017,0.1709864598322702
LAC,2018,-0.03965482374765888
LAC,2019,-1.151111868621253
LAC,2020,1.5838754120979623
LAC,2021,1.060179579045687
LV,2012,-1.1554370103458746
LV,2013,-1.1717378100157476
LV,2014,-0.42163348982855237
LV,2015,0.2618221588568018
LV,2016,-0.3887513865732769
