team_name,Year,avg_diff_lb
ARZ,2012,-0.05629697006624475
ARZ,2013,0.08357714604422033
ARZ,2014,-1.0084819086708874
ARZ,2015,-0.21039956933698414
ARZ,2016,-1.3847305024863068
ARZ,2017,-1.0553565973485695
ARZ,2018,-1.4745015373737735
ARZ,2019,-0.1217662675029779
ARZ,2020,0.25076249936527223
ARZ,2021,0.6279908790012922
ATL,2012,0.018282912798943108
ATL,2015,-0.0802799457784725
ATL,2016,-0.31685608702273005
ATL,2019,1.9631890831014616
ATL,2020,2.797203135468808
ATL,2021,2.228102170035476
BLT,2012,0.25854154537547835
BLT,2013,0.3401369907219431
BLT,2014,-0.2333249400071334
BLT,2015,-0.33806461925985143
BLT,2018,-1.5893785290020177
BLT,2019,-1.6994847530064108
BLT,2020,-1.709271193340161
BLT,2021,-2.116734346921848
BUF,2012,0.04028329102458481
BUF,2014,-0.2715076434135719
BUF,2015,-0.5250115928831299
BUF,2016,-0.8492936441089485
BUF,2017,-0.7982200535940673
BUF,2018,-1.9459073109180516
BUF,2020,0.5090298054794851
BUF,2021,0.8500973699931206
CAR,2012,0.45819898954187943
CAR,2013,-0.026351387815694696
CAR,2014,0.20610455335369246
CAR,2015,1.681541408244651
CAR,2016,1.260983113521427
CAR,2017,1.013470909409937
CAR,2018,0.13912115484693477
CAR,2019,1.5724086169487084
CAR,2020,0.8599380452200817
CAR,2021,-0.6674712680421169
CHI,2012,0.4739142910461591
CHI,2013,-0.4073756544485324
CHI,2014,-0.3908653697988025
CHI,2016,-0.32154113372955423
CHI,2017,-0.37987862564425284
CHI,2018,0.5918162879678177
CHI,2019,0.7125451046031226
CHI,2020,1.114032243132425
CHI,2021,-1.5983846653268097
CIN,2012,-0.4923300020085138
CIN,2013,-0.4505299576961633
CIN,2014,-0.46528805401488765
CIN,2015,-0.2744527364059238
CIN,2016,-0.8334527322201638
CIN,2017,0.7920529409365421
CIN,2020,-1.521745445290134
CIN,2021,-2.0450246898084816
CLV,2012,1.3177750723191137
CLV,2013,1.3676938029721522
CLV,2014,0.12310433739795006
CLV,2015,-0.07268871549303953
CLV,2016,0.0708413645052959
CLV,2017,1.5196562918990206
CLV,2018,1.7235370249884694
CLV,2020,-1.4110963966089545
CLV,2021,-1.7137837763961028
DAL,2012,-0.41110375107926606
DAL,2013,-1.164336257957143
DAL,2014,-0.6930390970211875
DAL,2015,-0.20321072153565323
DAL,2016,0.6498709145081311
DAL,2017,-0.5998113564673443
DAL,2019,0.3583307909927395
DAL,2020,0.627603147089302
DEN,2012,-0.4888448343997046
DEN,2013,0.1088320177638398
DEN,2014,-1.0287907249850512
DEN,2015,-1.5471042293000639
DEN,2016,1.3221188280682716
DEN,2017,-0.05135375238421603
DEN,2018,0.1575508376025513
DEN,2019,-0.5113908159268421
DEN,2020,-1.9188745350454088
DET,2012,-0.03929235616247434
DET,2013,-0.23109233918512145
DET,2014,-0.2991569784781092
DET,2015,-0.12909548657853193
DET,2016,0.11274137725353066
DET,2017,-0.3176878748795914
DET,2018,-1.057901148781875
DET,2019,-0.24887283454381065
DET,2020,-0.1622769610016713
DET,2021,-0.84456511433862
GB,2012,0.6145003319792745
GB,2013,0.2835474716267183
GB,2014,-0.1040534451009204
GB,2017,-1.2881080409711425
GB,2020,0.31714956639823444
GB,2021,-1.2276657966873752
HST,2012,-1.0464863585250728
HST,2013,-0.5778950816268268
HST,2014,0.47263533766689836
HST,2015,0.3564605559281128
HST,2016,0.9467976467898485
HST,2017,1.4150525308321487
HST,2018,0.6693704063880219
HST,2019,0.8755703947792532
HST,2020,0.4602639489713755
HST,2021,-0.7930282174565635
IND,2012,-1.3425338939586093
IND,2013,-0.804287411624491
IND,2014,-0.19706925863815752
IND,2015,-0.789655491068004
IND,2016,0.012834995022900543
IND,2017,-1.049571810971904
IND,2021,4.255808722844725
JAX,2012,0.1198568835462261
JAX,2013,0.09273321778571263
JAX,2014,-0.5105662056092425
JAX,2015,0.3184492594874848
JAX,2016,-0.41170460005904075
JAX,2017,-0.0864847496965942
JAX,2018,1.4120783405861492
JAX,2019,0.5665121732266737
JAX,2020,1.5599894705794317
JAX,2021,-0.2260164054827659
KC,2012,-0.6475870435101577
KC,2013,-0.6090770563301249
KC,2014,-0.6341226003917373
KC,2015,-0.7373040503499254
KC,2016,0.5120083808503362
KC,2017,0.6472784369697265
KC,2018,0.8764572242268218
KC,2019,0.5678911502006218
KC,2020,-0.18395004757388958
KC,2021,1.5272888912868263
LA,2012,-0.7568992082790537
LA,2013,0.4313041500762914
LA,2014,0.05838051512589158
LA,2015,0.3223830888012293
LA,2016,0.8794004703842464
LA,2017,1.8759604898230795
LA,2018,-0.14779432085109706
LA,2019,-1.9890770743902264
LA,2020,-1.7412218335449496
LA,2021,-1.746865268593657
LAC,2012,-0.25414044508716077
LAC,2013,-0.44806506246947686
LAC,2014,0.18732817269872926
LAC,2015,0.45567814260423367
LAC,2016,-1.368217321999411
LAC,2019,-0.11070003261821867
LAC,2020,-1.1563040950940682
LV,2012,-1.3686556690081544
LV,2013,-0.2839282258816879
LV,2015,-0.0566268305439298
LV,2016,-0.24292602607770172
LV,2017,-0.00442280862215708
LV,2018,0.2928899387538022
LV,2019,-0.5290951162938108
LV,2020,0.6237831034916342
LV,2021,0.203050134628491
MIA,2012,0.19355773897955716
MIA,2013,0.5594843487464577
MIA,2014,0.2925452927619333
MIA,2015,-0.34085014571447925
MIA,2016,-0.5765161253374299
MIA,2017,1.120823663877131
MIA,2018,0.5289352523609615
MIA,2019,-1.3010269911056733
