team_name,Year,avg_diff_rb
ARZ,2012,-0.5408736487321639
ARZ,2013,-0.8779539763086782
ARZ,2014,-0.4036737214223957
ARZ,2015,-0.4979501096472864
ARZ,2016,-0.5396710330194712
ARZ,2017,-0.7071841747457733
ARZ,2018,2.825350340178474
ARZ,2019,2.2820401878295518
ARZ,2020,1.220834517764352
ARZ,2021,-2.2198387928013164
ATL,2012,0.536027020674597
ATL,2013,-0.7471985746067612
ATL,2014,-0.42345230621861785
ATL,2017,0.9942369935345459
ATL,2019,1.7462962186413533
ATL,2020,0.5087014591825971
ATL,2021,-0.43509258800434736
BLT,2012,0.9058678737116861
BLT,2013,0.3727429679252771
BLT,2014,-1.2571874891214903
BLT,2015,-0.6272542592175675
BLT,2016,-0.6687712448528662
BLT,2019,-0.5733209342098847
BLT,2020,-2.8134931638735186
BLT,2021,-0.9145266940540794
BUF,2012,-0.3150521820890124
BUF,2013,0.7979042601490454
BUF,2014,-0.5875802793974033
BUF,2015,1.067958797577969
BUF,2016,0.24659141407243407
BUF,2017,0.6999280083585606
BUF,2018,0.5677672463359482
BUF,2019,-0.551495405861642
CAR,2012,1.1257382462918835
CAR,2013,0.28839844642912876
CAR,2014,0.4467072099375921
CAR,2015,0.40090721171993876
CAR,2016,0.2369115594443527
CAR,2017,1.1960018972209931
CAR,2018,-1.0037502105600118
CAR,2020,-0.20519702273619062
CHI,2012,0.6323503524515082
CHI,2013,0.1611318699840306
CHI,2014,1.7055552323913004
CHI,2015,0.9762915785153494
CHI,2020,0.5064607049388442
CIN,2012,-0.9521393545742178
CIN,2013,-0.19828560542591364
CIN,2016,0.7097215012375752
CIN,2017,-0.06793860301044916
CIN,2018,0.8426224396782377
CIN,2019,0.4000976301217412
CIN,2020,0.3607874382080857
CIN,2021,-0.1528157547004079
CLV,2013,-0.8911272832055881
CLV,2017,0.1834428853848518
CLV,2018,0.6346551864464917
CLV,2020,0.5456011524433596
CLV,2021,1.4404478147213116
DAL,2015,-0.1913197115968796
DAL,2016,-0.7703327034333557
DAL,2017,-0.3538240400707825
DAL,2018,-0.9066248633680638
DAL,2019,3.0250393974932264
DAL,2020,2.3804005689189656
DAL,2021,3.862790454331612
DEN,2012,-0.2127341051924503
DEN,2016,0.19484064189957545
DEN,2017,0.14507069647819457
DEN,2020,1.4404478147213116
DEN,2021,-0.23720779764694658
DET,2012,-0.7640760519735262
DET,2013,-0.17289524078079127
DET,2014,0.05695184271372795
DET,2016,0.36066617557258285
DET,2017,-0.6910856650361096
DET,2018,-0.4509078314567555
DET,2020,-0.47880184610976156
DET,2021,-0.8005974360762522
GB,2012,-0.7840602623474933
GB,2014,-0.20438022416328597
GB,2015,0.017623346456964128
GB,2016,-0.2145674495737028
GB,2021,1.6921689083377112
HST,2012,1.3015395014552609
HST,2013,1.3598864139062297
HST,2014,1.448402026675363
HST,2015,-0.8864445142460071
HST,2016,0.9201272188992047
HST,2017,0.4510238629343075
HST,2018,-0.03543992568864424
HST,2019,-1.1593121585740878
HST,2020,0.30145590342156636
HST,2021,-0.6726998399555499
IND,2015,-0.00027658416115471167
IND,2016,-0.0615161648372863
IND,2017,-0.5803051032813223
IND,2021,1.0318739240422075
JAX,2012,-0.9267407020484639
JAX,2014,0.5124671485416895
JAX,2016,0.7995921010079763
JAX,2017,0.6811522338381789
JAX,2018,0.8417453444456828
JAX,2020,-0.5931676146545535
JAX,2021,-1.222266643764302
KC,2012,-0.25816030486125957
KC,2014,1.7297088170966888
KC,2016,-0.037431461499364785
KC,2017,-0.876462972614744
KC,2018,0.028481634112328364
KC,2019,-0.268636558468416
KC,2020,-1.316843933273354
KC,2021,-1.377373398559147
LA,2012,0.6266941649275957
LA,2016,0.11578374750529923
LA,2018,-0.4257743678306442
LA,2019,-0.5340349831830478
LAC,2013,-0.6650443758335293
LAC,2014,0.5013118590965624
LAC,2015,-0.9193283102906927
LAC,2020,0.7347557314614632
LAC,2021,-0.3332401223792146
LV,2013,-1.1052818118177208
LV,2014,-0.3329491153345713
LV,2015,-0.12497010541822169
LV,2017,-0.18948846246634865
LV,2018,-0.4960100820834678
LV,2020,-0.7428325377145699
LV,2021,0.6055486036398662
MIA,2012,0.4392380776262566
MIA,2014,-0.6640181103898903
MIA,2017,-0.10945570504856571
MIA,2018,-0.3419703337185117
MIA,2021,-0.43072748233469893
MIN,2012,2.1778596658472726
MIN,2013,1.251751571798521
MIN,2014,-0.5630948884597125
MIN,2015,3.1986153567070614
MIN,2016,-0.5401461311205558
MIN,2017,-0.1261401283419143
MIN,2018,0.6710251886845944
MIN,2020,0.8627988311044872
MIN,2021,3.2496386112683124
NE,2012,-1.6827852919122235
NE,2013,-1.0736182665126333
NE,2014,-1.1080463787418318
NE,2015,-0.4575001304418766
NE,2016,-0.2058372382344057
NE,2017,-0.3550656507274573
NE,2018,0.09483124029098629
NE,2019,-0.6055256944166
NE,2020,-0.8803333663084992
NO,2012,-1.4784121852068934
NO,2013,-0.10681217377446306
NO,2014,-0.7278456749154433
NO,2015,-0.7042013525381803
NO,2016,-0.14986203319727914
NO,2017,-0.6676072166742933
NO,2018,0.47116155042361957
NO,2019,-1.1569840440155328
NO,2020,0.797322246059759
NO,2021,1.6245097704581588
NYG,2012,-1.3482978953048896
NYG,2013,-0.60270051072509
NYG,2014,-0.09432333872711753
NYG,2015,-0.5449962000301023
NYG,2016,0.13755107444461329
NYG,2017,-0.7280493798466934
NYG,2020,-0.2915097121773745
NYG,2021,-1.046207381755144
NYJ,2013,-0.860253880228116
NYJ,2014,-0.06525074554330629
