player,player_id,position,team_name,grades_offense,pass_plays,rank,Year,index,player_name,year_signed,age,contract_length,value,average/year
Taylor Gabriel,9002,WR,CHI,68.8,556,53.0,2018,611,Taylor Gabriel,2018,27,4,"$26,000,000",6500000
Bruce Ellington,8741,WR,DET,68.3,189,57.0,2018,490,Bruce Ellington,2018,26,1,"$1,250,000",1250000
Quincy Enunwa,8843,WR,NYJ,68.0,337,60.0,2018,590,Quincy Enunwa,2018,25,1,"$2,914,000",2914000
Willie Snead IV,8999,WR,BLT,67.5,509,63.0,2018,624,Willie Snead IV,2018,25,2,"$7,000,000",3500000
Jordan Matthews,8677,WR,PHI,66.9,244,67.0,2018,550,Jordan Matthews,2018,25,1,"$1,000,000",1000000
Danny Amendola,4717,WR,MIA,66.6,445,68.0,2018,505,Danny Amendola,2018,32,2,"$12,000,000",6000000
Tyrell Williams,10154,WR,LAC,65.9,570,70.0,2018,622,Tyrell Williams,2018,26,1,"$2,914,000",2914000
Ted Ginn Jr.,3625,WR,NO,65.8,212,72.0,2018,751,Ted Ginn Jr.,2018,32,3,"$11,000,000",3666667
Allen Hurns,8931,WR,DAL,65.5,271,73.0,2018,472,Allen Hurns,2018,26,2,"$12,000,000",6000000
Jaron Brown,8128,WR,SEA,65.1,182,74.0,2018,541,Jaron Brown,2018,28,2,"$5,500,000",2750000
Paul Richardson Jr.,8680,WR,WAS,64.7,254,75.0,2018,587,Paul Richardson Jr.,2018,25,5,"$40,000,000",8000000
John Brown,8726,WR,BLT,64.5,544,77.0,2018,546,John Brown,2018,27,1,"$5,000,000",5000000
Kenny Stills,7926,WR,MIA,64.4,467,79.0,2018,711,Kenny Stills,2018,25,4,"$32,000,000",8000000
Martavis Bryant,8753,WR,LV,63.7,153,84.0,2018,574,Martavis Bryant,2018,26,1,"$1,907,000",1907000
Jarius Wright,7118,WR,CAR,63.7,409,84.0,2018,540,Jarius Wright,2018,28,3,"$7,500,000",2500000
Michael Crabtree,4933,WR,BLT,63.3,574,86.0,2018,579,Michael Crabtree,2018,30,3,"$21,000,000",7000000
Jermaine Kearse,7428,WR,NYJ,62.7,404,90.0,2018,831,Jermaine Kearse,2018,28,3,"$13,500,000",4500000
Marquise Goodwin,7859,WR,SF,62.7,264,90.0,2018,573,Marquise Goodwin,2018,27,3,"$19,250,000",6416667
Donte Moncrief,8725,WR,JAX,62.3,567,93.0,2018,518,Donte Moncrief,2018,24,1,"$9,600,000",9600000
Seth Roberts,9079,WR,LV,62.1,401,96.0,2018,746,Seth Roberts,2018,27,3,"$12,000,000",4000000
Aldrick Robinson,6330,WR,MIN,61.8,187,97.0,2018,470,Aldrick Robinson,2018,29,1,"$790,000",790000
Travis Benjamin,7100,WR,LAC,61.3,219,99.0,2018,882,Travis Benjamin,2018,28,4,"$24,000,000",6000000
Randall Cobb,6216,WR,GB,60.2,360,103.0,2018,1004,Randall Cobb,2018,27,4,"$40,000,000",10000000
Tim Patrick,12087,WR,DEN,60.2,263,103.0,2018,615,Tim Patrick,2018,24,1,"$480,000",480000
Keelan Cole,51593,WR,JAX,59.4,491,107.0,2018,705,Keelan Cole,2018,25,3,"$1,669,000",556333
Josh Bellamy,7472,WR,CHI,59.3,185,108.0,2018,553,Josh Bellamy,2018,28,1,"$1,907,000",1907000
Ryan Grant,8777,WR,IND,59.1,422,109.0,2018,599,Ryan Grant,2018,27,1,"$5,000,000",5000000
Alex Erickson,11107,WR,CIN,59.1,241,109.0,2018,471,Alex Erickson,2018,25,2,"$4,680,000",2340000
Bennie Fowler,8914,WR,NYG,58.2,257,112.0,2018,479,Bennie Fowler,2018,26,1,"$1,000,000",1000000
Andre Roberts,5612,WR,NYJ,58.1,121,113.0,2018,476,Andre Roberts,2018,30,1,"$1,005,000",1005000
Marvin Hall,11440,WR,ATL,55.9,122,118.0,2018,727,Marvin Hall,2018,25,2,"$1,020,000",510000
Maurice Harris,11035,WR,WAS,55.9,299,118.0,2018,729,Maurice Harris,2018,25,2,"$1,170,000",585000
Chris Hogan,6468,WR,NE,54.3,644,121.0,2018,790,Chris Hogan,2018,30,3,"$12,000,000",4000000
T.J. Jones,8824,WR,DET,50.4,346,126.0,2018,605,T.J. Jones,2018,25,1,"$1,907,000",1907000
Julio Jones,6158,WR,ATL,91.8,562,1.0,2017,969,Julio Jones,2017,28,5,"$71,256,045",14251209
Antonio Brown,5718,WR,PIT,91.3,627,3.0,2017,639,Antonio Brown,2017,28,4,"$68,000,000",17000000
DeAndre Hopkins,7808,WR,HST,90.2,631,4.0,2017,664,DeAndre Hopkins,2017,25,5,"$81,000,000",16200000
Keenan Allen,7857,WR,LAC,89.3,583,5.0,2017,844,Keenan Allen,2017,25,4,"$45,000,000",11250000
Doug Baldwin,6615,WR,SEA,84.4,601,6.0,2017,809,Doug Baldwin,2017,28,4,"$46,000,000",11500000
Golden Tate,5585,WR,DET,82.8,575,7.0,2017,1083,Golden Tate,2017,28,5,"$31,000,000",6200000
Adam Thielen,8288,WR,MIN,82.4,694,9.0,2017,626,Adam Thielen,2017,26,4,"$19,246,000",4811500
A.J. Green,6156,WR,CIN,82.2,543,10.0,2017,890,A.J. Green,2017,29,4,"$60,000,000",15000000
Robert Woods,7822,WR,LA,81.0,428,12.0,2017,740,Robert Woods,2017,24,5,"$34,000,000",6800000
Davante Adams,8688,WR,GB,80.5,538,13.0,2017,663,Davante Adams,2017,25,4,"$58,000,000",14500000
Larry Fitzgerald,1724,WR,ARZ,80.0,702,14.0,2017,717,Larry Fitzgerald,2017,32,1,"$11,000,000",11000000
Pierre Garcon,4519,WR,SF,77.5,293,19.0,2017,734,Pierre Garcon,2017,30,5,"$47,500,000",9500000
Danny Amendola,4717,WR,NE,77.4,553,20.0,2017,661,Danny Amendola,2017,31,1,"$1,700,000",1700000
Alshon Jeffery,7048,WR,PHI,77.3,691,21.0,2017,631,Alshon Jeffery,2017,27,4,"$52,000,000",13000000
Mohamed Sanu,7084,WR,ATL,77.2,536,22.0,2017,859,Mohamed Sanu,2017,27,5,"$32,500,000",6500000
Marquise Goodwin,7859,WR,SF,77.1,508,23.0,2017,726,Marquise Goodwin,2017,26,2,"$6,000,000",3000000
DeSean Jackson,4363,WR,TB,76.8,465,24.0,2017,666,DeSean Jackson,2017,30,3,"$33,500,000",11166667
Marvin Jones Jr.,7158,WR,DET,76.3,674,25.0,2017,853,Marvin Jones Jr.,2017,26,5,"$40,000,000",8000000
T.J. Jones,8824,WR,DET,74.4,287,29.0,2017,749,T.J. Jones,2017,24,1,"$690,000",690000
Demaryius Thomas,5547,WR,DEN,74.1,584,30.0,2017,921,Demaryius Thomas,2017,29,5,"$70,000,000",14000000
Keelan Cole,51593,WR,JAX,74.0,534,31.0,2017,705,Keelan Cole,2017,24,3,"$1,669,000",556333
Allen Hurns,8931,WR,JAX,73.9,392,32.0,2017,767,Allen Hurns,2017,25,4,"$40,650,000",10162500
Albert Wilson,8943,WR,KC,73.8,399,33.0,2017,627,Albert Wilson,2017,24,1,"$1,797,000",1797000
Kendall Wright,7026,WR,CHI,73.2,435,34.0,2017,708,Kendall Wright,2017,27,1,"$2,000,000",2000000
Dez Bryant,5549,WR,DAL,72.7,568,36.0,2017,926,Dez Bryant,2017,28,5,"$70,000,000",14000000
Jarius Wright,7118,WR,MIN,72.3,234,38.0,2017,950,Jarius Wright,2017,27,4,"$14,800,000",3700000
Michael Crabtree,4933,WR,LV,72.0,413,40.0,2017,991,Michael Crabtree,2017,30,4,"$34,000,000",8500000
Rishard Matthews,7211,WR,TEN,71.9,568,41.0,2017,867,Rishard Matthews,2017,27,3,"$15,000,000",5000000
Ted Ginn Jr.,3625,WR,NO,71.6,500,42.0,2017,751,Ted Ginn Jr.,2017,31,3,"$11,000,000",3666667
Jermaine Kearse,7428,WR,NYJ,69.7,567,47.0,2017,831,Jermaine Kearse,2017,27,3,"$13,500,000",4500000
Eric Decker,5611,WR,TEN,69.4,519,49.0,2017,675,Eric Decker,2017,30,1,"$4,000,000",4000000
Jeremy Maclin,4942,WR,BLT,69.1,324,52.0,2017,693,Jeremy Maclin,2017,29,2,"$11,000,000",5500000
Mike Wallace,5007,WR,BLT,69.0,476,53.0,2017,856,Mike Wallace,2017,30,2,"$11,500,000",5750000
T.Y. Hilton,7092,WR,IND,68.9,585,55.0,2017,1017,T.Y. Hilton,2017,27,5,"$65,000,000",13000000
Jordy Nelson,4350,WR,GB,68.6,539,57.0,2017,1104,Jordy Nelson,2017,32,4,"$39,050,000",9762500
Emmanuel Sanders,5606,WR,DEN,68.1,436,59.0,2017,811,Emmanuel Sanders,2017,30,3,"$33,000,000",11000000
Travis Benjamin,7100,WR,LAC,66.8,401,64.0,2017,882,Travis Benjamin,2017,27,4,"$24,000,000",6000000
Jeremy Kerley,6305,WR,NYJ,66.4,191,65.0,2017,692,Jeremy Kerley,2017,28,3,"$8,400,000",2800000
Dontrelle Inman,6597,WR,CHI,66.0,286,66.0,2017,672,Dontrelle Inman,2017,28,1,"$2,746,000",2746000
Brice Butler,7991,WR,DAL,65.9,160,67.0,2017,651,Brice Butler,2017,27,1,"$1,100,000",1100000
Terrance Williams,7855,WR,DAL,65.3,461,69.0,2017,752,Terrance Williams,2017,27,4,"$17,000,000",4250000
Randall Cobb,6216,WR,GB,64.4,521,70.0,2017,1004,Randall Cobb,2017,26,4,"$40,000,000",10000000
Josh Bellamy,7472,WR,CHI,63.8,283,71.0,2017,698,Josh Bellamy,2017,27,1,"$775,000",775000
Taylor Gabriel,9002,WR,ATL,63.7,381,72.0,2017,750,Taylor Gabriel,2017,26,1,"$2,746,000",2746000
Deonte Thompson,7513,WR,BUF,63.6,462,73.0,2017,667,Deonte Thompson,2017,28,1,"$855,000",855000
Tre McBride,9678,WR,CHI,63.5,130,75.0,2017,759,Tre McBride,2017,24,1,"$615,000",615000
Tavarres King,7943,WR,NYG,62.3,262,81.0,2017,876,Tavarres King,2017,26,2,"$1,290,000",645000
Brandon Marshall,3064,WR,NYG,62.2,183,82.0,2017,647,Brandon Marshall,2017,32,2,"$11,000,000",5500000
Chris Hogan,6468,WR,NE,61.3,532,86.0,2017,790,Chris Hogan,2017,29,3,"$12,000,000",4000000
Willie Snead IV,8999,WR,NO,60.2,179,89.0,2017,762,Willie Snead IV,2017,24,1,"$615,000",615000
Kenny Stills,7926,WR,MIA,59.9,649,90.0,2017,711,Kenny Stills,2017,24,4,"$32,000,000",8000000
Cole Beasley,7330,WR,DAL,59.9,413,90.0,2017,913,Cole Beasley,2017,27,4,"$13,606,000",3401500
John Brown,8726,WR,ARZ,58.0,340,99.0,2017,1102,John Brown,2017,27,4,"$2,798,900",699725
Brandon LaFell,5602,WR,CIN,57.8,554,101.0,2017,646,Brandon LaFell,2017,30,2,"$9,000,000",4500000
Bruce Ellington,8741,WR,HST,57.0,364,102.0,2017,653,Bruce Ellington,2017,25,1,"$615,000",615000
Torrey Smith,6210,WR,PHI,56.7,542,104.0,2017,757,Torrey Smith,2017,28,3,"$15,000,000",5000000
Kenny Britt,4953,WR,NE,56.2,278,105.0,2017,710,Kenny Britt,2017,28,4,"$32,500,000",8125000
Bennie Fowler,8914,WR,DEN,56.0,379,106.0,2017,643,Bennie Fowler,2017,25,1,"$615,000",615000
Aldrick Robinson,6330,WR,SF,55.9,278,107.0,2017,628,Aldrick Robinson,2017,28,2,"$4,000,000",2000000
Kaelin Clay,9617,WR,CAR,55.1,189,111.0,2017,703,Kaelin Clay,2017,25,1,"$540,000",540000
Seth Roberts,9079,WR,LV,54.0,514,116.0,2017,746,Seth Roberts,2017,26,3,"$12,000,000",4000000
Mike Williams,11762,WR,LAC,52.6,145,121.0,2017,1266,Mike Williams,2017,30,5,"$39,620,000",7924000
Kamar Aiken,6671,WR,IND,47.0,373,126.0,2017,704,Kamar Aiken,2017,27,1,"$2,600,000",2600000
Russell Shepard,8254,WR,CAR,46.0,312,127.0,2017,744,Russell Shepard,2017,26,3,"$10,000,000",3333333
Julio Jones,6158,WR,ATL,93.5,572,1.0,2016,969,Julio Jones,2016,27,5,"$71,256,045",14251209
A.J. Green,6156,WR,CIN,90.0,361,3.0,2016,890,A.J. Green,2016,28,4,"$60,000,000",15000000
Antonio Brown,5718,WR,PIT,88.4,713,4.0,2016,1305,Antonio Brown,2016,28,5,"$41,960,000",8392000
T.Y. Hilton,7092,WR,IND,86.7,661,5.0,2016,1017,T.Y. Hilton,2016,26,5,"$65,000,000",13000000
Doug Baldwin,6615,WR,SEA,86.1,697,7.0,2016,809,Doug Baldwin,2016,27,4,"$46,000,000",11500000
Cole Beasley,7330,WR,DAL,85.9,462,8.0,2016,913,Cole Beasley,2016,26,4,"$13,606,000",3401500
Pierre Garcon,4519,WR,WAS,85.5,561,10.0,2016,1395,Pierre Garcon,2016,29,5,"$42,500,000",8500000
Dez Bryant,5549,WR,DAL,83.5,480,13.0,2016,926,Dez Bryant,2016,27,5,"$70,000,000",14000000
Larry Fitzgerald,1724,WR,ARZ,83.3,703,14.0,2016,849,Larry Fitzgerald,2016,32,1,"$11,000,000",11000000
Jordy Nelson,4350,WR,GB,82.2,773,15.0,2016,1104,Jordy Nelson,2016,31,4,"$39,050,000",9762500
Emmanuel Sanders,5606,WR,DEN,81.5,575,16.0,2016,811,Emmanuel Sanders,2016,29,3,"$33,000,000",11000000
Rishard Matthews,7211,WR,TEN,81.4,475,17.0,2016,867,Rishard Matthews,2016,26,3,"$15,000,000",5000000
Demaryius Thomas,5547,WR,DEN,80.4,590,18.0,2016,921,Demaryius Thomas,2016,28,5,"$70,000,000",14000000
Julian Edelman,5156,WR,NE,80.3,759,19.0,2016,1110,Julian Edelman,2016,29,4,"$17,000,000",4250000
Mohamed Sanu,7084,WR,ATL,80.0,581,20.0,2016,859,Mohamed Sanu,2016,26,5,"$32,500,000",6500000
Adam Thielen,8288,WR,MIN,79.9,526,21.0,2016,765,Adam Thielen,2016,25,1,"$600,000",600000
Michael Crabtree,4933,WR,LV,78.6,609,25.0,2016,991,Michael Crabtree,2016,29,4,"$34,000,000",8500000
Russell Shepard,8254,WR,TB,78.4,241,26.0,2016,870,Russell Shepard,2016,25,1,"$1,671,000",1671000
Andre Holmes,6489,WR,LV,74.6,160,35.0,2016,771,Andre Holmes,2016,27,1,"$2,000,000",2000000
Alshon Jeffery,7048,WR,CHI,74.5,462,36.0,2016,768,Alshon Jeffery,2016,25,1,"$14,599,000",14599000
Steve Smith,837,WR,BLT,74.5,493,36.0,2016,1162,Steve Smith,2016,36,3,"$10,500,000",3500000
Randall Cobb,6216,WR,GB,74.4,628,38.0,2016,1004,Randall Cobb,2016,25,4,"$40,000,000",10000000
Kenny Britt,4953,WR,LA,74.0,529,39.0,2016,974,Kenny Britt,2016,27,2,"$9,150,000",4575000
DeSean Jackson,4363,WR,WAS,73.0,520,43.0,2016,1066,DeSean Jackson,2016,29,4,"$24,000,000",6000000
Marvin Jones Jr.,7158,WR,DET,72.5,657,47.0,2016,853,Marvin Jones Jr.,2016,25,5,"$40,000,000",8000000
Dontrelle Inman,6597,WR,LAC,72.3,612,48.0,2016,808,Dontrelle Inman,2016,27,1,"$600,000",600000
John Brown,8726,WR,ARZ,71.4,426,51.0,2016,1102,John Brown,2016,26,4,"$2,798,900",699725
Golden Tate,5585,WR,DET,70.6,679,53.0,2016,1083,Golden Tate,2016,27,5,"$31,000,000",6200000
Deonte Thompson,7513,WR,CHI,70.5,194,54.0,2016,803,Deonte Thompson,2016,27,1,"$840,000",840000
Mike Wallace,5007,WR,BLT,70.2,618,55.0,2016,856,Mike Wallace,2016,29,2,"$11,500,000",5750000
Brandon LaFell,5602,WR,CIN,69.5,637,58.0,2016,781,Brandon LaFell,2016,29,1,"$2,500,000",2500000
Brandon Marshall,3064,WR,NYJ,69.2,580,61.0,2016,899,Brandon Marshall,2016,32,3,"$26,000,000",8666667
Ted Ginn Jr.,3625,WR,CAR,69.2,461,61.0,2016,1018,Ted Ginn Jr.,2016,30,2,"$4,200,000",2100000
Jeremy Kerley,6305,WR,SF,68.9,520,63.0,2016,829,Jeremy Kerley,2016,27,1,"$850,000",850000
Travis Benjamin,7100,WR,LAC,67.2,414,67.0,2016,882,Travis Benjamin,2016,26,4,"$24,000,000",6000000
Harry Douglas,4398,WR,TEN,66.3,167,70.0,2016,943,Harry Douglas,2016,30,3,"$11,250,000",3750000
Jaron Brown,8128,WR,ARZ,66.1,119,72.0,2016,825,Jaron Brown,2016,25,1,"$1,910,000",1910000
Chris Hogan,6468,WR,NE,65.8,641,74.0,2016,790,Chris Hogan,2016,28,3,"$12,000,000",4000000
Rod Streater,7416,WR,SF,65.3,166,78.0,2016,868,Rod Streater,2016,28,1,"$810,000",810000
Eddie Royal,4356,WR,CHI,65.1,240,79.0,2016,932,Eddie Royal,2016,29,3,"$15,000,000",5000000
Anquan Boldin,1369,WR,DET,64.9,626,81.0,2016,774,Anquan Boldin,2016,35,1,"$2,750,000",2750000
Cobi Hamilton,7978,WR,PIT,63.0,300,85.0,2016,793,Cobi Hamilton,2016,25,1,"$450,000",450000
Bryan Walters,6139,WR,JAX,62.9,232,86.0,2016,787,Bryan Walters,2016,28,1,"$760,000",760000
Jeremy Maclin,4942,WR,KC,61.8,440,91.0,2016,957,Jeremy Maclin,2016,27,5,"$55,000,000",11000000
Tavon Austin,7789,WR,LA,61.3,506,95.0,2016,877,Tavon Austin,2016,26,4,"$42,000,000",10500000
Victor Cruz,5827,WR,NYG,61.0,523,97.0,2016,1297,Victor Cruz,2016,29,5,"$43,000,000",8600000
Vincent Jackson,2278,WR,TB,60.8,221,98.0,2016,1422,Vincent Jackson,2016,33,5,"$55,555,555",11111111
Kamar Aiken,6671,WR,BLT,60.5,425,101.0,2016,842,Kamar Aiken,2016,26,1,"$2,553,000",2553000
Brian Quick,7037,WR,LA,60.5,470,101.0,2016,784,Brian Quick,2016,26,1,"$1,750,000",1750000
Charles Johnson,7998,WR,MIN,60.4,271,103.0,2016,1198,Charles Johnson,2016,27,4,"$2,221,820",555455
Andre Roberts,5612,WR,DET,60.3,186,104.0,2016,773,Andre Roberts,2016,28,1,"$760,000",760000
Andrew Hawkins,6125,WR,CLV,58.1,476,109.0,2016,1034,Andrew Hawkins,2016,30,4,"$13,600,000",3400000
Allen Hurns,8931,WR,JAX,57.1,455,114.0,2016,767,Allen Hurns,2016,24,4,"$40,650,000",10162500
Seth Roberts,9079,WR,LV,56.1,590,116.0,2016,872,Seth Roberts,2016,24,2,"$1,140,000",570000
Jermaine Kearse,7428,WR,SEA,55.5,635,117.0,2016,831,Jermaine Kearse,2016,26,3,"$13,500,000",4500000
Torrey Smith,6210,WR,SF,53.9,380,120.0,2016,1025,Torrey Smith,2016,27,5,"$40,000,000",8000000
Jordan Norwood,5358,WR,DEN,51.5,342,125.0,2016,834,Jordan Norwood,2016,29,1,"$880,000",880000
Isaiah Burse,9300,WR,LAC,49.6,32,127.0,2016,820,Isaiah Burse,2016,24,1,"$600,000",600000
Antonio Brown,5718,WR,PIT,92.5,733,1.0,2015,1305,Antonio Brown,2015,27,5,"$41,960,000",8392000
Julio Jones,6158,WR,ATL,92.5,658,1.0,2015,969,Julio Jones,2015,26,5,"$71,256,045",14251209
A.J. Green,6156,WR,CIN,90.4,627,5.0,2015,890,A.J. Green,2015,27,4,"$60,000,000",15000000
Larry Fitzgerald,1724,WR,ARZ,89.4,696,7.0,2015,984,Larry Fitzgerald,2015,31,2,"$22,000,000",11000000
Calvin Johnson,3618,WR,DET,88.6,688,8.0,2015,1316,Calvin Johnson,2015,29,7,"$113,450,000",16207143
Doug Baldwin,6615,WR,SEA,88.1,624,9.0,2015,1074,Doug Baldwin,2015,26,3,"$13,000,000",4333333
Brandon Marshall,3064,WR,NYJ,85.4,665,12.0,2015,899,Brandon Marshall,2015,31,3,"$26,000,000",8666667
Emmanuel Sanders,5606,WR,DEN,84.4,665,13.0,2015,1078,Emmanuel Sanders,2015,27,3,"$15,000,000",5000000
Julian Edelman,5156,WR,NE,83.7,478,15.0,2015,1110,Julian Edelman,2015,28,4,"$17,000,000",4250000
Vincent Jackson,2278,WR,TB,79.8,313,18.0,2015,1422,Vincent Jackson,2015,32,5,"$55,555,555",11111111
T.Y. Hilton,7092,WR,IND,78.9,654,20.0,2015,1017,T.Y. Hilton,2015,25,5,"$65,000,000",13000000
John Brown,8726,WR,ARZ,78.7,632,22.0,2015,1102,John Brown,2015,25,4,"$2,798,900",699725
Kamar Aiken,6671,WR,BLT,78.5,621,23.0,2015,972,Kamar Aiken,2015,25,1,"$585,000",585000
Jeremy Maclin,4942,WR,KC,78.3,581,25.0,2015,957,Jeremy Maclin,2015,26,5,"$55,000,000",11000000
Eric Decker,5611,WR,NYJ,78.0,588,26.0,2015,1079,Eric Decker,2015,27,5,"$36,250,000",7250000
Golden Tate,5585,WR,DET,77.4,679,27.0,2015,1083,Golden Tate,2015,26,5,"$31,000,000",6200000
Michael Crabtree,4933,WR,LV,77.2,595,28.0,2015,991,Michael Crabtree,2015,28,4,"$34,000,000",8500000
Demaryius Thomas,5547,WR,DEN,76.4,715,29.0,2015,921,Demaryius Thomas,2015,27,5,"$70,000,000",14000000
Jerricho Cotchery,1829,WR,CAR,76.1,310,30.0,2015,1100,Jerricho Cotchery,2015,32,5,"$8,015,000",1603000
Bryan Walters,6139,WR,JAX,75.2,258,32.0,2015,905,Bryan Walters,2015,27,2,"$1,445,000",722500
Danny Amendola,4717,WR,NE,75.2,518,32.0,2015,918,Danny Amendola,2015,29,3,"$12,750,000",4250000
Pierre Garcon,4519,WR,WAS,75.1,584,34.0,2015,1395,Pierre Garcon,2015,28,5,"$42,500,000",8500000
DeSean Jackson,4363,WR,WAS,74.8,302,35.0,2015,1066,DeSean Jackson,2015,28,4,"$24,000,000",6000000
Kenny Britt,4953,WR,LA,72.6,387,42.0,2015,974,Kenny Britt,2015,26,2,"$9,150,000",4575000
Ted Ginn Jr.,3625,WR,CAR,72.1,495,44.0,2015,1018,Ted Ginn Jr.,2015,29,2,"$4,200,000",2100000
Anquan Boldin,1369,WR,SF,72.0,521,45.0,2015,1036,Anquan Boldin,2015,34,2,"$12,000,000",6000000
Jermaine Kearse,7428,WR,SEA,71.1,592,49.0,2015,959,Jermaine Kearse,2015,25,1,"$2,356,000",2356000
James Jones,3694,WR,GB,69.7,800,53.0,2015,948,James Jones,2015,31,1,"$950,000",950000
Dez Bryant,5549,WR,DAL,68.7,311,57.0,2015,926,Dez Bryant,2015,26,5,"$70,000,000",14000000
Randall Cobb,6216,WR,GB,68.5,765,58.0,2015,1004,Randall Cobb,2015,24,4,"$40,000,000",10000000
Jarius Wright,7118,WR,MIN,68.3,329,60.0,2015,950,Jarius Wright,2015,25,4,"$14,800,000",3700000
Brian Hartline,5031,WR,CLV,68.2,387,61.0,2015,903,Brian Hartline,2015,28,2,"$6,000,000",3000000
Marc Mariani,5745,WR,CHI,67.5,338,63.0,2015,1131,Marc Mariani,2015,28,2,"$1,230,000",615000
Andre Johnson,1319,WR,IND,66.2,490,66.0,2015,894,Andre Johnson,2015,33,3,"$21,000,000",7000000
Nick Williams,8005,WR,ATL,65.0,125,70.0,2015,1000,Nick Williams,2015,24,2,"$1,290,000",645000
Nate Washington,2832,WR,HST,64.4,525,72.0,2015,996,Nate Washington,2015,31,1,"$1,000,000",1000000
Cole Beasley,7330,WR,DAL,64.3,441,73.0,2015,913,Cole Beasley,2015,25,4,"$13,606,000",3401500
Torrey Smith,6210,WR,SF,62.8,533,82.0,2015,1025,Torrey Smith,2015,26,5,"$40,000,000",8000000
Marques Colston,3197,WR,NO,62.8,416,82.0,2015,1384,Marques Colston,2015,31,5,"$36,300,000",7260000
Roddy White,2244,WR,ATL,62.6,630,85.0,2015,1155,Roddy White,2015,33,3,"$18,000,000",6000000
Dwayne Harris,6328,WR,NYG,61.0,435,91.0,2015,931,Dwayne Harris,2015,27,5,"$17,500,000",3500000
Darrius Heyward-Bey,4930,WR,PIT,60.7,308,93.0,2015,919,Darrius Heyward-Bey,2015,28,1,"$825,000",825000
Cecil Shorts,6266,WR,HST,60.4,412,95.0,2015,908,Cecil Shorts,2015,27,2,"$6,000,000",3000000
Chris Hogan,6468,WR,BUF,60.3,394,96.0,2015,909,Chris Hogan,2015,27,1,"$585,000",585000
Harry Douglas,4398,WR,TEN,60.1,470,97.0,2015,943,Harry Douglas,2015,29,3,"$11,250,000",3750000
Andrew Hawkins,6125,WR,CLV,59.7,287,101.0,2015,1034,Andrew Hawkins,2015,29,4,"$13,600,000",3400000
Jason Avant,3054,WR,KC,59.6,293,102.0,2015,952,Jason Avant,2015,31,1,"$950,000",950000
Eddie Royal,4356,WR,CHI,59.4,284,105.0,2015,932,Eddie Royal,2015,28,3,"$15,000,000",5000000
Mike Wallace,5007,WR,MIN,58.7,518,109.0,2015,1265,Mike Wallace,2015,28,5,"$60,000,000",12000000
Riley Cooper,5682,WR,PHI,58.2,359,110.0,2015,1153,Riley Cooper,2015,27,5,"$22,500,000",4500000
Andre Holmes,6489,WR,LV,57.8,208,111.0,2015,893,Andre Holmes,2015,26,1,"$1,542,000",1542000
Leonard Hankerson,6231,WR,BUF,57.5,252,112.0,2015,985,Leonard Hankerson,2015,26,1,"$1,000,000",1000000
Dontrelle Inman,6597,WR,LAC,57.4,474,113.0,2015,1073,Dontrelle Inman,2015,25,2,"$945,000",472500
Lance Moore,2718,WR,DET,56.8,463,115.0,2015,982,Lance Moore,2015,31,1,"$1,050,000",1050000
Brandon LaFell,5602,WR,NE,56.4,503,118.0,2015,1043,Brandon LaFell,2015,28,3,"$9,000,000",3000000
Jordan Norwood,5358,WR,DEN,55.6,332,119.0,2015,1103,Jordan Norwood,2015,28,2,"$1,390,000",695000
Hakeem Nicks,4952,WR,NYG,51.8,115,125.0,2015,942,Hakeem Nicks,2015,27,1,"$1,400,000",1400000
Antonio Brown,5718,WR,PIT,91.1,729,1.0,2014,1305,Antonio Brown,2014,26,5,"$41,960,000",8392000
Calvin Johnson,3618,WR,DET,89.5,537,5.0,2014,1316,Calvin Johnson,2014,28,7,"$113,450,000",16207143
Jordy Nelson,4350,WR,GB,86.9,686,7.0,2014,1104,Jordy Nelson,2014,29,4,"$39,050,000",9762500
Emmanuel Sanders,5606,WR,DEN,86.4,663,8.0,2014,1078,Emmanuel Sanders,2014,26,3,"$15,000,000",5000000
Andrew Hawkins,6125,WR,CLV,83.5,429,13.0,2014,1034,Andrew Hawkins,2014,28,4,"$13,600,000",3400000
Jeremy Maclin,4942,WR,PHI,80.6,657,16.0,2014,1097,Jeremy Maclin,2014,25,1,"$5,250,000",5250000
Golden Tate,5585,WR,DET,80.0,709,17.0,2014,1083,Golden Tate,2014,25,5,"$31,000,000",6200000
Anquan Boldin,1369,WR,SF,79.3,592,18.0,2014,1036,Anquan Boldin,2014,33,2,"$12,000,000",6000000
Steve Smith,837,WR,BLT,79.0,601,19.0,2014,1162,Steve Smith,2014,34,3,"$10,500,000",3500000
Doug Baldwin,6615,WR,SEA,78.4,611,20.0,2014,1074,Doug Baldwin,2014,25,3,"$13,000,000",4333333
Eric Decker,5611,WR,NYJ,78.3,476,22.0,2014,1079,Eric Decker,2014,26,5,"$36,250,000",7250000
Julian Edelman,5156,WR,NE,78.0,696,23.0,2014,1110,Julian Edelman,2014,27,4,"$17,000,000",4250000
Larry Fitzgerald,1724,WR,ARZ,77.2,583,25.0,2014,1467,Larry Fitzgerald,2014,30,7,"$113,000,000",16142857
Percy Harvin,4945,WR,NYJ,75.9,317,29.0,2014,1271,Percy Harvin,2014,25,6,"$64,245,000",10707500
Vincent Jackson,2278,WR,TB,75.7,621,30.0,2014,1422,Vincent Jackson,2014,31,5,"$55,555,555",11111111
Miles Austin,3211,WR,CLV,75.3,330,31.0,2014,1141,Miles Austin,2014,29,1,"$2,000,000",2000000
