team_name,Year,avg_diff_te
ARZ,2012,-0.7143152357621649
ARZ,2014,-0.38830389381990055
ARZ,2015,-1.0542918254947735
ARZ,2016,-0.9144441084975411
ARZ,2017,0.7100056286092751
ARZ,2018,0.7551167732610412
ARZ,2019,-0.7220113957603727
ARZ,2020,-0.9679711886084866
ARZ,2021,-0.059058804146294795
ATL,2012,-0.10404477045702237
ATL,2013,0.9783566972106588
ATL,2014,-1.639826542073689
ATL,2015,-0.617275968715063
ATL,2017,-0.5578162567217534
ATL,2018,-0.7214608848874242
ATL,2019,0.39353913517119976
ATL,2020,-0.25296650892321293
ATL,2021,-1.082391742136412
BLT,2012,-0.7892135055016112
BLT,2013,-0.39833122659233017
BLT,2014,-1.615964420813216
BLT,2016,1.7135186886804434
BLT,2017,0.03195625523832728
BLT,2019,-0.49186182297658504
BLT,2020,0.3014808707869475
BLT,2021,-0.9768311942325002
BUF,2012,-0.6696422153040336
BUF,2013,-0.4129223269696357
BUF,2014,-0.15489847150393193
BUF,2015,1.6973497935508102
BUF,2016,1.5850804689318636
BUF,2017,1.975871602361576
BUF,2018,2.6251038263149655
BUF,2019,0.12323215499108844
BUF,2020,-1.2710720385097922
CAR,2012,-0.8585181028352865
CAR,2013,-0.18161622366934663
CAR,2014,-0.5302379034616986
CAR,2015,0.7660098316164471
CAR,2016,-0.053650121857640155
CAR,2017,-0.6112779702677378
CAR,2018,-0.9749470254904805
CAR,2019,1.0474003759397321
CAR,2020,-0.5946270602886429
CHI,2012,-0.13290092075145962
CHI,2013,0.38454194190905416
CHI,2014,-0.2281669192430561
CHI,2015,-0.7993191920918844
CHI,2016,-0.39790092604501015
CHI,2017,1.1669065733999695
CHI,2018,0.6824898645197395
CHI,2019,-1.0643973556121207
CHI,2020,1.6682067110277736
CHI,2021,-0.8617649160559738
CIN,2014,-1.0657012445069636
CIN,2018,-1.1876197850719399
CIN,2019,0.581956009373157
CIN,2020,-0.42833491021000686
CIN,2021,0.32046627858994814
CLV,2012,-0.5210059616918741
CLV,2013,-0.5535132512485532
CLV,2014,-0.5339541354612805
CLV,2015,-0.30824193927615123
CLV,2016,0.26796961181690787
CLV,2018,0.5292793987348734
CLV,2019,-0.4141271685021316
CLV,2020,1.8082890982962216
CLV,2021,2.767116072419913
DAL,2012,0.44478401853385485
DAL,2013,1.241622395707352
DAL,2014,1.4227398078974989
DAL,2015,2.0988332696897194
DAL,2017,0.5545106581004555
DAL,2019,-0.13664332284796488
DAL,2020,-0.9566266276242473
DAL,2021,-1.1026549860920265
DEN,2012,-0.5173029516545645
DEN,2015,-0.15424656617474214
DEN,2016,-0.494705483702665
DEN,2017,-0.5512964993016868
DEN,2018,-0.7421935476219333
DEN,2019,0.43839468129785786
DEN,2020,-0.5183459610630367
DET,2014,0.15191888422457653
DET,2015,0.6362025911174529
DET,2016,-1.3049744797955771
DET,2017,-1.7587459660603082
DET,2018,-0.651569631434825
DET,2019,1.7113329183729842
DET,2020,1.2017217995013152
GB,2012,0.3639313671752891
GB,2014,-0.5851990188239353
GB,2015,-0.6128425430577933
GB,2016,-1.1220967471845757
GB,2017,-1.327277035399636
GB,2018,1.0707408947003905
GB,2019,0.4875921164199011
GB,2020,-1.349960446106305
GB,2021,-2.790684914996826
HST,2012,1.1166787640582527
HST,2014,0.6479380605898167
HST,2017,0.452346902717088
HST,2018,-0.3952148335557125
HST,2019,-0.8023174089509155
HST,2020,-2.4721125697983983
HST,2021,-0.9668065997362807
IND,2016,0.09972863055945946
IND,2017,0.04538687415774241
IND,2018,-0.46491045673220704
IND,2019,-0.47469001462584354
IND,2020,1.0056090391287713
IND,2021,0.208412104244662
JAX,2012,0.8222820140690205
JAX,2013,0.05309316577792796
JAX,2014,1.08423672371184
JAX,2015,-0.008596285415130698
JAX,2016,-0.18567145426375334
JAX,2017,-0.35831327569156995
JAX,2018,-0.7969590718262973
JAX,2019,-1.3230683048645309
JAX,2020,-0.40938240083976024
JAX,2021,0.12010269646512486
KC,2013,-0.1941047190995203
KC,2014,0.5918685692541467
KC,2016,-0.04859076537694635
KC,2017,-0.10951087830962841
KC,2018,0.7488082934097087
KC,2019,0.1287685191876024
KC,2020,-0.27621975490922795
KC,2021,-0.07812894203888572
LA,2012,-0.9225025424383606
LA,2013,1.6425842693464459
LA,2014,1.4469931114737171
LA,2015,1.3960742394530046
LA,2016,0.4520861405854121
LA,2017,-1.5898856258423397
LA,2019,-0.3259859691183652
LA,2020,0.35700270688057417
LA,2021,0.7074042662095676
LAC,2012,0.3747623840154178
LAC,2013,1.5532577875459708
LAC,2014,0.5483168729040999
LAC,2015,-0.2768169338324451
LAC,2016,-0.18984411778934715
LAC,2017,-1.4156790751515418
LAC,2018,-0.04940950996380161
LAC,2019,-0.6217092378994061
LAC,2020,0.19788284544289939
LAC,2021,-1.357001727789723
LV,2012,-0.6016425708810998
LV,2013,-0.3354682284520351
LV,2015,-0.1749790333180935
LV,2017,-0.27570859697724354
LV,2018,-0.3290763094127544
LV,2019,0.24159766481861208
LV,2020,-0.1321609994012271
LV,2021,1.4172632554770623
MIA,2012,-0.08239947937987889
MIA,2015,2.241093212436996
MIA,2016,-1.3566105454739774
MIA,2017,0.01611341056886789
MIA,2018,-0.8274712924544431
MIA,2020,-1.3282498275824322
MIN,2012,1.6056921780943443
MIN,2013,0.5390589566285099
MIN,2014,2.068972993508994
MIN,2015,1.2305388706824096
MIN,2016,0.08299905381666817
MIN,2017,1.378536206218262
MIN,2018,1.8612551838481568
MIN,2019,1.4724199619971718
MIN,2020,2.11024272782014
