team_name,avg_diff,win_percentage
ARZ,1.6927385813509472,0.42940000000000006
ATL,1.8645740494324257,0.43260000000000004
BLT,-2.18365681902051,0.6442
BUF,-0.10153068735695112,0.6042
CAR,-1.3649416379291888,0.4088
CHI,0.5103442612413371,0.483
CIN,-0.2632232324596111,0.3552
CLV,2.3597846212766123,0.3944
DAL,0.07354249056651707,0.5536
DEN,-0.982242903893439,0.3698
DET,-3.2508182726386625,0.3226
GB,0.6090951655276113,0.6404
HST,0.41193639492070616,0.4096
IND,-1.5602435151729819,0.506
JAX,0.7571065799953458,0.31
KC,0.29330544468704745,0.7412
LA,-0.19999234677389988,0.6786
LAC,-0.8643241903188901,0.5182
LV,-0.30169570855015815,0.43019999999999997
MIA,-0.8008608746968678,0.4558
MIN,2.0037974977928448,0.5692
NE,-3.868836665323309,0.6552
NO,-0.6711370691569502,0.7182000000000001
NYG,1.1913857516561035,0.27199999999999996
NYJ,-1.9749728882023607,0.27199999999999996
PHI,0.5602539972285552,0.543
PIT,0.36149319985823347,0.6306
SEA,0.33577940970977604,0.6073999999999999
SF,-1.3891154500407228,0.48
TB,-0.2559562587098233,0.503
TEN,1.4887701376304432,0.616
WAS,1.7184477568946737,0.3828
