player,player_id,position,team_name,grades_defense,snap_counts_pass_play,rank,Year,index,player_name,year_signed,age,contract_length,value,average/year
Malcolm Butler,9040,CB,NE,73.0,798,40.0,2015,1621,Malcolm Butler,2015,25,3,"$1,530,000",510000
Walter Thurmond,5635,S,PHI,72.6,729,43.0,2015,1470,Walter Thurmond,2015,27,1,"$3,250,000",3250000
Sam Shields,5943,CB,GB,72.6,501,43.0,2015,1662,Sam Shields,2015,27,4,"$39,000,000",9750000
Aqib Talib,4334,CB,DEN,72.5,780,46.0,2015,1493,Aqib Talib,2015,29,6,"$57,000,000",9500000
Donte Whitner,2953,S,CLV,71.6,494,48.0,2015,1563,Donte Whitner,2015,29,4,"$28,000,000",7000000
Reggie Nelson,3637,S,CIN,71.6,730,48.0,2015,1995,Reggie Nelson,2015,31,4,"$18,000,000",4500000
Kam Chancellor,5656,S,SEA,71.4,472,50.0,2015,1790,Kam Chancellor,2015,27,4,"$28,002,008",7000502
Marcus Gilchrist,6202,S,NYJ,70.8,696,53.0,2015,1404,Marcus Gilchrist,2015,26,4,"$22,000,000",5500000
Ron Parker,6625,S,KC,70.6,794,55.0,2015,1434,Ron Parker,2015,27,5,"$25,000,000",5000000
Vontae Davis,4948,CB,IND,70.1,636,56.0,2015,1689,Vontae Davis,2015,26,4,"$36,000,000",9000000
Michael Thomas,7279,S,MIA,70.1,367,56.0,2015,1406,Michael Thomas,2015,24,1,"$585,000",585000
Will Allen,1832,S,PIT,68.9,617,62.0,2015,1471,Will Allen,2015,32,1,"$1,050,000",1050000
Antrel Rolle,2225,S,CHI,68.6,236,63.0,2015,1273,Antrel Rolle,2015,32,3,"$11,250,000",3750000
Darrelle Revis,3630,CB,NYJ,68.5,584,64.0,2015,1333,Darrelle Revis,2015,29,5,"$70,121,060",14024212
Patrick Robinson,5557,CB,LAC,68.5,448,64.0,2015,1415,Patrick Robinson,2015,27,1,"$2,000,000",2000000
Terence Newman,1321,CB,MIN,68.2,625,67.0,2015,1454,Terence Newman,2015,36,1,"$2,250,000",2250000
Da'Norris Searcy,6252,S,TEN,68.2,490,67.0,2015,1328,Da'Norris Searcy,2015,26,4,"$23,750,000",5937500
Tramaine Brock Sr.,5903,CB,SF,68.0,592,70.0,2015,1681,Tramaine Brock Sr.,2015,26,4,"$14,000,000",3500000
William Gay,3786,CB,PIT,67.8,788,71.0,2015,1868,William Gay,2015,30,3,"$4,500,000",1500000
Brent Grimes,3589,CB,MIA,67.6,535,72.0,2015,1506,Brent Grimes,2015,31,4,"$32,000,000",8000000
T.J. Ward,5563,S,DEN,67.4,571,73.0,2015,1670,T.J. Ward,2015,28,4,"$22,500,000",5625000
Isa Abdul-Quddus,6722,S,DET,66.9,403,75.0,2015,1348,Isa Abdul-Quddus,2015,26,1,"$1,500,000",1500000
Trevin Wade,7227,CB,NYG,66.8,371,76.0,2015,1464,Trevin Wade,2015,25,2,"$1,260,000",630000
Quintin Demps,4431,S,HST,66.4,519,78.0,2015,1420,Quintin Demps,2015,30,1,"$870,000",870000
Tyvon Branch,4414,S,KC,66.3,411,79.0,2015,1467,Tyvon Branch,2015,28,1,"$2,100,000",2100000
Kareem Jackson,5545,CB,HST,65.7,429,80.0,2015,1380,Kareem Jackson,2015,26,4,"$34,000,000",8500000
Sterling Moore,6871,CB,TB,65.7,412,80.0,2015,1445,Sterling Moore,2015,25,1,"$1,525,000",1525000
Lardarius Webb,5011,CB,BLT,65.4,558,82.0,2015,1392,Lardarius Webb,2015,29,3,"$16,250,000",5416667
Jairus Byrd,4965,S,NO,65.0,514,87.0,2015,1580,Jairus Byrd,2015,28,6,"$54,000,000",9000000
Robert Alford,7841,CB,ATL,64.9,555,88.0,2015,1837,Robert Alford,2015,26,4,"$3,401,398",850350
Tramon Williams,3558,CB,CLV,64.3,551,91.0,2015,1459,Tramon Williams,2015,32,3,"$21,000,000",7000000
Shareece Wright,6241,CB,BLT,63.7,325,92.0,2015,1440,Shareece Wright,2015,27,1,"$2,950,000",2950000
Barry Church,5924,S,DAL,63.6,508,94.0,2015,1888,Barry Church,2015,27,4,"$8,827,000",2206750
Corey Graham,3784,S,BUF,63.4,612,96.0,2015,1535,Corey Graham,2015,29,4,"$16,300,000",4075000
Davon House,6283,CB,JAX,63.2,647,99.0,2015,1336,Davon House,2015,25,4,"$24,500,000",6125000
Bradley McDougald,8220,S,TB,63.2,518,99.0,2015,1279,Bradley McDougald,2015,24,1,"$585,000",585000
Perrish Cox,5660,CB,TEN,63.0,400,101.0,2015,1416,Perrish Cox,2015,28,3,"$15,000,000",5000000
Charles Tillman,1351,CB,CAR,62.6,490,102.0,2015,1303,Charles Tillman,2015,34,1,"$2,000,000",2000000
Roman Harper,2988,S,CAR,62.5,724,103.0,2015,1655,Roman Harper,2015,32,5,"$10,625,000",2125000
Dwight Lowery,4427,S,IND,62.3,659,105.0,2015,1346,Dwight Lowery,2015,29,1,"$950,000",950000
Kendrick Lewis,5659,S,BLT,62.3,574,105.0,2015,1384,Kendrick Lewis,2015,28,3,"$5,400,000",1800000
Mike Adams,1972,S,IND,62.0,487,108.0,2015,1407,Mike Adams,2015,33,2,"$4,850,000",2425000
Nolan Carroll,5668,CB,PHI,61.8,456,109.0,2015,1636,Nolan Carroll,2015,28,2,"$3,650,000",1825000
Kyle Wilson,5554,CB,NO,61.6,368,110.0,2015,1391,Kyle Wilson,2015,27,1,"$825,000",825000
Jimmy Smith,6179,CB,BLT,61.0,624,111.0,2015,1361,Jimmy Smith,2015,26,4,"$41,102,000",10275500
Glover Quin,5035,S,DET,60.8,569,112.0,2015,1767,Glover Quin,2015,29,5,"$23,500,000",4700000
Phillip Adams,5747,CB,ATL,60.6,322,113.0,2015,1418,Phillip Adams,2015,26,1,"$745,000",745000
Rashad Johnson,5018,S,ARZ,60.6,635,113.0,2015,1830,Rashad Johnson,2015,29,3,"$3,600,000",1200000
Brandon Carr,4454,CB,DAL,59.3,601,116.0,2015,1891,Brandon Carr,2015,28,5,"$50,100,000",10020000
Byron Maxwell,6325,CB,PHI,58.4,552,120.0,2015,1293,Byron Maxwell,2015,27,6,"$63,000,000",10500000
Darius Butler,4964,CB,IND,57.6,413,122.0,2015,1331,Darius Butler,2015,28,2,"$5,000,000",2500000
Michael Griffin,3635,S,TEN,57.5,526,124.0,2015,1979,Michael Griffin,2015,30,5,"$35,000,000",7000000
Dashon Goldson,3742,S,WAS,57.3,640,126.0,2015,1748,Dashon Goldson,2015,30,5,"$41,250,000",8250000
Will Blackmon,3060,CB,WAS,57.1,548,127.0,2015,1472,Will Blackmon,2015,30,1,"$950,000",950000
Cary Williams,4543,CB,WAS,57.1,377,127.0,2015,1297,Cary Williams,2015,30,3,"$18,000,000",6000000
Tracy Porter,4354,CB,CHI,56.9,523,131.0,2015,1458,Tracy Porter,2015,28,1,"$870,000",870000
Brice McCain,5112,CB,MIA,56.4,400,133.0,2015,1289,Brice McCain,2015,28,2,"$5,500,000",2750000
Jerraud Powers,5015,CB,ARZ,56.2,579,134.0,2015,1779,Jerraud Powers,2015,27,3,"$10,500,000",3500000
Alterraun Verner,5628,CB,TB,55.5,386,136.0,2015,1483,Alterraun Verner,2015,26,4,"$25,750,000",6437500
William Moore,4978,S,ATL,55.3,289,137.0,2015,1870,William Moore,2015,29,5,"$30,000,000",6000000
Antonio Cromartie,2964,CB,NYJ,53.6,604,140.0,2015,1272,Antonio Cromartie,2015,27,4,"$32,000,000",8000000
Buster Skrine,6289,CB,NYJ,52.5,530,143.0,2015,1292,Buster Skrine,2015,25,4,"$25,000,000",6250000
Andrew Sendejo,6118,S,MIN,51.7,533,145.0,2015,1485,Andrew Sendejo,2015,27,2,"$2,000,000",1000000
Neiko Thorpe,7716,CB,LV,51.2,351,146.0,2015,1412,Neiko Thorpe,2015,25,1,"$585,000",585000
Brandon Meriweather,3640,S,NYG,50.9,512,147.0,2015,1286,Brandon Meriweather,2015,31,1,"$870,000",870000
E.J. Biggers,5141,CB,PHI,49.9,403,149.0,2015,1347,E.J. Biggers,2015,27,1,"$745,000",745000
Tashaun Gipson Sr.,7288,S,CLV,49.7,465,150.0,2015,1450,Tashaun Gipson Sr.,2015,24,1,"$2,356,000",2356000
Sergio Brown,5803,S,JAX,47.4,329,153.0,2015,1438,Sergio Brown,2015,26,3,"$7,000,000",2333333
Greg Toler,5055,CB,IND,42.0,437,158.0,2015,1769,Greg Toler,2015,30,3,"$14,250,000",4750000
Brandon Flowers,4349,CB,LAC,38.1,384,159.0,2015,1282,Brandon Flowers,2015,29,4,"$36,400,000",9100000
Brandon Browner,2512,CB,NO,27.4,633,160.0,2015,1281,Brandon Browner,2015,30,3,"$15,000,000",5000000
Vontae Davis,4948,CB,IND,93.3,638,1.0,2014,1689,Vontae Davis,2014,25,4,"$36,000,000",9000000
Chris Harris Jr.,6457,CB,DEN,92.0,722,2.0,2014,1529,Chris Harris Jr.,2014,24,1,"$2,187,000",2187000
Richard Sherman,6306,CB,SEA,90.5,730,3.0,2014,1653,Richard Sherman,2014,26,4,"$56,000,000",14000000
Eric Weddle,3653,S,LAC,90.3,617,4.0,2014,2091,Eric Weddle,2014,29,5,"$40,000,000",8000000
Glover Quin,5035,S,DET,88.1,737,6.0,2014,1767,Glover Quin,2014,28,5,"$23,500,000",4700000
Antoine Bethea,3152,S,SF,87.7,649,7.0,2014,1489,Antoine Bethea,2014,29,4,"$21,000,000",5250000
Earl Thomas III,5539,S,SEA,87.3,719,9.0,2014,1568,Earl Thomas III,2014,24,4,"$40,000,000",10000000
Sean Smith,4984,CB,KC,87.1,627,10.0,2014,1849,Sean Smith,2014,26,3,"$16,500,000",5500000
Darrelle Revis,3630,CB,NE,84.1,761,12.0,2014,1549,Darrelle Revis,2014,28,1,"$12,000,000",12000000
Mike Adams,1972,S,IND,82.3,749,14.0,2014,1629,Mike Adams,2014,33,1,"$1,020,000",1020000
Orlando Scandrick,4457,CB,DAL,81.4,629,15.0,2014,2140,Orlando Scandrick,2014,27,5,"$15,000,000",3000000
Reshad Jones,5686,S,MIA,81.0,449,18.0,2014,1834,Reshad Jones,2014,26,4,"$28,012,000",7003000
Dawan Landry,3091,S,NYJ,80.6,594,19.0,2014,1751,Dawan Landry,2014,31,2,"$3,000,000",1500000
James Ihedigbo,4147,S,DET,80.0,600,20.0,2014,1585,James Ihedigbo,2014,30,2,"$3,150,000",1575000
Rashean Mathis,1355,CB,DET,79.4,708,21.0,2014,1650,Rashean Mathis,2014,33,1,"$1,020,000",1020000
Corey Graham,3784,CB,BUF,79.3,490,22.0,2014,1535,Corey Graham,2014,28,4,"$16,300,000",4075000
Kurt Coleman,5767,S,KC,79.2,332,23.0,2014,1614,Kurt Coleman,2014,25,1,"$900,000",900000
Brandon Flowers,4349,CB,LAC,79.0,497,25.0,2014,1499,Brandon Flowers,2014,28,1,"$3,000,000",3000000
Kam Chancellor,5656,S,SEA,78.2,635,26.0,2014,1790,Kam Chancellor,2014,26,4,"$28,002,008",7000502
Reggie Nelson,3637,S,CIN,78.2,724,26.0,2014,1995,Reggie Nelson,2014,30,4,"$18,000,000",4500000
Jim Leonhard,2694,S,CLV,78.1,337,28.0,2014,1595,Jim Leonhard,2014,31,1,"$855,000",855000
Donte Whitner,2953,S,CLV,78.1,679,28.0,2014,1563,Donte Whitner,2014,28,4,"$28,000,000",7000000
Patrick Chung,4957,S,NE,77.6,576,30.0,2014,1639,Patrick Chung,2014,26,1,"$1,100,000",1100000
Dominique Rodgers-Cromartie,4330,CB,NYG,77.1,471,31.0,2014,1561,Dominique Rodgers-Cromartie,2014,27,5,"$35,000,000",7000000
Malcolm Jenkins,4937,S,PHI,75.9,707,32.0,2014,1622,Malcolm Jenkins,2014,26,3,"$15,500,000",5166667
Ryan Mundy,4508,S,CHI,75.4,563,33.0,2014,1661,Ryan Mundy,2014,29,2,"$3,000,000",1500000
William Gay,3786,CB,PIT,74.2,615,36.0,2014,1868,William Gay,2014,29,3,"$4,500,000",1500000
Alterraun Verner,5628,CB,TB,74.1,500,37.0,2014,1483,Alterraun Verner,2014,25,4,"$25,750,000",6437500
Darian Stewart,5820,S,BLT,73.7,546,38.0,2014,1547,Darian Stewart,2014,25,1,"$1,300,000",1300000
Johnathan Joseph,2969,CB,HST,73.6,558,39.0,2014,2111,Johnathan Joseph,2014,30,5,"$48,750,000",9750000
Nate Allen,5562,S,PHI,73.6,657,39.0,2014,1633,Nate Allen,2014,26,1,"$3,000,000",3000000
Husain Abdullah,4652,S,KC,72.7,623,43.0,2014,1576,Husain Abdullah,2014,28,2,"$2,275,000",1137500
Morgan Burnett,5596,S,GB,71.2,639,47.0,2014,1816,Morgan Burnett,2014,25,4,"$24,750,000",6187500
Josh Norman,7649,CB,CAR,71.2,448,47.0,2014,1959,Josh Norman,2014,26,4,"$2,299,000",574750
Tim Jennings,3007,CB,CHI,70.9,627,49.0,2014,1677,Tim Jennings,2014,30,4,"$22,400,000",5600000
Jerraud Powers,5015,CB,ARZ,70.9,571,49.0,2014,1779,Jerraud Powers,2014,26,3,"$10,500,000",3500000
Aqib Talib,4334,CB,DEN,69.7,671,55.0,2014,1493,Aqib Talib,2014,28,6,"$57,000,000",9500000
Darius Butler,4964,CB,IND,69.4,528,56.0,2014,1746,Darius Butler,2014,27,2,"$4,000,000",2000000
Barry Church,5924,S,DAL,68.8,624,58.0,2014,1888,Barry Church,2014,26,4,"$8,827,000",2206750
Troy Polamalu,1332,S,PIT,68.0,475,63.0,2014,1684,Troy Polamalu,2014,32,2,"$11,750,000",5875000
Captain Munnerlyn,5140,CB,MIN,67.8,631,64.0,2014,1514,Captain Munnerlyn,2014,25,3,"$11,250,000",3750000
Brent Grimes,3589,CB,MIA,67.8,598,64.0,2014,1506,Brent Grimes,2014,30,4,"$32,000,000",8000000
Dwight Lowery,4427,S,ATL,67.5,624,67.0,2014,1566,Dwight Lowery,2014,28,1,"$760,000",760000
Kendrick Lewis,5659,S,HST,66.9,685,70.0,2014,1611,Kendrick Lewis,2014,27,1,"$795,000",795000
Perrish Cox,5660,CB,SF,66.4,588,74.0,2014,1640,Perrish Cox,2014,27,1,"$695,000",695000
Leon Hall,3634,CB,CIN,66.3,611,75.0,2014,2124,Leon Hall,2014,29,4,"$39,000,000",9750000
Alan Ball,3853,CB,JAX,66.1,306,76.0,2014,1700,Alan Ball,2014,28,2,"$1,675,000",837500
Louis Delmas,4956,S,MIA,65.6,508,77.0,2014,1617,Louis Delmas,2014,26,1,"$2,250,000",2250000
Cary Williams,4543,CB,PHI,65.4,704,78.0,2014,1719,Cary Williams,2014,29,3,"$17,000,000",5666667
Charles Woodson,330,S,LV,65.4,625,78.0,2014,1521,Charles Woodson,2014,37,1,"$2,500,000",2500000
Ron Parker,6625,S,KC,63.8,617,85.0,2014,1841,Ron Parker,2014,26,2,"$1,200,000",600000
T.J. Ward,5563,S,DEN,63.7,743,86.0,2014,1670,T.J. Ward,2014,27,4,"$22,500,000",5625000
Brice McCain,5112,CB,PIT,63.4,462,89.0,2014,1508,Brice McCain,2014,27,1,"$795,000",795000
Antonio Cromartie,2964,CB,ARZ,63.3,678,90.0,2014,1491,Antonio Cromartie,2014,29,1,"$3,500,000",3500000
Kyle Arrington,4742,CB,NE,62.9,406,92.0,2014,1797,Kyle Arrington,2014,27,4,"$16,000,000",4000000
Jason McCourty,5127,CB,TEN,62.6,613,93.0,2014,1951,Jason McCourty,2014,27,6,"$43,040,000",7173333
Sam Shields,5943,CB,GB,62.5,559,94.0,2014,1662,Sam Shields,2014,26,4,"$39,000,000",9750000
Lardarius Webb,5011,CB,BLT,62.5,633,94.0,2014,1968,Lardarius Webb,2014,28,6,"$50,000,000",8333333
Terence Newman,1321,CB,CIN,62.2,548,96.0,2014,1854,Terence Newman,2014,35,2,"$5,000,000",2500000
Cortland Finnegan,3160,CB,MIA,61.3,434,100.0,2014,1537,Cortland Finnegan,2014,30,2,"$11,000,000",5500000
Darrin Walls,6553,CB,NYJ,61.0,473,103.0,2014,1551,Darrin Walls,2014,25,2,"$1,900,000",950000
LaRon Landry,3622,S,IND,60.8,367,104.0,2014,1798,LaRon Landry,2014,29,4,"$24,000,000",6000000
Jimmy Wilson,6387,S,MIA,60.6,474,106.0,2014,2109,Jimmy Wilson,2014,27,4,"$2,085,900",521475
Major Wright,5600,S,TB,59.8,298,109.0,2014,1620,Major Wright,2014,25,1,$1,1
Tarell Brown,3763,CB,LV,59.8,524,109.0,2014,1672,Tarell Brown,2014,29,1,"$3,500,000",3500000
Rafael Bush,5779,S,NO,57.2,305,115.0,2014,1646,Rafael Bush,2014,26,2,"$3,800,000",1900000
Rashad Johnson,5018,S,ARZ,57.0,721,116.0,2014,1830,Rashad Johnson,2014,28,3,"$3,600,000",1200000
Thomas DeCoud,4412,S,CAR,56.0,413,119.0,2014,1676,Thomas DeCoud,2014,28,2,"$3,525,000",1762500
Stevie Brown,5773,S,NYG,55.9,345,120.0,2014,1668,Stevie Brown,2014,26,1,"$2,750,000",2750000
Greg Toler,5055,CB,IND,55.9,710,120.0,2014,1769,Greg Toler,2014,29,3,"$14,250,000",4750000
Brandon Carr,4454,CB,DAL,55.7,708,122.0,2014,1891,Brandon Carr,2014,27,5,"$50,100,000",10020000
Quintin Demps,4431,S,NYG,55.5,389,123.0,2014,1643,Quintin Demps,2014,28,1,"$1,000,000",1000000
Brandon Meriweather,3640,S,WAS,55.4,364,124.0,2014,1504,Brandon Meriweather,2014,30,1,"$1,000,000",1000000
Robert McClain,5771,CB,ATL,55.4,407,124.0,2014,1654,Robert McClain,2014,25,1,"$1,431,000",1431000
Brandian Ross,6755,S,LV,54.8,439,127.0,2014,1495,Brandian Ross,2014,24,1,"$570,000",570000
Roman Harper,2988,S,CAR,54.2,634,129.0,2014,1655,Roman Harper,2014,31,5,"$10,625,000",2125000
Bradley Fletcher,4989,CB,PHI,53.6,640,130.0,2014,1710,Bradley Fletcher,2014,27,2,"$5,250,000",2625000
Robert Alford,7841,CB,ATL,52.9,367,132.0,2014,1837,Robert Alford,2014,25,4,"$3,401,398",850350
Mike Mitchell,4970,S,PIT,52.6,656,134.0,2014,1632,Mike Mitchell,2014,26,5,"$25,000,000",5000000
Brandon Browner,2512,CB,NE,51.9,475,135.0,2014,1496,Brandon Browner,2014,29,3,"$16,800,000",5600000
Cassius Vaughn,5845,CB,DET,51.1,324,137.0,2014,1516,Cassius Vaughn,2014,26,1,"$730,000",730000
Keenan Lewis,5019,CB,NO,50.2,573,138.0,2014,1792,Keenan Lewis,2014,27,5,"$25,550,000",5110000
Chykie Brown,6316,CB,NYG,50.2,340,138.0,2014,2074,Chykie Brown,2014,27,4,"$2,184,560",546140
Antoine Cason,4341,CB,BLT,48.1,423,145.0,2014,1490,Antoine Cason,2014,27,1,"$795,000",795000
George Wilson,2210,S,TEN,48.1,482,145.0,2014,1766,George Wilson,2014,32,2,"$4,000,000",2000000
Antrel Rolle,2225,S,NYG,47.7,627,147.0,2014,2170,Antrel Rolle,2014,31,5,"$37,100,000",7420000
Michael Griffin,3635,S,TEN,47.5,629,149.0,2014,1979,Michael Griffin,2014,29,5,"$35,000,000",7000000
E.J. Biggers,5141,CB,WAS,44.5,351,151.0,2014,1567,E.J. Biggers,2014,26,1,"$795,000",795000
Ryan Clark,1229,S,WAS,42.9,617,154.0,2014,1659,Ryan Clark,2014,34,1,"$1,020,000",1020000
Shareece Wright,6241,CB,LAC,41.5,496,156.0,2014,2153,Shareece Wright,2014,27,4,"$2,584,140",646035
Cortez Allen,6280,CB,PIT,34.7,290,159.0,2014,1536,Cortez Allen,2014,25,4,"$24,600,000",6150000
Dashon Goldson,3742,S,TB,31.8,454,160.0,2014,1748,Dashon Goldson,2014,29,5,"$41,250,000",8250000
Jairus Byrd,4965,S,BUF,89.4,401,2.0,2013,1773,Jairus Byrd,2013,26,1,"$6,916,000",6916000
Brent Grimes,3589,CB,MIA,88.7,650,4.0,2013,1714,Brent Grimes,2013,29,1,"$5,500,000",5500000
Kam Chancellor,5656,S,SEA,87.0,746,6.0,2013,1790,Kam Chancellor,2013,25,4,"$28,002,008",7000502
Eric Weddle,3653,S,LAC,85.9,728,7.0,2013,2091,Eric Weddle,2013,28,5,"$40,000,000",8000000
Darrelle Revis,3630,CB,TB,84.7,587,10.0,2013,1747,Darrelle Revis,2013,27,6,"$96,000,000",16000000
Troy Polamalu,1332,S,PIT,83.8,650,13.0,2013,2160,Troy Polamalu,2013,32,3,"$29,600,000",9866667
Tramaine Brock Sr.,5903,CB,SF,82.8,574,15.0,2013,1860,Tramaine Brock Sr.,2013,24,1,"$1,323,000",1323000
Antrel Rolle,2225,S,NYG,81.7,686,18.0,2013,2170,Antrel Rolle,2013,30,5,"$37,100,000",7420000
Donte Whitner,2953,S,SF,80.5,734,21.0,2013,2086,Donte Whitner,2013,28,3,"$11,650,000",3883333
Dominique Rodgers-Cromartie,4330,CB,DEN,80.3,612,22.0,2013,1756,Dominique Rodgers-Cromartie,2013,26,2,"$10,000,000",5000000
William Gay,3786,CB,PIT,80.3,581,22.0,2013,1868,William Gay,2013,28,3,"$4,500,000",1500000
Captain Munnerlyn,5140,CB,CAR,79.5,679,25.0,2013,1718,Captain Munnerlyn,2013,24,1,"$1,100,000",1100000
Glover Quin,5035,S,DET,79.0,644,26.0,2013,1767,Glover Quin,2013,27,5,"$23,500,000",4700000
Tramon Williams,3558,CB,GB,77.6,669,29.0,2013,2255,Tramon Williams,2013,30,4,"$33,000,000",8250000
Jason McCourty,5127,CB,TEN,77.3,635,31.0,2013,1951,Jason McCourty,2013,26,6,"$43,040,000",7173333
Alan Ball,3853,CB,JAX,76.6,589,33.0,2013,1700,Alan Ball,2013,27,2,"$1,675,000",837500
Lardarius Webb,5011,CB,BLT,76.4,607,34.0,2013,1968,Lardarius Webb,2013,27,6,"$50,000,000",8333333
Will Blackmon,3060,CB,JAX,75.9,388,35.0,2013,1867,Will Blackmon,2013,28,1,"$715,000",715000
Corey Graham,3784,CB,BLT,75.6,483,36.0,2013,1913,Corey Graham,2013,27,2,"$3,950,000",1975000
Orlando Scandrick,4457,CB,DAL,75.5,689,37.0,2013,2140,Orlando Scandrick,2013,26,5,"$15,000,000",3000000
Trumaine McBride,3837,CB,NYG,75.1,394,38.0,2013,1863,Trumaine McBride,2013,27,1,"$630,000",630000
Johnathan Joseph,2969,CB,HST,74.9,481,39.0,2013,2111,Johnathan Joseph,2013,29,5,"$48,750,000",9750000
Leodis McKelvin,4325,CB,BUF,74.5,559,40.0,2013,1801,Leodis McKelvin,2013,27,4,"$17,000,000",4250000
Drayton Florence,1362,CB,CAR,74.3,467,41.0,2013,1758,Drayton Florence,2013,32,1,"$1,005,000",1005000
Chris Clemons,5089,S,MIA,73.9,673,43.0,2013,1724,Chris Clemons,2013,27,1,"$2,750,000",2750000
Keenan Lewis,5019,CB,NO,73.5,602,44.0,2013,1792,Keenan Lewis,2013,26,5,"$25,550,000",5110000
Charles Woodson,330,S,LV,73.2,643,45.0,2013,1721,Charles Woodson,2013,36,1,"$1,800,000",1800000
Chris Crocker,1399,CB,CIN,72.9,387,46.0,2013,1725,Chris Crocker,2013,32,1,"$940,000",940000
Rashean Mathis,1355,CB,DET,72.8,486,47.0,2013,1831,Rashean Mathis,2013,32,1,"$940,000",940000
Terence Newman,1321,CB,CIN,72.5,535,49.0,2013,1854,Terence Newman,2013,34,2,"$5,000,000",2500000
Michael Griffin,3635,S,TEN,72.4,541,50.0,2013,1979,Michael Griffin,2013,28,5,"$35,000,000",7000000
Mike Mitchell,4970,S,CAR,71.7,635,52.0,2013,1815,Mike Mitchell,2013,25,1,"$1,000,000",1000000
Rashad Johnson,5018,S,ARZ,71.6,458,53.0,2013,1830,Rashad Johnson,2013,27,3,"$3,600,000",1200000
Jimmy Wilson,6387,CB,MIA,71.5,447,54.0,2013,2109,Jimmy Wilson,2013,26,4,"$2,085,900",521475
Terrell Thomas,4377,CB,NYG,71.1,415,55.0,2013,1855,Terrell Thomas,2013,27,1,"$700,000",700000
Sam Shields,5943,CB,GB,70.8,543,56.0,2013,1847,Sam Shields,2013,25,1,"$2,023,000",2023000
Kyle Arrington,4742,CB,NE,70.7,570,57.0,2013,1797,Kyle Arrington,2013,26,4,"$16,000,000",4000000
Darian Stewart,5820,S,LA,70.3,374,60.0,2013,1745,Darian Stewart,2013,24,1,"$1,000,000",1000000
Bradley Fletcher,4989,CB,PHI,70.0,642,61.0,2013,1710,Bradley Fletcher,2013,26,2,"$5,250,000",2625000
Tim Jennings,3007,CB,CHI,70.0,568,61.0,2013,2021,Tim Jennings,2013,29,2,"$7,600,000",3800000
Reggie Nelson,3637,S,CIN,68.8,664,67.0,2013,1995,Reggie Nelson,2013,29,4,"$18,000,000",4500000
Barry Church,5924,S,DAL,68.6,626,69.0,2013,1888,Barry Church,2013,25,4,"$8,827,000",2206750
Jamarca Sanford,5155,S,MIN,68.4,485,71.0,2013,1775,Jamarca Sanford,2013,27,2,"$5,000,000",2500000
DeAngelo Hall,1729,CB,WAS,68.4,581,71.0,2013,1752,DeAngelo Hall,2013,29,1,"$1,250,000",1250000
Bernard Pollard,2999,S,TEN,68.2,632,73.0,2013,1708,Bernard Pollard,2013,28,1,"$2,000,000",2000000
Brandon Carr,4454,CB,DAL,67.7,694,75.0,2013,1891,Brandon Carr,2013,26,5,"$50,100,000",10020000
Ryan Clark,1229,S,PIT,67.2,644,77.0,2013,2249,Ryan Clark,2013,33,4,"$14,000,000",3500000
Sean Smith,4984,CB,KC,67.0,707,78.0,2013,1849,Sean Smith,2013,25,3,"$16,500,000",5500000
Zackary Bowman,4456,CB,CHI,67.0,324,78.0,2013,1872,Zackary Bowman,2013,28,1,"$780,000",780000
Antoine Bethea,3152,S,IND,66.9,695,80.0,2013,2169,Antoine Bethea,2013,28,4,"$26,000,000",6500000
Rafael Bush,5779,S,NO,66.7,413,81.0,2013,1828,Rafael Bush,2013,25,1,"$555,000",555000
Yeremiah Bell,1513,S,ARZ,65.5,717,87.0,2013,1871,Yeremiah Bell,2013,35,1,"$905,000",905000
Aqib Talib,4334,CB,NE,65.5,568,87.0,2013,1707,Aqib Talib,2013,27,1,"$4,860,000",4860000
Cary Williams,4543,CB,PHI,65.4,778,89.0,2013,1719,Cary Williams,2013,28,3,"$17,000,000",5666667
Josh Wilson,3671,CB,WAS,65.4,569,89.0,2013,2118,Josh Wilson,2013,28,3,"$13,500,000",4500000
William Moore,4978,S,ATL,65.2,605,91.0,2013,1870,William Moore,2013,27,5,"$30,000,000",6000000
Quintin Mikell,1662,S,CAR,65.1,452,92.0,2013,1826,Quintin Mikell,2013,32,1,"$1,005,000",1005000
Louis Delmas,4956,S,DET,64.6,655,95.0,2013,1803,Louis Delmas,2013,25,2,"$7,715,000",3857500
Mike Jenkins,4339,CB,LV,64.1,549,97.0,2013,1814,Mike Jenkins,2013,28,1,"$1,500,000",1500000
Robert Alford,7841,CB,ATL,63.2,388,100.0,2013,1837,Robert Alford,2013,24,4,"$3,401,398",850350
Carlos Rogers,2226,CB,SF,63.2,684,100.0,2013,1903,Carlos Rogers,2013,31,4,"$29,300,000",7325000
James Ihedigbo,4147,S,BLT,63.2,645,100.0,2013,1776,James Ihedigbo,2013,29,1,"$780,000",780000
Darius Butler,4964,CB,IND,63.2,558,100.0,2013,1746,Darius Butler,2013,26,2,"$4,000,000",2000000
Jerraud Powers,5015,CB,ARZ,62.9,712,106.0,2013,1779,Jerraud Powers,2013,25,3,"$10,500,000",3500000
Brandon Flowers,4349,CB,KC,62.2,587,109.0,2013,2052,Brandon Flowers,2013,26,6,"$49,350,000",8225000
Steve Gregory,3326,S,NE,61.9,607,110.0,2013,2012,Steve Gregory,2013,30,3,"$7,050,000",2350000
