rank,player-name,year signed,age,year 2,value,average/year
5,A.J. Green,2015-2019 (FA: 2020),27,4,"$60,000,000","$15,000,000"
1,Julio Jones,2015-2020 (FA: 2021),26,5,"$71,256,045","$14,251,209"
2,Demaryius Thomas,2015-2019 (FA: 2020),27,5,"$70,000,000","$14,000,000"
2,Dez Bryant,2015-2019 (FA: 2020),26,5,"$70,000,000","$14,000,000"
4,T.Y. Hilton,2015-2020 (FA: 2021),25,5,"$65,000,000","$13,000,000"
20,Demaryius Thomas,2015-2015 (FA: 2016),27,1,"$12,823,000","$12,823,000"
20,Dez Bryant,2015-2015 (FA: 2016),26,1,"$12,823,000","$12,823,000"
6,Jeremy Maclin,2015-2019 (FA: 2020),26,5,"$55,000,000","$11,000,000"
12,Larry Fitzgerald,2015-2016 (FA: 2017),31,2,"$22,000,000","$11,000,000"
7,Randall Cobb,2015-2018 (FA: 2019),24,4,"$40,000,000","$10,000,000"
10,Brandon Marshall,2015-2017 (FA: 2018),31,3,"$26,000,000","$8,666,667"
9,Michael Crabtree,2015-2019 (FA: 2020),28,4,"$34,000,000","$8,500,000"
7,Torrey Smith,2015-2019 (FA: 2020),26,5,"$40,000,000","$8,000,000"
13,Andre Johnson,2015-2017 (FA: 2018),33,3,"$21,000,000","$7,000,000"
23,Dwayne Bowe,2015-2016 (FA: 2017),30,2,"$12,500,000","$6,250,000"
33,Percy Harvin,2015-2015 (FA: 2016),26,1,"$6,000,000","$6,000,000"
11,Amari Cooper,2015-2019 (FA: 2020),20,4,"$22,663,116","$5,665,779"
16,Eddie Royal,2015-2017 (FA: 2018),28,3,"$15,000,000","$5,000,000"
28,Kenny Britt,2015-2016 (FA: 2017),26,2,"$9,150,000","$4,575,000"
22,Danny Amendola,2015-2017 (FA: 2018),29,3,"$12,750,000","$4,250,000"
15,Kevin White,2015-2018 (FA: 2019),21,4,"$16,563,047","$4,140,762"
31,Greg Jennings,2015-2016 (FA: 2017),31,2,"$8,000,000","$4,000,000"
24,Harry Douglas,2015-2017 (FA: 2018),29,3,"$11,250,000","$3,750,000"
17,Jarius Wright,2015-2019 (FA: 2020),25,4,"$14,800,000","$3,700,000"
14,Dwayne Harris,2015-2019 (FA: 2020),27,5,"$17,500,000","$3,500,000"
18,Jeremy Kerley,2015-2018 (FA: 2019),25,4,"$14,000,000","$3,500,000"
26,Stevie Johnson,2015-2017 (FA: 2018),28,3,"$10,500,000","$3,500,000"
19,Cole Beasley,2015-2018 (FA: 2019),25,4,"$13,606,000","$3,401,500"
45,Michael Crabtree,2015-2015 (FA: 2016),27,1,"$3,200,000","$3,200,000"
33,Brian Hartline,2015-2016 (FA: 2017),28,2,"$6,000,000","$3,000,000"
33,Cecil Shorts,2015-2016 (FA: 2017),27,2,"$6,000,000","$3,000,000"
39,Jacoby Jones,2015-2016 (FA: 2017),30,2,"$5,500,000","$2,750,000"
25,DeVante Parker,2015-2019 (FA: 2020),22,4,"$10,876,543","$2,719,136"
65,Jermaine Kearse,2015-2015 (FA: 2016),25,1,"$2,356,000","$2,356,000"
65,Rod Streater,2015-2015 (FA: 2016),27,1,"$2,356,000","$2,356,000"
27,Nelson Agholor,2015-2019 (FA: 2020),21,4,"$9,377,374","$2,344,344"
70,Miles Austin,2015-2015 (FA: 2016),30,1,"$2,300,000","$2,300,000"
70,Reggie Wayne,2015-2015 (FA: 2016),36,1,"$2,300,000","$2,300,000"
29,Breshad Perriman,2015-2018 (FA: 2019),21,4,"$8,705,317","$2,176,329"
41,Ted Ginn Jr.,2015-2016 (FA: 2017),29,2,"$4,200,000","$2,100,000"
30,Phillip Dorsett,2015-2018 (FA: 2019),22,4,"$8,135,414","$2,033,854"
42,Matthew Slater,2015-2016 (FA: 2017),29,2,"$4,000,000","$2,000,000"
32,Marcus Easley,2015-2018 (FA: 2019),27,4,"$7,000,000","$1,750,000"
40,Louis Murphy,2015-2017 (FA: 2018),27,3,"$4,662,500","$1,554,167"
183,Andre Holmes,2015-2015 (FA: 2016),26,1,"$1,542,000","$1,542,000"
36,Devin Smith,2015-2018 (FA: 2019),23,4,"$5,872,419","$1,468,105"
37,Dorial Green-Beckham,2015-2018 (FA: 2019),22,4,"$5,603,597","$1,400,899"
187,Hakeem Nicks,2015-2015 (FA: 2016),27,1,"$1,400,000","$1,400,000"
38,Devin Funchess,2015-2018 (FA: 2019),20,4,"$5,520,887","$1,380,222"
72,Eric Weems,2015-2016 (FA: 2017),29,2,"$2,280,000","$1,140,000"
