rank,player-name,year signed,age,year 2,value,average/year
10,Alshon Jeffery,2016-2016 (FA: 2017),25,1,"$14,599,000","$14,599,000"
1,Doug Baldwin,2016-2020 (FA: 2021),27,4,"$46,000,000","$11,500,000"
2,Keenan Allen,2016-2020 (FA: 2021),24,4,"$45,000,000","$11,250,000"
6,Emmanuel Sanders,2016-2019 (FA: 2020),29,3,"$33,000,000","$11,000,000"
15,Larry Fitzgerald,2016-2017 (FA: 2018),32,1,"$11,000,000","$11,000,000"
3,Tavon Austin,2016-2021 (FA: 2022),26,4,"$42,000,000","$10,500,000"
4,Allen Hurns,2016-2020 (FA: 2021),24,4,"$40,650,000","$10,162,500"
5,Marvin Jones,2016-2020 (FA: 2021),25,5,"$40,000,000","$8,000,000"
7,Mohamed Sanu,2016-2020 (FA: 2021),26,5,"$32,500,000","$6,500,000"
8,Travis Benjamin,2016-2019 (FA: 2020),26,4,"$24,000,000","$6,000,000"
13,Mike Wallace,2016-2017 (FA: 2018),29,2,"$11,500,000","$5,750,000"
9,Rishard Matthews,2016-2018 (FA: 2019),26,3,"$15,000,000","$5,000,000"
11,Jermaine Kearse,2016-2018 (FA: 2019),26,3,"$13,500,000","$4,500,000"
19,Danny Amendola,2016-2017 (FA: 2018),30,2,"$8,100,000","$4,050,000"
12,Chris Hogan,2016-2018 (FA: 2019),28,3,"$12,000,000","$4,000,000"
14,Corey Coleman,2016-2020 (FA: 2021),21,4,"$11,204,997","$2,801,249"
33,Anquan Boldin,2016-2016 (FA: 2017),35,1,"$2,750,000","$2,750,000"
38,Kamar Aiken,2016-2016 (FA: 2017),26,1,"$2,553,000","$2,553,000"
16,Will Fuller,2016-2020 (FA: 2021),22,4,"$10,164,313","$2,541,078"
17,Josh Doctson,2016-2019 (FA: 2020),23,4,"$10,049,642","$2,512,411"
40,Brandon LaFell,2016-2016 (FA: 2017),29,1,"$2,500,000","$2,500,000"
18,Laquon Treadwell,2016-2019 (FA: 2020),20,4,"$9,934,979","$2,483,745"
54,Andre Holmes,2016-2016 (FA: 2017),27,1,"$2,000,000","$2,000,000"
55,Jaron Brown,2016-2017 (FA: 2018),25,1,"$1,910,000","$1,910,000"
24,Andre Johnson,2016-2017 (FA: 2018),35,2,"$3,735,000","$1,867,500"
56,Matthew Slater,2016-2017 (FA: 2018),30,1,"$1,800,000","$1,800,000"
57,Brian Quick,2016-2016 (FA: 2017),26,1,"$1,750,000","$1,750,000"
58,Percy Harvin,2016-2016 (FA: 2017),28,1,"$1,740,000","$1,740,000"
59,Terrelle Pryor,2016-2016 (FA: 2017),26,1,"$1,671,000","$1,671,000"
59,Chris Hogan,2016-2016 (FA: 2017),28,1,"$1,671,000","$1,671,000"
59,Kenbrell Thompkins,2016-2016 (FA: 2017),27,1,"$1,671,000","$1,671,000"
59,Russell Shepard,2016-2016 (FA: 2017),25,1,"$1,671,000","$1,671,000"
59,Jaron Brown,2016-2016 (FA: 2017),26,1,"$1,671,000","$1,671,000"
27,Keshawn Martin,2016-2017 (FA: 2018),25,2,"$3,000,000","$1,500,000"
20,Sterling Shepard,2016-2019 (FA: 2020),23,4,"$5,944,571","$1,486,143"
21,Michael Thomas,2016-2019 (FA: 2020),23,4,"$5,118,971","$1,279,743"
23,Darrius Heyward-Bey,2016-2018 (FA: 2019),29,3,"$3,800,000","$1,266,667"
172,Devin Hester,2016-2016 (FA: 2017),33,1,"$1,100,000","$1,100,000"
53,Keshawn Martin,2016-2017 (FA: 2018),26,2,"$2,175,000","$1,087,500"
173,Nate Washington,2016-2016 (FA: 2017),32,1,"$1,065,000","$1,065,000"
22,Tyler Boyd,2016-2019 (FA: 2020),21,4,"$4,258,969","$1,064,742"
174,Cecil Shorts,2016-2016 (FA: 2017),28,1,"$1,050,000","$1,050,000"
175,Rueben Randle,2016-2016 (FA: 2017),24,1,"$1,025,000","$1,025,000"
176,Brandon Tate,2016-2016 (FA: 2017),26,1,"$1,024,000","$1,024,000"
213,James Jones,2016-2016 (FA: 2017),32,1,"$885,000","$885,000"
213,Andre Caldwell,2016-2016 (FA: 2017),31,1,"$885,000","$885,000"
213,Hakeem Nicks,2016-2016 (FA: 2017),28,1,"$885,000","$885,000"
216,Jordan Norwood,2016-2016 (FA: 2017),29,1,"$880,000","$880,000"
217,Jeremy Kerley,2016-2016 (FA: 2017),27,1,"$850,000","$850,000"
218,Marc Mariani,2016-2016 (FA: 2017),28,1,"$840,000","$840,000"
218,Leonard Hankerson,2016-2016 (FA: 2017),27,1,"$840,000","$840,000"
218,Chris Givens,2016-2016 (FA: 2017),26,1,"$840,000","$840,000"
218,Deonte Thompson,2016-2016 (FA: 2017),27,1,"$840,000","$840,000"
222,Jeremy Ross,2016-2016 (FA: 2017),28,1,"$810,000","$810,000"
222,Rod Streater,2016-2016 (FA: 2017),28,1,"$810,000","$810,000"
25,Braxton Miller,2016-2019 (FA: 2020),23,4,"$3,114,103","$778,526"
26,Leonte Carroo,2016-2019 (FA: 2020),22,4,"$3,100,388","$775,097"
224,Brandon Tate,2016-2016 (FA: 2017),28,1,"$760,000","$760,000"
224,Arrelious Benn,2016-2016 (FA: 2017),27,1,"$760,000","$760,000"
224,Andre Roberts,2016-2016 (FA: 2017),28,1,"$760,000","$760,000"
224,Mike Williams,2016-2016 (FA: 2017),28,1,"$760,000","$760,000"
224,Vincent Brown,2016-2016 (FA: 2017),27,1,"$760,000","$760,000"
224,Josh Bellamy,2016-2016 (FA: 2017),26,1,"$760,000","$760,000"
