player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Daniel Sorensen,9253,S,KC,2,0,0,16,60.0,0,0,2,7.1,0.0,0,1,0.0,0,28,2,0,0,,0,0,0,0.0,,0,,0,17,0,0
Brandon Dunn,9262,DI,CHI,3,1,0,6,60.0,0,1,28,100.0,3.6,1,0,1.8,0,29,29,1,0,61.9,0,1,10,100.0,10.0,1,5.0,0,11,11,1
Bojay Filimoeatu,9265,LB,OAK,3,0,0,23,56.2,0,0,5,20.0,0.0,0,0,0.0,0,25,5,0,0,59.1,0,0,1,50.0,0.0,0,0.0,0,2,1,0
Isaiah Crowell,9295,HB,CLV,1,0,0,8,,0,0,1,100.0,0.0,0,0,0.0,0,1,1,0,0,,0,0,0,,,0,,0,0,0,0
Jacobbi McDaniel,9296,DI,CLV,1,1,0,8,62.1,0,0,9,100.0,0.0,0,0,0.0,0,9,9,0,0,54.8,0,0,3,100.0,0.0,0,0.0,0,3,3,0
Keith Smith,9302,LB,DAL,4,0,0,9,58.7,0,0,1,2.9,0.0,0,0,0.0,0,34,1,0,0,,0,0,0,0.0,,0,,0,16,0,0
Mike Pennel,9316,DI,GB,14,0,0,12,54.4,2,4,83,100.0,8.4,7,0,3.6,0,86,86,6,0,54.3,2,1,33,100.0,12.1,4,4.5,0,34,34,3
Zachary Orr,9326,LB,BLT,2,0,0,3,59.1,0,0,2,40.0,0.0,0,0,0.0,0,5,2,0,0,60.0,0,0,1,50.0,0.0,0,0.0,0,2,1,0
K'Waun Williams,9332,CB,CLV,13,0,1,8,90.9,2,4,17,7.7,17.6,3,3,23.5,1,246,19,7,0,90.1,0,2,10,10.3,30.0,3,20.0,1,117,12,3
Jayrone Elliott,9336,ED,GB,6,0,0,12,58.4,1,0,27,90.6,3.7,1,0,1.9,0,32,29,1,0,62.6,1,0,17,100.0,5.9,1,2.9,0,18,18,1
L.J. McCray,9357,S,SF,2,0,0,28,60.0,0,0,1,50.0,0.0,0,0,0.0,0,2,1,0,0,,0,0,0,,,0,,0,0,0,0
Marcus Ball,9391,S,NO,9,0,0,20,54.4,0,0,1,3.6,0.0,0,1,0.0,0,56,2,0,0,,0,0,0,0.0,,0,,0,21,0,0
T.J. Fatinikun,9412,ED,TB,10,0,0,30,54.2,0,6,102,99.1,8.8,9,0,3.9,1,108,107,7,0,57.6,0,5,54,100.0,13.0,7,4.6,0,58,58,5
