player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Julius Peppers,1010,ED,GB,19,4,0,12,73.8,6,30,464,94.9,12.7,59,2,5.8,9,511,485,45,3,75.4,5,25,278,99.3,17.6,49,7.9,7,292,290,37
Dwight Freeney,1019,ED,ATL,18,0,1,2,69.4,9,49,428,99.8,18.2,78,3,7.9,5,452,451,63,0,68.8,6,35,236,100.0,22.5,53,10.0,3,249,249,44
James Harrison,1251,ED,PIT,18,0,0,25,85.4,7,36,309,65.4,21.7,67,1,9.5,8,514,336,51,0,91.2,5,26,147,78.8,32.0,47,14.6,6,203,160,37
Terence Newman,1321,CB,MIN,15,0,0,18,53.9,0,0,4,0.9,0.0,0,4,0.0,0,459,4,0,0,55.6,0,0,2,0.9,0.0,0,0.0,0,212,2,0
Terrell Suggs,1326,ED,BLT,15,3,1,3,67.9,11,26,429,97.4,9.6,41,5,6.2,8,466,454,45,2,72.7,8,16,200,98.2,14.0,28,8.5,5,218,214,29
Robert Mathis,1447,ED,IND,14,0,0,14,61.0,1,20,322,92.3,9.3,30,0,4.8,5,375,346,26,0,66.3,1,12,156,96.1,11.5,18,6.7,4,179,172,17
Cullen Jenkins,1637,DI,WAS,15,0,0,32,63.1,1,9,175,99.0,7.4,13,1,3.4,1,192,190,11,0,67.1,1,7,67,100.0,13.4,9,7.5,1,76,76,9
DeAngelo Hall,1729,S,WAS,3,0,0,32,54.9,0,0,3,3.2,0.0,0,0,0.0,0,93,3,0,0,59.7,0,0,1,2.8,0.0,0,0.0,0,36,1,0
Vince Wilfork,1742,DI,HST,17,0,0,13,56.5,3,11,280,99.0,5.4,15,2,2.5,0,306,303,14,0,51.9,2,5,88,100.0,5.7,5,4.0,0,98,98,7
Karlos Dansby,1754,LB,CIN,16,1,2,7,61.7,2,5,55,12.4,7.3,4,3,6.4,0,490,61,7,0,52.3,0,3,19,9.4,10.5,2,7.9,0,235,22,3
Daryl Smith,1760,LB,TB,16,0,0,30,51.3,0,5,62,27.8,3.2,2,0,4.0,0,234,65,5,0,47.7,0,2,23,31.7,4.3,1,4.3,0,82,26,2
Antonio Smith,1856,DI,HST,15,0,0,13,59.3,4,13,204,99.5,9.3,19,2,4.7,1,220,219,18,0,64.1,3,12,113,100.0,15.0,17,7.5,1,123,123,16
Mike Adams,1972,S,IND,15,0,0,14,59.5,2,0,23,4.1,0.0,0,0,4.3,0,617,25,2,0,58.9,1,0,10,3.7,0.0,0,5.0,0,267,10,1
