player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Charles Woodson,330,S,OAK,16,0,0,23,70.6,1,3,21,3.6,14.3,3,0,19.0,2,643,23,6,0,89.4,1,1,10,4.0,20.0,2,30.0,2,275,11,4
London Fletcher,424,LB,WAS,16,0,0,32,58.2,2,3,52,10.8,5.8,3,3,8.7,2,509,55,7,0,52.0,0,2,26,12.6,3.8,1,7.7,1,222,28,3
Champ Bailey,442,CB,DEN,8,0,0,10,45.1,0,0,7,3.5,0.0,0,0,0.0,0,231,8,0,0,48.9,0,0,4,4.9,0.0,0,0.0,0,103,5,0
John Abraham,591,ED,ARZ,16,1,0,1,76.5,8,47,470,86.6,11.7,55,3,8.4,12,569,493,67,0,75.6,3,32,241,89.3,16.6,40,11.4,10,281,251,45
Paris Lenon,751,LB,DEN,12,1,0,10,72.6,0,3,9,7.6,22.2,2,1,16.7,0,145,11,3,1,67.6,0,2,8,18.2,25.0,2,12.5,0,55,10,2
Justin Smith,776,DI,SF,19,0,0,28,62.6,11,47,532,99.3,10.7,57,2,6.8,7,562,558,65,0,69.6,9,31,256,100.0,16.0,41,10.2,6,269,269,46
Andre Carter,779,ED,NE,11,0,0,19,52.7,6,8,153,97.0,9.8,15,0,5.9,2,164,159,16,0,55.6,5,8,102,98.1,13.7,14,8.3,2,106,104,15
Ryan Pickett,799,DI,GB,17,2,0,12,48.1,0,5,215,97.8,2.3,5,0,1.2,0,230,225,5,1,53.0,0,3,60,100.0,5.0,3,2.5,0,62,62,3
Shaun Rogers,828,DI,NYG,7,0,1,21,62.6,6,5,113,100.0,8.8,10,2,4.9,0,122,122,11,0,60.0,2,2,53,100.0,7.5,4,3.8,0,57,57,4
Julius Peppers,1010,ED,CHI,16,3,0,6,67.2,6,26,442,95.4,7.7,34,3,5.2,7,479,457,39,2,64.1,3,17,197,94.9,11.2,22,7.6,5,214,203,25
