player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Charles Woodson,330,S,OAK,16,0,0,23,53.3,0,0,4,0.7,0.0,0,0,0.0,0,737,5,0,0,53.3,0,0,3,1.2,0.0,0,0.0,0,325,4,0
Julius Peppers,1010,ED,GB,18,0,1,12,73.9,10,43,472,90.3,15.7,74,3,8.2,12,546,493,65,0,75.2,8,29,277,94.8,19.5,54,9.6,8,305,289,45
Dwight Freeney,1019,ED,ARZ,13,0,0,1,77.2,4,29,253,96.8,17.4,44,0,9.7,8,277,268,41,0,90.1,4,23,141,98.1,24.8,35,14.5,7,154,151,34
James Harrison,1251,ED,PIT,17,2,0,25,81.2,11,30,317,72.9,18.9,60,5,8.7,7,458,334,48,0,84.4,6,19,156,76.4,26.3,41,11.9,6,216,165,31
Terence Newman,1321,CB,MIN,17,0,0,18,68.3,0,2,2,0.3,50.0,1,5,50.0,0,625,2,2,0,66.7,0,1,1,0.4,100.0,1,50.0,0,281,1,1
Kevin Williams,1325,DI,NO,16,2,0,20,63.7,2,19,255,100.0,7.8,20,2,4.1,0,274,274,21,2,71.1,1,6,75,100.0,10.7,8,4.7,0,82,82,7
Terrell Suggs,1326,ED,BLT,1,0,0,3,64.3,0,1,27,79.4,14.8,4,0,1.9,0,34,27,1,0,63.2,0,0,13,81.3,15.4,2,0.0,0,16,13,0
Calvin Pace,1334,ED,NYJ,16,0,0,22,60.4,4,10,214,75.4,7.9,17,1,4.7,3,301,227,17,0,55.4,3,5,98,84.8,12.2,12,4.1,0,125,106,8
Charles Tillman,1351,CB,CAR,12,0,0,5,68.4,1,0,6,1.2,16.7,1,2,8.3,0,490,6,1,0,74.3,1,0,3,1.1,33.3,1,16.7,0,267,3,1
Rashean Mathis,1355,CB,DET,7,0,0,11,54.7,0,0,2,0.8,0.0,0,1,0.0,0,250,2,0,0,54.7,0,0,2,1.9,0.0,0,0.0,0,106,2,0
Cory Redding,1381,DI,ARZ,11,1,1,1,55.2,0,5,109,99.1,4.6,5,2,2.3,0,116,115,5,0,53.9,0,1,36,97.4,2.8,1,1.4,0,39,38,1
Robert Mathis,1447,ED,IND,15,0,0,14,63.9,8,20,307,87.8,11.7,36,3,6.8,7,376,330,35,0,69.3,6,16,155,90.8,18.7,29,9.7,4,185,168,26
Chris Clemons,1585,ED,JAX,16,1,0,15,52.6,8,23,434,96.9,8.8,38,5,4.3,3,484,469,34,1,58.3,4,18,224,99.2,12.5,28,6.3,3,242,240,25
Colin Cole,1589,DI,CAR,2,0,0,5,56.8,0,1,32,100.0,6.3,2,0,1.6,0,34,34,1,0,61.3,0,1,16,100.0,12.5,2,3.1,0,17,17,1
Cullen Jenkins,1637,DI,NYG,16,1,0,21,64.7,8,24,473,97.5,8.2,39,3,4.0,3,518,505,35,1,65.3,6,16,225,97.6,11.6,26,5.8,2,250,244,24
DeAngelo Hall,1729,CB,WAS,12,0,0,32,68.2,0,0,3,1.1,33.3,1,2,0.0,0,348,4,0,0,,0,0,0,0.0,,0,,0,168,0,0
Vince Wilfork,1742,DI,HST,17,0,0,13,53.2,1,9,279,100.0,4.3,12,1,1.8,0,299,299,10,0,49.7,0,4,77,100.0,6.5,5,2.6,0,82,82,4
Jason Babin,1748,ED,ARZ,2,0,0,1,53.5,1,1,22,88.9,9.1,2,3,4.5,0,27,24,2,0,54.9,1,1,18,95.0,11.1,2,5.6,0,20,19,2
Karlos Dansby,1754,LB,CLV,16,1,1,8,63.9,5,5,72,13.7,6.9,5,2,6.9,0,591,81,10,0,71.3,4,2,29,16.1,6.9,2,10.3,0,223,36,6
Daryl Smith,1760,LB,BLT,16,0,0,3,58.3,1,6,63,11.7,14.3,9,0,10.3,3,579,68,10,0,65.8,1,3,28,14.7,25.0,7,17.9,3,218,32,7
Dwan Edwards,1772,DI,CAR,15,2,0,5,53.2,4,14,321,98.0,6.2,20,0,3.4,2,342,335,20,1,54.2,3,13,175,100.0,9.1,16,5.1,1,185,185,17
Randy Starks,1792,DI,CLV,15,1,1,8,60.6,4,14,259,98.9,7.7,20,3,3.9,1,280,277,19,0,68.8,2,11,102,100.0,14.7,15,7.4,1,114,114,14
Will Allen,1832,S,PIT,15,0,0,25,81.3,1,9,45,7.6,15.6,7,2,20.0,4,617,47,14,0,79.4,0,5,18,7.7,16.7,3,30.6,3,261,20,8
Jared Allen,1847,ED,CAR,17,3,0,5,63.1,24,20,427,94.7,13.8,59,2,5.9,3,473,448,47,1,62.0,15,12,225,96.8,16.0,36,7.3,3,248,240,30
Antonio Smith,1856,DI,DEN,19,2,1,10,63.8,6,24,293,100.0,11.6,34,1,6.5,4,320,320,34,2,65.3,4,15,152,100.0,15.8,24,8.2,3,171,171,22
Mike Adams,1972,S,IND,13,0,0,14,91.4,0,2,10,2.1,10.0,1,1,20.0,1,487,10,3,0,93.0,0,2,5,2.5,20.0,1,40.0,1,202,5,3
Antrel Rolle,2225,S,CHI,7,0,0,6,57.7,0,1,2,0.8,0.0,0,0,25.0,0,236,2,1,0,58.7,0,0,1,1.0,0.0,0,0.0,0,105,1,0
DeMarcus Ware,2228,ED,DEN,14,0,2,10,90.1,17,38,326,89.8,20.9,68,7,11.8,11,384,345,66,0,86.4,10,21,158,92.8,27.2,43,15.5,9,180,167,40
Thomas Davis Sr.,2231,LB,CAR,19,0,0,5,67.6,6,16,124,16.1,13.7,17,1,13.7,6,782,126,28,0,63.1,2,6,56,14.1,14.3,8,14.3,4,410,58,12
Derrick Johnson,2232,LB,KC,18,0,0,16,59.2,3,12,79,10.6,8.9,7,3,14.6,4,792,84,19,0,60.5,2,7,47,13.2,6.4,3,13.8,2,386,51,11
Jonathan Babineaux,2276,DI,ATL,16,1,0,2,60.3,8,18,361,96.0,9.7,35,0,4.2,2,403,387,28,0,63.5,7,14,220,100.0,13.6,30,5.2,1,233,233,22
Justin Tuck,2291,DI,OAK,5,3,0,23,60.3,5,3,155,99.4,7.1,11,0,3.2,1,167,166,9,1,57.5,2,3,85,100.0,8.2,7,4.1,1,93,93,6
Chris Canty,2349,DI,BLT,9,1,0,3,61.9,3,8,149,99.4,7.4,11,0,4.4,1,161,160,12,0,66.6,3,2,47,98.1,12.8,6,7.4,1,53,52,6
Trent Cole,2363,ED,IND,14,2,1,14,69.6,6,24,270,86.8,13.3,36,4,6.7,3,333,289,33,0,60.5,4,13,122,94.3,17.2,21,7.8,1,140,132,18
C.J. Mosley,2408,DI,MIA,11,0,0,17,57.5,3,4,115,99.2,7.0,8,2,3.0,0,127,126,7,0,63.2,3,3,53,100.0,13.2,7,5.7,0,59,59,6
Jay Ratliff,2441,DI,CHI,2,0,0,6,50.2,1,1,45,100.0,4.4,2,0,2.2,0,47,47,2,0,49.2,0,1,19,100.0,5.3,1,2.6,0,19,19,1
Lorenzo Alexander,2476,ED,OAK,4,0,0,23,72.2,0,2,5,33.3,40.0,2,0,20.0,0,15,5,2,0,74.7,0,2,3,50.0,66.7,2,33.3,0,6,3,2
Brandon Browner,2512,CB,NO,16,0,2,20,49.1,0,0,9,1.4,0.0,0,22,0.0,0,633,9,0,0,52.1,0,0,4,1.5,0.0,0,0.0,0,272,4,0
Ahmad Brooks,2945,ED,SF,14,0,1,28,51.0,3,26,291,72.5,10.3,30,10,7.4,7,429,311,36,0,55.8,2,13,137,86.8,13.9,19,8.4,4,174,151,19
Mario Williams,2946,ED,BUF,15,1,0,4,47.1,6,25,507,95.1,6.9,35,1,4.0,5,576,548,36,0,49.7,2,8,166,96.3,9.0,15,4.2,2,191,184,12
A.J. Hawk,2950,LB,CIN,17,0,0,7,66.1,0,1,10,7.7,10.0,1,0,15.0,1,142,11,2,0,66.7,0,1,2,9.4,50.0,1,25.0,0,32,3,1
Donte Whitner,2953,S,CLV,14,0,0,8,56.4,0,1,14,3.0,14.3,2,0,10.7,1,494,15,2,0,59.7,0,0,6,3.8,16.7,1,16.7,1,185,7,1
