player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Ray Lewis,167,LB,BLT,10,0,0,3,53.2,2,1,72,16.9,2.8,2,2,3.5,1,443,75,4,0,,0,0,0,,,0,,0,0,0,0
Ronde Barber,261,S,TB,16,1,0,30,60.0,1,9,74,10.7,6.8,5,5,8.1,1,703,75,11,0,,0,0,0,,,0,,0,0,0,0
Charles Woodson,330,CB,GB,9,0,1,12,46.9,0,5,41,11.7,4.9,2,4,11.0,2,367,43,7,0,,0,0,0,,,0,,0,0,0,0
Keith Brooking,336,LB,DEN,17,0,0,10,58.1,0,2,34,15.3,2.9,1,0,5.9,1,236,36,3,0,,0,0,0,,,0,,0,0,0,0
Takeo Spikes,337,LB,SD,16,0,1,27,65.7,4,2,49,13.7,4.1,2,2,8.2,1,387,53,7,0,,0,0,0,,,0,,0,0,0,0
Vonnie Holliday,340,DI,ARZ,15,1,0,1,58.2,2,5,99,100.0,7.1,7,0,3.5,0,103,103,7,0,,0,0,0,,,0,,0,0,0,0
London Fletcher,424,LB,WAS,17,0,1,32,57.8,0,7,91,13.7,6.6,6,5,8.2,4,706,97,11,0,,0,0,0,,,0,,0,0,0,0
Champ Bailey,442,CB,DEN,17,0,0,10,54.3,0,0,1,0.1,0.0,0,7,0.0,0,667,1,0,0,,0,0,0,,,0,,0,0,0,0
Antoine Winfield,456,CB,MIN,17,0,0,18,62.4,0,3,19,2.9,5.3,1,2,18.4,2,698,20,5,0,,0,0,0,,,0,,0,0,0,0
Mike Peterson,463,LB,ATL,7,0,0,2,61.6,0,1,7,17.1,14.3,1,0,7.1,0,41,7,1,0,,0,0,0,,,0,,0,0,0,0
Brendon Ayanbadejo,542,LB,BLT,8,0,0,3,65.9,1,4,27,23.8,11.1,3,0,13.0,1,126,30,6,0,,0,0,0,,,0,,0,0,0,0
Brian Urlacher,587,LB,CHI,12,2,0,6,50.1,0,4,55,12.4,5.5,3,2,3.6,0,460,57,4,0,,0,0,0,,,0,,0,0,0,0
John Abraham,591,ED,ATL,18,7,1,2,87.0,8,38,443,92.8,11.5,51,6,7.4,10,497,461,56,0,,0,0,0,,,0,,0,0,0,0
Clark Haggans,670,ED,SF,8,0,0,28,53.0,0,0,29,90.9,0.0,0,0,0.0,0,33,30,0,0,,0,0,0,,,0,,0,0,0,0
Paris Lenon,751,LB,ARZ,16,1,0,1,58.4,4,14,171,32.7,5.3,9,0,6.4,2,553,181,20,0,,0,0,0,,,0,,0,0,0,0
Justin Smith,776,DI,SF,17,2,0,28,52.8,6,23,596,98.8,5.4,32,2,3.1,4,641,633,33,0,,0,0,0,,,0,,0,0,0,0
Richard Seymour,778,DI,OAK,8,1,0,23,65.5,2,7,203,97.7,5.9,12,3,3.7,3,218,213,12,0,,0,0,0,,,0,,0,0,0,0
Andre Carter,779,ED,OAK,12,0,0,23,64.0,5,8,170,94.7,7.6,13,0,5.6,3,190,180,16,0,,0,0,0,,,0,,0,0,0,0
Casey Hampton,789,DI,PIT,16,0,0,25,51.1,1,2,225,99.6,1.3,3,3,0.7,0,234,233,3,0,,0,0,0,,,0,,0,0,0,0
Nate Clements,791,S,CIN,15,0,0,7,53.9,1,1,17,4.3,5.9,1,2,5.9,0,397,17,2,0,,0,0,0,,,0,,0,0,0,0
Ryan Pickett,799,DI,GB,18,1,0,12,52.2,1,5,253,99.3,2.4,6,1,1.2,0,272,270,6,0,,0,0,0,,,0,,0,0,0,0
Kyle Vanden Bosch,804,ED,DET,16,1,1,11,56.9,13,12,369,99.5,6.8,25,5,4.5,4,385,383,29,0,,0,0,0,,,0,,0,0,0,0
Adrian Wilson,831,S,ARZ,15,0,0,1,79.3,1,5,40,10.1,17.5,7,3,15.0,3,414,42,9,0,,0,0,0,,,0,,0,0,0,0
Ron Edwards,838,DI,CAR,11,0,0,5,57.9,1,3,143,100.0,3.5,5,0,2.1,1,152,152,5,0,,0,0,0,,,0,,0,0,0,0
Patrick Chukwurah,895,ED,SEA,1,0,0,29,54.9,0,0,4,80.0,0.0,0,0,0.0,0,5,4,0,0,,0,0,0,,,0,,0,0,0,0
Juqua Parker,995,ED,CLV,16,0,1,8,72.2,8,30,369,97.5,11.7,43,4,6.8,6,404,394,44,0,,0,0,0,,,0,,0,0,0,0
Julius Peppers,1010,ED,CHI,16,2,0,6,76.3,7,37,488,97.7,11.1,54,4,7.2,13,519,507,57,0,,0,0,0,,,0,,0,0,0,0
Quentin Jammer,1013,CB,SD,16,0,0,27,57.3,0,0,1,0.2,0.0,0,9,0.0,0,625,1,0,0,,0,0,0,,,0,,0,0,0,0
Dwight Freeney,1019,ED,IND,15,1,0,14,73.1,9,34,436,94.7,10.8,47,2,6.1,5,492,466,48,0,,0,0,0,,,0,,0,0,0,0
Bryan Thomas,1029,ED,NYJ,11,1,0,22,62.4,2,6,109,74.4,8.3,9,0,5.5,2,156,116,10,0,,0,0,0,,,0,,0,0,0,0
Edward Reed,1031,S,BLT,20,1,0,3,59.9,0,2,21,3.0,4.8,1,5,4.8,0,802,24,2,0,,0,0,0,,,0,,0,0,0,0
Sheldon Brown,1066,CB,CLV,15,0,0,8,98.8,0,0,4,0.7,25.0,1,8,25.0,1,541,4,1,0,,0,0,0,,,0,,0,0,0,0
Will Witherspoon,1079,LB,TEN,11,0,0,31,90.9,1,2,24,11.8,8.3,2,1,10.4,1,229,27,4,0,,0,0,0,,,0,,0,0,0,0
Chris Hope,1097,S,ATL,9,0,0,2,42.4,0,0,10,6.5,0.0,0,1,0.0,0,170,11,0,0,,0,0,0,,,0,,0,0,0,0
Larry Foote,1126,LB,PIT,16,0,0,25,59.0,5,8,178,32.3,6.7,12,1,5.9,4,586,189,17,0,,0,0,0,,,0,,0,0,0,0
Justin Bannan,1134,DI,DEN,17,5,0,10,57.2,0,5,253,98.9,1.2,3,2,1.0,0,272,269,5,0,,0,0,0,,,0,,0,0,0,0
Scott Fujita,1137,LB,CLV,4,0,0,8,63.7,0,2,15,34.6,13.3,2,0,13.3,1,52,18,3,0,,0,0,0,,,0,,0,0,0,0
Rocky Bernard,1139,DI,NYG,12,0,0,21,63.3,1,6,165,100.0,4.2,7,0,2.7,1,169,169,8,0,,0,0,0,,,0,,0,0,0,0
Kenyon Coleman,1140,DI,DAL,7,0,0,9,57.4,1,4,68,96.0,5.9,4,1,3.7,0,75,72,5,0,,0,0,0,,,0,,0,0,0,0
Brett Keisel,1204,DI,PIT,16,3,0,25,52.8,6,22,496,99.4,5.4,27,3,3.8,5,524,521,33,0,,0,0,0,,,0,,0,0,0,0
Ryan Clark,1229,S,PIT,15,0,0,25,45.2,0,0,15,3.2,0.0,0,2,0.0,0,538,17,0,0,,0,0,0,,,0,,0,0,0,0
James Harrison,1251,ED,PIT,13,0,0,25,66.6,5,17,294,62.1,7.5,22,3,5.8,6,499,310,28,0,,0,0,0,,,0,,0,0,0,0
Ma'ake Kemoeatu,1267,DI,BLT,19,2,0,3,51.8,1,1,227,100.0,1.3,3,0,0.9,1,240,240,3,0,,0,0,0,,,0,,0,0,0,0
Bart Scott,1303,LB,NYJ,15,0,0,22,75.5,3,6,67,29.8,7.5,5,2,12.7,4,235,70,13,0,,0,0,0,,,0,,0,0,0,0
Terence Newman,1321,CB,CIN,16,0,1,7,53.4,0,0,1,0.2,0.0,0,4,0.0,0,581,1,0,0,,0,0,0,,,0,,0,0,0,0
Kevin Williams,1325,DI,MIN,17,7,1,18,68.2,9,23,535,99.8,5.2,28,5,3.4,2,567,566,34,0,,0,0,0,,,0,,0,0,0,0
Terrell Suggs,1326,ED,BLT,12,4,0,3,56.0,6,16,361,87.5,6.4,23,2,4.2,4,433,379,26,0,,0,0,0,,,0,,0,0,0,0
Marcus Trufant,1327,CB,SEA,14,0,0,29,69.8,1,5,21,6.7,4.8,1,1,14.3,0,330,22,6,0,,0,0,0,,,0,,0,0,0,0
Troy Polamalu,1332,S,PIT,7,0,0,25,80.8,0,3,12,5.7,8.3,1,1,20.8,1,245,14,4,0,,0,0,0,,,0,,0,0,0,0
Calvin Pace,1334,ED,NYJ,16,1,0,22,57.2,4,25,332,66.0,5.7,19,1,5.3,3,535,353,32,0,,0,0,0,,,0,,0,0,0,0
Nick Barnett,1345,LB,BUF,16,0,0,4,54.5,0,3,59,11.7,6.8,4,0,5.9,2,566,66,5,0,,0,0,0,,,0,,0,0,0,0
Nnamdi Asomugha,1347,CB,PHI,16,0,1,24,52.1,0,0,2,0.4,0.0,0,7,0.0,0,549,2,0,0,,0,0,0,,,0,,0,0,0,0
Charles Tillman,1351,CB,CHI,16,0,0,6,56.9,0,0,2,0.3,0.0,0,2,0.0,0,582,2,0,0,,0,0,0,,,0,,0,0,0,0
Drayton Florence,1362,CB,DET,8,0,0,11,59.0,0,0,1,0.5,0.0,0,2,0.0,0,215,1,0,0,,0,0,0,,,0,,0,0,0,0
Chris Kelsay,1364,ED,BUF,9,0,0,4,65.4,1,10,135,95.3,8.9,12,1,5.6,2,150,143,13,0,,0,0,0,,,0,,0,0,0,0
Bryan Scott,1370,LB,BUF,16,0,1,4,55.4,1,1,23,6.9,4.3,1,1,4.3,0,420,29,2,0,,0,0,0,,,0,,0,0,0,0
Osi Umenyiora,1371,ED,NYG,16,0,2,21,71.9,7,32,411,98.6,10.2,42,3,6.2,6,427,421,45,0,,0,0,0,,,0,,0,0,0,0
Cory Redding,1381,DI,IND,15,5,0,14,60.1,4,11,378,99.3,4.2,16,2,2.5,2,408,405,17,0,,0,0,0,,,0,,0,0,0,0
Lance Briggs,1383,LB,CHI,16,2,0,6,69.7,0,8,72,12.1,4.2,3,1,8.3,2,646,78,10,0,,0,0,0,,,0,,0,0,0,0
Chris Crocker,1399,S,CIN,13,0,1,7,53.0,1,2,16,4.1,0.0,0,1,9.4,0,389,16,3,0,,0,0,0,,,0,,0,0,0,0
Bradie James,1416,LB,HST,17,0,0,13,55.7,3,9,141,34.0,5.0,7,3,4.3,0,435,148,12,0,,0,0,0,,,0,,0,0,0,0
Jarret Johnson,1421,ED,SD,15,0,0,27,66.6,3,6,147,57.5,6.1,9,0,4.4,2,266,153,11,0,,0,0,0,,,0,,0,0,0,0
Nick Eason,1426,DI,ARZ,15,0,0,1,54.7,0,3,97,100.0,4.1,4,1,2.6,1,98,98,4,0,,0,0,0,,,0,,0,0,0,0
Asante Samuel,1432,CB,ATL,17,0,0,2,49.8,0,0,2,0.4,0.0,0,2,0.0,0,555,2,0,0,,0,0,0,,,0,,0,0,0,0
Ike Taylor,1437,CB,PIT,12,0,1,25,51.7,0,0,3,0.8,0.0,0,7,0.0,0,384,3,0,0,,0,0,0,,,0,,0,0,0,0
Robert Mathis,1447,ED,IND,13,1,0,14,77.6,5,19,300,79.4,10.3,31,2,7.0,9,402,319,33,0,,0,0,0,,,0,,0,0,0,0
Aubrayo Franklin,1455,DI,SD,12,1,0,27,60.3,0,5,125,95.5,4.0,5,0,2.0,0,132,126,5,0,,0,0,0,,,0,,0,0,0,0
Antonio Garay,1497,DI,SD,8,0,0,27,74.1,4,7,75,98.7,16.0,12,2,8.7,1,77,76,12,0,,0,0,0,,,0,,0,0,0,0
Yeremiah Bell,1513,S,NYJ,16,0,0,22,57.1,0,3,30,6.0,3.3,1,2,8.3,1,569,34,4,0,,0,0,0,,,0,,0,0,0,0
Mario Haggan,1526,LB,SL,8,0,0,26,78.0,0,0,9,25.7,11.1,1,1,11.1,1,35,9,1,0,,0,0,0,,,0,,0,0,0,0
Scott Shanle,1545,LB,NO,7,0,0,20,62.9,0,1,10,9.9,10.0,1,0,15.0,1,101,10,2,0,,0,0,0,,,0,,0,0,0,0
Chris Clemons,1585,ED,SEA,17,4,0,29,90.0,11,37,504,89.9,10.1,51,5,6.9,11,583,524,59,0,,0,0,0,,,0,,0,0,0,0
Joselio Hanson,1619,CB,OAK,15,1,0,23,51.6,2,1,37,9.5,0.0,0,0,4.1,0,388,37,3,0,,0,0,0,,,0,,0,0,0,0
Israel Idonije,1632,ED,CHI,16,0,0,6,77.1,5,37,448,98.5,10.7,48,4,6.7,9,475,468,51,0,,0,0,0,,,0,,0,0,0,0
Cullen Jenkins,1637,DI,PHI,16,1,1,24,70.8,1,25,360,100.0,7.5,27,2,4.7,4,388,388,30,0,,0,0,0,,,0,,0,0,0,0
Quintin Mikell,1662,S,SL,16,1,0,26,97.4,2,9,61,10.6,14.8,9,1,13.9,3,612,65,14,0,,0,0,0,,,0,,0,0,0,0
Shaun Smith,1702,DI,KC,8,0,0,16,49.0,0,0,45,100.0,0.0,0,1,0.0,0,46,46,0,0,,0,0,0,,,0,,0,0,0,0
Tracy White,1716,LB,NE,8,0,0,19,76.7,1,1,5,11.4,0.0,0,0,20.0,0,44,5,2,0,,0,0,0,,,0,,0,0,0,0
DeAngelo Hall,1729,CB,WAS,17,1,0,32,71.6,1,11,50,6.8,10.0,5,7,14.0,1,746,51,13,0,,0,0,0,,,0,,0,0,0,0
Dunta Robinson,1731,CB,ATL,18,0,1,2,90.4,0,1,9,1.4,11.1,1,3,27.8,2,633,9,3,0,,0,0,0,,,0,,0,0,0,0
Jonathan Vilma,1733,LB,NO,11,0,0,20,69.6,0,5,37,19.6,0.0,0,0,9.5,1,189,37,6,0,,0,0,0,,,0,,0,0,0,0
D.J. Williams,1738,LB,DEN,8,0,0,10,45.7,0,0,21,24.0,0.0,0,0,0.0,0,96,23,0,0,,0,0,0,,,0,,0,0,0,0
Will Smith,1739,ED,NO,16,1,0,20,53.7,7,23,555,97.7,5.9,33,2,4.0,7,599,585,37,0,,0,0,0,,,0,,0,0,0,0
Vince Wilfork,1742,DI,NE,18,4,1,19,63.6,4,23,599,99.5,4.5,27,7,2.8,3,639,636,30,0,,0,0,0,,,0,,0,0,0,0
Jason Babin,1748,ED,JAX,16,0,2,15,79.0,13,25,374,97.8,11.2,42,9,7.2,8,410,401,46,0,,0,0,0,,,0,,0,0,0,0
Chris Gamble,1749,CB,CAR,4,0,0,5,60.0,0,0,1,0.6,0.0,0,1,0.0,0,172,1,0,0,,0,0,0,,,0,,0,0,0,0
Karlos Dansby,1754,LB,MIA,16,2,0,17,56.6,2,8,117,18.1,5.1,6,1,5.1,1,696,126,11,0,,0,0,0,,,0,,0,0,0,0
Daryl Smith,1760,LB,JAX,2,0,0,15,66.4,1,1,13,24.1,15.4,2,0,7.7,0,58,14,2,0,,0,0,0,,,0,,0,0,0,0
Dwan Edwards,1772,DI,CAR,14,1,1,5,60.9,7,13,398,99.8,5.5,22,2,4.0,6,420,419,26,0,,0,0,0,,,0,,0,0,0,0
Madieu Williams,1777,S,WAS,17,0,0,32,66.5,1,2,20,2.9,0.0,0,3,12.5,1,728,21,4,0,,0,0,0,,,0,,0,0,0,0
Darnell Dockett,1785,DI,ARZ,15,3,0,1,54.3,9,20,408,98.6,6.4,26,1,4.0,2,436,430,31,0,,0,0,0,,,0,,0,0,0,0
Randy Starks,1792,DI,MIA,16,2,0,17,65.2,11,21,462,97.6,7.4,34,1,4.3,4,500,488,36,0,,0,0,0,,,0,,0,0,0,0
Shaun Phillips,1819,ED,SD,16,2,1,27,69.2,7,23,403,83.3,8.7,35,4,6.0,9,514,428,39,0,,0,0,0,,,0,,0,0,0,0
Demorrio Williams,1822,LB,SD,14,0,0,27,67.8,3,5,47,22.5,10.6,5,0,8.5,0,231,52,8,0,,0,0,0,,,0,,0,0,0,0
Isaac Sopoaga,1825,DI,SF,18,0,0,28,56.3,2,2,154,99.4,3.9,6,0,2.6,2,163,162,6,0,,0,0,0,,,0,,0,0,0,0
Will Allen,1832,S,PIT,11,0,0,25,52.5,2,0,12,5.0,0.0,0,0,8.3,0,241,12,2,0,,0,0,0,,,0,,0,0,0,0
Robert Geathers,1838,ED,CIN,17,0,0,7,56.3,4,17,384,96.1,5.7,22,0,3.8,4,415,399,25,0,,0,0,0,,,0,,0,0,0,0
Jared Allen,1847,ED,MIN,17,3,1,18,74.9,19,49,678,97.9,11.1,75,8,6.8,12,731,716,80,0,,0,0,0,,,0,,0,0,0,0
Antonio Smith,1856,DI,HST,18,3,0,13,76.9,11,34,583,99.8,8.9,52,6,5.2,8,624,623,53,0,,0,0,0,,,0,,0,0,0,0
Erik Coleman,1864,S,DET,11,0,0,11,53.8,2,1,16,6.0,12.5,2,0,9.4,0,283,17,3,0,,0,0,0,,,0,,0,0,0,0
Corey Williams,1897,DI,DET,7,0,0,11,72.4,2,1,135,100.0,3.7,5,2,2.6,2,143,143,5,0,,0,0,0,,,0,,0,0,0,0
Mike Adams,1972,S,DEN,17,0,0,10,81.8,9,4,48,8.0,8.3,4,3,15.6,1,652,52,14,0,,0,0,0,,,0,,0,0,0,0
Jordan Babineaux,1980,S,TEN,15,0,0,31,87.9,2,1,7,1.5,14.3,1,3,21.4,0,460,7,3,0,,0,0,0,,,0,,0,0,0,0
Jabari Greer,2057,CB,NO,14,0,0,20,45.7,0,1,5,1.0,20.0,1,2,10.0,0,522,5,1,0,,0,0,0,,,0,,0,0,0,0
Spencer Johnson,2084,DI,BUF,14,2,0,4,76.8,1,7,132,99.3,7.6,10,1,4.5,2,142,141,10,0,,0,0,0,,,0,,0,0,0,0
Tommy Kelly,2093,DI,OAK,16,2,0,23,61.2,6,12,399,98.6,4.5,18,9,2.5,1,422,416,19,0,,0,0,0,,,0,,0,0,0,0
George Wilson,2210,S,BUF,16,0,0,4,74.9,1,2,16,3.2,12.5,2,1,9.4,0,526,17,3,0,,0,0,0,,,0,,0,0,0,0
Adam Jones,2223,CB,CIN,17,0,0,7,79.1,0,1,4,0.9,25.0,1,4,37.5,1,451,4,2,0,,0,0,0,,,0,,0,0,0,0
Antrel Rolle,2225,S,NYG,16,1,0,21,61.7,0,1,15,2.6,6.7,1,0,3.3,0,583,15,1,0,,0,0,0,,,0,,0,0,0,0
Carlos Rogers,2226,CB,SF,19,0,0,28,55.2,1,5,29,4.0,0.0,0,4,13.8,1,783,31,7,0,,0,0,0,,,0,,0,0,0,0
DeMarcus Ware,2228,ED,DAL,16,0,1,9,86.3,13,32,421,87.6,11.6,49,8,8.7,14,516,452,59,0,,0,0,0,,,0,,0,0,0,0
Shawne Merriman,2229,ED,BUF,10,1,0,4,63.7,4,4,95,93.5,9.5,9,2,5.3,1,108,101,9,0,,0,0,0,,,0,,0,0,0,0
Thomas Davis Sr.,2231,LB,CAR,15,0,0,5,55.8,1,3,44,8.9,6.8,3,4,4.5,0,496,44,4,0,,0,0,0,,,0,,0,0,0,0
Derrick Johnson,2232,LB,KC,16,1,0,16,66.7,2,5,62,12.9,6.5,4,1,7.3,1,511,66,8,0,,0,0,0,,,0,,0,0,0,0
Marcus Spears,2237,DI,DAL,15,1,0,9,55.0,0,5,173,100.0,4.0,7,0,3.2,3,182,182,8,0,,0,0,0,,,0,,0,0,0,0
Mike Patterson,2248,DI,PHI,5,0,0,24,70.3,1,5,64,100.0,7.8,5,1,6.3,1,66,66,7,0,,0,0,0,,,0,,0,0,0,0
Barrett Ruud,2253,LB,HST,8,0,0,13,57.0,0,1,12,18.6,0.0,0,0,12.5,1,70,13,2,0,,0,0,0,,,0,,0,0,0,0
Shaun Cody,2254,DI,HST,15,2,0,13,54.6,0,0,125,100.0,0.0,0,1,0.0,0,131,131,0,0,,0,0,0,,,0,,0,0,0,0
Kevin Burnett,2259,LB,MIA,16,0,0,17,69.2,6,7,102,16.8,10.8,11,1,8.3,2,680,114,15,0,,0,0,0,,,0,,0,0,0,0
Ronald Bartell,2267,CB,DET,7,0,0,11,70.4,1,0,2,0.9,0.0,0,1,25.0,0,225,2,1,0,,0,0,0,,,0,,0,0,0,0
Jonathan Babineaux,2276,DI,ATL,18,3,0,2,58.0,4,20,540,98.3,5.2,28,0,3.3,6,574,564,30,0,,0,0,0,,,0,,0,0,0,0
Kelvin Hayden,2277,CB,CHI,14,0,0,6,41.0,0,0,11,3.6,0.0,0,0,0.0,0,307,11,0,0,,0,0,0,,,0,,0,0,0,0
Justin Tuck,2291,ED,NYG,15,1,1,21,67.2,8,20,377,96.5,8.0,30,2,4.8,4,404,390,32,0,,0,0,0,,,0,,0,0,0,0
Sione Pouha,2305,DI,NYJ,12,1,0,22,55.0,0,1,93,94.3,1.1,1,0,0.5,0,105,99,1,0,,0,0,0,,,0,,0,0,0,0
Leroy Hill,2315,LB,SEA,15,0,0,29,60.1,1,1,30,9.7,3.3,1,0,10.0,2,320,31,4,0,,0,0,0,,,0,,0,0,0,0
Sean Considine,2319,S,BLT,2,0,0,3,60.0,0,0,1,3.7,0.0,0,0,0.0,0,27,1,0,0,,0,0,0,,,0,,0,0,0,0
Travis Daniels,2321,S,KC,12,0,0,16,57.3,0,0,1,0.5,0.0,0,0,0.0,0,189,1,0,0,,0,0,0,,,0,,0,0,0,0
Kerry Rhodes,2340,S,ARZ,15,0,0,1,68.6,0,3,25,4.9,4.0,1,0,10.0,1,553,27,4,0,,0,0,0,,,0,,0,0,0,0
Brady Poppinga,2342,LB,DAL,3,0,0,9,54.7,0,0,4,18.2,0.0,0,1,0.0,0,22,4,0,0,,0,0,0,,,0,,0,0,0,0
Chris Canty,2349,DI,NYG,9,1,0,21,73.9,5,4,134,100.0,8.2,11,0,5.6,3,139,139,12,0,,0,0,0,,,0,,0,0,0,0
James Sanders,2350,S,ARZ,8,0,0,1,75.3,3,0,10,11.6,0.0,0,0,15.0,0,86,10,3,0,,0,0,0,,,0,,0,0,0,0
Matt Giordano,2352,S,OAK,16,0,0,23,43.7,0,0,5,1.0,0.0,0,1,0.0,0,488,5,0,0,,0,0,0,,,0,,0,0,0,0
Trent Cole,2363,ED,PHI,16,1,1,24,73.3,13,29,403,99.3,10.7,43,2,6.2,4,435,432,46,0,,0,0,0,,,0,,0,0,0,0
Gerald Sensabaugh,2374,S,DAL,15,0,0,9,46.0,0,1,6,1.1,0.0,0,0,8.3,0,551,6,1,0,,0,0,0,,,0,,0,0,0,0
Michael Boley,2377,LB,NYG,16,0,0,21,58.3,1,3,56,11.1,1.8,1,1,5.4,1,512,57,5,0,,0,0,0,,,0,,0,0,0,0
